// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 人の声のようなものが聞こてくる。
<0000> 人の声のようなものが聞こてくる。
<1056> sys_bk_selline00

//<1057> ms0104
<1057> ms0104

//<1058> m114
<1058> m114
{95d7} 0a // 1058

//<1059> ms0104_01
<1059> ms0104_01

//<1060> bg_kuro
<1060> bg_kuro

//<1061> ep04_bg046
<1061> ep04_bg046

//<1062> evmt_0102
<1062> evmt_0102

//<1063> evmt_0102
<1063> evmt_0102

//<1064> ep04_bg008
<1064> ep04_bg008

//<1065> m118
<1065> m118

//<1066> bs3_ms0101
<1066> bs3_ms0101

//<1067> ms0306
<1067> ms0306

//<1068> ms0303
<1068> ms0303

//<1069> ms0302
<1069> ms0302

//<1070> bs3_ms0102
<1070> bs3_ms0102

//<1071> ms0303
<1071> ms0303

//<1072> ms0306
<1072> ms0306

//<1073> ms0402
<1073> ms0402

//<1074> bg_kuro
<1074> bg_kuro

//<1075> bg_kuro
<1075> bg_kuro

//<1076> ep04_bg008
<1076> ep04_bg008

//<1077> ms0101
<1077> ms0101

//<1078> bg_kuro
<1078> bg_kuro

//<1079> ep04_bg008
<1079> ep04_bg008

//<1080> m105
<1080> m105

//<1081> ms0104
<1081> ms0104

//<1082> ms0108
<1082> ms0108

//<1083> ms0101
<1083> ms0101

//<1084> ms0103
<1084> ms0103

//<1085> ms0108
<1085> ms0108

//<1086> ms0102
<1086> ms0102

//<1087> bg_kuro
<1087> bg_kuro

//<1088> bg_kuro
<1088> bg_kuro

//<1089> ep04_bg008
<1089> ep04_bg008

//<1090> m104
<1090> m104

//<1091> ms0101
<1091> ms0101

//<1092> ms0108
<1092> ms0108

//<1093> ms0101
<1093> ms0101

//<1094> ms0102
<1094> ms0102

//<1095> ms0202_08
<1095> ms0202_08

//<1096> ms0203
<1096> ms0203

//<1097> ms0202
<1097> ms0202

//<1098> ms0101
<1098> ms0101

//<1099> ms0101_08
<1099> ms0101_08

//<1100> ms0101
<1100> ms0101

//<1101> ms0102
<1101> ms0102

//<1102> ms0101
<1102> ms0101

//<1103> ms0108_01
<1103> ms0108_01

//<1104> ms0102
<1104> ms0102

//<1105> bg_kuro
<1105> bg_kuro

