// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 食欲も湧かないけど、とりあえず食堂に向かう。
<0000> 食欲も湧かないけど、とりあえず食堂に向かう。
<1052> nothing

//<1053> nothing
<1053> nothing

//<1054> nothing
<1054> nothing

//<1055> nothing
<1055> nothing

//<1056> 藤巻
<1056> 藤巻

//<1057> 「食えよ…」
<1057> 「食えよ…」

//<1058> 藤巻は普通のカレーを食べている。
<1058> 藤巻は普通のカレーを食べている。

//<1059> 音無
<1059> 音無

//<1060> クソ坊主
<1060> クソ坊主

//<1061> 代理人
<1061> 代理人

//<1062> 微妙すぎるイケメン
<1062> 微妙すぎるイケメン

//<1063> ロリコン
<1063> ロリコン

//<1064> メガネ仲間
<1064> メガネ仲間

//<1065> 暗算日本記録保持者
<1065> 暗算日本記録保持者

//<1066> 通り魔
<1066> 通り魔

//<1067> 記憶ナシ男
<1067> 記憶ナシ男

//<1068> 音速
<1068> 音速

//<1069> 無限
<1069> 無限

//<1070> エロ侍
<1070> エロ侍

//<1071> エロエロ団ナンバー１
<1071> エロエロ団ナンバー１

//<1072> ただのエロ少年
<1072> ただのエロ少年

//<1073> ユリブサイク
<1073> ユリブサイク

//<1074> ドピュッシー
<1074> ドピュッシー

//<1075> アメリカンエロドッグ
<1075> アメリカンエロドッグ

//<1076> ゼウス
<1076> ゼウス

//<1077> 日向markⅡ
<1077> 日向markⅡ

//<1078> 糞虫
<1078> 糞虫

//<1079> 量産型日向
<1079> 量産型日向

//<1080> ？？
<1080> ？？

//<1081> 「まるで罰ゲームじゃないか…」
<1081> 「まるで罰ゲームじゃないか…」

//<1082> nothing
<1082> nothing

//<1083> nothing
<1083> nothing

//<1084> nothing
<1084> nothing

//<1085> nothing
<1085> nothing

//<1086> nothing
<1086> nothing

//<1087> 藤巻
<1087> 藤巻

//<1088> 「スペシャルなんだから、美味いに決まってる！！」
<1088> 「スペシャルなんだから、美味いに決まってる！！」

//<1089> 音無
<1089> 音無

//<1090> クソ坊主
<1090> クソ坊主

//<1091> 代理人
<1091> 代理人

//<1092> 微妙すぎるイケメン
<1092> 微妙すぎるイケメン

//<1093> ロリコン
<1093> ロリコン

//<1094> メガネ仲間
<1094> メガネ仲間

//<1095> 暗算日本記録保持者
<1095> 暗算日本記録保持者

//<1096> 通り魔
<1096> 通り魔

//<1097> 記憶ナシ男
<1097> 記憶ナシ男

//<1098> 音速
<1098> 音速

//<1099> 無限
<1099> 無限

//<1100> エロ侍
<1100> エロ侍

//<1101> エロエロ団ナンバー１
<1101> エロエロ団ナンバー１

//<1102> ただのエロ少年
<1102> ただのエロ少年

//<1103> ユリブサイク
<1103> ユリブサイク

//<1104> ドピュッシー
<1104> ドピュッシー

//<1105> アメリカンエロドッグ
<1105> アメリカンエロドッグ

//<1106> ゼウス
<1106> ゼウス

//<1107> 日向markⅡ
<1107> 日向markⅡ

//<1108> 糞虫
<1108> 糞虫

//<1109> 量産型日向
<1109> 量産型日向

//<1110> ？？
<1110> ？？

//<1111> 「じゃ、お前、味見してくれよ」
<1111> 「じゃ、お前、味見してくれよ」

//<1112> nothing
<1112> nothing

//<1113> nothing
<1113> nothing

//<1114> nothing
<1114> nothing

//<1115> nothing
<1115> nothing

//<1116> nothing
<1116> nothing

//<1117> 藤巻
<1117> 藤巻

//<1118> 「すまん、そんなの食えねぇ…」
<1118> 「すまん、そんなの食えねぇ…」

//<1119> nothing
<1119> nothing

//<1120> nothing
<1120> nothing

//<1121> nothing
<1121> nothing

//<1122> nothing
<1122> nothing

//<1123> nothing
<1123> nothing

//<1124> 藤巻
<1124> 藤巻

//<1125> 「俺だって、今すぐ逃げ出したいくらいだぜ！　だが、付き合って、こうしてカレーを食べてるんだぜ！？」
<1125> 「俺だって、今すぐ逃げ出したいくらいだぜ！　だが、付き合って、こうしてカレーを食べてるんだぜ！？」

//<1126> 音無
<1126> 音無

//<1127> クソ坊主
<1127> クソ坊主

//<1128> 代理人
<1128> 代理人

//<1129> 微妙すぎるイケメン
<1129> 微妙すぎるイケメン

//<1130> ロリコン
<1130> ロリコン

//<1131> メガネ仲間
<1131> メガネ仲間

//<1132> 暗算日本記録保持者
<1132> 暗算日本記録保持者

//<1133> 通り魔
<1133> 通り魔

//<1134> 記憶ナシ男
<1134> 記憶ナシ男

//<1135> 音速
<1135> 音速

//<1136> 無限
<1136> 無限

//<1137> エロ侍
<1137> エロ侍

//<1138> エロエロ団ナンバー１
<1138> エロエロ団ナンバー１

//<1139> ただのエロ少年
<1139> ただのエロ少年

//<1140> ユリブサイク
<1140> ユリブサイク

//<1141> ドピュッシー
<1141> ドピュッシー

//<1142> アメリカンエロドッグ
<1142> アメリカンエロドッグ

//<1143> ゼウス
<1143> ゼウス

//<1144> 日向markⅡ
<1144> 日向markⅡ

//<1145> 糞虫
<1145> 糞虫

//<1146> 量産型日向
<1146> 量産型日向

//<1147> ？？
<1147> ？？

//<1148> 「なんか、目的が変わってきてねーか？」
<1148> 「なんか、目的が変わってきてねーか？」

//<1149> nothing
<1149> nothing

//<1150> nothing
<1150> nothing

//<1151> nothing
<1151> nothing

//<1152> nothing
<1152> nothing

//<1153> nothing
<1153> nothing

//<1154> 藤巻
<1154> 藤巻

//<1155> 「俺はお前に超レアなメニューをご馳走する！　目的通りだぜ！？」
<1155> 「俺はお前に超レアなメニューをご馳走する！　目的通りだぜ！？」

//<1156> 音無
<1156> 音無

//<1157> クソ坊主
<1157> クソ坊主

//<1158> 代理人
<1158> 代理人

//<1159> 微妙すぎるイケメン
<1159> 微妙すぎるイケメン

//<1160> ロリコン
<1160> ロリコン

//<1161> メガネ仲間
<1161> メガネ仲間

//<1162> 暗算日本記録保持者
<1162> 暗算日本記録保持者

//<1163> 通り魔
<1163> 通り魔

//<1164> 記憶ナシ男
<1164> 記憶ナシ男

//<1165> 音速
<1165> 音速

//<1166> 無限
<1166> 無限

//<1167> エロ侍
<1167> エロ侍

//<1168> エロエロ団ナンバー１
<1168> エロエロ団ナンバー１

//<1169> ただのエロ少年
<1169> ただのエロ少年

//<1170> ユリブサイク
<1170> ユリブサイク

//<1171> ドピュッシー
<1171> ドピュッシー

//<1172> アメリカンエロドッグ
<1172> アメリカンエロドッグ

//<1173> ゼウス
<1173> ゼウス

//<1174> 日向markⅡ
<1174> 日向markⅡ

//<1175> 糞虫
<1175> 糞虫

//<1176> 量産型日向
<1176> 量産型日向

//<1177> ？？
<1177> ？？

//<1178> 「いやいやいや…」
<1178> 「いやいやいや…」

//<1179> nothing
<1179> nothing

//<1180> nothing
<1180> nothing

//<1181> nothing
<1181> nothing

//<1182> nothing
<1182> nothing

//<1183> nothing
<1183> nothing

//<1184> nothing
<1184> nothing

//<1185> 冷静になり、メニューと向き合ってみる。
<1185> 冷静になり、メニューと向き合ってみる。

//<1186> 見た目は厚揚げだ…。ただ、臭いは完全に汚物だ…。
<1186> 見た目は厚揚げだ…。ただ、臭いは完全に汚物だ…。

//<1187> 食べる
<1187> 食べる

//<1188> 逃げる
<1188> 逃げる

//<1189> selbtn : 
<1189> selbtn : 

//<1190> マジかよ…俺…。
<1190> マジかよ…俺…。

//<1191> 震える手で箸を使い、それを持ち上げ、口に運ぶ。
<1191> 震える手で箸を使い、それを持ち上げ、口に運ぶ。

//<1192> 途端、鼻に抜ける汚物臭！
<1192> 途端、鼻に抜ける汚物臭！

//<1193> 音無
<1193> 音無

//<1194> クソ坊主
<1194> クソ坊主

//<1195> 代理人
<1195> 代理人

//<1196> 微妙すぎるイケメン
<1196> 微妙すぎるイケメン

//<1197> ロリコン
<1197> ロリコン

//<1198> メガネ仲間
<1198> メガネ仲間

//<1199> 暗算日本記録保持者
<1199> 暗算日本記録保持者

//<1200> 通り魔
<1200> 通り魔

//<1201> 記憶ナシ男
<1201> 記憶ナシ男

//<1202> 音速
<1202> 音速

//<1203> 無限
<1203> 無限

//<1204> エロ侍
<1204> エロ侍

//<1205> エロエロ団ナンバー１
<1205> エロエロ団ナンバー１

//<1206> ただのエロ少年
<1206> ただのエロ少年

//<1207> ユリブサイク
<1207> ユリブサイク

//<1208> ドピュッシー
<1208> ドピュッシー

//<1209> アメリカンエロドッグ
<1209> アメリカンエロドッグ

//<1210> ゼウス
<1210> ゼウス

//<1211> 日向markⅡ
<1211> 日向markⅡ

//<1212> 糞虫
<1212> 糞虫

//<1213> 量産型日向
<1213> 量産型日向

//<1214> ？？
<1214> ？？

//<1215> 「うおえぇぇぇーーーーーー！！」
<1215> 「うおえぇぇぇーーーーーー！！」

//<1216> 吐きそうになる。
<1216> 吐きそうになる。

//<1217> nothing
<1217> nothing

//<1218> nothing
<1218> nothing

//<1219> nothing
<1219> nothing

//<1220> nothing
<1220> nothing

//<1221> nothing
<1221> nothing

//<1222> 藤巻
<1222> 藤巻

//<1223> 「臭いけど、美味しいだろ？」
<1223> 「臭いけど、美味しいだろ？」

//<1224> 音無
<1224> 音無

//<1225> クソ坊主
<1225> クソ坊主

//<1226> 代理人
<1226> 代理人

//<1227> 微妙すぎるイケメン
<1227> 微妙すぎるイケメン

//<1228> ロリコン
<1228> ロリコン

//<1229> メガネ仲間
<1229> メガネ仲間

//<1230> 暗算日本記録保持者
<1230> 暗算日本記録保持者

//<1231> 通り魔
<1231> 通り魔

//<1232> 記憶ナシ男
<1232> 記憶ナシ男

//<1233> 音速
<1233> 音速

//<1234> 無限
<1234> 無限

//<1235> エロ侍
<1235> エロ侍

//<1236> エロエロ団ナンバー１
<1236> エロエロ団ナンバー１

//<1237> ただのエロ少年
<1237> ただのエロ少年

//<1238> ユリブサイク
<1238> ユリブサイク

//<1239> ドピュッシー
<1239> ドピュッシー

//<1240> アメリカンエロドッグ
<1240> アメリカンエロドッグ

//<1241> ゼウス
<1241> ゼウス

//<1242> 日向markⅡ
<1242> 日向markⅡ

//<1243> 糞虫
<1243> 糞虫

//<1244> 量産型日向
<1244> 量産型日向

//<1245> ？？
<1245> ？？

//<1246> 「美味しくねぇーよっ！！」
<1246> 「美味しくねぇーよっ！！」

//<1247> nothing
<1247> nothing

//<1248> nothing
<1248> nothing

//<1249> nothing
<1249> nothing

//<1250> nothing
<1250> nothing

//<1251> nothing
<1251> nothing

//<1252> nothing
<1252> nothing

//<1253> ご飯と味噌汁だけを掻き込み、ごちそうさんをする。
<1253> ご飯と味噌汁だけを掻き込み、ごちそうさんをする。

//<1254> nothing
<1254> nothing

//<1255> nothing
<1255> nothing

//<1256> nothing
<1256> nothing

//<1257> nothing
<1257> nothing

//<1258> nothing
<1258> nothing

//<1259> 音無
<1259> 音無

//<1260> クソ坊主
<1260> クソ坊主

//<1261> 代理人
<1261> 代理人

//<1262> 微妙すぎるイケメン
<1262> 微妙すぎるイケメン

//<1263> ロリコン
<1263> ロリコン

//<1264> メガネ仲間
<1264> メガネ仲間

//<1265> 暗算日本記録保持者
<1265> 暗算日本記録保持者

//<1266> 通り魔
<1266> 通り魔

//<1267> 記憶ナシ男
<1267> 記憶ナシ男

//<1268> 音速
<1268> 音速

//<1269> 無限
<1269> 無限

//<1270> エロ侍
<1270> エロ侍

//<1271> エロエロ団ナンバー１
<1271> エロエロ団ナンバー１

//<1272> ただのエロ少年
<1272> ただのエロ少年

//<1273> ユリブサイク
<1273> ユリブサイク

//<1274> ドピュッシー
<1274> ドピュッシー

//<1275> アメリカンエロドッグ
<1275> アメリカンエロドッグ

//<1276> ゼウス
<1276> ゼウス

//<1277> 日向markⅡ
<1277> 日向markⅡ

//<1278> 糞虫
<1278> 糞虫

//<1279> 量産型日向
<1279> 量産型日向

//<1280> ？？
<1280> ？？

//<1281> 「じゃあな」
<1281> 「じゃあな」

//<1282> nothing
<1282> nothing

//<1283> nothing
<1283> nothing

//<1284> nothing
<1284> nothing

//<1285> nothing
<1285> nothing

//<1286> nothing
<1286> nothing

//<1287> 藤巻
<1287> 藤巻

//<1288> 「おいおい…」
<1288> 「おいおい…」

//<1289> まだ食事中の藤巻を残して、立ち去る。
<1289> まだ食事中の藤巻を残して、立ち去る。

//<1290> nothing
<1290> nothing

//<1291> nothing
<1291> nothing

//<1292> nothing
<1292> nothing

//<1293> nothing
<1293> nothing

//<1294> nothing
<1294> nothing

//<1295> 音無
<1295> 音無

//<1296> クソ坊主
<1296> クソ坊主

//<1297> 代理人
<1297> 代理人

//<1298> 微妙すぎるイケメン
<1298> 微妙すぎるイケメン

//<1299> ロリコン
<1299> ロリコン

//<1300> メガネ仲間
<1300> メガネ仲間

//<1301> 暗算日本記録保持者
<1301> 暗算日本記録保持者

//<1302> 通り魔
<1302> 通り魔

//<1303> 記憶ナシ男
<1303> 記憶ナシ男

//<1304> 音速
<1304> 音速

//<1305> 無限
<1305> 無限

//<1306> エロ侍
<1306> エロ侍

//<1307> エロエロ団ナンバー１
<1307> エロエロ団ナンバー１

//<1308> ただのエロ少年
<1308> ただのエロ少年

//<1309> ユリブサイク
<1309> ユリブサイク

//<1310> ドピュッシー
<1310> ドピュッシー

//<1311> アメリカンエロドッグ
<1311> アメリカンエロドッグ

//<1312> ゼウス
<1312> ゼウス

//<1313> 日向markⅡ
<1313> 日向markⅡ

//<1314> 糞虫
<1314> 糞虫

//<1315> 量産型日向
<1315> 量産型日向

//<1316> ？？
<1316> ？？

//<1317> 「お前に譲る！」
<1317> 「お前に譲る！」

//<1318> nothing
<1318> nothing

//<1319> nothing
<1319> nothing

//<1320> nothing
<1320> nothing

//<1321> nothing
<1321> nothing

//<1322> nothing
<1322> nothing

//<1323> 藤巻
<1323> 藤巻

//<1324> 「え！？」
<1324> 「え！？」

//<1325> 藤巻に押しつけて、俺は食堂から逃げ出した。
<1325> 藤巻に押しつけて、俺は食堂から逃げ出した。

//<1326> 音無
<1326> 音無

//<1327> クソ坊主
<1327> クソ坊主

//<1328> 代理人
<1328> 代理人

//<1329> 微妙すぎるイケメン
<1329> 微妙すぎるイケメン

//<1330> ロリコン
<1330> ロリコン

//<1331> メガネ仲間
<1331> メガネ仲間

//<1332> 暗算日本記録保持者
<1332> 暗算日本記録保持者

//<1333> 通り魔
<1333> 通り魔

//<1334> 記憶ナシ男
<1334> 記憶ナシ男

//<1335> 音速
<1335> 音速

//<1336> 無限
<1336> 無限

//<1337> エロ侍
<1337> エロ侍

//<1338> エロエロ団ナンバー１
<1338> エロエロ団ナンバー１

//<1339> ただのエロ少年
<1339> ただのエロ少年

//<1340> ユリブサイク
<1340> ユリブサイク

//<1341> ドピュッシー
<1341> ドピュッシー

//<1342> アメリカンエロドッグ
<1342> アメリカンエロドッグ

//<1343> ゼウス
<1343> ゼウス

//<1344> 日向markⅡ
<1344> 日向markⅡ

//<1345> 糞虫
<1345> 糞虫

//<1346> 量産型日向
<1346> 量産型日向

//<1347> ？？
<1347> ？？

//<1348> （空気ってこんな美味しかったんだ…）
<1348> （空気ってこんな美味しかったんだ…）

//<1349> 外に出て、そんなささやかな幸せに気づく。
<1349> 外に出て、そんなささやかな幸せに気づく。

//<1350> 岩沢と個人的に会えなくなったことも、忘れられるほど、強烈な出来事だった。
<1350> 岩沢と個人的に会えなくなったことも、忘れられるほど、強烈な出来事だった。

//<1351> それだけは藤巻に感謝しなくちゃならない…。
<1351> それだけは藤巻に感謝しなくちゃならない…。

//<1352> dummy
<1352> dummy

//<1353> ep10_bg007
<1353> ep10_bg007

//<1354> bg_kuro
<1354> bg_kuro

//<1355> ep88_bg020
<1355> ep88_bg020

//<1356> m302
<1356> m302

//<1357> fj0501
<1357> fj0501

//<1358> fj0102
<1358> fj0102

//<1359> fj0110
<1359> fj0110

//<1360> fj0303
<1360> fj0303

//<1361> fj0509
<1361> fj0509

//<1362> fj0507
<1362> fj0507

//<1363> fj0509
<1363> fj0509

//<1364> fj0110
<1364> fj0110

//<1365> fj0502
<1365> fj0502

//<1366> fj0503
<1366> fj0503

//<1367> fj0105
<1367> fj0105

//<1368> fj0103
<1368> fj0103

//<1369> bg_kuro
<1369> bg_kuro

//<1370> ep10_bg007
<1370> ep10_bg007

//<1371> m302
<1371> m302

//<1372> bg_kuro
<1372> bg_kuro

//<1373> ep88_bg020
<1373> ep88_bg020

//<1374> fj0501
<1374> fj0501

//<1375> fj0102
<1375> fj0102

//<1376> bg_kuro
<1376> bg_kuro

//<1377> ep88_bg020
<1377> ep88_bg020

//<1378> m302
<1378> m302

//<1379> fj0501
<1379> fj0501

//<1380> fj0102
<1380> fj0102

//<1381> fj0303
<1381> fj0303

//<1382> fj0509
<1382> fj0509

//<1383> fj0507
<1383> fj0507

//<1384> fj0509
<1384> fj0509

//<1385> fj0110
<1385> fj0110

//<1386> fj0502
<1386> fj0502

//<1387> fj0503
<1387> fj0503

//<1388> bg_kuro
<1388> bg_kuro

//<1389> bg_kuro
<1389> bg_kuro

//<1390> ep05_bg047
<1390> ep05_bg047

//<1391> fj0102
<1391> fj0102

//<1392> m118
<1392> m118

//<1393> fj0107_09
<1393> fj0107_09

//<1394> fj0503
<1394> fj0503

//<1395> fj0104
<1395> fj0104

//<1396> fj0107_11
<1396> fj0107_11

//<1397> fj0509
<1397> fj0509

//<1398> fj0507
<1398> fj0507

//<1399> fj0504
<1399> fj0504

//<1400> bs3_fj010400a0
<1400> bs3_fj010400a0

//<1401> bs2_fj010300a0
<1401> bs2_fj010300a0

//<1402> m124
<1402> m124

//<1403> fj0102
<1403> fj0102

//<1404> fj0103
<1404> fj0103

//<1405> fj0504
<1405> fj0504

//<1406> fj0104
<1406> fj0104

//<1407> m118
<1407> m118

//<1408> fj0105
<1408> fj0105

//<1409> ep88_bg013
<1409> ep88_bg013

//<1410> fj0101
<1410> fj0101

//<1411> fj0105
<1411> fj0105

//<1412> fj0507
<1412> fj0507

//<1413> fj0505
<1413> fj0505

//<1414> fj0510_02
<1414> fj0510_02

//<1415> sys_bk_selline00
<1415> sys_bk_selline00

//<1416> ep88_bg013
<1416> ep88_bg013

//<1417> ep88_bg013
<1417> ep88_bg013

//<1418> fj0504
<1418> fj0504

//<1419> fj0107
<1419> fj0107

//<1420> fj0106
<1420> fj0106

//<1421> bg_kuro
<1421> bg_kuro

//<1422> fj0107
<1422> fj0107

//<1423> fj0106
<1423> fj0106

//<1424> bg_kuro
<1424> bg_kuro

//<1425> m120
<1425> m120

//<1426> ep04_bg047
<1426> ep04_bg047

//<1427> bg_siro
<1427> bg_siro

