// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ゆりか…。
<0000> ゆりか…。
<1069> 無限

//<1070> エロ侍
<1070> エロ侍

//<1071> エロエロ団ナンバー１
<1071> エロエロ団ナンバー１

//<1072> ただのエロ少年
<1072> ただのエロ少年

//<1073> ユリブサイク
<1073> ユリブサイク

//<1074> ドピュッシー
<1074> ドピュッシー

//<1075> アメリカンエロドッグ
<1075> アメリカンエロドッグ

//<1076> ゼウス
<1076> ゼウス

//<1077> 日向markⅡ
<1077> 日向markⅡ

//<1078> 糞虫
<1078> 糞虫

//<1079> 量産型日向
<1079> 量産型日向

//<1080> ？？
<1080> ？？

//<1081> 「みんなが騒いでいたじゃないか…」
<1081> 「みんなが騒いでいたじゃないか…」

//<1082> nothing
<1082> nothing

//<1083> nothing
<1083> nothing

//<1084> nothing
<1084> nothing

//<1085> nothing
<1085> nothing

//<1086> nothing
<1086> nothing

//<1087> ゆり
<1087> ゆり

//<1088> 女生徒
<1088> 女生徒

//<1089> ？？
<1089> ？？

//<1090> 「オペレーションを通達した時のこと？　大体いつもあんな感じよ」
<1090> 「オペレーションを通達した時のこと？　大体いつもあんな感じよ」

//<1091> nothing
<1091> nothing

//<1092> nothing
<1092> nothing

//<1093> nothing
<1093> nothing

//<1094> nothing
<1094> nothing

//<1095> nothing
<1095> nothing

//<1096> ゆり
<1096> ゆり

//<1097> 女生徒
<1097> 女生徒

//<1098> ？？
<1098> ？？

//<1099> 「それでもみんな、しっかり準備をしてきて作戦に臨む。それが我が戦線」
<1099> 「それでもみんな、しっかり準備をしてきて作戦に臨む。それが我が戦線」

//<1100> nothing
<1100> nothing

//<1101> nothing
<1101> nothing

//<1102> nothing
<1102> nothing

//<1103> nothing
<1103> nothing

//<1104> nothing
<1104> nothing

//<1105> 音無
<1105> 音無

//<1106> クソ坊主
<1106> クソ坊主

//<1107> 代理人
<1107> 代理人

//<1108> 微妙すぎるイケメン
<1108> 微妙すぎるイケメン

//<1109> ロリコン
<1109> ロリコン

//<1110> メガネ仲間
<1110> メガネ仲間

//<1111> 暗算日本記録保持者
<1111> 暗算日本記録保持者

//<1112> 通り魔
<1112> 通り魔

//<1113> 記憶ナシ男
<1113> 記憶ナシ男

//<1114> 音速
<1114> 音速

//<1115> 無限
<1115> 無限

//<1116> エロ侍
<1116> エロ侍

//<1117> エロエロ団ナンバー１
<1117> エロエロ団ナンバー１

//<1118> ただのエロ少年
<1118> ただのエロ少年

//<1119> ユリブサイク
<1119> ユリブサイク

//<1120> ドピュッシー
<1120> ドピュッシー

//<1121> アメリカンエロドッグ
<1121> アメリカンエロドッグ

//<1122> ゼウス
<1122> ゼウス

//<1123> 日向markⅡ
<1123> 日向markⅡ

//<1124> 糞虫
<1124> 糞虫

//<1125> 量産型日向
<1125> 量産型日向

//<1126> ？？
<1126> ？？

//<1127> （俺はなんて頼りない発言をしてしまったんだ…）
<1127> （俺はなんて頼りない発言をしてしまったんだ…）

//<1128> 格好悪く思う…。
<1128> 格好悪く思う…。

//<1129> dummy
<1129> dummy

//<1130> bg_kuro
<1130> bg_kuro

//<1131> ep01_bg043
<1131> ep01_bg043

//<1132> sys_bk_selline00
<1132> sys_bk_selline00

//<1133> ep01_bg057
<1133> ep01_bg057

//<1134> yr0409
<1134> yr0409

//<1135> m118
<1135> m118

//<1136> yr0107
<1136> yr0107

//<1137> yr0207
<1137> yr0207

//<1138> yr0307_06
<1138> yr0307_06

//<1139> sys_bk_selline00
<1139> sys_bk_selline00

//<1140> yr0106
<1140> yr0106

//<1141> bs3_yr0404
<1141> bs3_yr0404

//<1142> bg_kuro
<1142> bg_kuro

//<1143> yr0109
<1143> yr0109

//<1144> ep01_bg057
<1144> ep01_bg057

//<1145> yr0409
<1145> yr0409

//<1146> yr0101_06
<1146> yr0101_06

//<1147> yr0109
<1147> yr0109

//<1148> sys_bk_selline00
<1148> sys_bk_selline00

//<1149> yr0101_06
<1149> yr0101_06

//<1150> sys_bk_selline00
<1150> sys_bk_selline00

//<1151> yr0309
<1151> yr0309

//<1152> yr0307
<1152> yr0307

//<1153> yr0310
<1153> yr0310

//<1154> yr0309
<1154> yr0309

//<1155> yr0301_06
<1155> yr0301_06

//<1156> yr0508_09
<1156> yr0508_09

//<1157> yr0609
<1157> yr0609

//<1158> yr0101
<1158> yr0101

//<1159> yr0106
<1159> yr0106

//<1160> yr0108
<1160> yr0108

//<1161> yr0506
<1161> yr0506

//<1162> bg_kuro
<1162> bg_kuro

//<1163> ep01_bg043
<1163> ep01_bg043

//<1164> yr0109
<1164> yr0109

//<1165> yr0106
<1165> yr0106

//<1166> yr0401
<1166> yr0401

//<1167> yr0609
<1167> yr0609

//<1168> yr0601
<1168> yr0601

//<1169> yr0101
<1169> yr0101

//<1170> yr0207
<1170> yr0207

//<1171> yr0508_06
<1171> yr0508_06

//<1172> yr0409
<1172> yr0409

//<1173> yr0508_01
<1173> yr0508_01

//<1174> yr0501
<1174> yr0501

//<1175> bg_kuro
<1175> bg_kuro

