// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> -1st beat- BAD EPISODE.Lost Memories
<0000> -1st beat- BAD EPISODE.Lost Memories
{0047} 0a // 0000

//<0001> 恐らく、一晩は経ったのだろう。
<0001> 恐らく、一晩は経ったのだろう。
//<7459> 「どうした？」
<7459> 「どうした？」

//<7460> 音無
<7460> 音無

//<7461> クソ坊主
<7461> クソ坊主

//<7462> 代理人
<7462> 代理人

//<7463> 微妙すぎるイケメン
<7463> 微妙すぎるイケメン

//<7464> ロリコン
<7464> ロリコン

//<7465> メガネ仲間
<7465> メガネ仲間

//<7466> 暗算日本記録保持者
<7466> 暗算日本記録保持者

//<7467> 通り魔
<7467> 通り魔

//<7468> 記憶ナシ男
<7468> 記憶ナシ男

//<7469> 音速
<7469> 音速

//<7470> 無限
<7470> 無限

//<7471> エロ侍
<7471> エロ侍

//<7472> エロエロ団ナンバー１
<7472> エロエロ団ナンバー１

//<7473> ただのエロ少年
<7473> ただのエロ少年

//<7474> ユリブサイク
<7474> ユリブサイク

//<7475> ドピュッシー
<7475> ドピュッシー

//<7476> アメリカンエロドッグ
<7476> アメリカンエロドッグ

//<7477> ゼウス
<7477> ゼウス

//<7478> 日向markⅡ
<7478> 日向markⅡ

//<7479> 糞虫
<7479> 糞虫

//<7480> 量産型日向
<7480> 量産型日向

//<7481> ？？
<7481> ？？

//<7482> 「いや、これから何をすべきかなって…」
<7482> 「いや、これから何をすべきかなって…」

//<7483> 阿部
<7483> 阿部

//<7484> 「部活に決まってんじゃん」
<7484> 「部活に決まってんじゃん」

//<7485> 音無
<7485> 音無

//<7486> クソ坊主
<7486> クソ坊主

//<7487> 代理人
<7487> 代理人

//<7488> 微妙すぎるイケメン
<7488> 微妙すぎるイケメン

//<7489> ロリコン
<7489> ロリコン

//<7490> メガネ仲間
<7490> メガネ仲間

//<7491> 暗算日本記録保持者
<7491> 暗算日本記録保持者

//<7492> 通り魔
<7492> 通り魔

//<7493> 記憶ナシ男
<7493> 記憶ナシ男

//<7494> 音速
<7494> 音速

//<7495> 無限
<7495> 無限

//<7496> エロ侍
<7496> エロ侍

//<7497> エロエロ団ナンバー１
<7497> エロエロ団ナンバー１

//<7498> ただのエロ少年
<7498> ただのエロ少年

//<7499> ユリブサイク
<7499> ユリブサイク

//<7500> ドピュッシー
<7500> ドピュッシー

//<7501> アメリカンエロドッグ
<7501> アメリカンエロドッグ

//<7502> ゼウス
<7502> ゼウス

//<7503> 日向markⅡ
<7503> 日向markⅡ

//<7504> 糞虫
<7504> 糞虫

//<7505> 量産型日向
<7505> 量産型日向

//<7506> ？？
<7506> ？？

//<7507> 「俺が部活？　なんの部活だよ？」
<7507> 「俺が部活？　なんの部活だよ？」

//<7508> 阿部
<7508> 阿部

//<7509> 「おいおい、おかしなこと言うなよ。ちゃんと自分で思い出せ」
<7509> 「おいおい、おかしなこと言うなよ。ちゃんと自分で思い出せ」

//<7510> 一応答えてみよう。
<7510> 一応答えてみよう。

//<7511> 野球部
<7511> 野球部

//<7512> 陸上部
<7512> 陸上部

//<7513> コンピューター部
<7513> コンピューター部

//<7514> selbtn : 
<7514> selbtn : 

//<7515> 音無
<7515> 音無

//<7516> クソ坊主
<7516> クソ坊主

//<7517> 代理人
<7517> 代理人

//<7518> 微妙すぎるイケメン
<7518> 微妙すぎるイケメン

//<7519> ロリコン
<7519> ロリコン

//<7520> メガネ仲間
<7520> メガネ仲間

//<7521> 暗算日本記録保持者
<7521> 暗算日本記録保持者

//<7522> 通り魔
<7522> 通り魔

//<7523> 記憶ナシ男
<7523> 記憶ナシ男

//<7524> 音速
<7524> 音速

//<7525> 無限
<7525> 無限

//<7526> エロ侍
<7526> エロ侍

//<7527> エロエロ団ナンバー１
<7527> エロエロ団ナンバー１

//<7528> ただのエロ少年
<7528> ただのエロ少年

//<7529> ユリブサイク
<7529> ユリブサイク

//<7530> ドピュッシー
<7530> ドピュッシー

//<7531> アメリカンエロドッグ
<7531> アメリカンエロドッグ

//<7532> ゼウス
<7532> ゼウス

//<7533> 日向markⅡ
<7533> 日向markⅡ

//<7534> 糞虫
<7534> 糞虫

//<7535> 量産型日向
<7535> 量産型日向

//<7536> ？？
<7536> ？？

//<7537> 「野球部」
<7537> 「野球部」

//<7538> 阿部
<7538> 阿部

//<7539> 「なんだ、わかってんじゃん。その通りだ。とっとと行けよ」
<7539> 「なんだ、わかってんじゃん。その通りだ。とっとと行けよ」

//<7540> 音無
<7540> 音無

//<7541> クソ坊主
<7541> クソ坊主

//<7542> 代理人
<7542> 代理人

//<7543> 微妙すぎるイケメン
<7543> 微妙すぎるイケメン

//<7544> ロリコン
<7544> ロリコン

//<7545> メガネ仲間
<7545> メガネ仲間

//<7546> 暗算日本記録保持者
<7546> 暗算日本記録保持者

//<7547> 通り魔
<7547> 通り魔

//<7548> 記憶ナシ男
<7548> 記憶ナシ男

//<7549> 音速
<7549> 音速

//<7550> 無限
<7550> 無限

//<7551> エロ侍
<7551> エロ侍

//<7552> エロエロ団ナンバー１
<7552> エロエロ団ナンバー１

//<7553> ただのエロ少年
<7553> ただのエロ少年

//<7554> ユリブサイク
<7554> ユリブサイク

//<7555> ドピュッシー
<7555> ドピュッシー

//<7556> アメリカンエロドッグ
<7556> アメリカンエロドッグ

//<7557> ゼウス
<7557> ゼウス

//<7558> 日向markⅡ
<7558> 日向markⅡ

//<7559> 糞虫
<7559> 糞虫

//<7560> 量産型日向
<7560> 量産型日向

//<7561> ？？
<7561> ？？

//<7562> 「でもさ…高校野球なら、部員の頭は最低でもスポーツ刈りじゃないか？　俺はこんなにふさふさしてる…」
<7562> 「でもさ…高校野球なら、部員の頭は最低でもスポーツ刈りじゃないか？　俺はこんなにふさふさしてる…」

//<7563> 阿部
<7563> 阿部

//<7564> 「ほんと、お前、何言ってんだよ。スポーツ刈りの奴も居るし、お前みたいに伸ばし放題な奴も居る。ウチの野球部は頭髪に関しては自由だ」
<7564> 「ほんと、お前、何言ってんだよ。スポーツ刈りの奴も居るし、お前みたいに伸ばし放題な奴も居る。ウチの野球部は頭髪に関しては自由だ」

//<7565> 音無
<7565> 音無

//<7566> クソ坊主
<7566> クソ坊主

//<7567> 代理人
<7567> 代理人

//<7568> 微妙すぎるイケメン
<7568> 微妙すぎるイケメン

//<7569> ロリコン
<7569> ロリコン

//<7570> メガネ仲間
<7570> メガネ仲間

//<7571> 暗算日本記録保持者
<7571> 暗算日本記録保持者

//<7572> 通り魔
<7572> 通り魔

//<7573> 記憶ナシ男
<7573> 記憶ナシ男

//<7574> 音速
<7574> 音速

//<7575> 無限
<7575> 無限

//<7576> エロ侍
<7576> エロ侍

//<7577> エロエロ団ナンバー１
<7577> エロエロ団ナンバー１

//<7578> ただのエロ少年
<7578> ただのエロ少年

//<7579> ユリブサイク
<7579> ユリブサイク

//<7580> ドピュッシー
<7580> ドピュッシー

//<7581> アメリカンエロドッグ
<7581> アメリカンエロドッグ

//<7582> ゼウス
<7582> ゼウス

//<7583> 日向markⅡ
<7583> 日向markⅡ

//<7584> 糞虫
<7584> 糞虫

//<7585> 量産型日向
<7585> 量産型日向

//<7586> ？？
<7586> ？？

//<7587> 「そうだったのか…」
<7587> 「そうだったのか…」

//<7588> 釈然としないまま、ジャージに着替え、野球場に向かう。
<7588> 釈然としないまま、ジャージに着替え、野球場に向かう。

//<7589> すでに部員が、ジャージ姿でランニングを始めていた。
<7589> すでに部員が、ジャージ姿でランニングを始めていた。

//<7590> 音無
<7590> 音無

//<7591> クソ坊主
<7591> クソ坊主

//<7592> 代理人
<7592> 代理人

//<7593> 微妙すぎるイケメン
<7593> 微妙すぎるイケメン

//<7594> ロリコン
<7594> ロリコン

//<7595> メガネ仲間
<7595> メガネ仲間

//<7596> 暗算日本記録保持者
<7596> 暗算日本記録保持者

//<7597> 通り魔
<7597> 通り魔

//<7598> 記憶ナシ男
<7598> 記憶ナシ男

//<7599> 音速
<7599> 音速

//<7600> 無限
<7600> 無限

//<7601> エロ侍
<7601> エロ侍

//<7602> エロエロ団ナンバー１
<7602> エロエロ団ナンバー１

//<7603> ただのエロ少年
<7603> ただのエロ少年

//<7604> ユリブサイク
<7604> ユリブサイク

//<7605> ドピュッシー
<7605> ドピュッシー

//<7606> アメリカンエロドッグ
<7606> アメリカンエロドッグ

//<7607> ゼウス
<7607> ゼウス

//<7608> 日向markⅡ
<7608> 日向markⅡ

//<7609> 糞虫
<7609> 糞虫

//<7610> 量産型日向
<7610> 量産型日向

//<7611> ？？
<7611> ？？

//<7612> （この中に混じればいいのか…？）
<7612> （この中に混じればいいのか…？）

//<7613> se_run_ground
<7613> se_run_ground

//<7614> 疑問に思いつつも、その最後尾につく。
<7614> 疑問に思いつつも、その最後尾につく。

//<7615> 野球部顧問
<7615> 野球部顧問

//<7616> 「遅刻した音無は、さらにプラス１０周！」
<7616> 「遅刻した音無は、さらにプラス１０周！」

//<7617> 見たこともない顧問にそんな檄を飛ばされる。
<7617> 見たこともない顧問にそんな檄を飛ばされる。

//<7618> 音無
<7618> 音無

//<7619> クソ坊主
<7619> クソ坊主

//<7620> 代理人
<7620> 代理人

//<7621> 微妙すぎるイケメン
<7621> 微妙すぎるイケメン

//<7622> ロリコン
<7622> ロリコン

//<7623> メガネ仲間
<7623> メガネ仲間

//<7624> 暗算日本記録保持者
<7624> 暗算日本記録保持者

//<7625> 通り魔
<7625> 通り魔

//<7626> 記憶ナシ男
<7626> 記憶ナシ男

//<7627> 音速
<7627> 音速

//<7628> 無限
<7628> 無限

//<7629> エロ侍
<7629> エロ侍

//<7630> エロエロ団ナンバー１
<7630> エロエロ団ナンバー１

//<7631> ただのエロ少年
<7631> ただのエロ少年

//<7632> ユリブサイク
<7632> ユリブサイク

//<7633> ドピュッシー
<7633> ドピュッシー

//<7634> アメリカンエロドッグ
<7634> アメリカンエロドッグ

//<7635> ゼウス
<7635> ゼウス

//<7636> 日向markⅡ
<7636> 日向markⅡ

//<7637> 糞虫
<7637> 糞虫

//<7638> 量産型日向
<7638> 量産型日向

//<7639> ？？
<7639> ？？

//<7640> （そもそもが何十周なんだ…）
<7640> （そもそもが何十周なんだ…）

//<7641> それすらもわからない。
<7641> それすらもわからない。

//<7642> １０周もしたところで、俺は体力的に限界を覚える。
<7642> １０周もしたところで、俺は体力的に限界を覚える。

//<7643> でも、部員はまだ走り続けている。
<7643> でも、部員はまだ走り続けている。

//<7644> 音無
<7644> 音無

//<7645> クソ坊主
<7645> クソ坊主

//<7646> 代理人
<7646> 代理人

//<7647> 微妙すぎるイケメン
<7647> 微妙すぎるイケメン

//<7648> ロリコン
<7648> ロリコン

//<7649> メガネ仲間
<7649> メガネ仲間

//<7650> 暗算日本記録保持者
<7650> 暗算日本記録保持者

//<7651> 通り魔
<7651> 通り魔

//<7652> 記憶ナシ男
<7652> 記憶ナシ男

//<7653> 音速
<7653> 音速

//<7654> 無限
<7654> 無限

//<7655> エロ侍
<7655> エロ侍

//<7656> エロエロ団ナンバー１
<7656> エロエロ団ナンバー１

//<7657> ただのエロ少年
<7657> ただのエロ少年

//<7658> ユリブサイク
<7658> ユリブサイク

//<7659> ドピュッシー
<7659> ドピュッシー

//<7660> アメリカンエロドッグ
<7660> アメリカンエロドッグ

//<7661> ゼウス
<7661> ゼウス

//<7662> 日向markⅡ
<7662> 日向markⅡ

//<7663> 糞虫
<7663> 糞虫

//<7664> 量産型日向
<7664> 量産型日向

//<7665> ？？
<7665> ？？

//<7666> （なんで体育系の部活を選んでしまったんだ…まったく向いていないじゃないか…）
<7666> （なんで体育系の部活を選んでしまったんだ…まったく向いていないじゃないか…）

//<7667> 全員が走り終えたところで、俺は倒れ込む。
<7667> 全員が走り終えたところで、俺は倒れ込む。

//<7668> 野球部顧問
<7668> 野球部顧問

//<7669> 「音無は後１０周だぞー」
<7669> 「音無は後１０周だぞー」

//<7670> 何も返せない。倒れたまま、ひたすら酸素を求めた。
<7670> 何も返せない。倒れたまま、ひたすら酸素を求めた。

//<7671> 野球部部員
<7671> 野球部部員

//<7672> 「先生、無理そうです！！」
<7672> 「先生、無理そうです！！」

//<7673> ひとりの部員が俺を擁護してくれる。
<7673> ひとりの部員が俺を擁護してくれる。

//<7674> 野球部顧問
<7674> 野球部顧問

//<7675> 「無理なら、次は遅刻するんじゃないぞー音無ぃーー！！」
<7675> 「無理なら、次は遅刻するんじゃないぞー音無ぃーー！！」

//<7676> 俺は無言で頷くことしか出来なかった。
<7676> 俺は無言で頷くことしか出来なかった。

//<7677> みんなは筋トレを始める。
<7677> みんなは筋トレを始める。

//<7678> そこからは、部員の筋トレを座って眺めているだけ。
<7678> そこからは、部員の筋トレを座って眺めているだけ。

//<7679> どうして俺は野球部なんて選んでしまったのか…。
<7679> どうして俺は野球部なんて選んでしまったのか…。

//<7680> 音無
<7680> 音無

//<7681> クソ坊主
<7681> クソ坊主

//<7682> 代理人
<7682> 代理人

//<7683> 微妙すぎるイケメン
<7683> 微妙すぎるイケメン

//<7684> ロリコン
<7684> ロリコン

//<7685> メガネ仲間
<7685> メガネ仲間

//<7686> 暗算日本記録保持者
<7686> 暗算日本記録保持者

//<7687> 通り魔
<7687> 通り魔

//<7688> 記憶ナシ男
<7688> 記憶ナシ男

//<7689> 音速
<7689> 音速

//<7690> 無限
<7690> 無限

//<7691> エロ侍
<7691> エロ侍

//<7692> エロエロ団ナンバー１
<7692> エロエロ団ナンバー１

//<7693> ただのエロ少年
<7693> ただのエロ少年

//<7694> ユリブサイク
<7694> ユリブサイク

//<7695> ドピュッシー
<7695> ドピュッシー

//<7696> アメリカンエロドッグ
<7696> アメリカンエロドッグ

//<7697> ゼウス
<7697> ゼウス

//<7698> 日向markⅡ
<7698> 日向markⅡ

//<7699> 糞虫
<7699> 糞虫

//<7700> 量産型日向
<7700> 量産型日向

//<7701> ？？
<7701> ？？

//<7702> 「陸上部」
<7702> 「陸上部」

//<7703> 阿部
<7703> 阿部

//<7704> 「なんだ、わかってんじゃん。その通りだ。とっとと行けよ」
<7704> 「なんだ、わかってんじゃん。その通りだ。とっとと行けよ」

//<7705> 音無
<7705> 音無

//<7706> クソ坊主
<7706> クソ坊主

//<7707> 代理人
<7707> 代理人

//<7708> 微妙すぎるイケメン
<7708> 微妙すぎるイケメン

//<7709> ロリコン
<7709> ロリコン

//<7710> メガネ仲間
<7710> メガネ仲間

//<7711> 暗算日本記録保持者
<7711> 暗算日本記録保持者

//<7712> 通り魔
<7712> 通り魔

//<7713> 記憶ナシ男
<7713> 記憶ナシ男

//<7714> 音速
<7714> 音速

//<7715> 無限
<7715> 無限

//<7716> エロ侍
<7716> エロ侍

//<7717> エロエロ団ナンバー１
<7717> エロエロ団ナンバー１

//<7718> ただのエロ少年
<7718> ただのエロ少年

//<7719> ユリブサイク
<7719> ユリブサイク

//<7720> ドピュッシー
<7720> ドピュッシー

//<7721> アメリカンエロドッグ
<7721> アメリカンエロドッグ

//<7722> ゼウス
<7722> ゼウス

//<7723> 日向markⅡ
<7723> 日向markⅡ

//<7724> 糞虫
<7724> 糞虫

//<7725> 量産型日向
<7725> 量産型日向

//<7726> ？？
<7726> ？？

//<7727> 「ああ…」
<7727> 「ああ…」

//<7728> 釈然としないまま、ジャージに着替え、グラウンドに向かう。
<7728> 釈然としないまま、ジャージに着替え、グラウンドに向かう。

//<7729> が、陸上部らしい部員は居なかった。
<7729> が、陸上部らしい部員は居なかった。

//<7730> 女子がソフトボールの練習をしていた。
<7730> 女子がソフトボールの練習をしていた。

//<7731> 外野に居た女子に訊いてみる。
<7731> 外野に居た女子に訊いてみる。

//<7732> 音無
<7732> 音無

//<7733> クソ坊主
<7733> クソ坊主

//<7734> 代理人
<7734> 代理人

//<7735> 微妙すぎるイケメン
<7735> 微妙すぎるイケメン

//<7736> ロリコン
<7736> ロリコン

//<7737> メガネ仲間
<7737> メガネ仲間

//<7738> 暗算日本記録保持者
<7738> 暗算日本記録保持者

//<7739> 通り魔
<7739> 通り魔

//<7740> 記憶ナシ男
<7740> 記憶ナシ男

//<7741> 音速
<7741> 音速

//<7742> 無限
<7742> 無限

//<7743> エロ侍
<7743> エロ侍

//<7744> エロエロ団ナンバー１
<7744> エロエロ団ナンバー１

//<7745> ただのエロ少年
<7745> ただのエロ少年

//<7746> ユリブサイク
<7746> ユリブサイク

//<7747> ドピュッシー
<7747> ドピュッシー

//<7748> アメリカンエロドッグ
<7748> アメリカンエロドッグ

//<7749> ゼウス
<7749> ゼウス

//<7750> 日向markⅡ
<7750> 日向markⅡ

//<7751> 糞虫
<7751> 糞虫

//<7752> 量産型日向
<7752> 量産型日向

//<7753> ？？
<7753> ？？

//<7754> 「陸上部はどこに？」
<7754> 「陸上部はどこに？」

//<7755> ソフトボール部女子
<7755> ソフトボール部女子

//<7756> 「図書館前で坂道ダッシュしているんじゃない？」
<7756> 「図書館前で坂道ダッシュしているんじゃない？」

//<7757> 音無
<7757> 音無

//<7758> クソ坊主
<7758> クソ坊主

//<7759> 代理人
<7759> 代理人

//<7760> 微妙すぎるイケメン
<7760> 微妙すぎるイケメン

//<7761> ロリコン
<7761> ロリコン

//<7762> メガネ仲間
<7762> メガネ仲間

//<7763> 暗算日本記録保持者
<7763> 暗算日本記録保持者

//<7764> 通り魔
<7764> 通り魔

//<7765> 記憶ナシ男
<7765> 記憶ナシ男

//<7766> 音速
<7766> 音速

//<7767> 無限
<7767> 無限

//<7768> エロ侍
<7768> エロ侍

//<7769> エロエロ団ナンバー１
<7769> エロエロ団ナンバー１

//<7770> ただのエロ少年
<7770> ただのエロ少年

//<7771> ユリブサイク
<7771> ユリブサイク

//<7772> ドピュッシー
<7772> ドピュッシー

//<7773> アメリカンエロドッグ
<7773> アメリカンエロドッグ

//<7774> ゼウス
<7774> ゼウス

//<7775> 日向markⅡ
<7775> 日向markⅡ

//<7776> 糞虫
<7776> 糞虫

//<7777> 量産型日向
<7777> 量産型日向

//<7778> ？？
<7778> ？？

//<7779> 「ありがと」
<7779> 「ありがと」

//<7780> そこに向かう。すると、坂を登り切った部員たちが息を切らしているところだった。
<7780> そこに向かう。すると、坂を登り切った部員たちが息を切らしているところだった。

//<7781> 陸上部顧問
<7781> 陸上部顧問

//<7782> 「次いけー！」
<7782> 「次いけー！」

//<7783> 顧問と、５０メートルダッシュを開始する部員たちがさらに坂の下に居た。
<7783> 顧問と、５０メートルダッシュを開始する部員たちがさらに坂の下に居た。

//<7784> 音無
<7784> 音無

//<7785> クソ坊主
<7785> クソ坊主

//<7786> 代理人
<7786> 代理人

//<7787> 微妙すぎるイケメン
<7787> 微妙すぎるイケメン

//<7788> ロリコン
<7788> ロリコン

//<7789> メガネ仲間
<7789> メガネ仲間

//<7790> 暗算日本記録保持者
<7790> 暗算日本記録保持者

//<7791> 通り魔
<7791> 通り魔

//<7792> 記憶ナシ男
<7792> 記憶ナシ男

//<7793> 音速
<7793> 音速

//<7794> 無限
<7794> 無限

//<7795> エロ侍
<7795> エロ侍

//<7796> エロエロ団ナンバー１
<7796> エロエロ団ナンバー１

//<7797> ただのエロ少年
<7797> ただのエロ少年

//<7798> ユリブサイク
<7798> ユリブサイク

//<7799> ドピュッシー
<7799> ドピュッシー

//<7800> アメリカンエロドッグ
<7800> アメリカンエロドッグ

//<7801> ゼウス
<7801> ゼウス

//<7802> 日向markⅡ
<7802> 日向markⅡ

//<7803> 糞虫
<7803> 糞虫

//<7804> 量産型日向
<7804> 量産型日向

//<7805> ？？
<7805> ？？

//<7806> （これに加わればいいのかな…）
<7806> （これに加わればいいのかな…）

//<7807> 坂を降り、並んでいる部員たちの後ろについた。俺の番が回ってくる。
<7807> 坂を降り、並んでいる部員たちの後ろについた。俺の番が回ってくる。

//<7808> 陸上部顧問
<7808> 陸上部顧問

//<7809> 「次、いけー！」
<7809> 「次、いけー！」

//<7810> se_baserunning
<7810> se_baserunning

//<7811> 走る。
<7811> 走る。

//<7812> が、筋力、体力、共にないようで、とても部員たちには敵わない。
<7812> が、筋力、体力、共にないようで、とても部員たちには敵わない。

//<7813> しかも一本だけで息が切れ、苦しい…。
<7813> しかも一本だけで息が切れ、苦しい…。

//<7814> 音無
<7814> 音無

//<7815> クソ坊主
<7815> クソ坊主

//<7816> 代理人
<7816> 代理人

//<7817> 微妙すぎるイケメン
<7817> 微妙すぎるイケメン

//<7818> ロリコン
<7818> ロリコン

//<7819> メガネ仲間
<7819> メガネ仲間

//<7820> 暗算日本記録保持者
<7820> 暗算日本記録保持者

//<7821> 通り魔
<7821> 通り魔

//<7822> 記憶ナシ男
<7822> 記憶ナシ男

//<7823> 音速
<7823> 音速

//<7824> 無限
<7824> 無限

//<7825> エロ侍
<7825> エロ侍

//<7826> エロエロ団ナンバー１
<7826> エロエロ団ナンバー１

//<7827> ただのエロ少年
<7827> ただのエロ少年

//<7828> ユリブサイク
<7828> ユリブサイク

//<7829> ドピュッシー
<7829> ドピュッシー

//<7830> アメリカンエロドッグ
<7830> アメリカンエロドッグ

//<7831> ゼウス
<7831> ゼウス

//<7832> 日向markⅡ
<7832> 日向markⅡ

//<7833> 糞虫
<7833> 糞虫

//<7834> 量産型日向
<7834> 量産型日向

//<7835> ？？
<7835> ？？

//<7836> 「なあ、これ何本いくんだ？」
<7836> 「なあ、これ何本いくんだ？」

//<7837> 部員に訊いてみる。
<7837> 部員に訊いてみる。

//<7838> 陸上部部員
<7838> 陸上部部員

//<7839> 「２０本だけど？」
<7839> 「２０本だけど？」

//<7840> 音無
<7840> 音無

//<7841> クソ坊主
<7841> クソ坊主

//<7842> 代理人
<7842> 代理人

//<7843> 微妙すぎるイケメン
<7843> 微妙すぎるイケメン

//<7844> ロリコン
<7844> ロリコン

//<7845> メガネ仲間
<7845> メガネ仲間

//<7846> 暗算日本記録保持者
<7846> 暗算日本記録保持者

//<7847> 通り魔
<7847> 通り魔

//<7848> 記憶ナシ男
<7848> 記憶ナシ男

//<7849> 音速
<7849> 音速

//<7850> 無限
<7850> 無限

//<7851> エロ侍
<7851> エロ侍

//<7852> エロエロ団ナンバー１
<7852> エロエロ団ナンバー１

//<7853> ただのエロ少年
<7853> ただのエロ少年

//<7854> ユリブサイク
<7854> ユリブサイク

//<7855> ドピュッシー
<7855> ドピュッシー

//<7856> アメリカンエロドッグ
<7856> アメリカンエロドッグ

//<7857> ゼウス
<7857> ゼウス

//<7858> 日向markⅡ
<7858> 日向markⅡ

//<7859> 糞虫
<7859> 糞虫

//<7860> 量産型日向
<7860> 量産型日向

//<7861> ？？
<7861> ？？

//<7862> 「２０本！？」
<7862> 「２０本！？」

//<7863> 陸上部部員
<7863> 陸上部部員

//<7864> 「すげーリアクションだな…毎日やってきただろ…」
<7864> 「すげーリアクションだな…毎日やってきただろ…」

//<7865> 音無
<7865> 音無

//<7866> クソ坊主
<7866> クソ坊主

//<7867> 代理人
<7867> 代理人

//<7868> 微妙すぎるイケメン
<7868> 微妙すぎるイケメン

//<7869> ロリコン
<7869> ロリコン

//<7870> メガネ仲間
<7870> メガネ仲間

//<7871> 暗算日本記録保持者
<7871> 暗算日本記録保持者

//<7872> 通り魔
<7872> 通り魔

//<7873> 記憶ナシ男
<7873> 記憶ナシ男

//<7874> 音速
<7874> 音速

//<7875> 無限
<7875> 無限

//<7876> エロ侍
<7876> エロ侍

//<7877> エロエロ団ナンバー１
<7877> エロエロ団ナンバー１

//<7878> ただのエロ少年
<7878> ただのエロ少年

//<7879> ユリブサイク
<7879> ユリブサイク

//<7880> ドピュッシー
<7880> ドピュッシー

//<7881> アメリカンエロドッグ
<7881> アメリカンエロドッグ

//<7882> ゼウス
<7882> ゼウス

//<7883> 日向markⅡ
<7883> 日向markⅡ

//<7884> 糞虫
<7884> 糞虫

//<7885> 量産型日向
<7885> 量産型日向

//<7886> ？？
<7886> ？？

//<7887> （わかってはいたが、やはり俺がずっと居たことになっている…）
<7887> （わかってはいたが、やはり俺がずっと居たことになっている…）

//<7888> その後も、坂道ダッシュを続けるも、１０本を越えた辺りで体力の限界が訪れた。走り終えた後、倒れ、起き上がれない…。
<7888> その後も、坂道ダッシュを続けるも、１０本を越えた辺りで体力の限界が訪れた。走り終えた後、倒れ、起き上がれない…。

//<7889> 陸上部顧問
<7889> 陸上部顧問

//<7890> 「音無ぃー、残り９本だ、がんばれー」
<7890> 「音無ぃー、残り９本だ、がんばれー」

//<7891> 音無
<7891> 音無

//<7892> クソ坊主
<7892> クソ坊主

//<7893> 代理人
<7893> 代理人

//<7894> 微妙すぎるイケメン
<7894> 微妙すぎるイケメン

//<7895> ロリコン
<7895> ロリコン

//<7896> メガネ仲間
<7896> メガネ仲間

//<7897> 暗算日本記録保持者
<7897> 暗算日本記録保持者

//<7898> 通り魔
<7898> 通り魔

//<7899> 記憶ナシ男
<7899> 記憶ナシ男

//<7900> 音速
<7900> 音速

//<7901> 無限
<7901> 無限

//<7902> エロ侍
<7902> エロ侍

//<7903> エロエロ団ナンバー１
<7903> エロエロ団ナンバー１

//<7904> ただのエロ少年
<7904> ただのエロ少年

//<7905> ユリブサイク
<7905> ユリブサイク

//<7906> ドピュッシー
<7906> ドピュッシー

//<7907> アメリカンエロドッグ
<7907> アメリカンエロドッグ

//<7908> ゼウス
<7908> ゼウス

//<7909> 日向markⅡ
<7909> 日向markⅡ

//<7910> 糞虫
<7910> 糞虫

//<7911> 量産型日向
<7911> 量産型日向

//<7912> ？？
<7912> ？？

//<7913> （ぜってー…無理…）
<7913> （ぜってー…無理…）

//<7914> 陸上部部員
<7914> 陸上部部員

//<7915> 「無理そうです！」
<7915> 「無理そうです！」

//<7916> 部員が俺に代わり、そう伝えてくれる。
<7916> 部員が俺に代わり、そう伝えてくれる。

//<7917> 陸上部顧問
<7917> 陸上部顧問

//<7918> 「情けない奴だなー、じゃ、音無は休んでおけー」
<7918> 「情けない奴だなー、じゃ、音無は休んでおけー」

//<7919> そこからは、部員の筋トレを座って眺めているだけ。
<7919> そこからは、部員の筋トレを座って眺めているだけ。

//<7920> どうして俺は陸上部なんて選んでしまったのか…。
<7920> どうして俺は陸上部なんて選んでしまったのか…。

//<7921> 音無
<7921> 音無

//<7922> クソ坊主
<7922> クソ坊主

//<7923> 代理人
<7923> 代理人

//<7924> 微妙すぎるイケメン
<7924> 微妙すぎるイケメン

//<7925> ロリコン
<7925> ロリコン

//<7926> メガネ仲間
<7926> メガネ仲間

//<7927> 暗算日本記録保持者
<7927> 暗算日本記録保持者

//<7928> 通り魔
<7928> 通り魔

//<7929> 記憶ナシ男
<7929> 記憶ナシ男

//<7930> 音速
<7930> 音速

//<7931> 無限
<7931> 無限

//<7932> エロ侍
<7932> エロ侍

//<7933> エロエロ団ナンバー１
<7933> エロエロ団ナンバー１

//<7934> ただのエロ少年
<7934> ただのエロ少年

//<7935> ユリブサイク
<7935> ユリブサイク

//<7936> ドピュッシー
