// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 俺は顔を洗った後、部屋に戻ってくる。まだ日向は寝ている。
<0000> 俺は顔を洗った後、部屋に戻ってくる。まだ日向は寝ている。
<2245> 代理人

//<2246> 微妙すぎるイケメン
<2246> 微妙すぎるイケメン

//<2247> ロリコン
<2247> ロリコン

//<2248> メガネ仲間
<2248> メガネ仲間

//<2249> 暗算日本記録保持者
<2249> 暗算日本記録保持者

//<2250> 通り魔
<2250> 通り魔

//<2251> 記憶ナシ男
<2251> 記憶ナシ男

//<2252> 音速
<2252> 音速

//<2253> 無限
<2253> 無限

//<2254> エロ侍
<2254> エロ侍

//<2255> エロエロ団ナンバー１
<2255> エロエロ団ナンバー１

//<2256> ただのエロ少年
<2256> ただのエロ少年

//<2257> ユリブサイク
<2257> ユリブサイク

//<2258> ドピュッシー
<2258> ドピュッシー

//<2259> アメリカンエロドッグ
<2259> アメリカンエロドッグ

//<2260> ゼウス
<2260> ゼウス

//<2261> 日向markⅡ
<2261> 日向markⅡ

//<2262> 糞虫
<2262> 糞虫

//<2263> 量産型日向
<2263> 量産型日向

//<2264> ？？
<2264> ？？

//<2265> 「え？」
<2265> 「え？」

//<2266> nothing
<2266> nothing

//<2267> nothing
<2267> nothing

//<2268> nothing
<2268> nothing

//<2269> nothing
<2269> nothing

//<2270> nothing
<2270> nothing

//<2271> nothing
<2271> nothing

//<2272> 
<2272> 

//<2273> 
<2273> 

//<2274> nothing
<2274> nothing

//<2275> 関根
<2275> 関根

//<2276> 「根性じゃ、うおらあぁーーー！！」
<2276> 「根性じゃ、うおらあぁーーー！！」

//<2277> none
<2277> none

//<2278> none
<2278> none

//<2279> nothing
<2279> nothing

//<2280> 
<2280> 

//<2281> 
<2281> 

//<2282> nothing
<2282> nothing

//<2283> bs
<2283> bs

//<2284> _
<2284> _

//<2285> none
<2285> none

//<2286> nothing
<2286> nothing

//<2287> nothing
<2287> nothing

//<2288> nothing
<2288> nothing

//<2289> nothing
<2289> nothing

//<2290> nothing
<2290> nothing

//<2291> 振り返ると、レフトの関根が立ち上がり、二塁のひさ子に返球していた。
<2291> 振り返ると、レフトの関根が立ち上がり、二塁のひさ子に返球していた。

//<2292> 音無
<2292> 音無

//<2293> クソ坊主
<2293> クソ坊主

//<2294> 代理人
<2294> 代理人

//<2295> 微妙すぎるイケメン
<2295> 微妙すぎるイケメン

//<2296> ロリコン
<2296> ロリコン

//<2297> メガネ仲間
<2297> メガネ仲間

//<2298> 暗算日本記録保持者
<2298> 暗算日本記録保持者

//<2299> 通り魔
<2299> 通り魔

//<2300> 記憶ナシ男
<2300> 記憶ナシ男

//<2301> 音速
<2301> 音速

//<2302> 無限
<2302> 無限

//<2303> エロ侍
<2303> エロ侍

//<2304> エロエロ団ナンバー１
<2304> エロエロ団ナンバー１

//<2305> ただのエロ少年
<2305> ただのエロ少年

//<2306> ユリブサイク
<2306> ユリブサイク

//<2307> ドピュッシー
<2307> ドピュッシー

//<2308> アメリカンエロドッグ
<2308> アメリカンエロドッグ

//<2309> ゼウス
<2309> ゼウス

//<2310> 日向markⅡ
<2310> 日向markⅡ

//<2311> 糞虫
<2311> 糞虫

//<2312> 量産型日向
<2312> 量産型日向

//<2313> ？？
<2313> ？？

//<2314> （今の当たりを、捕球していたのか…！）
<2314> （今の当たりを、捕球していたのか…！）

//<2315> 関根の体格からは想像もつかない、レーザービームのような返球がセカンドのひさ子へ。
<2315> 関根の体格からは想像もつかない、レーザービームのような返球がセカンドのひさ子へ。

//<2316> none
<2316> none

//<2317> se_catch2
<2317> se_catch2

//<2318> それを受け取り、二塁ベースを踏む。
<2318> それを受け取り、二塁ベースを踏む。

//<2319> 塁審
<2319> 塁審

//<2320> 「アウトッ！」
<2320> 「アウトッ！」

//<2321> nothing
<2321> nothing

//<2322> 
<2322> 

//<2323> 
<2323> 

//<2324> nothing
<2324> nothing

//<2325> 主審
<2325> 主審

//<2326> 「ゲームセット！」
<2326> 「ゲームセット！」

//<2327> 音無
<2327> 音無

//<2328> クソ坊主
<2328> クソ坊主

//<2329> 代理人
<2329> 代理人

//<2330> 微妙すぎるイケメン
<2330> 微妙すぎるイケメン

//<2331> ロリコン
<2331> ロリコン

//<2332> メガネ仲間
<2332> メガネ仲間

//<2333> 暗算日本記録保持者
<2333> 暗算日本記録保持者

//<2334> 通り魔
<2334> 通り魔

//<2335> 記憶ナシ男
<2335> 記憶ナシ男

//<2336> 音速
<2336> 音速

//<2337> 無限
<2337> 無限

//<2338> エロ侍
<2338> エロ侍

//<2339> エロエロ団ナンバー１
<2339> エロエロ団ナンバー１

//<2340> ただのエロ少年
<2340> ただのエロ少年

//<2341> ユリブサイク
<2341> ユリブサイク

//<2342> ドピュッシー
<2342> ドピュッシー

//<2343> アメリカンエロドッグ
<2343> アメリカンエロドッグ

//<2344> ゼウス
<2344> ゼウス

//<2345> 日向markⅡ
<2345> 日向markⅡ

//<2346> 糞虫
<2346> 糞虫

//<2347> 量産型日向
<2347> 量産型日向

//<2348> ？？
<2348> ？？

//<2349> 「勝ったのか…」
<2349> 「勝ったのか…」

//<2350> 何が起こったのかもよく把握できていない。
<2350> 何が起こったのかもよく把握できていない。

//<2351> でも、みんなの嬉しそうな様子を見ると、とにかく勝ったことには違いないようだ。
<2351> でも、みんなの嬉しそうな様子を見ると、とにかく勝ったことには違いないようだ。

//<2352> 俺をずっとリードしてくれていた山倉が、岩沢の前まで走り寄っていた。
<2352> 俺をずっとリードしてくれていた山倉が、岩沢の前まで走り寄っていた。

//<2353> 引っ張った当たりは、軽々レフトの頭上を越えていった。
<2353> 引っ張った当たりは、軽々レフトの頭上を越えていった。

//<2354> しかも、ダブルスチールか、ヒットエンドランがかかっていたようで、これじゃあ送球も間に合わない。
<2354> しかも、ダブルスチールか、ヒットエンドランがかかっていたようで、これじゃあ送球も間に合わない。

//<2355> ふたりのランナーが帰り、同点。
<2355> ふたりのランナーが帰り、同点。

//<2356> ここで抑えることの出来なかった俺には、体力も気力も残されてはいなかった。
<2356> ここで抑えることの出来なかった俺には、体力も気力も残されてはいなかった。

//<2357> そしてそのままサヨナラ負けに…。
<2357> そしてそのままサヨナラ負けに…。

//<2358> 自信はないが、やってみよう…。
<2358> 自信はないが、やってみよう…。

//<2359> プレートから軸足を外し、ファーストの岩沢のグラブ目掛けて牽制球を投げる。
<2359> プレートから軸足を外し、ファーストの岩沢のグラブ目掛けて牽制球を投げる。

//<2360> se_pickoff
<2360> se_pickoff

//<2361> みごとに、ランナーの逆をついた。
<2361> みごとに、ランナーの逆をついた。

//<2362> se_catch2
<2362> se_catch2

//<2363> nothing
<2363> nothing

//<2364> nothing
<2364> nothing

//<2365> nothing
<2365> nothing

//<2366> nothing
<2366> nothing

//<2367> nothing
<2367> nothing

//<2368> ファーストランナーは戻りきれず、岩沢がタッチアウトにする。
<2368> ファーストランナーは戻りきれず、岩沢がタッチアウトにする。

//<2369> nothing
<2369> nothing

//<2370> nothing
<2370> nothing

//<2371> nothing
<2371> nothing

//<2372> nothing
<2372> nothing

//<2373> nothing
<2373> nothing

//<2374> nothing
<2374> nothing

//<2375> しかもそれだけじゃない。
<2375> しかもそれだけじゃない。

//<2376> ダブルスチールがかかっていたのだろう。
<2376> ダブルスチールがかかっていたのだろう。

//<2377> 山倉
<2377> 山倉

//<2378> 「二塁へ！」
<2378> 「二塁へ！」

//<2379> 山倉が叫んでいた。
<2379> 山倉が叫んでいた。

//<2380> 岩沢がセカンドのひさ子に投げる。
<2380> 岩沢がセカンドのひさ子に投げる。

//<2381> se_pickoff
<2381> se_pickoff

//<2382> 飛び出していたセカンドランナーも戻りきれない。
<2382> 飛び出していたセカンドランナーも戻りきれない。

//<2383> se_catch2
<2383> se_catch2

//<2384> タッチアウトになる。
<2384> タッチアウトになる。

//<2385> 塁審
<2385> 塁審

//<2386> 「アウトッ！」
<2386> 「アウトッ！」

//<2387> 音無
<2387> 音無

//<2388> クソ坊主
<2388> クソ坊主

//<2389> 代理人
<2389> 代理人

//<2390> 微妙すぎるイケメン
<2390> 微妙すぎるイケメン

//<2391> ロリコン
<2391> ロリコン

//<2392> メガネ仲間
<2392> メガネ仲間

//<2393> 暗算日本記録保持者
<2393> 暗算日本記録保持者

//<2394> 通り魔
<2394> 通り魔

//<2395> 記憶ナシ男
<2395> 記憶ナシ男

//<2396> 音速
<2396> 音速

//<2397> 無限
<2397> 無限

//<2398> エロ侍
<2398> エロ侍

//<2399> エロエロ団ナンバー１
<2399> エロエロ団ナンバー１

//<2400> ただのエロ少年
<2400> ただのエロ少年

//<2401> ユリブサイク
<2401> ユリブサイク

//<2402> ドピュッシー
<2402> ドピュッシー

//<2403> アメリカンエロドッグ
<2403> アメリカンエロドッグ

//<2404> ゼウス
<2404> ゼウス

//<2405> 日向markⅡ
<2405> 日向markⅡ

//<2406> 糞虫
<2406> 糞虫

//<2407> 量産型日向
<2407> 量産型日向

//<2408> ？？
<2408> ？？

//<2409> （え…勝ったのか…？）
<2409> （え…勝ったのか…？）

//<2410> nothing
<2410> nothing

//<2411> 
<2411> 

//<2412> 
<2412> 

//<2413> nothing
<2413> nothing

//<2414> 主審
<2414> 主審

//<2415> 「ゲームセット！」
<2415> 「ゲームセット！」

//<2416> 音無
<2416> 音無

//<2417> クソ坊主
<2417> クソ坊主

//<2418> 代理人
<2418> 代理人

//<2419> 微妙すぎるイケメン
<2419> 微妙すぎるイケメン

//<2420> ロリコン
<2420> ロリコン

//<2421> メガネ仲間
<2421> メガネ仲間

//<2422> 暗算日本記録保持者
<2422> 暗算日本記録保持者

//<2423> 通り魔
<2423> 通り魔

//<2424> 記憶ナシ男
<2424> 記憶ナシ男

//<2425> 音速
<2425> 音速

//<2426> 無限
<2426> 無限

//<2427> エロ侍
<2427> エロ侍

//<2428> エロエロ団ナンバー１
<2428> エロエロ団ナンバー１

//<2429> ただのエロ少年
<2429> ただのエロ少年

//<2430> ユリブサイク
<2430> ユリブサイク

//<2431> ドピュッシー
<2431> ドピュッシー

//<2432> アメリカンエロドッグ
<2432> アメリカンエロドッグ

//<2433> ゼウス
<2433> ゼウス

//<2434> 日向markⅡ
<2434> 日向markⅡ

//<2435> 糞虫
<2435> 糞虫

//<2436> 量産型日向
<2436> 量産型日向

//<2437> ？？
<2437> ？？

//<2438> （すごい…たった一球の牽制球でピンチから勝利になった…）
<2438> （すごい…たった一球の牽制球でピンチから勝利になった…）

//<2439> その金星となるサインをくれた山倉が、岩沢の前まで走り寄っていた。
<2439> その金星となるサインをくれた山倉が、岩沢の前まで走り寄っていた。

//<2440> 音無
<2440> 音無

//<2441> クソ坊主
<2441> クソ坊主

//<2442> 代理人
<2442> 代理人

//<2443> 微妙すぎるイケメン
<2443> 微妙すぎるイケメン

//<2444> ロリコン
<2444> ロリコン

//<2445> メガネ仲間
<2445> メガネ仲間

//<2446> 暗算日本記録保持者
<2446> 暗算日本記録保持者

//<2447> 通り魔
<2447> 通り魔

//<2448> 記憶ナシ男
<2448> 記憶ナシ男

//<2449> 音速
<2449> 音速

//<2450> 無限
<2450> 無限

//<2451> エロ侍
<2451> エロ侍

//<2452> エロエロ団ナンバー１
<2452> エロエロ団ナンバー１

//<2453> ただのエロ少年
<2453> ただのエロ少年

//<2454> ユリブサイク
<2454> ユリブサイク

//<2455> ドピュッシー
<2455> ドピュッシー

//<2456> アメリカンエロドッグ
<2456> アメリカンエロドッグ

//<2457> ゼウス
<2457> ゼウス

//<2458> 日向markⅡ
<2458> 日向markⅡ

//<2459> 糞虫
<2459> 糞虫

//<2460> 量産型日向
<2460> 量産型日向

//<2461> ？？
<2461> ？？

//<2462> 「反対だ。センターはまだしも、レフト、ライトにヒットを打たれても、女子の肩でホームで刺すことは不可能だ」
<2462> 「反対だ。センターはまだしも、レフト、ライトにヒットを打たれても、女子の肩でホームで刺すことは不可能だ」

//<2463> 山倉
<2463> 山倉

//<2464> 「あれでいて、案外おふたりとも、肩は強いんですが…そうですよね。そのほうが現実的発想です」
<2464> 「あれでいて、案外おふたりとも、肩は強いんですが…そうですよね。そのほうが現実的発想です」

//<2465> 山倉
<2465> 山倉

//<2466> 「わかりました。ランナーを進めないよう、リードします」
<2466> 「わかりました。ランナーを進めないよう、リードします」

//<2467> 音無
<2467> 音無

//<2468> クソ坊主
<2468> クソ坊主

//<2469> 代理人
<2469> 代理人

//<2470> 微妙すぎるイケメン
<2470> 微妙すぎるイケメン

//<2471> ロリコン
<2471> ロリコン

//<2472> メガネ仲間
<2472> メガネ仲間

//<2473> 暗算日本記録保持者
<2473> 暗算日本記録保持者

//<2474> 通り魔
<2474> 通り魔

//<2475> 記憶ナシ男
<2475> 記憶ナシ男

//<2476> 音速
<2476> 音速

//<2477> 無限
<2477> 無限

//<2478> エロ侍
<2478> エロ侍

//<2479> エロエロ団ナンバー１
<2479> エロエロ団ナンバー１

//<2480> ただのエロ少年
<2480> ただのエロ少年

//<2481> ユリブサイク
<2481> ユリブサイク

//<2482> ドピュッシー
<2482> ドピュッシー

//<2483> アメリカンエロドッグ
<2483> アメリカンエロドッグ

//<2484> ゼウス
<2484> ゼウス

//<2485> 日向markⅡ
<2485> 日向markⅡ

//<2486> 糞虫
<2486> 糞虫

//<2487> 量産型日向
<2487> 量産型日向

//<2488> ？？
<2488> ？？

//<2489> 「ああ、頼む」
<2489> 「ああ、頼む」

//<2490> se_pitching1
<2490> se_pitching1

//<2491> 山倉のサイン通りに投げる。
<2491> 山倉のサイン通りに投げる。

//<2492> se_catch
<2492> se_catch

//<2493> ストレートは、ほぼ山倉のキャッチーミットを動かすことなく制球が出来た。
<2493> ストレートは、ほぼ山倉のキャッチーミットを動かすことなく制球が出来た。

//<2494> が、問題はチェンジアップだ。
<2494> が、問題はチェンジアップだ。

//<2495> サイン通り投げてみるが、どれもすっぽ抜けて、ボール球になる。
<2495> サイン通り投げてみるが、どれもすっぽ抜けて、ボール球になる。

//<2496> 心配になったのだろう、山倉がタイムをかけて、マウンドまでやってくる。
<2496> 心配になったのだろう、山倉がタイムをかけて、マウンドまでやってくる。

//<2497> 山倉
<2497> 山倉

//<2498> 「チェンジアップは使い物になりません。ストレートだけで勝負しましょう」
<2498> 「チェンジアップは使い物になりません。ストレートだけで勝負しましょう」

//<2499> 俺はその提案に頷くしかなかった。
<2499> 俺はその提案に頷くしかなかった。

//<2500> 制球力頼みで、初回はなんとか無失点で切り抜ける。
<2500> 制球力頼みで、初回はなんとか無失点で切り抜ける。

//<2501> ２回の俺達の攻撃は、無得点に終わる。
<2501> ２回の俺達の攻撃は、無得点に終わる。

//<2502> その裏、相手の攻撃。
<2502> その裏、相手の攻撃。

//<2503> それはやむことがなかった。
<2503> それはやむことがなかった。

//<2504> 完全にストレート狙い。
<2504> 完全にストレート狙い。

//<2505> 次々と、ヒットが繋がった。
<2505> 次々と、ヒットが繋がった。

//<2506> 簡単に逆転される。
<2506> 簡単に逆転される。

//<2507> ３失点になった時、山倉がタイムを取って、みんながマウンドに集まる。
<2507> ３失点になった時、山倉がタイムを取って、みんながマウンドに集まる。

//<2508> nothing
<2508> nothing

//<2509> nothing
<2509> nothing

//<2510> nothing
<2510> nothing

//<2511> nothing
<2511> nothing

//<2512> ひさ子
<2512> ひさ子

//<2513> 「おいおい、大丈夫かよ…まだノーアウトで、満塁だぜ？」
<2513> 「おいおい、大丈夫かよ…まだノーアウトで、満塁だぜ？」

//<2514> 山倉
<2514> 山倉

//<2515> 「厳しいですね…。ピッチャー代わりますか？」
<2515> 「厳しいですね…。ピッチャー代わりますか？」

//<2516> 代わる
<2516> 代わる

//<2517> 投げ続ける
<2517> 投げ続ける

//<2518> selbtn : 
<2518> selbtn : 

//<2519> 音無
<2519> 音無

//<2520> クソ坊主
<2520> クソ坊主

//<2521> 代理人
<2521> 代理人

//<2522> 微妙すぎるイケメン
<2522> 微妙すぎるイケメン

//<2523> ロリコン
<2523> ロリコン

//<2524> メガネ仲間
<2524> メガネ仲間

//<2525> 暗算日本記録保持者
<2525> 暗算日本記録保持者

//<2526> 通り魔
<2526> 通り魔

//<2527> 記憶ナシ男
<2527> 記憶ナシ男

//<2528> 音速
<2528> 音速

//<2529> 無限
<2529> 無限

//<2530> エロ侍
<2530> エロ侍

//<2531> エロエロ団ナンバー１
<2531> エロエロ団ナンバー１

//<2532> ただのエロ少年
<2532> ただのエロ少年

//<2533> ユリブサイク
<2533> ユリブサイク

//<2534> ドピュッシー
<2534> ドピュッシー

//<2535> アメリカンエロドッグ
<2535> アメリカンエロドッグ

//<2536> ゼウス
<2536> ゼウス

//<2537> 日向markⅡ
<2537> 日向markⅡ

//<2538> 糞虫
<2538> 糞虫

//<2539> 量産型日向
<2539> 量産型日向

//<2540> ？？
<2540> ？？

//<2541> 「ああ、そうしてくれ」
<2541> 「ああ、そうしてくれ」

//<2542> 山倉
<2542> 山倉

//<2543> 「わかりました。では僕が投げます」
<2543> 「わかりました。では僕が投げます」

//<2544> se_hitting_long
<2544> se_hitting_long

//<2545> カーーン！と音が鳴り響き、ボールはセンターを越えていく。
<2545> カーーン！と音が鳴り響き、ボールはセンターを越えていく。

//<2546> 走者一掃の二塁打。
<2546> 走者一掃の二塁打。

//<2547> ４点差がついて、いまだノーアウト。
<2547> ４点差がついて、いまだノーアウト。

//<2548> 俺達にこの状況を引っくり返すような力も気持ちもなく…。
<2548> 俺達にこの状況を引っくり返すような力も気持ちもなく…。

//<2549> nothing
<2549> nothing

//<2550> 
<2550> 

//<2551> 
<2551> 

//<2552> nothing
<2552> nothing

//<2553> 主審
<2553> 主審

//<2554> 「ゲームセット！」
<2554> 「ゲームセット！」

//<2555> …７点差がつき、コールドで負けた。
<2555> …７点差がつき、コールドで負けた。

//<2556> 音無
<2556> 音無

//<2557> クソ坊主
<2557> クソ坊主

//<2558> 代理人
<2558> 代理人

//<2559> 微妙すぎるイケメン
<2559> 微妙すぎるイケメン

//<2560> ロリコン
<2560> ロリコン

//<2561> メガネ仲間
<2561> メガネ仲間

//<2562> 暗算日本記録保持者
<2562> 暗算日本記録保持者

//<2563> 通り魔
<2563> 通り魔

//<2564> 記憶ナシ男
<2564> 記憶ナシ男

//<2565> 音速
<2565> 音速

//<2566> 無限
<2566> 無限

//<2567> エロ侍
<2567> エロ侍

//<2568> エロエロ団ナンバー１
<2568> エロエロ団ナンバー１

//<2569> ただのエロ少年
<2569> ただのエロ少年

//<2570> ユリブサイク
<2570> ユリブサイク

//<2571> ドピュッシー
<2571> ドピュッシー

//<2572> アメリカンエロドッグ
<2572> アメリカンエロドッグ

//<2573> ゼウス
<2573> ゼウス

//<2574> 日向markⅡ
<2574> 日向markⅡ

//<2575> 糞虫
<2575> 糞虫

//<2576> 量産型日向
<2576> 量産型日向

//<2577> ？？
<2577> ？？

//<2578> 「いや、投げ続ける」
<2578> 「いや、投げ続ける」

//<2579> nothing
<2579> nothing

//<2580> nothing
<2580> nothing

//<2581> nothing
<2581> nothing

//<2582> nothing
<2582> nothing

//<2583> nothing
<2583> nothing

//<2584> ひさ子
<2584> ひさ子

//<2585> 「マジかよ…」
<2585> 「マジかよ…」

//<2586> nothing
<2586> nothing

//<2587> nothing
<2587> nothing

//<2588> nothing
<2588> nothing

//<2589> nothing
<2589> nothing

//<2590> nothing
<2590> nothing

//<2591> 岩沢
<2591> 岩沢

//<2592> 「野球経験者に投げさせたほうがいいんじゃないか？」
<2592> 「野球経験者に投げさせたほうがいいんじゃないか？」

//<2593> nothing
<2593> nothing

//<2594> nothing
<2594> nothing

//<2595> nothing
<2595> nothing

//<2596> nothing
<2596> nothing

//<2597> nothing
<2597> nothing

//<2598> 山倉
<2598> 山倉

//<2599> 「でも、僕らより、音無さんのほうがコントロールはいいんです。それは確かです」
<2599> 「でも、僕らより、音無さんのほうがコントロールはいいんです。それは確かです」

//<2600> 山倉
<2600> 山倉

//<2601> 「音無さんが投げると言うのなら、僕は止めません」
<2601> 「音無さんが投げると言うのなら、僕は止めません」

//<2602> nothing
<2602> nothing

//<2603> nothing
<2603> nothing

//<2604> nothing
<2604> nothing

//<2605> nothing
<2605> nothing

//<2606> nothing
<2606> nothing

//<2607> ひさ子
<2607> ひさ子

//<2608> 「じゃあ、お好きにどーぞ」
<2608> 「じゃあ、お好きにどーぞ」

//<2609> nothing
<2609> nothing

//<2610> nothing
<2610> nothing

//<2611> nothing
<2611> nothing

//<2612> nothing
<2612> nothing

//<2613> nothing
<2613> nothing

//<2614> nothing
<2614> nothing

//<2615> 山倉
<2615> 山倉

//<2616> 「理想はホームゲッツーです。満塁なので、封殺、フォースアウトが取れます」
<2616> 「理想はホームゲッツーです。満塁なので、封殺、フォースアウトが取れます」

//<2617> 音無
<2617> 音無

//<2618> クソ坊主
<2618> クソ坊主

//<2619> 代理人
<2619> 代理人

//<2620> 微妙すぎるイケメン
<2620> 微妙すぎるイケメン

//<2621> ロリコン
<2621> ロリコン

//<2622> メガネ仲間
<2622> メガネ仲間

//<2623> 暗算日本記録保持者
<2623> 暗算日本記録保持者

//<2624> 通り魔
<2624> 通り魔

//<2625> 記憶ナシ男
<2625> 記憶ナシ男

//<2626> 音速
<2626> 音速

//<2627> 無限
<2627> 無限

//<2628> エロ侍
<2628> エロ侍

//<2629> エロエロ団ナンバー１
<2629> エロエロ団ナンバー１

//<2630> ただのエロ少年
<2630> ただのエロ少年

//<2631> ユリブサイク
<2631> ユリブサイク

//<2632> ドピュッシー
<2632> ドピュッシー

//<2633> アメリカンエロドッグ
<2633> アメリカンエロドッグ

//<2634> ゼウス
<2634> ゼウス

//<2635> 日向markⅡ
<2635> 日向markⅡ

//<2636> 糞虫
<2636> 糞虫

//<2637> 量産型日向
<2637> 量産型日向

//<2638> ？？
<2638> ？？

//<2639> 「それは、なんだ？」
<2639> 「それは、なんだ？」

//<2640> 山倉
<2640> 山倉

//<2641> 「タッチプレイの必要がないんです。捕球したら、ベースを踏むだけでアウトになります」
<2641> 「タッチプレイの必要がないんです。捕球したら、ベースを踏むだけでアウトになります」

//<2642> 音無
<2642> 音無

//<2643> クソ坊主
<2643> クソ坊主

//<2644> 代理人
<2644> 代理人

//<2645> 微妙すぎるイケメン
<2645> 微妙すぎるイケメン

//<2646> ロリコン
<2646> ロリコン

//<2647> メガネ仲間
<2647> メガネ仲間

//<2648> 暗算日本記録保持者
<2648> 暗算日本記録保持者

//<2649> 通り魔
<2649> 通り魔

//<2650> 記憶ナシ男
<2650> 記憶ナシ男

//<2651> 音速
<2651> 音速

//<2652> 無限
<2652> 無限

//<2653> エロ侍
<2653> エロ侍

//<2654> エロエロ団ナンバー１
<2654> エロエロ団ナンバー１

//<2655> ただのエロ少年
<2655> ただのエロ少年

//<2656> ユリブサイク
<2656> ユリブサイク

//<2657> ドピュッシー
<2657> ドピュッシー

//<2658> アメリカンエロドッグ
<2658> アメリカンエロドッグ

//<2659> ゼウス
<2659> ゼウス

//<2660> 日向markⅡ
<2660> 日向markⅡ

//<2661> 糞虫
<2661> 糞虫

//<2662> 量産型日向
<2662> 量産型日向

//<2663> ？？
<2663> ？？

//<2664> 「お前らはわかるのか？」
<2664> 「お前らはわかるのか？」

//<2665> 俺はガルデモメンバーに訊いた。
<2665> 俺はガルデモメンバーに訊いた。

//<2666> nothing
<2666> nothing

//<2667> nothing
<2667> nothing

//<2668> nothing
<2668> nothing

//<2669> nothing
<2669> nothing

//<2670> ひさ子
<2670> ひさ子

//<2671> 「だからさ、何回、球技大会をやってきたと思ってるんだい」
<2671> 「だからさ、何回、球技大会をやってきたと思ってるんだい」

//<2672> 愚問のようだった。
<2672> 愚問のようだった。

//<2673> 山倉
<2673> 山倉

//<2674> 「では、ホームゲッツー狙いで、皆さんもお願いします」
<2674> 「では、ホームゲッツー狙いで、皆さんもお願いします」

//<2675> nothing
<2675> nothing

//<2676> nothing
<2676> nothing

//<2677> nothing
<2677> nothing

//<2678> nothing
<2678> nothing

//<2679> nothing
<2679> nothing

//<2680> ひさ子
<2680> ひさ子

//<2681> 「ああ」
<2681> 「ああ」

//<2682> nothing
<2682> nothing

//<2683> nothing
<2683> nothing

//<2684> nothing
<2684> nothing

//<2685> nothing
<2685> nothing

//<2686> nothing
<2686> nothing

//<2687> 岩沢
<2687> 岩沢

//<2688> 「わかった」
<2688> 「わかった」

//<2689> 村田
<2689> 村田

//<2690> 「了解」
<2690> 「了解」

//<2691> nothing
<2691> nothing

//<2692> nothing
<2692> nothing

//<2693> nothing
<2693> nothing

//<2694> nothing
<2694> nothing

//<2695> nothing
<2695> nothing

//<2696> nothing
<2696> nothing

//<2697> それぞれのポジションに散っていく。
<2697> それぞれのポジションに散っていく。

//<2698> しかし、ここに来て、対するは４番打者だ…。
<2698> しかし、ここに来て、対するは４番打者だ…。

//<2699> 体格が良く、バットの真芯でボールを捕らえれば、どこまででも飛んでいきそうな威圧感のある相手。
<2699> 体格が良く、バットの真芯でボールを捕らえれば、どこまででも飛んでいきそうな威圧感のある相手。

//<2700> 音無
<2700> 音無

//<2701> クソ坊主
<2701> クソ坊主

//<2702> 代理人
<2702> 代理人

//<2703> 微妙すぎるイケメン
<2703> 微妙すぎるイケメン

//<2704> ロリコン
<2704> ロリコン

//<2705> メガネ仲間
<2705> メガネ仲間

//<2706> 暗算日本記録保持者
<2706> 暗算日本記録保持者

//<2707> 通り魔
<2707> 通り魔

//<2708> 記憶ナシ男
<2708> 記憶ナシ男

//<2709> 音速
<2709> 音速

//<2710> 無限
<2710> 無限

//<2711> エロ侍
<2711> エロ侍

//<2712> エロエロ団ナンバー１
<2712> エロエロ団ナンバー１

//<2713> ただのエロ少年
<2713> ただのエロ少年

//<2714> ユリブサイク
<2714> ユリブサイク

//<2715> ドピュッシー
<2715> ドピュッシー

//<2716> アメリカンエロドッグ
<2716> アメリカンエロドッグ

//<2717> ゼウス
<2717> ゼウス

//<2718> 日向markⅡ
<2718> 日向markⅡ

//<2719> 糞虫
<2719> 糞虫

//<2720> 量産型日向
<2720> 量産型日向

//<2721> ？？
<2721> ？？

//<2722> （さっきもヒットを打たれた…）
<2722> （さっきもヒットを打たれた…）

//<2723> 音無
<2723> 音無

//<2724> クソ坊主
<2724> クソ坊主

//<2725> 代理人
<2725> 代理人

//<2726> 微妙すぎるイケメン
<2726> 微妙すぎるイケメン

//<2727> ロリコン
<2727> ロリコン

//<2728> メガネ仲間
<2728> メガネ仲間

//<2729> 暗算日本記録保持者
<2729> 暗算日本記録保持者

//<2730> 通り魔
<2730> 通り魔

//<2731> 記憶ナシ男
<2731> 記憶ナシ男

//<2732> 音速
<2732> 音速

//<2733> 無限
<2733> 無限

//<2734> エロ侍
<2734> エロ侍

//<2735> エロエロ団ナンバー１
<2735> エロエロ団ナンバー１

//<2736> ただのエロ少年
<2736> ただのエロ少年

//<2737> ユリブサイク
