// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 日向
<3490> 微妙すぎるイケメン

//<3491> ロリコン
<3491> ロリコン

//<3492> メガネ仲間
<3492> メガネ仲間

//<3493> 暗算日本記録保持者
<3493> 暗算日本記録保持者

//<3494> 通り魔
<3494> 通り魔

//<3495> 記憶ナシ男
<3495> 記憶ナシ男

//<3496> 音速
<3496> 音速

//<3497> 無限
<3497> 無限

//<3498> エロ侍
<3498> エロ侍

//<3499> エロエロ団ナンバー１
<3499> エロエロ団ナンバー１

//<3500> ただのエロ少年
<3500> ただのエロ少年

//<3501> ユリブサイク
<3501> ユリブサイク

//<3502> ドピュッシー
<3502> ドピュッシー

//<3503> アメリカンエロドッグ
<3503> アメリカンエロドッグ

//<3504> ゼウス
<3504> ゼウス

//<3505> 日向markⅡ
<3505> 日向markⅡ

//<3506> 糞虫
<3506> 糞虫

//<3507> 量産型日向
<3507> 量産型日向

//<3508> ？？
<3508> ？？

//<3509> 「俺たちはどうひたらいい？」
<3509> 「俺たちはどうひたらいい？」

//<3510> 音無
<3510> 音無

//<3511> クソ坊主
<3511> クソ坊主

//<3512> 代理人
<3512> 代理人

//<3513> 微妙すぎるイケメン
<3513> 微妙すぎるイケメン

//<3514> ロリコン
<3514> ロリコン

//<3515> メガネ仲間
<3515> メガネ仲間

//<3516> 暗算日本記録保持者
<3516> 暗算日本記録保持者

//<3517> 通り魔
<3517> 通り魔

//<3518> 記憶ナシ男
<3518> 記憶ナシ男

//<3519> 音速
<3519> 音速

//<3520> 無限
<3520> 無限

//<3521> エロ侍
<3521> エロ侍

//<3522> エロエロ団ナンバー１
<3522> エロエロ団ナンバー１

//<3523> ただのエロ少年
<3523> ただのエロ少年

//<3524> ユリブサイク
<3524> ユリブサイク

//<3525> ドピュッシー
<3525> ドピュッシー

//<3526> アメリカンエロドッグ
<3526> アメリカンエロドッグ

//<3527> ゼウス
<3527> ゼウス

//<3528> 日向markⅡ
<3528> 日向markⅡ

//<3529> 糞虫
<3529> 糞虫

//<3530> 量産型日向
<3530> 量産型日向

//<3531> ？？
<3531> ？？

//<3532> 「俺たちはどうしたらいい？」
<3532> 「俺たちはどうしたらいい？」

//<3533> nothing
<3533> nothing

//<3534> nothing
<3534> nothing

//<3535> nothing
<3535> nothing

//<3536> nothing
<3536> nothing

//<3537> nothing
<3537> nothing

//<3538> 日向
<3538> 日向

//<3539> 男Ｂ
<3539> 男Ｂ

//<3540> エロエロ団総帥
<3540> エロエロ団総帥

//<3541> イケチン
<3541> イケチン

//<3542> ホモ太
<3542> ホモ太

//<3543> ひなチン
<3543> ひなチン

//<3544> 秀樹
<3544> 秀樹

//<3545> 男子生徒
<3545> 男子生徒

//<3546> ？？
<3546> ？？

//<3547> 「このままでいい！　とにかく椎名にボールを集めろ！」
<3547> 「このままでいい！　とにかく椎名にボールを集めろ！」

//<3548> 音無
<3548> 音無

//<3549> クソ坊主
<3549> クソ坊主

//<3550> 代理人
<3550> 代理人

//<3551> 微妙すぎるイケメン
<3551> 微妙すぎるイケメン

//<3552> ロリコン
<3552> ロリコン

//<3553> メガネ仲間
<3553> メガネ仲間

//<3554> 暗算日本記録保持者
<3554> 暗算日本記録保持者

//<3555> 通り魔
<3555> 通り魔

//<3556> 記憶ナシ男
<3556> 記憶ナシ男

//<3557> 音速
<3557> 音速

//<3558> 無限
<3558> 無限

//<3559> エロ侍
<3559> エロ侍

//<3560> エロエロ団ナンバー１
<3560> エロエロ団ナンバー１

//<3561> ただのエロ少年
<3561> ただのエロ少年

//<3562> ユリブサイク
<3562> ユリブサイク

//<3563> ドピュッシー
<3563> ドピュッシー

//<3564> アメリカンエロドッグ
<3564> アメリカンエロドッグ

//<3565> ゼウス
<3565> ゼウス

//<3566> 日向markⅡ
<3566> 日向markⅡ

//<3567> 糞虫
<3567> 糞虫

//<3568> 量産型日向
<3568> 量産型日向

//<3569> ？？
<3569> ？？

//<3570> 「わはった！」
<3570> 「わはった！」

//<3571> 音無
<3571> 音無

//<3572> クソ坊主
<3572> クソ坊主

//<3573> 代理人
<3573> 代理人

//<3574> 微妙すぎるイケメン
<3574> 微妙すぎるイケメン

//<3575> ロリコン
<3575> ロリコン

//<3576> メガネ仲間
<3576> メガネ仲間

//<3577> 暗算日本記録保持者
<3577> 暗算日本記録保持者

//<3578> 通り魔
<3578> 通り魔

//<3579> 記憶ナシ男
<3579> 記憶ナシ男

//<3580> 音速
<3580> 音速

//<3581> 無限
<3581> 無限

//<3582> エロ侍
<3582> エロ侍

//<3583> エロエロ団ナンバー１
<3583> エロエロ団ナンバー１

//<3584> ただのエロ少年
<3584> ただのエロ少年

//<3585> ユリブサイク
<3585> ユリブサイク

//<3586> ドピュッシー
<3586> ドピュッシー

//<3587> アメリカンエロドッグ
<3587> アメリカンエロドッグ

//<3588> ゼウス
<3588> ゼウス

//<3589> 日向markⅡ
<3589> 日向markⅡ

//<3590> 糞虫
<3590> 糞虫

//<3591> 量産型日向
<3591> 量産型日向

//<3592> ？？
<3592> ？？

//<3593> 「わかった！」
<3593> 「わかった！」

//<3594> nothing
<3594> nothing

//<3595> nothing
<3595> nothing

//<3596> nothing
<3596> nothing

//<3597> nothing
<3597> nothing

//<3598> nothing
<3598> nothing

//<3599> nothing
<3599> nothing

//<3600> リスタートする。
<3600> リスタートする。

//<3601> se_ballcatch
<3601> se_ballcatch

//<3602> nothing
<3602> nothing

//<3603> nothing
<3603> nothing

//<3604> nothing
<3604> nothing

//<3605> nothing
<3605> nothing

//<3606> nothing
<3606> nothing

//<3607> 野田
<3607> 野田

//<3608> 男Ｆ
<3608> 男Ｆ

//<3609> イケパイ
<3609> イケパイ

//<3610> 男
<3610> 男

//<3611> ？？
<3611> ？？

//<3612> 「任せろ！」
<3612> 「任せろ！」

//<3613> パスをもらった野田は、そのままボールを抱いて、ゴールに向かう。まるでフットボールだ。
<3613> パスをもらった野田は、そのままボールを抱いて、ゴールに向かう。まるでフットボールだ。

//<3614> nothing
<3614> nothing

//<3615> nothing
<3615> nothing

//<3616> nothing
<3616> nothing

//<3617> nothing
<3617> nothing

//<3618> nothing
<3618> nothing

//<3619> nothing
<3619> nothing

//<3620> se_whistle
<3620> se_whistle

//<3621> 笛が鳴る。
<3621> 笛が鳴る。

//<3622> 審判
<3622> 審判

//<3623> 「トラベリーング！」
<3623> 「トラベリーング！」

//<3624> 当然、ファウルを食らう。
<3624> 当然、ファウルを食らう。

//<3625> nothing
<3625> nothing

//<3626> nothing
<3626> nothing

//<3627> nothing
<3627> nothing

//<3628> nothing
<3628> nothing

//<3629> nothing
<3629> nothing

//<3630> 野田
<3630> 野田

//<3631> 男Ｆ
<3631> 男Ｆ

//<3632> イケパイ
<3632> イケパイ

//<3633> 男
<3633> 男

//<3634> ？？
<3634> ？？

//<3635> 「え？　なんだ？　よくなかったのか？」
<3635> 「え？　なんだ？　よくなかったのか？」

//<3636> 音無
<3636> 音無

//<3637> クソ坊主
<3637> クソ坊主

//<3638> 代理人
<3638> 代理人

//<3639> 微妙すぎるイケメン
<3639> 微妙すぎるイケメン

//<3640> ロリコン
<3640> ロリコン

//<3641> メガネ仲間
<3641> メガネ仲間

//<3642> 暗算日本記録保持者
<3642> 暗算日本記録保持者

//<3643> 通り魔
<3643> 通り魔

//<3644> 記憶ナシ男
<3644> 記憶ナシ男

//<3645> 音速
<3645> 音速

//<3646> 無限
<3646> 無限

//<3647> エロ侍
<3647> エロ侍

//<3648> エロエロ団ナンバー１
<3648> エロエロ団ナンバー１

//<3649> ただのエロ少年
<3649> ただのエロ少年

//<3650> ユリブサイク
<3650> ユリブサイク

//<3651> ドピュッシー
<3651> ドピュッシー

//<3652> アメリカンエロドッグ
<3652> アメリカンエロドッグ

//<3653> ゼウス
<3653> ゼウス

//<3654> 日向markⅡ
<3654> 日向markⅡ

//<3655> 糞虫
<3655> 糞虫

//<3656> 量産型日向
<3656> 量産型日向

//<3657> ？？
<3657> ？？

//<3658> 「ああ、ほりふるをひなはらひゃはいほ、いほうひひゃはへはんは」
<3658> 「ああ、ほりふるをひなはらひゃはいほ、いほうひひゃはへはんは」

//<3659> くそ、やっぱりまともに喋れない…！
<3659> くそ、やっぱりまともに喋れない…！

//<3660> nothing
<3660> nothing

//<3661> nothing
<3661> nothing

//<3662> nothing
<3662> nothing

//<3663> nothing
<3663> nothing

//<3664> nothing
<3664> nothing

//<3665> 野田
<3665> 野田

//<3666> 男Ｆ
<3666> 男Ｆ

//<3667> イケパイ
<3667> イケパイ

//<3668> 男
<3668> 男

//<3669> ？？
<3669> ？？

//<3670> 「………」
<3670> 「………」

//<3671> 音無
<3671> 音無

//<3672> クソ坊主
<3672> クソ坊主

//<3673> 代理人
<3673> 代理人

//<3674> 微妙すぎるイケメン
<3674> 微妙すぎるイケメン

//<3675> ロリコン
<3675> ロリコン

//<3676> メガネ仲間
<3676> メガネ仲間

//<3677> 暗算日本記録保持者
<3677> 暗算日本記録保持者

//<3678> 通り魔
<3678> 通り魔

//<3679> 記憶ナシ男
<3679> 記憶ナシ男

//<3680> 音速
<3680> 音速

//<3681> 無限
<3681> 無限

//<3682> エロ侍
<3682> エロ侍

//<3683> エロエロ団ナンバー１
<3683> エロエロ団ナンバー１

//<3684> ただのエロ少年
<3684> ただのエロ少年

//<3685> ユリブサイク
<3685> ユリブサイク

//<3686> ドピュッシー
<3686> ドピュッシー

//<3687> アメリカンエロドッグ
<3687> アメリカンエロドッグ

//<3688> ゼウス
<3688> ゼウス

//<3689> 日向markⅡ
<3689> 日向markⅡ

//<3690> 糞虫
<3690> 糞虫

//<3691> 量産型日向
<3691> 量産型日向

//<3692> ？？
<3692> ？？

//<3693> 「ほにかく、ひいなかひなはにほーふを渡へ。後はあいふらはほうにかひてくれる」
<3693> 「ほにかく、ひいなかひなはにほーふを渡へ。後はあいふらはほうにかひてくれる」

//<3694> 身振り手振りで伝える。
<3694> 身振り手振りで伝える。

//<3695> これでどうにかわかってくれれば…！
<3695> これでどうにかわかってくれれば…！

//<3696> 日向
<3696> 日向

//<3697> 男Ｂ
<3697> 男Ｂ

//<3698> エロエロ団総帥
<3698> エロエロ団総帥

//<3699> イケチン
<3699> イケチン

//<3700> ホモ太
<3700> ホモ太

//<3701> ひなチン
<3701> ひなチン

//<3702> 秀樹
<3702> 秀樹

//<3703> 男子生徒
<3703> 男子生徒

//<3704> ？？
<3704> ？？

//<3705> 「ああ、ファールだ。ドリブルできないのなら、味方チームの誰かに渡せ」
<3705> 「ああ、ファールだ。ドリブルできないのなら、味方チームの誰かに渡せ」

//<3706> nothing
<3706> nothing

//<3707> nothing
<3707> nothing

//<3708> nothing
<3708> nothing

//<3709> nothing
<3709> nothing

//<3710> nothing
<3710> nothing

//<3711> 野田
<3711> 野田

//<3712> 男Ｆ
<3712> 男Ｆ

//<3713> イケパイ
<3713> イケパイ

//<3714> 男
<3714> 男

//<3715> ？？
<3715> ？？

//<3716> 「あ、ああ…」
<3716> 「あ、ああ…」

//<3717> 音無
<3717> 音無

//<3718> クソ坊主
<3718> クソ坊主

//<3719> 代理人
<3719> 代理人

//<3720> 微妙すぎるイケメン
<3720> 微妙すぎるイケメン

//<3721> ロリコン
<3721> ロリコン

//<3722> メガネ仲間
<3722> メガネ仲間

//<3723> 暗算日本記録保持者
<3723> 暗算日本記録保持者

//<3724> 通り魔
<3724> 通り魔

//<3725> 記憶ナシ男
<3725> 記憶ナシ男

//<3726> 音速
<3726> 音速

//<3727> 無限
<3727> 無限

//<3728> エロ侍
<3728> エロ侍

//<3729> エロエロ団ナンバー１
<3729> エロエロ団ナンバー１

//<3730> ただのエロ少年
<3730> ただのエロ少年

//<3731> ユリブサイク
<3731> ユリブサイク

//<3732> ドピュッシー
<3732> ドピュッシー

//<3733> アメリカンエロドッグ
<3733> アメリカンエロドッグ

//<3734> ゼウス
<3734> ゼウス

//<3735> 日向markⅡ
<3735> 日向markⅡ

//<3736> 糞虫
<3736> 糞虫

//<3737> 量産型日向
<3737> 量産型日向

//<3738> ？？
<3738> ？？

//<3739> 「はいひょうふ、のはならひっほへひふ！」
<3739> 「はいひょうふ、のはならひっほへひふ！」

//<3740> nothing
<3740> nothing

//<3741> nothing
<3741> nothing

//<3742> nothing
<3742> nothing

//<3743> nothing
<3743> nothing

//<3744> nothing
<3744> nothing

//<3745> 野田
<3745> 野田

//<3746> 男Ｆ
<3746> 男Ｆ

//<3747> イケパイ
<3747> イケパイ

//<3748> 男
<3748> 男

//<3749> ？？
<3749> ？？

//<3750> 「おうっ！」
<3750> 「おうっ！」

//<3751> よし、伝わったっぽいぞ！
<3751> よし、伝わったっぽいぞ！

//<3752> nothing
<3752> nothing

//<3753> nothing
<3753> nothing

//<3754> nothing
<3754> nothing

//<3755> nothing
<3755> nothing

//<3756> nothing
<3756> nothing

//<3757> nothing
<3757> nothing

//<3758> 音無
<3758> 音無

//<3759> クソ坊主
<3759> クソ坊主

//<3760> 代理人
<3760> 代理人

//<3761> 微妙すぎるイケメン
<3761> 微妙すぎるイケメン

//<3762> ロリコン
<3762> ロリコン

//<3763> メガネ仲間
<3763> メガネ仲間

//<3764> 暗算日本記録保持者
<3764> 暗算日本記録保持者

//<3765> 通り魔
<3765> 通り魔

//<3766> 記憶ナシ男
<3766> 記憶ナシ男

//<3767> 音速
<3767> 音速

//<3768> 無限
<3768> 無限

//<3769> エロ侍
<3769> エロ侍

//<3770> エロエロ団ナンバー１
<3770> エロエロ団ナンバー１

//<3771> ただのエロ少年
<3771> ただのエロ少年

//<3772> ユリブサイク
<3772> ユリブサイク

//<3773> ドピュッシー
<3773> ドピュッシー

//<3774> アメリカンエロドッグ
<3774> アメリカンエロドッグ

//<3775> ゼウス
<3775> ゼウス

//<3776> 日向markⅡ
<3776> 日向markⅡ

//<3777> 糞虫
<3777> 糞虫

//<3778> 量産型日向
<3778> 量産型日向

//<3779> ？？
<3779> ？？

//<3780> 「ああ、ドリブルをしながらじゃないと、移動しちゃ駄目なんだ」
<3780> 「ああ、ドリブルをしながらじゃないと、移動しちゃ駄目なんだ」

//<3781> nothing
<3781> nothing

//<3782> nothing
<3782> nothing

//<3783> nothing
<3783> nothing

//<3784> nothing
<3784> nothing

//<3785> nothing
<3785> nothing

//<3786> 野田
<3786> 野田

//<3787> 男Ｆ
<3787> 男Ｆ

//<3788> イケパイ
<3788> イケパイ

//<3789> 男
<3789> 男

//<3790> ？？
<3790> ？？

//<3791> 「そのドリブルとやらがよくわからないんだが…」
<3791> 「そのドリブルとやらがよくわからないんだが…」

//<3792> 音無
<3792> 音無

//<3793> クソ坊主
<3793> クソ坊主

//<3794> 代理人
<3794> 代理人

//<3795> 微妙すぎるイケメン
<3795> 微妙すぎるイケメン

//<3796> ロリコン
<3796> ロリコン

//<3797> メガネ仲間
<3797> メガネ仲間

//<3798> 暗算日本記録保持者
<3798> 暗算日本記録保持者

//<3799> 通り魔
<3799> 通り魔

//<3800> 記憶ナシ男
<3800> 記憶ナシ男

//<3801> 音速
<3801> 音速

//<3802> 無限
<3802> 無限

//<3803> エロ侍
<3803> エロ侍

//<3804> エロエロ団ナンバー１
<3804> エロエロ団ナンバー１

//<3805> ただのエロ少年
<3805> ただのエロ少年

//<3806> ユリブサイク
<3806> ユリブサイク

//<3807> ドピュッシー
<3807> ドピュッシー

//<3808> アメリカンエロドッグ
<3808> アメリカンエロドッグ

//<3809> ゼウス
<3809> ゼウス

//<3810> 日向markⅡ
<3810> 日向markⅡ

//<3811> 糞虫
<3811> 糞虫

//<3812> 量産型日向
<3812> 量産型日向

//<3813> ？？
<3813> ？？

//<3814> 「だったら、移動せず、すぐ味方に投げて渡せ。お前の筋力なら、速いパスを送れるだろう？」
<3814> 「だったら、移動せず、すぐ味方に投げて渡せ。お前の筋力なら、速いパスを送れるだろう？」

//<3815> 音無
<3815> 音無

//<3816> クソ坊主
<3816> クソ坊主

//<3817> 代理人
<3817> 代理人

//<3818> 微妙すぎるイケメン
<3818> 微妙すぎるイケメン

//<3819> ロリコン
<3819> ロリコン

//<3820> メガネ仲間
<3820> メガネ仲間

//<3821> 暗算日本記録保持者
<3821> 暗算日本記録保持者

//<3822> 通り魔
<3822> 通り魔

//<3823> 記憶ナシ男
<3823> 記憶ナシ男

//<3824> 音速
<3824> 音速

//<3825> 無限
<3825> 無限

//<3826> エロ侍
<3826> エロ侍

//<3827> エロエロ団ナンバー１
<3827> エロエロ団ナンバー１

//<3828> ただのエロ少年
<3828> ただのエロ少年

//<3829> ユリブサイク
<3829> ユリブサイク

//<3830> ドピュッシー
<3830> ドピュッシー

//<3831> アメリカンエロドッグ
<3831> アメリカンエロドッグ

//<3832> ゼウス
<3832> ゼウス

//<3833> 日向markⅡ
<3833> 日向markⅡ

//<3834> 糞虫
<3834> 糞虫

//<3835> 量産型日向
<3835> 量産型日向

//<3836> ？？
<3836> ？？

//<3837> 「運動神経のいい椎名か日向であればちゃんと受け取ってくれるさ。もちろん俺も、お前のパスを受けられるように動くから」
<3837> 「運動神経のいい椎名か日向であればちゃんと受け取ってくれるさ。もちろん俺も、お前のパスを受けられるように動くから」

//<3838> nothing
<3838> nothing

//<3839> nothing
<3839> nothing

//<3840> nothing
<3840> nothing

//<3841> nothing
<3841> nothing

//<3842> nothing
<3842> nothing

//<3843> 野田
<3843> 野田

//<3844> 男Ｆ
<3844> 男Ｆ

//<3845> イケパイ
<3845> イケパイ

//<3846> 男
<3846> 男

//<3847> ？？
<3847> ？？

//<3848> 「………」
<3848> 「………」

//<3849> また不思議そうな目で見られる。
<3849> また不思議そうな目で見られる。

//<3850> 音無
<3850> 音無

//<3851> クソ坊主
<3851> クソ坊主

//<3852> 代理人
<3852> 代理人

//<3853> 微妙すぎるイケメン
<3853> 微妙すぎるイケメン

//<3854> ロリコン
<3854> ロリコン

//<3855> メガネ仲間
<3855> メガネ仲間

//<3856> 暗算日本記録保持者
<3856> 暗算日本記録保持者

//<3857> 通り魔
<3857> 通り魔

//<3858> 記憶ナシ男
<3858> 記憶ナシ男

//<3859> 音速
<3859> 音速

//<3860> 無限
<3860> 無限

//<3861> エロ侍
<3861> エロ侍

//<3862> エロエロ団ナンバー１
<3862> エロエロ団ナンバー１

//<3863> ただのエロ少年
<3863> ただのエロ少年

//<3864> ユリブサイク
<3864> ユリブサイク

//<3865> ドピュッシー
<3865> ドピュッシー

//<3866> アメリカンエロドッグ
<3866> アメリカンエロドッグ

//<3867> ゼウス
<3867> ゼウス

//<3868> 日向markⅡ
<3868> 日向markⅡ

//<3869> 糞虫
<3869> 糞虫

//<3870> 量産型日向
<3870> 量産型日向

//<3871> ？？
<3871> ？？

//<3872> 「どうした？」
<3872> 「どうした？」

//<3873> nothing
<3873> nothing

//<3874> nothing
<3874> nothing

//<3875> nothing
<3875> nothing

//<3876> nothing
<3876> nothing

//<3877> nothing
<3877> nothing

//<3878> 野田
<3878> 野田

//<3879> 男Ｆ
<3879> 男Ｆ

//<3880> イケパイ
<3880> イケパイ

//<3881> 男
<3881> 男

//<3882> ？？
<3882> ？？

//<3883> 「あ、いや、わかった…」
<3883> 「あ、いや、わかった…」

//<3884> 音無
<3884> 音無

//<3885> クソ坊主
<3885> クソ坊主

//<3886> 代理人
<3886> 代理人

//<3887> 微妙すぎるイケメン
<3887> 微妙すぎるイケメン

//<3888> ロリコン
<3888> ロリコン

//<3889> メガネ仲間
<3889> メガネ仲間

//<3890> 暗算日本記録保持者
<3890> 暗算日本記録保持者

//<3891> 通り魔
<3891> 通り魔

//<3892> 記憶ナシ男
<3892> 記憶ナシ男

//<3893> 音速
<3893> 音速

//<3894> 無限
<3894> 無限

//<3895> エロ侍
<3895> エロ侍

//<3896> エロエロ団ナンバー１
<3896> エロエロ団ナンバー１

//<3897> ただのエロ少年
<3897> ただのエロ少年

//<3898> ユリブサイク
<3898> ユリブサイク

//<3899> ドピュッシー
<3899> ドピュッシー

//<3900> アメリカンエロドッグ
<3900> アメリカンエロドッグ

//<3901> ゼウス
<3901> ゼウス

//<3902> 日向markⅡ
<3902> 日向markⅡ

//<3903> 糞虫
<3903> 糞虫

//<3904> 量産型日向
<3904> 量産型日向

//<3905> ？？
<3905> ？？

//<3906> 「さあ、ごほごほっ、反撃開始だっ…」
<3906> 「さあ、ごほごほっ、反撃開始だっ…」

//<3907> nothing
<3907> nothing

//<3908> nothing
<3908> nothing

//<3909> nothing
<3909> nothing

//<3910> nothing
<3910> nothing

//<3911> nothing
<3911> nothing

//<3912> 野田
<3912> 野田

//<3913> 男Ｆ
<3913> 男Ｆ

//<3914> イケパイ
<3914> イケパイ

//<3915> 男
<3915> 男

//<3916> ？？
<3916> ？？

//<3917> 「おい、お前、風邪を引いてるのか…？」
<3917> 「おい、お前、風邪を引いてるのか…？」

//<3918> 音無
<3918> 音無

//<3919> クソ坊主
<3919> クソ坊主

//<3920> 代理人
<3920> 代理人

//<3921> 微妙すぎるイケメン
<3921> 微妙すぎるイケメン

//<3922> ロリコン
<3922> ロリコン

//<3923> メガネ仲間
<3923> メガネ仲間

//<3924> 暗算日本記録保持者
<3924> 暗算日本記録保持者

//<3925> 通り魔
<3925> 通り魔

//<3926> 記憶ナシ男
<3926> 記憶ナシ男

//<3927> 音速
<3927> 音速

//<3928> 無限
<3928> 無限

//<3929> エロ侍
<3929> エロ侍

//<3930> エロエロ団ナンバー１
<3930> エロエロ団ナンバー１

//<3931> ただのエロ少年
<3931> ただのエロ少年

//<3932> ユリブサイク
<3932> ユリブサイク

//<3933> ドピュッシー
<3933> ドピュッシー

//<3934> アメリカンエロドッグ
<3934> アメリカンエロドッグ

//<3935> ゼウス
<3935> ゼウス

//<3936> 日向markⅡ
<3936> 日向markⅡ

//<3937> 糞虫
<3937> 糞虫

//<3938> 量産型日向
<3938> 量産型日向

//<3939> ？？
<3939> ？？

//<3940> 「いや、気管支に痰が入っただけだ。大丈夫！」
<3940> 「いや、気管支に痰が入っただけだ。大丈夫！」

//<3941> nothing
<3941> nothing

//<3942> nothing
<3942> nothing

//<3943> nothing
<3943> nothing

//<3944> nothing
<3944> nothing

//<3945> nothing
<3945> nothing

//<3946> 野田
<3946> 野田

//<3947> 男Ｆ
<3947> 男Ｆ

//<3948> イケパイ
<3948> イケパイ

//<3949> 男
<3949> 男

//<3950> ？？
<3950> ？？

//<3951> 「なら、いいんだが…」
<3951> 「なら、いいんだが…」

//<3952> nothing
<3952> nothing

//<3953> nothing
<3953> nothing

//<3954> nothing
<3954> nothing

//<3955> nothing
<3955> nothing

//<3956> nothing
<3956> nothing

//<3957> nothing
<3957> nothing

//<3958> nothing
<3958> nothing

//<3959> nothing
<3959> nothing

//<3960> nothing
<3960> nothing

//<3961> nothing
<3961> nothing

//<3962> nothing
<3962> nothing

//<3963> nothing
<3963> nothing

//<3964> 音無
<3964> 音無

//<3965> クソ坊主
<3965> クソ坊主

//<3966> 代理人
<3966> 代理人

//<3967> 微妙すぎるイケメン
<3967> 微妙すぎるイケメン

//<3968> ロリコン
<3968> ロリコン

//<3969> メガネ仲間
<3969> メガネ仲間

//<3970> 暗算日本記録保持者
<3970> 暗算日本記録保持者

//<3971> 通り魔
<3971> 通り魔

//<3972> 記憶ナシ男
<3972> 記憶ナシ男

//<3973> 音速
<3973> 音速

//<3974> 無限
<3974> 無限

//<3975> エロ侍
<3975> エロ侍

//<3976> エロエロ団ナンバー１
<3976> エロエロ団ナンバー１

//<3977> ただのエロ少年
<3977> ただのエロ少年

//<3978> ユリブサイク
<3978> ユリブサイク

//<3979> ドピュッシー
<3979> ドピュッシー

//<3980> アメリカンエロドッグ
<3980> アメリカンエロドッグ

//<3981> ゼウス
<3981> ゼウス

//<3982> 日向markⅡ
<3982> 日向markⅡ

//<3983> 糞虫
<3983> 糞虫

//<3984> 量産型日向
<3984> 量産型日向

//<3985> ？？
<3985> ？？

//<3986> 「さあ、反撃開始だ！」
<3986> 「さあ、反撃開始だ！」

//<3987> 野田の元から離れた。
<3987> 野田の元から離れた。

//<3988> 日向
<3988> 日向

//<3989> 男Ｂ
<3989> 男Ｂ

//<3990> エロエロ団総帥
<3990> エロエロ団総帥

//<3991> イケチン
<3991> イケチン

//<3992> ホモ太
<3992> ホモ太

//<3993> ひなチン
<3993> ひなチン

//<3994> 秀樹
<3994> 秀樹

//<3995> 男子生徒
<3995> 男子生徒

//<3996> ？？
<3996> ？？

//<3997> 「ああ、ファールだ。ドリブルできないのなら、味方チームの誰かに渡せ」
<3997> 「ああ、ファールだ。ドリブルできないのなら、味方チームの誰かに渡せ」

//<3998> nothing
<3998> nothing

//<3999> nothing
<3999> nothing

//<4000> nothing
<4000> nothing

//<4001> nothing
<4001> nothing

//<4002> nothing
<4002> nothing

//<4003> 野田
<4003> 野田

//<4004> 男Ｆ
<4004> 男Ｆ

//<4005> イケパイ
<4005> イケパイ

//<4006> 男
<4006> 男

//<4007> ？？
<4007> ？？

//<4008> 「よくわからないが、それで音無に勝てるのか！？」
<4008> 「よくわからないが、それで音無に勝てるのか！？」

//<4009> nothing
<4009> nothing

//<4010> nothing
<4010> nothing

//<4011> nothing
<4011> nothing

//<4012> nothing
<4012> nothing

//<4013> nothing
<4013> nothing

//<4014> 日向
<4014> 日向

//<4015> 男Ｂ
<4015> 男Ｂ

//<4016> エロエロ団総帥
<4016> エロエロ団総帥

//<4017> イケチン
<4017> イケチン

//<4018> ホモ太
<4018> ホモ太

//<4019> ひなチン
<4019> ひなチン

//<4020> 秀樹
<4020> 秀樹

//<4021> 男子生徒
<4021> 男子生徒

//<4022> ？？
<4022> ？？

//<4023> 「ああ、さっき音無が成功させたから、次はお前が頑張れ！」
<4023> 「ああ、さっき音無が成功させたから、次はお前が頑張れ！」

//<4024> nothing
<4024> nothing

//<4025> nothing
<4025> nothing

//<4026> nothing
<4026> nothing

//<4027> nothing
<4027> nothing

//<4028> nothing
<4028> nothing

//<4029> 日向
<4029> 日向

//<4030> 男Ｂ
<4030> 男Ｂ

//<4031> エロエロ団総帥
<4031> エロエロ団総帥

//<4032> イケチン
<4032> イケチン

//<4033> ホモ太
<4033> ホモ太

//<4034> ひなチン
<4034> ひなチン

//<4035> 秀樹
<4035> 秀樹

//<4036> 男子生徒
<4036> 男子生徒

//<4037> ？？
<4037> ？？

//<4038> 「ああ、さっきエロ侍が成功させたから、次はお前が頑張れ！」
<4038> 「ああ、さっきエロ侍が成功させたから、次はお前が頑張れ！」

//<4039> nothing
<4039> nothing

//<4040> nothing
<4040> nothing

//<4041> nothing
<4041> nothing

//<4042> nothing
<4042> nothing

//<4043> nothing
<4043> nothing

//<4044> 日向
<4044> 日向

//<4045> 男Ｂ
<4045> 男Ｂ

