// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> se_knock
<0000> se_knock
//<1087> 暗算日本記録保持者
<1087> 暗算日本記録保持者

//<1088> 通り魔
<1088> 通り魔

//<1089> 記憶ナシ男
<1089> 記憶ナシ男

//<1090> 音速
<1090> 音速

//<1091> 無限
<1091> 無限

//<1092> エロ侍
<1092> エロ侍

//<1093> エロエロ団ナンバー１
<1093> エロエロ団ナンバー１

//<1094> ただのエロ少年
<1094> ただのエロ少年

//<1095> ユリブサイク
<1095> ユリブサイク

//<1096> ドピュッシー
<1096> ドピュッシー

//<1097> アメリカンエロドッグ
<1097> アメリカンエロドッグ

//<1098> ゼウス
<1098> ゼウス

//<1099> 日向markⅡ
<1099> 日向markⅡ

//<1100> 糞虫
<1100> 糞虫

//<1101> 量産型日向
<1101> 量産型日向

//<1102> ？？
<1102> ？？

//<1103> 「いやいや、女性であんなむさ苦しい連中を束ねてるなんて、すでにすげーと思うよ」
<1103> 「いやいや、女性であんなむさ苦しい連中を束ねてるなんて、すでにすげーと思うよ」

//<1104> nothing
<1104> nothing

//<1105> nothing
<1105> nothing

//<1106> nothing
<1106> nothing

//<1107> nothing
<1107> nothing

//<1108> nothing
<1108> nothing

//<1109> ゆり
<1109> ゆり

//<1110> 女生徒
<1110> 女生徒

//<1111> ？？
<1111> ？？

//<1112> 「…まあ、褒め言葉として受け取っておくわ」
<1112> 「…まあ、褒め言葉として受け取っておくわ」

//<1113> nothing
<1113> nothing

//<1114> nothing
<1114> nothing

//<1115> nothing
<1115> nothing

//<1116> nothing
<1116> nothing

//<1117> nothing
<1117> nothing

//<1118> ゆり
<1118> ゆり

//<1119> 女生徒
<1119> 女生徒

//<1120> ？？
<1120> ？？

//<1121> 「用はそれだけ？」
<1121> 「用はそれだけ？」

//<1122> 音無
<1122> 音無

//<1123> クソ坊主
<1123> クソ坊主

//<1124> 代理人
<1124> 代理人

//<1125> 微妙すぎるイケメン
<1125> 微妙すぎるイケメン

//<1126> ロリコン
<1126> ロリコン

//<1127> メガネ仲間
<1127> メガネ仲間

//<1128> 暗算日本記録保持者
<1128> 暗算日本記録保持者

//<1129> 通り魔
<1129> 通り魔

//<1130> 記憶ナシ男
<1130> 記憶ナシ男

//<1131> 音速
<1131> 音速

//<1132> 無限
<1132> 無限

//<1133> エロ侍
<1133> エロ侍

//<1134> エロエロ団ナンバー１
<1134> エロエロ団ナンバー１

//<1135> ただのエロ少年
<1135> ただのエロ少年

//<1136> ユリブサイク
<1136> ユリブサイク

//<1137> ドピュッシー
<1137> ドピュッシー

//<1138> アメリカンエロドッグ
<1138> アメリカンエロドッグ

//<1139> ゼウス
<1139> ゼウス

//<1140> 日向markⅡ
<1140> 日向markⅡ

//<1141> 糞虫
<1141> 糞虫

//<1142> 量産型日向
<1142> 量産型日向

//<1143> ？？
<1143> ？？

//<1144> 「ああ」
<1144> 「ああ」

//<1145> nothing
<1145> nothing

//<1146> nothing
<1146> nothing

//<1147> nothing
<1147> nothing

//<1148> nothing
<1148> nothing

//<1149> nothing
<1149> nothing

//<1150> ゆり
<1150> ゆり

//<1151> 女生徒
<1151> 女生徒

//<1152> ？？
<1152> ？？

//<1153> 「じゃあ、あなたはまだまだ新米なんだから、幹部のみんなに追いつくぐらい、体力作りと銃の練習に努めなさい」
<1153> 「じゃあ、あなたはまだまだ新米なんだから、幹部のみんなに追いつくぐらい、体力作りと銃の練習に努めなさい」

//<1154> 音無
<1154> 音無

//<1155> クソ坊主
<1155> クソ坊主

//<1156> 代理人
<1156> 代理人

//<1157> 微妙すぎるイケメン
<1157> 微妙すぎるイケメン

//<1158> ロリコン
<1158> ロリコン

//<1159> メガネ仲間
<1159> メガネ仲間

//<1160> 暗算日本記録保持者
<1160> 暗算日本記録保持者

//<1161> 通り魔
<1161> 通り魔

//<1162> 記憶ナシ男
<1162> 記憶ナシ男

//<1163> 音速
<1163> 音速

//<1164> 無限
<1164> 無限

//<1165> エロ侍
<1165> エロ侍

//<1166> エロエロ団ナンバー１
<1166> エロエロ団ナンバー１

//<1167> ただのエロ少年
<1167> ただのエロ少年

//<1168> ユリブサイク
<1168> ユリブサイク

//<1169> ドピュッシー
<1169> ドピュッシー

//<1170> アメリカンエロドッグ
<1170> アメリカンエロドッグ

//<1171> ゼウス
<1171> ゼウス

//<1172> 日向markⅡ
<1172> 日向markⅡ

//<1173> 糞虫
<1173> 糞虫

//<1174> 量産型日向
<1174> 量産型日向

//<1175> ？？
<1175> ？？

//<1176> 「だな…」
<1176> 「だな…」

//<1177> 音無
<1177> 音無

//<1178> クソ坊主
<1178> クソ坊主

//<1179> 代理人
<1179> 代理人

//<1180> 微妙すぎるイケメン
<1180> 微妙すぎるイケメン

//<1181> ロリコン
<1181> ロリコン

//<1182> メガネ仲間
<1182> メガネ仲間

//<1183> 暗算日本記録保持者
<1183> 暗算日本記録保持者

//<1184> 通り魔
<1184> 通り魔

//<1185> 記憶ナシ男
<1185> 記憶ナシ男

//<1186> 音速
<1186> 音速

//<1187> 無限
<1187> 無限

//<1188> エロ侍
<1188> エロ侍

//<1189> エロエロ団ナンバー１
<1189> エロエロ団ナンバー１

//<1190> ただのエロ少年
<1190> ただのエロ少年

//<1191> ユリブサイク
<1191> ユリブサイク

//<1192> ドピュッシー
<1192> ドピュッシー

//<1193> アメリカンエロドッグ
<1193> アメリカンエロドッグ

//<1194> ゼウス
<1194> ゼウス

//<1195> 日向markⅡ
<1195> 日向markⅡ

//<1196> 糞虫
<1196> 糞虫

//<1197> 量産型日向
<1197> 量産型日向

//<1198> ？？
<1198> ？？

//<1199> 「よくわからない…」
<1199> 「よくわからない…」

//<1200> nothing
<1200> nothing

//<1201> nothing
<1201> nothing

//<1202> nothing
<1202> nothing

//<1203> nothing
<1203> nothing

//<1204> nothing
<1204> nothing

//<1205> ゆり
<1205> ゆり

//<1206> 女生徒
<1206> 女生徒

//<1207> ？？
<1207> ？？

//<1208> 「それでよくこんな無駄な時間を過ごせるものね」
<1208> 「それでよくこんな無駄な時間を過ごせるものね」

//<1209> 言い返す言葉もない。
<1209> 言い返す言葉もない。

//<1210> nothing
<1210> nothing

//<1211> nothing
<1211> nothing

//<1212> nothing
<1212> nothing

//<1213> nothing
<1213> nothing

//<1214> nothing
<1214> nothing

//<1215> ゆり
<1215> ゆり

//<1216> 女生徒
<1216> 女生徒

//<1217> ？？
<1217> ？？

//<1218> 「幹部のみんなに追いつくぐらい、体力作りと銃の練習に努めなさい」
<1218> 「幹部のみんなに追いつくぐらい、体力作りと銃の練習に努めなさい」

//<1219> 音無
<1219> 音無

//<1220> クソ坊主
<1220> クソ坊主

//<1221> 代理人
<1221> 代理人

//<1222> 微妙すぎるイケメン
<1222> 微妙すぎるイケメン

//<1223> ロリコン
<1223> ロリコン

//<1224> メガネ仲間
<1224> メガネ仲間

//<1225> 暗算日本記録保持者
<1225> 暗算日本記録保持者

//<1226> 通り魔
<1226> 通り魔

//<1227> 記憶ナシ男
<1227> 記憶ナシ男

//<1228> 音速
<1228> 音速

//<1229> 無限
<1229> 無限

//<1230> エロ侍
<1230> エロ侍

//<1231> エロエロ団ナンバー１
<1231> エロエロ団ナンバー１

//<1232> ただのエロ少年
<1232> ただのエロ少年

//<1233> ユリブサイク
<1233> ユリブサイク

//<1234> ドピュッシー
<1234> ドピュッシー

//<1235> アメリカンエロドッグ
<1235> アメリカンエロドッグ

//<1236> ゼウス
<1236> ゼウス

//<1237> 日向markⅡ
<1237> 日向markⅡ

//<1238> 糞虫
<1238> 糞虫

//<1239> 量産型日向
<1239> 量産型日向

//<1240> ？？
<1240> ？？

//<1241> 「だな…」
<1241> 「だな…」

//<1242> 音無
<1242> 音無

//<1243> クソ坊主
<1243> クソ坊主

//<1244> 代理人
<1244> 代理人

//<1245> 微妙すぎるイケメン
<1245> 微妙すぎるイケメン

//<1246> ロリコン
<1246> ロリコン

//<1247> メガネ仲間
<1247> メガネ仲間

//<1248> 暗算日本記録保持者
<1248> 暗算日本記録保持者

//<1249> 通り魔
<1249> 通り魔

//<1250> 記憶ナシ男
<1250> 記憶ナシ男

//<1251> 音速
<1251> 音速

//<1252> 無限
<1252> 無限

//<1253> エロ侍
<1253> エロ侍

//<1254> エロエロ団ナンバー１
<1254> エロエロ団ナンバー１

//<1255> ただのエロ少年
<1255> ただのエロ少年

//<1256> ユリブサイク
<1256> ユリブサイク

//<1257> ドピュッシー
<1257> ドピュッシー

//<1258> アメリカンエロドッグ
<1258> アメリカンエロドッグ

//<1259> ゼウス
<1259> ゼウス

//<1260> 日向markⅡ
<1260> 日向markⅡ

//<1261> 糞虫
<1261> 糞虫

//<1262> 量産型日向
<1262> 量産型日向

//<1263> ？？
<1263> ？？

//<1264> 「戦線のリーダーだから」
<1264> 「戦線のリーダーだから」

//<1265> nothing
<1265> nothing

//<1266> nothing
<1266> nothing

//<1267> nothing
<1267> nothing

//<1268> nothing
<1268> nothing

//<1269> nothing
<1269> nothing

//<1270> ゆり
<1270> ゆり

//<1271> 女生徒
<1271> 女生徒

//<1272> ？？
<1272> ？？

//<1273> 「じゃあ、何か訊きたいことでも？」
<1273> 「じゃあ、何か訊きたいことでも？」

//<1274> dummy
<1274> dummy

//<1275> bg_kuro
<1275> bg_kuro

//<1276> ep01_bg043
<1276> ep01_bg043

//<1277> hn0403
<1277> hn0403

//<1278> ep01_bg057
<1278> ep01_bg057

//<1279> yr0401_09
<1279> yr0401_09

//<1280> yr0101_06
<1280> yr0101_06

//<1281> sys_bk_selline00
<1281> sys_bk_selline00

//<1282> yr0107
<1282> yr0107

//<1283> yr0112_05
<1283> yr0112_05

//<1284> hn0207
<1284> hn0207

//<1285> yr0609
<1285> yr0609

//<1286> hn0309_07
<1286> hn0309_07

//<1287> yr0608
<1287> yr0608

//<1288> hn0109
<1288> hn0109

//<1289> bg_kuro
<1289> bg_kuro

//<1290> yr0101
<1290> yr0101

//<1291> sys_bk_selline00
<1291> sys_bk_selline00

//<1292> yr0101
<1292> yr0101

//<1293> sys_bk_selline00
<1293> sys_bk_selline00

//<1294> yr0101_06
<1294> yr0101_06

//<1295> sys_bk_selline00
<1295> sys_bk_selline00

//<1296> yr0107
<1296> yr0107

//<1297> sys_bk_selline00
<1297> sys_bk_selline00

//<1298> hn0106
<1298> hn0106

//<1299> hn0306
<1299> hn0306

//<1300> hn0108
<1300> hn0108

//<1301> yr0610_03
<1301> yr0610_03

//<1302> hn0107_05
<1302> hn0107_05

//<1303> hn0209_07
<1303> hn0209_07

//<1304> bs3_yr0105
<1304> bs3_yr0105

//<1305> bs2_yr030300a0
<1305> bs2_yr030300a0

//<1306> hn0407
<1306> hn0407

//<1307> yr0205
<1307> yr0205

//<1308> hn0209_07
<1308> hn0209_07

//<1309> yr0210
<1309> yr0210

//<1310> hn0306
<1310> hn0306

//<1311> hn0101
<1311> hn0101

//<1312> yr0506
<1312> yr0506

//<1313> yr0507
<1313> yr0507

//<1314> sys_bk_selline00
<1314> sys_bk_selline00

//<1315> yr0609
<1315> yr0609

//<1316> yr0410
<1316> yr0410

//<1317> bs3_yr0107_0500a0
<1317> bs3_yr0107_0500a0

//<1318> yr0107
<1318> yr0107

//<1319> bs2_yr011000a0
<1319> bs2_yr011000a0

//<1320> yr0508_09
<1320> yr0508_09

//<1321> bg_kuro
<1321> bg_kuro

//<1322> yr0609
<1322> yr0609

//<1323> yr0608_09
<1323> yr0608_09

//<1324> yr0109_06
<1324> yr0109_06

//<1325> yr0109
<1325> yr0109

//<1326> yr0207
<1326> yr0207

//<1327> yr0209
<1327> yr0209

//<1328> yr0209
<1328> yr0209

//<1329> bg_kuro
<1329> bg_kuro

