// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 天使
<1089> bg_kuro

//<1090> ep88_bg008
<1090> ep88_bg008

//<1091> ep88_bg007
<1091> ep88_bg007

//<1092> bg_kuro
<1092> bg_kuro

//<1093> ep10_bg014
<1093> ep10_bg014

//<1094> kn0901
<1094> kn0901

//<1095> kn0901_05
<1095> kn0901_05

//<1096> kn0901
<1096> kn0901

//<1097> sys_bk_selline00
<1097> sys_bk_selline00

//<1098> bg_kuro
<1098> bg_kuro

//<1099> ep04_bg021
<1099> ep04_bg021

//<1100> ep07_bg029
<1100> ep07_bg029

//<1101> ep10_bg001
<1101> ep10_bg001

//<1102> bg_kuro
<1102> bg_kuro

//<1103> ep03_bg018
<1103> ep03_bg018

//<1104> m114
<1104> m114

//<1105> sys_bk_selline00
<1105> sys_bk_selline00

//<1106> kn0902_01
<1106> kn0902_01

//<1107> m204
<1107> m204

//<1108> kn0901
<1108> kn0901

//<1109> kn0106
<1109> kn0106

//<1110> bg_kuro
<1110> bg_kuro

//<1111> m114
<1111> m114

//<1112> kn1101_05
<1112> kn1101_05

//<1113> kn1101
<1113> kn1101

//<1114> kn1201
<1114> kn1201

//<1115> m114
<1115> m114

//<1116> kn0909
<1116> kn0909

//<1117> kn1101_05
<1117> kn1101_05

//<1118> kn1101
<1118> kn1101

//<1119> kn1201
<1119> kn1201

//<1120> m114
<1120> m114

//<1121> kn1101_05
<1121> kn1101_05

//<1122> kn1101
<1122> kn1101

//<1123> kn1201
<1123> kn1201

//<1124> m114
<1124> m114

//<1125> kn0301
<1125> kn0301

//<1126> kn0301_08
<1126> kn0301_08

//<1127> kn0301
<1127> kn0301

//<1128> kn1201
<1128> kn1201

//<1129> kn999900r4
<1129> kn999900r4

//<1130> kn0902_05
<1130> kn0902_05

//<1131> kn0901
<1131> kn0901

//<1132> bs3_kn120100l4
<1132> bs3_kn120100l4

//<1133> kn0902_05
<1133> kn0902_05

//<1134> sys_bk_selline00
<1134> sys_bk_selline00

//<1135> kn0902_01
<1135> kn0902_01

//<1136> m207
<1136> m207

//<1137> kn0901_05
<1137> kn0901_05

//<1138> kn0909
<1138> kn0909

//<1139> kn0901
<1139> kn0901

//<1140> kn0902_01
<1140> kn0902_01

//<1141> bg_kuro
<1141> bg_kuro

//<1142> bg_kuro
<1142> bg_kuro

//<1143> bs3_kn120100l4
<1143> bs3_kn120100l4

//<1144> bs3_kn0301
<1144> bs3_kn0301

//<1145> bs3_kn0301_08
<1145> bs3_kn0301_08

//<1146> bg_kuro
<1146> bg_kuro

//<1147> bs3_kn120100l4
<1147> bs3_kn120100l4

//<1148> bs3_kn1201_05
<1148> bs3_kn1201_05

//<1149> bg_kuro
<1149> bg_kuro

//<1150> kn1201
<1150> kn1201

//<1151> kn0102
<1151> kn0102

//<1152> bg_kuro
<1152> bg_kuro

//<1153> kn1201
<1153> kn1201

//<1154> sys_bk_selline00
<1154> sys_bk_selline00

//<1155> kn0106
<1155> kn0106

//<1156> kn0106
<1156> kn0106

//<1157> bg_kuro
<1157> bg_kuro

