// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 白
<1028> nothing

//<1029> 
<1029> 

//<1030> 
<1030> 

//<1031> nothing
<1031> nothing

//<1032> bs
<1032> bs

//<1033> _
<1033> _

//<1034> nothing
<1034> nothing

//<1035> nothing
<1035> nothing

//<1036> nothing
<1036> nothing

//<1037> nothing
<1037> nothing

//<1038> nothing
<1038> nothing

//<1039> ユイは深呼吸をしてから、ギターを力強くかき鳴らす。
<1039> ユイは深呼吸をしてから、ギターを力強くかき鳴らす。

//<1040> nothing
<1040> nothing

//<1041> nothing
<1041> nothing

//<1042> nothing
<1042> nothing

//<1043> nothing
<1043> nothing

//<1044> nothing
<1044> nothing

//<1045> ユイ
<1045> ユイ

//<1046> 「
<1046> 「

//<1047> Alchemy
<1047> Alchemy

//<1048> ！　作詞・作曲、岩沢雅美！　唄、あたし！」
<1048> ！　作詞・作曲、岩沢雅美！　唄、あたし！」

//<1049> se_yui_Alchemy_Gt
<1049> se_yui_Alchemy_Gt

//<1050> ユイは俺のリクエストに応えて、ガルデモの歌を歌ってくれた。
<1050> ユイは俺のリクエストに応えて、ガルデモの歌を歌ってくれた。

//<1051> 涙を目の端に溜めて。
<1051> 涙を目の端に溜めて。

//<1052> でも、こぼさないように上を向いて、歌い続ける。
<1052> でも、こぼさないように上を向いて、歌い続ける。

//<1053> まるで居なくなってしまった岩沢に届けるような、そんな歌だった。
<1053> まるで居なくなってしまった岩沢に届けるような、そんな歌だった。

//<1054> dummy
<1054> dummy

//<1055> ep04_bg047
<1055> ep04_bg047

//<1056> bg_siro
<1056> bg_siro
{0233} 0a // 1056

//<1057> ep99_bg011
<1057> ep99_bg011

//<1058> yi0703
<1058> yi0703

//<1059> yi0611_03
<1059> yi0611_03

//<1060> bg_siro
<1060> bg_siro

//<1061> bg_siro
<1061> bg_siro
{0f3c} 0a // 1061

//<1062> ep99_bg011
<1062> ep99_bg011

//<1063> yi0113
<1063> yi0113

//<1064> bg_siro
<1064> bg_siro

//<1065> bg_siro
<1065> bg_siro

//<1066> m107
<1066> m107
{177a} 0a // 1066

//<1067> evyi_0104
<1067> evyi_0104

//<1068> evyi_0104
<1068> evyi_0104

//<1069> evyi_0101
<1069> evyi_0101

//<1070> evyi_0104
<1070> evyi_0104

//<1071> ep99_bg011
<1071> ep99_bg011

//<1072> bs3_yi0105
<1072> bs3_yi0105

//<1073> bs3_yi0105
<1073> bs3_yi0105

//<1074> bs3_yi0105
<1074> bs3_yi0105

//<1075> bs3_yi0105
<1075> bs3_yi0105

//<1076> bs3_yi0105
<1076> bs3_yi0105

//<1077> bs3_yi0105
<1077> bs3_yi0105

//<1078> yi0115
<1078> yi0115

//<1079> yi0115_12
<1079> yi0115_12

//<1080> yi0105
<1080> yi0105

//<1081> yi0112
<1081> yi0112

//<1082> yi0105_11
<1082> yi0105_11

//<1083> yi0112
<1083> yi0112

//<1084> yi0115_12
<1084> yi0115_12

//<1085> yi0114_01
<1085> yi0114_01

//<1086> yi0101_08
<1086> yi0101_08

//<1087> yi0114
<1087> yi0114

//<1088> yi0112
<1088> yi0112

//<1089> yi0105_12
<1089> yi0105_12

//<1090> yi0101_08
<1090> yi0101_08

//<1091> yi0105
<1091> yi0105

//<1092> yi0115
<1092> yi0115

//<1093> yi0114_11
<1093> yi0114_11

//<1094> yi010300a0
<1094> yi010300a0

//<1095> yi0109_02
<1095> yi0109_02

//<1096> yi0109_02
<1096> yi0109_02

//<1097> yi0114_03
<1097> yi0114_03

//<1098> ep04_bg047
<1098> ep04_bg047

//<1099> yi0115_12
<1099> yi0115_12

//<1100> yi0115_12
<1100> yi0115_12

//<1101> yi0102
<1101> yi0102

//<1102> yi0103
<1102> yi0103

//<1103> ep04_bg047
<1103> ep04_bg047

//<1104> yi0114_03
<1104> yi0114_03

//<1105> evyi_0101
<1105> evyi_0101

//<1106> evyi_0104
<1106> evyi_0104

//<1107> ep99_bg011
<1107> ep99_bg011

//<1108> bs3_yi0105_01
<1108> bs3_yi0105_01

//<1109> bs3_yi0105_01
<1109> bs3_yi0105_01

//<1110> bs3_yi0105_01
<1110> bs3_yi0105_01

//<1111> bs3_yi0105_01
<1111> bs3_yi0105_01

//<1112> bs3_yi0105_01
<1112> bs3_yi0105_01

//<1113> bs3_yi0105_01
<1113> bs3_yi0105_01

//<1114> yi0103
<1114> yi0103

//<1115> yi0112_05
<1115> yi0112_05

//<1116> yi0112
<1116> yi0112

//<1117> yi0115
<1117> yi0115

//<1118> yi0114_11
<1118> yi0114_11

//<1119> yi0111
<1119> yi0111

//<1120> yi0111
<1120> yi0111

//<1121> yi0102_03
<1121> yi0102_03

//<1122> ep04_bg047
<1122> ep04_bg047

//<1123> bg_siro
<1123> bg_siro

