// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> いつもの訓練場所、川の岸にまでやってくる。
<0000> いつもの訓練場所、川の岸にまでやってくる。
//<1123> nothing
<1123> nothing

//<1124> nothing
<1124> nothing

//<1125> 野田
<1125> 野田

//<1126> 男Ｆ
<1126> 男Ｆ

//<1127> イケパイ
<1127> イケパイ

//<1128> 男
<1128> 男

//<1129> ？？
<1129> ？？

//<1130> 「音無よ、俺は、お前という存在が許せなかった」
<1130> 「音無よ、俺は、お前という存在が許せなかった」

//<1131> nothing
<1131> nothing

//<1132> nothing
<1132> nothing

//<1133> nothing
<1133> nothing

//<1134> nothing
<1134> nothing

//<1135> nothing
<1135> nothing

//<1136> 野田
<1136> 野田

//<1137> 男Ｆ
<1137> 男Ｆ

//<1138> イケパイ
<1138> イケパイ

//<1139> 男
<1139> 男

//<1140> ？？
<1140> ？？

//<1141> 「いきなり幹部入りして、ゆりっぺに近づいて…」
<1141> 「いきなり幹部入りして、ゆりっぺに近づいて…」

//<1142> nothing
<1142> nothing

//<1143> nothing
<1143> nothing

//<1144> nothing
<1144> nothing

//<1145> nothing
<1145> nothing

//<1146> nothing
<1146> nothing

//<1147> 野田
<1147> 野田

//<1148> 男Ｆ
<1148> 男Ｆ

//<1149> イケパイ
<1149> イケパイ

//<1150> 男
<1150> 男

//<1151> ？？
<1151> ？？

//<1152> 「そんなの反則だろう！って、とにかく第一印象は最悪だった…」
<1152> 「そんなの反則だろう！って、とにかく第一印象は最悪だった…」

//<1153> 音無
<1153> 音無

//<1154> クソ坊主
<1154> クソ坊主

//<1155> 代理人
<1155> 代理人

//<1156> 微妙すぎるイケメン
<1156> 微妙すぎるイケメン

//<1157> ロリコン
<1157> ロリコン

//<1158> メガネ仲間
<1158> メガネ仲間

//<1159> 暗算日本記録保持者
<1159> 暗算日本記録保持者

//<1160> 通り魔
<1160> 通り魔

//<1161> 記憶ナシ男
<1161> 記憶ナシ男

//<1162> 音速
<1162> 音速

//<1163> 無限
<1163> 無限

//<1164> エロ侍
<1164> エロ侍

//<1165> エロエロ団ナンバー１
<1165> エロエロ団ナンバー１

//<1166> ただのエロ少年
<1166> ただのエロ少年

//<1167> ユリブサイク
<1167> ユリブサイク

//<1168> ドピュッシー
<1168> ドピュッシー

//<1169> アメリカンエロドッグ
<1169> アメリカンエロドッグ

//<1170> ゼウス
<1170> ゼウス

//<1171> 日向markⅡ
<1171> 日向markⅡ

//<1172> 糞虫
<1172> 糞虫

//<1173> 量産型日向
<1173> 量産型日向

//<1174> ？？
<1174> ？？

//<1175> 「今は違うのか？」
<1175> 「今は違うのか？」

//<1176> nothing
<1176> nothing

//<1177> nothing
<1177> nothing

//<1178> nothing
<1178> nothing

//<1179> nothing
<1179> nothing

//<1180> nothing
<1180> nothing

//<1181> 野田
<1181> 野田

//<1182> 男Ｆ
<1182> 男Ｆ

//<1183> イケパイ
<1183> イケパイ

//<1184> 男
<1184> 男

//<1185> ？？
<1185> ？？

//<1186> 「ああ…違う…」
<1186> 「ああ…違う…」

//<1187> nothing
<1187> nothing

//<1188> nothing
<1188> nothing

//<1189> nothing
<1189> nothing

//<1190> nothing
<1190> nothing

//<1191> nothing
<1191> nothing

//<1192> 野田
<1192> 野田

//<1193> 男Ｆ
<1193> 男Ｆ

//<1194> イケパイ
<1194> イケパイ

//<1195> 男
<1195> 男

//<1196> ？？
<1196> ？？

//<1197> 「俺はいつだって…自分のことしか考えてなかった…」
<1197> 「俺はいつだって…自分のことしか考えてなかった…」

//<1198> nothing
<1198> nothing

//<1199> nothing
<1199> nothing

//<1200> nothing
<1200> nothing

//<1201> nothing
<1201> nothing

//<1202> nothing
<1202> nothing

//<1203> 野田
<1203> 野田

//<1204> 男Ｆ
<1204> 男Ｆ

//<1205> イケパイ
<1205> イケパイ

//<1206> 男
<1206> 男

//<1207> ？？
<1207> ？？

//<1208> 「身勝手で、周りを見ることができない人間なんだ…」
<1208> 「身勝手で、周りを見ることができない人間なんだ…」

//<1209> nothing
<1209> nothing

//<1210> nothing
<1210> nothing

//<1211> nothing
<1211> nothing

//<1212> nothing
<1212> nothing

//<1213> nothing
<1213> nothing

//<1214> 野田
<1214> 野田

//<1215> 男Ｆ
<1215> 男Ｆ

//<1216> イケパイ
<1216> イケパイ

//<1217> 男
<1217> 男

//<1218> ？？
<1218> ？？

//<1219> 「だから、もちろん友達なんて出来やしない…」
<1219> 「だから、もちろん友達なんて出来やしない…」

//<1220> nothing
<1220> nothing

//<1221> nothing
<1221> nothing

//<1222> nothing
<1222> nothing

//<1223> nothing
<1223> nothing

//<1224> nothing
<1224> nothing

//<1225> 野田
<1225> 野田

//<1226> 男Ｆ
<1226> 男Ｆ

//<1227> イケパイ
<1227> イケパイ

//<1228> 男
<1228> 男

//<1229> ？？
<1229> ？？

//<1230> 「かつてお前が言った通りだ…」
<1230> 「かつてお前が言った通りだ…」

//<1231> 竹山が天使エリア侵入作戦に登用された時のことか…。
<1231> 竹山が天使エリア侵入作戦に登用された時のことか…。

//<1232> 音無
<1232> 音無

//<1233> クソ坊主
<1233> クソ坊主

//<1234> 代理人
<1234> 代理人

//<1235> 微妙すぎるイケメン
<1235> 微妙すぎるイケメン

//<1236> ロリコン
<1236> ロリコン

//<1237> メガネ仲間
<1237> メガネ仲間

//<1238> 暗算日本記録保持者
<1238> 暗算日本記録保持者

//<1239> 通り魔
<1239> 通り魔

//<1240> 記憶ナシ男
<1240> 記憶ナシ男

//<1241> 音速
<1241> 音速

//<1242> 無限
<1242> 無限

//<1243> エロ侍
<1243> エロ侍

//<1244> エロエロ団ナンバー１
<1244> エロエロ団ナンバー１

//<1245> ただのエロ少年
<1245> ただのエロ少年

//<1246> ユリブサイク
<1246> ユリブサイク

//<1247> ドピュッシー
<1247> ドピュッシー

//<1248> アメリカンエロドッグ
<1248> アメリカンエロドッグ

//<1249> ゼウス
<1249> ゼウス

//<1250> 日向markⅡ
<1250> 日向markⅡ

//<1251> 糞虫
<1251> 糞虫

//<1252> 量産型日向
<1252> 量産型日向

//<1253> ？？
<1253> ？？

//<1254> 「あの時は悪かったな…」
<1254> 「あの時は悪かったな…」

//<1255> nothing
<1255> nothing

//<1256> nothing
<1256> nothing

//<1257> nothing
<1257> nothing

//<1258> nothing
<1258> nothing

//<1259> nothing
<1259> nothing

//<1260> 野田
<1260> 野田

//<1261> 男Ｆ
<1261> 男Ｆ

//<1262> イケパイ
<1262> イケパイ

//<1263> 男
<1263> 男

//<1264> ？？
<1264> ？？

//<1265> 「でも、そのお前が今、友達だと言ってくれた…」
<1265> 「でも、そのお前が今、友達だと言ってくれた…」

//<1266> nothing
<1266> nothing

//<1267> nothing
<1267> nothing

//<1268> nothing
<1268> nothing

//<1269> nothing
<1269> nothing

//<1270> nothing
<1270> nothing

//<1271> 野田
<1271> 野田

//<1272> 男Ｆ
<1272> 男Ｆ

//<1273> イケパイ
<1273> イケパイ

//<1274> 男
<1274> 男

//<1275> ？？
<1275> ？？

//<1276> 「そいつは…えっと…なんだ…」
<1276> 「そいつは…えっと…なんだ…」

//<1277> nothing
<1277> nothing

//<1278> nothing
<1278> nothing

//<1279> nothing
<1279> nothing

//<1280> nothing
<1280> nothing

//<1281> nothing
<1281> nothing

//<1282> 野田
<1282> 野田

//<1283> 男Ｆ
<1283> 男Ｆ

//<1284> イケパイ
<1284> イケパイ

//<1285> 男
<1285> 男

//<1286> ？？
<1286> ？？

//<1287> 「はっ…」
<1287> 「はっ…」

//<1288> つと、その目から涙がこぼれ落ちた。
<1288> つと、その目から涙がこぼれ落ちた。

//<1289> 音無
<1289> 音無

//<1290> クソ坊主
<1290> クソ坊主

//<1291> 代理人
<1291> 代理人

//<1292> 微妙すぎるイケメン
<1292> 微妙すぎるイケメン

//<1293> ロリコン
<1293> ロリコン

//<1294> メガネ仲間
<1294> メガネ仲間

//<1295> 暗算日本記録保持者
<1295> 暗算日本記録保持者

//<1296> 通り魔
<1296> 通り魔

//<1297> 記憶ナシ男
<1297> 記憶ナシ男

//<1298> 音速
<1298> 音速

//<1299> 無限
<1299> 無限

//<1300> エロ侍
<1300> エロ侍

//<1301> エロエロ団ナンバー１
<1301> エロエロ団ナンバー１

//<1302> ただのエロ少年
<1302> ただのエロ少年

//<1303> ユリブサイク
<1303> ユリブサイク

//<1304> ドピュッシー
<1304> ドピュッシー

//<1305> アメリカンエロドッグ
<1305> アメリカンエロドッグ

//<1306> ゼウス
<1306> ゼウス

//<1307> 日向markⅡ
<1307> 日向markⅡ

//<1308> 糞虫
<1308> 糞虫

//<1309> 量産型日向
<1309> 量産型日向

//<1310> ？？
<1310> ？？

//<1311> 「え？　どうしたんだ！？」
<1311> 「え？　どうしたんだ！？」

//<1312> nothing
<1312> nothing

//<1313> nothing
<1313> nothing

//<1314> nothing
<1314> nothing

//<1315> nothing
<1315> nothing

//<1316> nothing
<1316> nothing

//<1317> 野田
<1317> 野田

//<1318> 男Ｆ
<1318> 男Ｆ

//<1319> イケパイ
<1319> イケパイ

//<1320> 男
<1320> 男

//<1321> ？？
<1321> ？？

//<1322> 「見るなっ！」
<1322> 「見るなっ！」

//<1323> nothing
<1323> nothing

//<1324> nothing
<1324> nothing

//<1325> nothing
<1325> nothing

//<1326> nothing
<1326> nothing

//<1327> nothing
<1327> nothing

//<1328> nothing
<1328> nothing

//<1329> 背中を向け、上着の裾で目を擦っている。声も涙声だ。
<1329> 背中を向け、上着の裾で目を擦っている。声も涙声だ。

//<1330> 野田
<1330> 野田

//<1331> 男Ｆ
<1331> 男Ｆ

//<1332> イケパイ
<1332> イケパイ

//<1333> 男
<1333> 男

//<1334> ？？
<1334> ？？

//<1335> 「今日はここまでだっ」
<1335> 「今日はここまでだっ」

//<1336> 音無
<1336> 音無

//<1337> クソ坊主
<1337> クソ坊主

//<1338> 代理人
<1338> 代理人

//<1339> 微妙すぎるイケメン
<1339> 微妙すぎるイケメン

//<1340> ロリコン
<1340> ロリコン

//<1341> メガネ仲間
<1341> メガネ仲間

//<1342> 暗算日本記録保持者
<1342> 暗算日本記録保持者

//<1343> 通り魔
<1343> 通り魔

//<1344> 記憶ナシ男
<1344> 記憶ナシ男

//<1345> 音速
<1345> 音速

//<1346> 無限
<1346> 無限

//<1347> エロ侍
<1347> エロ侍

//<1348> エロエロ団ナンバー１
<1348> エロエロ団ナンバー１

//<1349> ただのエロ少年
<1349> ただのエロ少年

//<1350> ユリブサイク
<1350> ユリブサイク

//<1351> ドピュッシー
<1351> ドピュッシー

//<1352> アメリカンエロドッグ
<1352> アメリカンエロドッグ

//<1353> ゼウス
<1353> ゼウス

//<1354> 日向markⅡ
<1354> 日向markⅡ

//<1355> 糞虫
<1355> 糞虫

//<1356> 量産型日向
<1356> 量産型日向

//<1357> ？？
<1357> ？？

//<1358> 「何もしてないんだが…」
<1358> 「何もしてないんだが…」

//<1359> 野田
<1359> 野田

//<1360> 男Ｆ
<1360> 男Ｆ

//<1361> イケパイ
<1361> イケパイ

//<1362> 男
<1362> 男

//<1363> ？？
<1363> ？？

//<1364> 「俺の中では、大きな出来事があった日だっ…」
<1364> 「俺の中では、大きな出来事があった日だっ…」

//<1365> 野田
<1365> 野田

//<1366> 男Ｆ
<1366> 男Ｆ

//<1367> イケパイ
<1367> イケパイ

//<1368> 男
<1368> 男

//<1369> ？？
<1369> ？？

//<1370> 「記念日だっ！　くっそぅっ！！」
<1370> 「記念日だっ！　くっそぅっ！！」

//<1371> 音無
<1371> 音無

//<1372> クソ坊主
<1372> クソ坊主

//<1373> 代理人
<1373> 代理人

//<1374> 微妙すぎるイケメン
<1374> 微妙すぎるイケメン

//<1375> ロリコン
<1375> ロリコン

//<1376> メガネ仲間
<1376> メガネ仲間

//<1377> 暗算日本記録保持者
<1377> 暗算日本記録保持者

//<1378> 通り魔
<1378> 通り魔

//<1379> 記憶ナシ男
<1379> 記憶ナシ男

//<1380> 音速
<1380> 音速

//<1381> 無限
<1381> 無限

//<1382> エロ侍
<1382> エロ侍

//<1383> エロエロ団ナンバー１
<1383> エロエロ団ナンバー１

//<1384> ただのエロ少年
<1384> ただのエロ少年

//<1385> ユリブサイク
<1385> ユリブサイク

//<1386> ドピュッシー
<1386> ドピュッシー

//<1387> アメリカンエロドッグ
<1387> アメリカンエロドッグ

//<1388> ゼウス
<1388> ゼウス

//<1389> 日向markⅡ
<1389> 日向markⅡ

//<1390> 糞虫
<1390> 糞虫

//<1391> 量産型日向
<1391> 量産型日向

//<1392> ？？
<1392> ？？

//<1393> 「そうか…ならいいけどさ」
<1393> 「そうか…ならいいけどさ」

//<1394> その背中を見送るしかなかった。
<1394> その背中を見送るしかなかった。

//<1395> 大人しく、俺は立ち去ることにした。
<1395> 大人しく、俺は立ち去ることにした。

//<1396> 違う。野田は俺にとっては…。
<1396> 違う。野田は俺にとっては…。

//<1397> 親友
<1397> 親友

//<1398> 恋人
<1398> 恋人

//<1399> selbtn : 
<1399> selbtn : 

//<1400> 音無
<1400> 音無

//<1401> クソ坊主
<1401> クソ坊主

//<1402> 代理人
<1402> 代理人

//<1403> 微妙すぎるイケメン
<1403> 微妙すぎるイケメン

//<1404> ロリコン
<1404> ロリコン

//<1405> メガネ仲間
<1405> メガネ仲間

//<1406> 暗算日本記録保持者
<1406> 暗算日本記録保持者

//<1407> 通り魔
<1407> 通り魔

//<1408> 記憶ナシ男
<1408> 記憶ナシ男

//<1409> 音速
<1409> 音速

//<1410> 無限
<1410> 無限

//<1411> エロ侍
<1411> エロ侍

//<1412> エロエロ団ナンバー１
<1412> エロエロ団ナンバー１

//<1413> ただのエロ少年
<1413> ただのエロ少年

//<1414> ユリブサイク
<1414> ユリブサイク

//<1415> ドピュッシー
<1415> ドピュッシー

//<1416> アメリカンエロドッグ
<1416> アメリカンエロドッグ

//<1417> ゼウス
<1417> ゼウス

//<1418> 日向markⅡ
<1418> 日向markⅡ

//<1419> 糞虫
<1419> 糞虫

//<1420> 量産型日向
<1420> 量産型日向

//<1421> ？？
<1421> ？？

//<1422> 「親友だ」
<1422> 「親友だ」

//<1423> nothing
<1423> nothing

//<1424> nothing
<1424> nothing

//<1425> nothing
<1425> nothing

//<1426> nothing
<1426> nothing

//<1427> nothing
<1427> nothing

//<1428> 野田
<1428> 野田

//<1429> 男Ｆ
<1429> 男Ｆ

//<1430> イケパイ
<1430> イケパイ

//<1431> 男
<1431> 男

//<1432> ？？
<1432> ？？

//<1433> 「親友！？」
<1433> 「親友！？」

//<1434> 音無
<1434> 音無

//<1435> クソ坊主
<1435> クソ坊主

//<1436> 代理人
<1436> 代理人

//<1437> 微妙すぎるイケメン
<1437> 微妙すぎるイケメン

//<1438> ロリコン
<1438> ロリコン

//<1439> メガネ仲間
<1439> メガネ仲間

//<1440> 暗算日本記録保持者
<1440> 暗算日本記録保持者

//<1441> 通り魔
<1441> 通り魔

//<1442> 記憶ナシ男
<1442> 記憶ナシ男

//<1443> 音速
<1443> 音速

//<1444> 無限
<1444> 無限

//<1445> エロ侍
<1445> エロ侍

//<1446> エロエロ団ナンバー１
<1446> エロエロ団ナンバー１

//<1447> ただのエロ少年
<1447> ただのエロ少年

//<1448> ユリブサイク
<1448> ユリブサイク

//<1449> ドピュッシー
<1449> ドピュッシー

//<1450> アメリカンエロドッグ
<1450> アメリカンエロドッグ

//<1451> ゼウス
<1451> ゼウス

//<1452> 日向markⅡ
<1452> 日向markⅡ

//<1453> 糞虫
<1453> 糞虫

//<1454> 量産型日向
<1454> 量産型日向

//<1455> ？？
<1455> ？？

//<1456> 「恋人だ」
<1456> 「恋人だ」

//<1457> nothing
<1457> nothing

//<1458> nothing
<1458> nothing

//<1459> nothing
<1459> nothing

//<1460> nothing
<1460> nothing

//<1461> nothing
<1461> nothing

//<1462> 野田
<1462> 野田

//<1463> 男Ｆ
<1463> 男Ｆ

//<1464> イケパイ
<1464> イケパイ

//<1465> 男
<1465> 男

//<1466> ？？
<1466> ？？

//<1467> 「ええぇ！？　お前、そんな趣味があったのか！？」
<1467> 「ええぇ！？　お前、そんな趣味があったのか！？」

//<1468> 音無
<1468> 音無

//<1469> クソ坊主
<1469> クソ坊主

//<1470> 代理人
<1470> 代理人

//<1471> 微妙すぎるイケメン
<1471> 微妙すぎるイケメン

//<1472> ロリコン
<1472> ロリコン

//<1473> メガネ仲間
<1473> メガネ仲間

//<1474> 暗算日本記録保持者
<1474> 暗算日本記録保持者

//<1475> 通り魔
<1475> 通り魔

//<1476> 記憶ナシ男
<1476> 記憶ナシ男

//<1477> 音速
<1477> 音速

//<1478> 無限
<1478> 無限

//<1479> エロ侍
<1479> エロ侍

//<1480> エロエロ団ナンバー１
<1480> エロエロ団ナンバー１

//<1481> ただのエロ少年
<1481> ただのエロ少年

//<1482> ユリブサイク
<1482> ユリブサイク

//<1483> ドピュッシー
<1483> ドピュッシー

//<1484> アメリカンエロドッグ
<1484> アメリカンエロドッグ

//<1485> ゼウス
<1485> ゼウス

//<1486> 日向markⅡ
<1486> 日向markⅡ

//<1487> 糞虫
<1487> 糞虫

//<1488> 量産型日向
<1488> 量産型日向

//<1489> ？？
<1489> ？？

//<1490> 「趣味？　意味がよくわからないんだが…」
<1490> 「趣味？　意味がよくわからないんだが…」

//<1491> nothing
<1491> nothing

//<1492> nothing
<1492> nothing

//<1493> nothing
<1493> nothing

//<1494> nothing
<1494> nothing

//<1495> nothing
<1495> nothing

//<1496> 野田
<1496> 野田

//<1497> 男Ｆ
<1497> 男Ｆ

//<1498> イケパイ
<1498> イケパイ

//<1499> 男
<1499> 男

//<1500> ？？
<1500> ？？

//<1501> 「俺は今、お前に怯えている…なぜかわかるか…？」
<1501> 「俺は今、お前に怯えている…なぜかわかるか…？」

//<1502> 音無
<1502> 音無

//<1503> クソ坊主
<1503> クソ坊主

//<1504> 代理人
<1504> 代理人

//<1505> 微妙すぎるイケメン
<1505> 微妙すぎるイケメン

//<1506> ロリコン
<1506> ロリコン

//<1507> メガネ仲間
<1507> メガネ仲間

//<1508> 暗算日本記録保持者
<1508> 暗算日本記録保持者

//<1509> 通り魔
<1509> 通り魔

//<1510> 記憶ナシ男
<1510> 記憶ナシ男

//<1511> 音速
<1511> 音速

//<1512> 無限
<1512> 無限

//<1513> エロ侍
<1513> エロ侍

//<1514> エロエロ団ナンバー１
<1514> エロエロ団ナンバー１

//<1515> ただのエロ少年
<1515> ただのエロ少年

//<1516> ユリブサイク
<1516> ユリブサイク

//<1517> ドピュッシー
<1517> ドピュッシー

//<1518> アメリカンエロドッグ
<1518> アメリカンエロドッグ

//<1519> ゼウス
<1519> ゼウス

//<1520> 日向markⅡ
<1520> 日向markⅡ

//<1521> 糞虫
<1521> 糞虫

//<1522> 量産型日向
<1522> 量産型日向

//<1523> ？？
<1523> ？？

//<1524> 「さっぱりわからない」
<1524> 「さっぱりわからない」

//<1525> nothing
<1525> nothing

//<1526> nothing
<1526> nothing

//<1527> nothing
<1527> nothing

//<1528> nothing
<1528> nothing

//<1529> nothing
<1529> nothing

//<1530> 野田
<1530> 野田

//<1531> 男Ｆ
<1531> 男Ｆ

//<1532> イケパイ
<1532> イケパイ

//<1533> 男
<1533> 男

//<1534> ？？
<1534> ？？

//<1535> 「自覚なしかっ！」
<1535> 「自覚なしかっ！」

//<1536> 音無
<1536> 音無

//<1537> クソ坊主
<1537> クソ坊主

//<1538> 代理人
<1538> 代理人

//<1539> 微妙すぎるイケメン
<1539> 微妙すぎるイケメン

//<1540> ロリコン
<1540> ロリコン

//<1541> メガネ仲間
<1541> メガネ仲間

//<1542> 暗算日本記録保持者
<1542> 暗算日本記録保持者

//<1543> 通り魔
<1543> 通り魔

//<1544> 記憶ナシ男
<1544> 記憶ナシ男

//<1545> 音速
<1545> 音速

//<1546> 無限
<1546> 無限

//<1547> エロ侍
<1547> エロ侍

//<1548> エロエロ団ナンバー１
<1548> エロエロ団ナンバー１

//<1549> ただのエロ少年
<1549> ただのエロ少年

//<1550> ユリブサイク
<1550> ユリブサイク

//<1551> ドピュッシー
<1551> ドピュッシー

//<1552> アメリカンエロドッグ
<1552> アメリカンエロドッグ

//<1553> ゼウス
<1553> ゼウス

//<1554> 日向markⅡ
<1554> 日向markⅡ

//<1555> 糞虫
<1555> 糞虫

//<1556> 量産型日向
<1556> 量産型日向

//<1557> ？？
<1557> ？？

//<1558> 「え？」
<1558> 「え？」

//<1559> nothing
<1559> nothing

//<1560> nothing
<1560> nothing

//<1561> nothing
<1561> nothing

//<1562> nothing
<1562> nothing

//<1563> nothing
<1563> nothing

//<1564> 野田
<1564> 野田

//<1565> 男Ｆ
<1565> 男Ｆ

//<1566> イケパイ
<1566> イケパイ

//<1567> 男
<1567> 男

//<1568> ？？
<1568> ？？

//<1569> 「…悪いが、これ以上お前との訓練には付き合えない…」
<1569> 「…悪いが、これ以上お前との訓練には付き合えない…」

//<1570> 音無
<1570> 音無

//<1571> クソ坊主
<1571> クソ坊主

//<1572> 代理人
<1572> 代理人

//<1573> 微妙すぎるイケメン
<1573> 微妙すぎるイケメン

//<1574> ロリコン
<1574> ロリコン

//<1575> メガネ仲間
<1575> メガネ仲間

//<1576> 暗算日本記録保持者
<1576> 暗算日本記録保持者

//<1577> 通り魔
<1577> 通り魔

//<1578> 記憶ナシ男
<1578> 記憶ナシ男

//<1579> 音速
<1579> 音速

//<1580> 無限
<1580> 無限

//<1581> エロ侍
<1581> エロ侍

//<1582> エロエロ団ナンバー１
<1582> エロエロ団ナンバー１

//<1583> ただのエロ少年
<1583> ただのエロ少年

//<1584> ユリブサイク
<1584> ユリブサイク

//<1585> ドピュッシー
<1585> ドピュッシー

//<1586> アメリカンエロドッグ
<1586> アメリカンエロドッグ

//<1587> ゼウス
<1587> ゼウス

//<1588> 日向markⅡ
<1588> 日向markⅡ

//<1589> 糞虫
<1589> 糞虫

//<1590> 量産型日向
<1590> 量産型日向

//<1591> ？？
<1591> ？？

//<1592> 「ええっ！？　いきなりなんでだよっ！　わけわからないぜ！？」
<1592> 「ええっ！？　いきなりなんでだよっ！　わけわからないぜ！？」

//<1593> nothing
<1593> nothing

//<1594> nothing
<1594> nothing

//<1595> nothing
<1595> nothing

//<1596> nothing
<1596> nothing

//<1597> nothing
<1597> nothing

//<1598> 野田
<1598> 野田

//<1599> 男Ｆ
<1599> 男Ｆ

//<1600> イケパイ
<1600> イケパイ

//<1601> 男
<1601> 男

//<1602> ？？
<1602> ？？

//<1603> 「わけわからないのはお前の趣味のほうなんだが…」
<1603> 「わけわからないのはお前の趣味のほうなんだが…」

//<1604> 音無
<1604> 音無

//<1605> クソ坊主
<1605> クソ坊主

//<1606> 代理人
<1606> 代理人

//<1607> 微妙すぎるイケメン
<1607> 微妙すぎるイケメン

//<1608> ロリコン
<1608> ロリコン

//<1609> メガネ仲間
<1609> メガネ仲間

//<1610> 暗算日本記録保持者
<1610> 暗算日本記録保持者

//<1611> 通り魔
<1611> 通り魔

//<1612> 記憶ナシ男
<1612> 記憶ナシ男

//<1613> 音速
<1613> 音速

//<1614> 無限
<1614> 無限

//<1615> エロ侍
<1615> エロ侍

//<1616> エロエロ団ナンバー１
<1616> エロエロ団ナンバー１

//<1617> ただのエロ少年
<1617> ただのエロ少年

//<1618> ユリブサイク
<1618> ユリブサイク

//<1619> ドピュッシー
<1619> ドピュッシー

//<1620> アメリカンエロドッグ
<1620> アメリカンエロドッグ

//<1621> ゼウス
<1621> ゼウス

//<1622> 日向markⅡ
<1622> 日向markⅡ

//<1623> 糞虫
<1623> 糞虫

//<1624> 量産型日向
<1624> 量産型日向

//<1625> ？？
<1625> ？？

//<1626> 「はぁ！？」
<1626> 「はぁ！？」

//<1627> nothing
<1627> nothing

//<1628> nothing
<1628> nothing

//<1629> nothing
<1629> nothing

//<1630> nothing
<1630> nothing

//<1631> nothing
<1631> nothing

//<1632> 野田
<1632> 野田

//<1633> 男Ｆ
<1633> 男Ｆ

//<1634> イケパイ
<1634> イケパイ

//<1635> 男
<1635> 男

//<1636> ？？
<1636> ？？

//<1637> 「すまないが、立ち去ってくれ…そしてここにはもう来ないでくれ…」
<1637> 「すまないが、立ち去ってくれ…そしてここにはもう来ないでくれ…」

//<1638> 音無
<1638> 音無

//<1639> クソ坊主
<1639> クソ坊主

//<1640> 代理人
<1640> 代理人

//<1641> 微妙すぎるイケメン
<1641> 微妙すぎるイケメン

//<1642> ロリコン
<1642> ロリコン

//<1643> メガネ仲間
<1643> メガネ仲間

//<1644> 暗算日本記録保持者
<1644> 暗算日本記録保持者

//<1645> 通り魔
<1645> 通り魔

//<1646> 記憶ナシ男
<1646> 記憶ナシ男

//<1647> 音速
<1647> 音速

//<1648> 無限
<1648> 無限

//<1649> エロ侍
<1649> エロ侍

//<1650> エロエロ団ナンバー１
<1650> エロエロ団ナンバー１

//<1651> ただのエロ少年
<1651> ただのエロ少年

//<1652> ユリブサイク
<1652> ユリブサイク

//<1653> ドピュッシー
<1653> ドピュッシー

//<1654> アメリカンエロドッグ
<1654> アメリカンエロドッグ

//<1655> ゼウス
<1655> ゼウス

//<1656> 日向markⅡ
<1656> 日向markⅡ

//<1657> 糞虫
<1657> 糞虫

//<1658> 量産型日向
<1658> 量産型日向

//<1659> ？？
<1659> ？？

//<1660> 「えぇぇーーー！！」
<1660> 「えぇぇーーー！！」

//<1661> nothing
<1661> nothing

//<1662> nothing
<1662> nothing

//<1663> nothing
<1663> nothing

//<1664> nothing
<1664> nothing

//<1665> nothing
<1665> nothing

//<1666> 野田
<1666> 野田

//<1667> 男Ｆ
<1667> 男Ｆ

//<1668> イケパイ
<1668> イケパイ

//<1669> 男
<1669> 男

//<1670> ？？
<1670> ？？

//<1671> 「俺はゆりっぺ一筋だからな…。お前とじゃれ合っている暇なんてないんだ…」
<1671> 「俺はゆりっぺ一筋だからな…。お前とじゃれ合っている暇なんてないんだ…」

//<1672> 必殺技・営業マン頼みを炸裂させる
<1672> 必殺技・営業マン頼みを炸裂させる

//<1673> 弁解する
<1673> 弁解する

//<1674> selbtn : 
<1674> selbtn : 

//<1675> 音無
<1675> 音無

//<1676> クソ坊主
<1676> クソ坊主

//<1677> 代理人
<1677> 代理人

//<1678> 微妙すぎるイケメン
<1678> 微妙すぎるイケメン

//<1679> ロリコン
<1679> ロリコン

//<1680> メガネ仲間
<1680> メガネ仲間

//<1681> 暗算日本記録保持者
<1681> 暗算日本記録保持者

//<1682> 通り魔
<1682> 通り魔

//<1683> 記憶ナシ男
<1683> 記憶ナシ男

//<1684> 音速
<1684> 音速

//<1685> 無限
<1685> 無限

//<1686> エロ侍
<1686> エロ侍

//<1687> エロエロ団ナンバー１
<1687> エロエロ団ナンバー１

