// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> se_kazekiri3
<0000> se_kazekiri3
//<1096> メガネ仲間
<1096> メガネ仲間

//<1097> 暗算日本記録保持者
<1097> 暗算日本記録保持者

//<1098> 通り魔
<1098> 通り魔

//<1099> 記憶ナシ男
<1099> 記憶ナシ男

//<1100> 音速
<1100> 音速

//<1101> 無限
<1101> 無限

//<1102> エロ侍
<1102> エロ侍

//<1103> エロエロ団ナンバー１
<1103> エロエロ団ナンバー１

//<1104> ただのエロ少年
<1104> ただのエロ少年

//<1105> ユリブサイク
<1105> ユリブサイク

//<1106> ドピュッシー
<1106> ドピュッシー

//<1107> アメリカンエロドッグ
<1107> アメリカンエロドッグ

//<1108> ゼウス
<1108> ゼウス

//<1109> 日向markⅡ
<1109> 日向markⅡ

//<1110> 糞虫
<1110> 糞虫

//<1111> 量産型日向
<1111> 量産型日向

//<1112> ？？
<1112> ？？

//<1113> 「ああ…」
<1113> 「ああ…」

//<1114> 握り方も合っているのかよくわからない日本刀を手に、野田と対峙する。
<1114> 握り方も合っているのかよくわからない日本刀を手に、野田と対峙する。

//<1115> もちろん手合わせと言っても、死なない世界だから、寸止めもない。油断すれば、致命傷を食らうことになる。
<1115> もちろん手合わせと言っても、死なない世界だから、寸止めもない。油断すれば、致命傷を食らうことになる。

//<1116> 音無
<1116> 音無

//<1117> クソ坊主
<1117> クソ坊主

//<1118> 代理人
<1118> 代理人

//<1119> 微妙すぎるイケメン
<1119> 微妙すぎるイケメン

//<1120> ロリコン
<1120> ロリコン

//<1121> メガネ仲間
<1121> メガネ仲間

//<1122> 暗算日本記録保持者
<1122> 暗算日本記録保持者

//<1123> 通り魔
<1123> 通り魔

//<1124> 記憶ナシ男
<1124> 記憶ナシ男

//<1125> 音速
<1125> 音速

//<1126> 無限
<1126> 無限

//<1127> エロ侍
<1127> エロ侍

//<1128> エロエロ団ナンバー１
<1128> エロエロ団ナンバー１

//<1129> ただのエロ少年
<1129> ただのエロ少年

//<1130> ユリブサイク
<1130> ユリブサイク

//<1131> ドピュッシー
<1131> ドピュッシー

//<1132> アメリカンエロドッグ
<1132> アメリカンエロドッグ

//<1133> ゼウス
<1133> ゼウス

//<1134> 日向markⅡ
<1134> 日向markⅡ

//<1135> 糞虫
<1135> 糞虫

//<1136> 量産型日向
<1136> 量産型日向

//<1137> ？？
<1137> ？？

//<1138> （これ以上、死ぬほど痛いのは勘弁だぜ…）
<1138> （これ以上、死ぬほど痛いのは勘弁だぜ…）

//<1139> nothing
<1139> nothing

//<1140> nothing
<1140> nothing

//<1141> nothing
<1141> nothing

//<1142> nothing
<1142> nothing

//<1143> nothing
<1143> nothing

//<1144> nothing
<1144> nothing

//<1145> 武器の扱いの差は歴然だった。まったく歯が立たない。
<1145> 武器の扱いの差は歴然だった。まったく歯が立たない。

//<1146> 腹を鋒で貫かれ、地面に突っ伏すことに。
<1146> 腹を鋒で貫かれ、地面に突っ伏すことに。

//<1147> 野田
<1147> 野田

//<1148> 男Ｆ
<1148> 男Ｆ

//<1149> イケパイ
<1149> イケパイ

//<1150> 男
<1150> 男

//<1151> ？？
<1151> ？？

//<1152> 「ふ…しばらく療養しておくことだな」
<1152> 「ふ…しばらく療養しておくことだな」

//<1153> 足音が遠ざかっていくのだけが聞こえた。
<1153> 足音が遠ざかっていくのだけが聞こえた。

//<1154> 意識が戻ると、もう野田はいなくなっていた。
<1154> 意識が戻ると、もう野田はいなくなっていた。

//<1155> 起き上がるのも、やっとだ…。歩き出すと、全身が痛む。まだ完治はしていないようだ…。
<1155> 起き上がるのも、やっとだ…。歩き出すと、全身が痛む。まだ完治はしていないようだ…。

//<1156> dummy
<1156> dummy

//<1157> bg_kuro
<1157> bg_kuro

//<1158> ep04_bg022
<1158> ep04_bg022

//<1159> nd040500l3
<1159> nd040500l3

//<1160> nd0510
<1160> nd0510

//<1161> m121
<1161> m121

//<1162> nd0605
<1162> nd0605

//<1163> sys_bk_selline00
<1163> sys_bk_selline00

//<1164> nd0310
<1164> nd0310

//<1165> nd0302
<1165> nd0302

//<1166> nd0605
<1166> nd0605

//<1167> nd0604
<1167> nd0604

//<1168> nd0308
<1168> nd0308

//<1169> sys_bk_selline00
<1169> sys_bk_selline00

//<1170> nd0305
<1170> nd0305

//<1171> bg_kuro
<1171> bg_kuro

//<1172> ep04_bg022
<1172> ep04_bg022

//<1173> nd0101
<1173> nd0101

//<1174> nd0209
<1174> nd0209

//<1175> nd0201_02
<1175> nd0201_02

//<1176> nd0202
<1176> nd0202

//<1177> nd0605
<1177> nd0605

//<1178> bs3_nd0505
<1178> bs3_nd0505

//<1179> bs3_nd0411
<1179> bs3_nd0411

//<1180> bs2_nd0310
<1180> bs2_nd0310

//<1181> bg_kuro
<1181> bg_kuro

//<1182> ep04_bg022
<1182> ep04_bg022

//<1183> bg_kuro
<1183> bg_kuro

//<1184> ep04_bg022
<1184> ep04_bg022

//<1185> nd0605
<1185> nd0605

//<1186> bg_kuro
<1186> bg_kuro

//<1187> nd0308
<1187> nd0308

//<1188> nd0310
<1188> nd0310

//<1189> nd0202
<1189> nd0202

//<1190> ep04_bg047
<1190> ep04_bg047

//<1191> ep04_bg022
<1191> ep04_bg022

//<1192> nd0505
<1192> nd0505

//<1193> nd030800a0
<1193> nd030800a0

//<1194> nd0305
<1194> nd0305

//<1195> nd0310
<1195> nd0310

//<1196> sys_bk_selline00
<1196> sys_bk_selline00

//<1197> nd0308
<1197> nd0308

//<1198> bg_kuro
<1198> bg_kuro
{11e49} 0a // 1198

//<1199> ep02_bg054
<1199> ep02_bg054

//<1200> yr0401
<1200> yr0401

//<1201> yr0101_04
<1201> yr0101_04

//<1202> yr0110
<1202> yr0110

//<1203> yr0109
<1203> yr0109

//<1204> bg_kuro
<1204> bg_kuro
{14be5} 0a // 1204

//<1205> nd0301
<1205> nd0301

//<1206> nd0301
<1206> nd0301

//<1207> nd0308
<1207> nd0308

//<1208> nd0210
<1208> nd0210

//<1209> nd0205
<1209> nd0205

//<1210> nd0210_08
<1210> nd0210_08

//<1211> nd0305
<1211> nd0305

//<1212> nd0105
<1212> nd0105

//<1213> nd0210
<1213> nd0210

//<1214> nd0301_10
<1214> nd0301_10

//<1215> nd0305
<1215> nd0305

//<1216> bg_kuro
<1216> bg_kuro

//<1217> ep04_bg022
<1217> ep04_bg022

//<1218> nd0101
<1218> nd0101

//<1219> nd0209
<1219> nd0209

//<1220> nd0201_02
<1220> nd0201_02

//<1221> nd0202
<1221> nd0202

//<1222> nd0605
<1222> nd0605

//<1223> bs3_nd0505
<1223> bs3_nd0505

//<1224> bs3_nd0411
<1224> bs3_nd0411

//<1225> bg_kuro
<1225> bg_kuro

//<1226> nd0310
<1226> nd0310

//<1227> bg_kuro
<1227> bg_kuro

//<1228> ep04_bg022
<1228> ep04_bg022

//<1229> bg_kuro
<1229> bg_kuro

