// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> -1st beat- EPISODE.Matsushita
<0000> -1st beat- EPISODE.Matsushita

//<0001> 松下
<12590> nothing

//<12591> nothing
<12591> nothing

//<12592> nothing
<12592> nothing

//<12593> nothing
<12593> nothing

//<12594> nothing
<12594> nothing

//<12595> nothing
<12595> nothing

//<12596> 関根は教室に戻っていった。
<12596> 関根は教室に戻っていった。

//<12597> 椎名を探すことにする。
<12597> 椎名を探すことにする。

//<12598> とりあえず、球技大会の時に居た、体育用具庫に入る。
<12598> とりあえず、球技大会の時に居た、体育用具庫に入る。

//<12599> 音無
<12599> 音無

//<12600> クソ坊主
<12600> クソ坊主

//<12601> 代理人
<12601> 代理人

//<12602> 微妙すぎるイケメン
<12602> 微妙すぎるイケメン

//<12603> ロリコン
<12603> ロリコン

//<12604> メガネ仲間
<12604> メガネ仲間

//<12605> 暗算日本記録保持者
<12605> 暗算日本記録保持者

//<12606> 通り魔
<12606> 通り魔

//<12607> 記憶ナシ男
<12607> 記憶ナシ男

//<12608> 音速
<12608> 音速

//<12609> 無限
<12609> 無限

//<12610> エロ侍
<12610> エロ侍

//<12611> エロエロ団ナンバー１
<12611> エロエロ団ナンバー１

//<12612> ただのエロ少年
<12612> ただのエロ少年

//<12613> ユリブサイク
<12613> ユリブサイク

//<12614> ドピュッシー
<12614> ドピュッシー

//<12615> アメリカンエロドッグ
<12615> アメリカンエロドッグ

//<12616> ゼウス
<12616> ゼウス

//<12617> 日向markⅡ
<12617> 日向markⅡ

//<12618> 糞虫
<12618> 糞虫

//<12619> 量産型日向
<12619> 量産型日向

//<12620> ？？
<12620> ？？

//<12621> 「椎名、居るかー？」
<12621> 「椎名、居るかー？」

//<12622> …が、なんの反応もない。
<12622> …が、なんの反応もない。

//<12623> ここには居ないのか…。
<12623> ここには居ないのか…。

//<12624> 外にようと、踵を返す。
<12624> 外にようと、踵を返す。

//<12625> nothing
<12625> nothing

//<12626> nothing
<12626> nothing

//<12627> nothing
<12627> nothing

//<12628> nothing
<12628> nothing

//<12629> nothing
<12629> nothing

//<12630> se_shiina
<12630> se_shiina

//<12631> そこに椎名は立っていた。
<12631> そこに椎名は立っていた。

//<12632> 音無
<12632> 音無

//<12633> クソ坊主
<12633> クソ坊主

//<12634> 代理人
<12634> 代理人

//<12635> 微妙すぎるイケメン
<12635> 微妙すぎるイケメン

//<12636> ロリコン
<12636> ロリコン

//<12637> メガネ仲間
<12637> メガネ仲間

//<12638> 暗算日本記録保持者
<12638> 暗算日本記録保持者

//<12639> 通り魔
<12639> 通り魔

//<12640> 記憶ナシ男
<12640> 記憶ナシ男

//<12641> 音速
<12641> 音速

//<12642> 無限
<12642> 無限

//<12643> エロ侍
<12643> エロ侍

//<12644> エロエロ団ナンバー１
<12644> エロエロ団ナンバー１

//<12645> ただのエロ少年
<12645> ただのエロ少年

//<12646> ユリブサイク
<12646> ユリブサイク

//<12647> ドピュッシー
<12647> ドピュッシー

//<12648> アメリカンエロドッグ
<12648> アメリカンエロドッグ

//<12649> ゼウス
<12649> ゼウス

//<12650> 日向markⅡ
<12650> 日向markⅡ

//<12651> 糞虫
<12651> 糞虫

//<12652> 量産型日向
<12652> 量産型日向

//<12653> ？？
<12653> ？？

//<12654> 「えぇっ！？」
<12654> 「えぇっ！？」

//<12655> 遊佐並みの神出鬼没レベルだ。
<12655> 遊佐並みの神出鬼没レベルだ。

//<12656> nothing
<12656> nothing

//<12657> nothing
<12657> nothing

//<12658> nothing
<12658> nothing

//<12659> nothing
<12659> nothing

//<12660> nothing
<12660> nothing

//<12661> 椎名
<12661> 椎名

//<12662> 「何用だ」
<12662> 「何用だ」

//<12663> 球技大会の時には木の枝の上に潜んでいた。
<12663> 球技大会の時には木の枝の上に潜んでいた。

//<12664> 遊佐に見つからないよう、椎名を探す。
<12664> 遊佐に見つからないよう、椎名を探す。

//<12665> ひたすら木を探すが、一向に見つからない。
<12665> ひたすら木を探すが、一向に見つからない。

//<12666> 声
<12666> 声

//<12667> 「私に何か用か？」
<12667> 「私に何か用か？」

//<12668> nothing
<12668> nothing

//<12669> nothing
<12669> nothing

//<12670> nothing
<12670> nothing

//<12671> nothing
<12671> nothing

//<12672> nothing
<12672> nothing

//<12673> 後ろから声がして、びっくりする。
<12673> 後ろから声がして、びっくりする。

//<12674> 遊佐並みの神出鬼没レベルだ。
<12674> 遊佐並みの神出鬼没レベルだ。

//<12675> 遊佐が現れたらわかるよう、壁を背にして似顔絵の件を打診をする。
<12675> 遊佐が現れたらわかるよう、壁を背にして似顔絵の件を打診をする。

//<12676> 遊佐が現れたらわかるよう、壁を背にして似顔絵の件を打診をする。
<12676> 遊佐が現れたらわかるよう、壁を背にして似顔絵の件を打診をする。

//<12677> nothing
<12677> nothing

//<12678> nothing
<12678> nothing

//<12679> nothing
<12679> nothing

//<12680> nothing
<12680> nothing

//<12681> nothing
<12681> nothing

//<12682> 椎名
<12682> 椎名

//<12683> 「似顔絵か。忍びの嗜みゆえ、多少の心得ならばあるが」
<12683> 「似顔絵か。忍びの嗜みゆえ、多少の心得ならばあるが」

//<12684> 音無
<12684> 音無

//<12685> クソ坊主
<12685> クソ坊主

//<12686> 代理人
<12686> 代理人

//<12687> 微妙すぎるイケメン
<12687> 微妙すぎるイケメン

//<12688> ロリコン
<12688> ロリコン

//<12689> メガネ仲間
<12689> メガネ仲間

//<12690> 暗算日本記録保持者
<12690> 暗算日本記録保持者

//<12691> 通り魔
<12691> 通り魔

//<12692> 記憶ナシ男
<12692> 記憶ナシ男

//<12693> 音速
<12693> 音速

//<12694> 無限
<12694> 無限

//<12695> エロ侍
<12695> エロ侍

//<12696> エロエロ団ナンバー１
<12696> エロエロ団ナンバー１

//<12697> ただのエロ少年
<12697> ただのエロ少年

//<12698> ユリブサイク
<12698> ユリブサイク

//<12699> ドピュッシー
<12699> ドピュッシー

//<12700> アメリカンエロドッグ
<12700> アメリカンエロドッグ

//<12701> ゼウス
<12701> ゼウス

//<12702> 日向markⅡ
<12702> 日向markⅡ

//<12703> 糞虫
<12703> 糞虫

//<12704> 量産型日向
<12704> 量産型日向

//<12705> ？？
<12705> ？？

//<12706> 「そいつは助かる」
<12706> 「そいつは助かる」

//<12707> 意外なところに、救いの手があった。
<12707> 意外なところに、救いの手があった。

//<12708> 音無
<12708> 音無

//<12709> クソ坊主
<12709> クソ坊主

//<12710> 代理人
<12710> 代理人

//<12711> 微妙すぎるイケメン
<12711> 微妙すぎるイケメン

//<12712> ロリコン
<12712> ロリコン

//<12713> メガネ仲間
<12713> メガネ仲間

//<12714> 暗算日本記録保持者
<12714> 暗算日本記録保持者

//<12715> 通り魔
<12715> 通り魔

//<12716> 記憶ナシ男
<12716> 記憶ナシ男

//<12717> 音速
<12717> 音速

//<12718> 無限
<12718> 無限

//<12719> エロ侍
<12719> エロ侍

//<12720> エロエロ団ナンバー１
<12720> エロエロ団ナンバー１

//<12721> ただのエロ少年
<12721> ただのエロ少年

//<12722> ユリブサイク
<12722> ユリブサイク

//<12723> ドピュッシー
<12723> ドピュッシー

//<12724> アメリカンエロドッグ
<12724> アメリカンエロドッグ

//<12725> ゼウス
<12725> ゼウス

//<12726> 日向markⅡ
<12726> 日向markⅡ

//<12727> 糞虫
<12727> 糞虫

//<12728> 量産型日向
<12728> 量産型日向

//<12729> ？？
<12729> ？？

//<12730> 「一緒に来てくれないか。試しに俺の顔を描いてみてほしいんだ」
<12730> 「一緒に来てくれないか。試しに俺の顔を描いてみてほしいんだ」

//<12731> nothing
<12731> nothing

//<12732> nothing
<12732> nothing

//<12733> nothing
<12733> nothing

//<12734> nothing
<12734> nothing

//<12735> nothing
<12735> nothing

//<12736> 椎名
<12736> 椎名

//<12737> 「ふむ」
<12737> 「ふむ」

//<12738> 椎名はキャンバスに向かうと、俺をしばらく見た後、一気にスラスラと紙の上に筆を滑らせる。
<12738> 椎名はキャンバスに向かうと、俺をしばらく見た後、一気にスラスラと紙の上に筆を滑らせる。

//<12739> nothing
<12739> nothing

//<12740> nothing
<12740> nothing

//<12741> nothing
<12741> nothing

//<12742> nothing
<12742> nothing

//<12743> nothing
<12743> nothing

//<12744> 椎名
<12744> 椎名

//<12745> 「ほら」
<12745> 「ほら」

//<12746> 音無
<12746> 音無

//<12747> クソ坊主
<12747> クソ坊主

//<12748> 代理人
<12748> 代理人

//<12749> 微妙すぎるイケメン
<12749> 微妙すぎるイケメン

//<12750> ロリコン
<12750> ロリコン

//<12751> メガネ仲間
<12751> メガネ仲間

//<12752> 暗算日本記録保持者
<12752> 暗算日本記録保持者

//<12753> 通り魔
<12753> 通り魔

//<12754> 記憶ナシ男
<12754> 記憶ナシ男

//<12755> 音速
<12755> 音速

//<12756> 無限
<12756> 無限

//<12757> エロ侍
<12757> エロ侍

//<12758> エロエロ団ナンバー１
<12758> エロエロ団ナンバー１

//<12759> ただのエロ少年
<12759> ただのエロ少年

//<12760> ユリブサイク
<12760> ユリブサイク

//<12761> ドピュッシー
<12761> ドピュッシー

//<12762> アメリカンエロドッグ
<12762> アメリカンエロドッグ

//<12763> ゼウス
<12763> ゼウス

//<12764> 日向markⅡ
<12764> 日向markⅡ

//<12765> 糞虫
<12765> 糞虫

//<12766> 量産型日向
<12766> 量産型日向

//<12767> ？？
<12767> ？？

//<12768> 「…上手いもんだな」
<12768> 「…上手いもんだな」

//<12769> 素直に感心する。
<12769> 素直に感心する。

//<12770> 俺の特徴を捉えた、見事な似顔絵だ。
<12770> 俺の特徴を捉えた、見事な似顔絵だ。

//<12771> 音無
<12771> 音無

//<12772> クソ坊主
<12772> クソ坊主

//<12773> 代理人
<12773> 代理人

//<12774> 微妙すぎるイケメン
<12774> 微妙すぎるイケメン

//<12775> ロリコン
<12775> ロリコン

//<12776> メガネ仲間
<12776> メガネ仲間

//<12777> 暗算日本記録保持者
<12777> 暗算日本記録保持者

//<12778> 通り魔
<12778> 通り魔

//<12779> 記憶ナシ男
<12779> 記憶ナシ男

//<12780> 音速
<12780> 音速

//<12781> 無限
<12781> 無限

//<12782> エロ侍
<12782> エロ侍

//<12783> エロエロ団ナンバー１
<12783> エロエロ団ナンバー１

//<12784> ただのエロ少年
<12784> ただのエロ少年

//<12785> ユリブサイク
<12785> ユリブサイク

//<12786> ドピュッシー
<12786> ドピュッシー

//<12787> アメリカンエロドッグ
<12787> アメリカンエロドッグ

//<12788> ゼウス
<12788> ゼウス

//<12789> 日向markⅡ
<12789> 日向markⅡ

//<12790> 糞虫
<12790> 糞虫

//<12791> 量産型日向
<12791> 量産型日向

//<12792> ？？
<12792> ？？

//<12793> （よし、これならいけるかも知れない）
<12793> （よし、これならいけるかも知れない）

//<12794> 松下
<12794> 松下

//<12795> 「陽菜子さんの似顔絵だって？」
<12795> 「陽菜子さんの似顔絵だって？」

//<12796> 音無
<12796> 音無

//<12797> クソ坊主
<12797> クソ坊主

//<12798> 代理人
<12798> 代理人

//<12799> 微妙すぎるイケメン
<12799> 微妙すぎるイケメン

//<12800> ロリコン
<12800> ロリコン

//<12801> メガネ仲間
<12801> メガネ仲間

//<12802> 暗算日本記録保持者
<12802> 暗算日本記録保持者

//<12803> 通り魔
<12803> 通り魔

//<12804> 記憶ナシ男
<12804> 記憶ナシ男

//<12805> 音速
<12805> 音速

//<12806> 無限
<12806> 無限

//<12807> エロ侍
<12807> エロ侍

//<12808> エロエロ団ナンバー１
<12808> エロエロ団ナンバー１

//<12809> ただのエロ少年
<12809> ただのエロ少年

//<12810> ユリブサイク
<12810> ユリブサイク

//<12811> ドピュッシー
<12811> ドピュッシー

//<12812> アメリカンエロドッグ
<12812> アメリカンエロドッグ

//<12813> ゼウス
<12813> ゼウス

//<12814> 日向markⅡ
<12814> 日向markⅡ

//<12815> 糞虫
<12815> 糞虫

//<12816> 量産型日向
<12816> 量産型日向

//<12817> ？？
<12817> ？？

//<12818> 「ああ、護騨の思い出せる限りのことを教えてくれ。そうしたら、それをもとに椎名が描いてくれる」
<12818> 「ああ、護騨の思い出せる限りのことを教えてくれ。そうしたら、それをもとに椎名が描いてくれる」

//<12819> 松下
<12819> 松下

//<12820> 「椎名がかよ」
<12820> 「椎名がかよ」

//<12821> 音無
<12821> 音無

//<12822> クソ坊主
<12822> クソ坊主

//<12823> 代理人
<12823> 代理人

//<12824> 微妙すぎるイケメン
<12824> 微妙すぎるイケメン

//<12825> ロリコン
<12825> ロリコン

//<12826> メガネ仲間
<12826> メガネ仲間

//<12827> 暗算日本記録保持者
<12827> 暗算日本記録保持者

//<12828> 通り魔
<12828> 通り魔

//<12829> 記憶ナシ男
<12829> 記憶ナシ男

//<12830> 音速
<12830> 音速

//<12831> 無限
<12831> 無限

//<12832> エロ侍
<12832> エロ侍

//<12833> エロエロ団ナンバー１
<12833> エロエロ団ナンバー１

//<12834> ただのエロ少年
<12834> ただのエロ少年

//<12835> ユリブサイク
<12835> ユリブサイク

//<12836> ドピュッシー
<12836> ドピュッシー

//<12837> アメリカンエロドッグ
<12837> アメリカンエロドッグ

//<12838> ゼウス
<12838> ゼウス

//<12839> 日向markⅡ
<12839> 日向markⅡ

//<12840> 糞虫
<12840> 糞虫

//<12841> 量産型日向
<12841> 量産型日向

//<12842> ？？
<12842> ？？

//<12843> 「そうだ。かなりの腕だぞ」
<12843> 「そうだ。かなりの腕だぞ」

//<12844> 椎名
<12844> 椎名

//<12845> 「…うむ」
<12845> 「…うむ」

//<12846> 音無
<12846> 音無

//<12847> クソ坊主
<12847> クソ坊主

//<12848> 代理人
<12848> 代理人

//<12849> 微妙すぎるイケメン
<12849> 微妙すぎるイケメン

//<12850> ロリコン
<12850> ロリコン

//<12851> メガネ仲間
<12851> メガネ仲間

//<12852> 暗算日本記録保持者
<12852> 暗算日本記録保持者

//<12853> 通り魔
<12853> 通り魔

//<12854> 記憶ナシ男
<12854> 記憶ナシ男

//<12855> 音速
<12855> 音速

//<12856> 無限
<12856> 無限

//<12857> エロ侍
<12857> エロ侍

//<12858> エロエロ団ナンバー１
<12858> エロエロ団ナンバー１

//<12859> ただのエロ少年
<12859> ただのエロ少年

//<12860> ユリブサイク
<12860> ユリブサイク

//<12861> ドピュッシー
<12861> ドピュッシー

//<12862> アメリカンエロドッグ
<12862> アメリカンエロドッグ

//<12863> ゼウス
<12863> ゼウス

//<12864> 日向markⅡ
<12864> 日向markⅡ

//<12865> 糞虫
<12865> 糞虫

//<12866> 量産型日向
<12866> 量産型日向

//<12867> ？？
<12867> ？？

//<12868> 「どうだろう」
<12868> 「どうだろう」

//<12869> 松下
<12869> 松下

//<12870> 「そう、言われてもなぁ…」
<12870> 「そう、言われてもなぁ…」

//<12871> 松下
<12871> 松下

//<12872> 「いや、せっかくお前たちがそう言ってくれるんだから、やってみよう」
<12872> 「いや、せっかくお前たちがそう言ってくれるんだから、やってみよう」

//<12873> 松下
<12873> 松下

//<12874> 「陽菜子さんの似顔絵を？」
<12874> 「陽菜子さんの似顔絵を？」

//<12875> 音無
<12875> 音無

//<12876> クソ坊主
<12876> クソ坊主

//<12877> 代理人
<12877> 代理人

//<12878> 微妙すぎるイケメン
<12878> 微妙すぎるイケメン

//<12879> ロリコン
<12879> ロリコン

//<12880> メガネ仲間
<12880> メガネ仲間

//<12881> 暗算日本記録保持者
<12881> 暗算日本記録保持者

//<12882> 通り魔
<12882> 通り魔

//<12883> 記憶ナシ男
<12883> 記憶ナシ男

//<12884> 音速
<12884> 音速

//<12885> 無限
<12885> 無限

//<12886> エロ侍
<12886> エロ侍

//<12887> エロエロ団ナンバー１
<12887> エロエロ団ナンバー１

//<12888> ただのエロ少年
<12888> ただのエロ少年

//<12889> ユリブサイク
<12889> ユリブサイク

//<12890> ドピュッシー
<12890> ドピュッシー

//<12891> アメリカンエロドッグ
<12891> アメリカンエロドッグ

//<12892> ゼウス
<12892> ゼウス

//<12893> 日向markⅡ
<12893> 日向markⅡ

//<12894> 糞虫
<12894> 糞虫

//<12895> 量産型日向
<12895> 量産型日向

//<12896> ？？
<12896> ？？

//<12897> 「ああ、護騨の思い出せる限りのことを教えてくれ。そうしたら、それをもとに椎名が描いてくれる」
<12897> 「ああ、護騨の思い出せる限りのことを教えてくれ。そうしたら、それをもとに椎名が描いてくれる」

//<12898> 松下
<12898> 松下

//<12899> 「椎名が？」
<12899> 「椎名が？」

//<12900> 音無
<12900> 音無

//<12901> クソ坊主
<12901> クソ坊主

//<12902> 代理人
<12902> 代理人

//<12903> 微妙すぎるイケメン
<12903> 微妙すぎるイケメン

//<12904> ロリコン
<12904> ロリコン

//<12905> メガネ仲間
<12905> メガネ仲間

//<12906> 暗算日本記録保持者
<12906> 暗算日本記録保持者

//<12907> 通り魔
<12907> 通り魔

//<12908> 記憶ナシ男
<12908> 記憶ナシ男

//<12909> 音速
<12909> 音速

//<12910> 無限
<12910> 無限

//<12911> エロ侍
<12911> エロ侍

//<12912> エロエロ団ナンバー１
<12912> エロエロ団ナンバー１

//<12913> ただのエロ少年
<12913> ただのエロ少年

//<12914> ユリブサイク
<12914> ユリブサイク

//<12915> ドピュッシー
<12915> ドピュッシー

//<12916> アメリカンエロドッグ
<12916> アメリカンエロドッグ

//<12917> ゼウス
<12917> ゼウス

//<12918> 日向markⅡ
<12918> 日向markⅡ

//<12919> 糞虫
<12919> 糞虫

//<12920> 量産型日向
<12920> 量産型日向

//<12921> ？？
<12921> ？？

//<12922> 「そうだ。かなりの腕だぞ」
<12922> 「そうだ。かなりの腕だぞ」

//<12923> 椎名
<12923> 椎名

//<12924> 「…うむ」
<12924> 「…うむ」

//<12925> 音無
<12925> 音無

//<12926> クソ坊主
<12926> クソ坊主

//<12927> 代理人
<12927> 代理人

//<12928> 微妙すぎるイケメン
<12928> 微妙すぎるイケメン

//<12929> ロリコン
<12929> ロリコン

//<12930> メガネ仲間
<12930> メガネ仲間

//<12931> 暗算日本記録保持者
<12931> 暗算日本記録保持者

//<12932> 通り魔
<12932> 通り魔

//<12933> 記憶ナシ男
<12933> 記憶ナシ男

//<12934> 音速
<12934> 音速

//<12935> 無限
<12935> 無限

//<12936> エロ侍
<12936> エロ侍

//<12937> エロエロ団ナンバー１
<12937> エロエロ団ナンバー１

//<12938> ただのエロ少年
<12938> ただのエロ少年

//<12939> ユリブサイク
<12939> ユリブサイク

//<12940> ドピュッシー
<12940> ドピュッシー

//<12941> アメリカンエロドッグ
<12941> アメリカンエロドッグ

//<12942> ゼウス
<12942> ゼウス

//<12943> 日向markⅡ
<12943> 日向markⅡ

//<12944> 糞虫
<12944> 糞虫

//<12945> 量産型日向
<12945> 量産型日向

//<12946> ？？
<12946> ？？

//<12947> 「どうだろう」
<12947> 「どうだろう」

//<12948> 松下
<12948> 松下

//<12949> 「そう、言われてもな…」
<12949> 「そう、言われてもな…」

//<12950> 松下
<12950> 松下

//<12951> 「いや、せっかくお前たちがそう言ってくれるのだから、やってみよう」
<12951> 「いや、せっかくお前たちがそう言ってくれるのだから、やってみよう」

//<12952> nothing
<12952> nothing

//<12953> nothing
<12953> nothing

//<12954> nothing
<12954> nothing

//<12955> nothing
<12955> nothing

//<12956> nothing
<12956> nothing

//<12957> 松下
<12957> 松下

//<12958> 「うーーん…」
<12958> 「うーーん…」

//<12959> 筆を握り、キャンバスに向かう椎名を前にして、護騨が思案を始める。
<12959> 筆を握り、キャンバスに向かう椎名を前にして、護騨が思案を始める。

//<12960> 少しでも、何かを思い出そうと懸命な様子が傍から見ても、よくわかる。
<12960> 少しでも、何かを思い出そうと懸命な様子が傍から見ても、よくわかる。

//<12961> 松下
<12961> 松下

//<12962> 「まず…」
<12962> 「まず…」

//<12963> 音無
<12963> 音無

//<12964> クソ坊主
<12964> クソ坊主

//<12965> 代理人
<12965> 代理人

//<12966> 微妙すぎるイケメン
<12966> 微妙すぎるイケメン

//<12967> ロリコン
<12967> ロリコン

//<12968> メガネ仲間
<12968> メガネ仲間

//<12969> 暗算日本記録保持者
<12969> 暗算日本記録保持者

//<12970> 通り魔
<12970> 通り魔

//<12971> 記憶ナシ男
<12971> 記憶ナシ男

//<12972> 音速
<12972> 音速

//<12973> 無限
<12973> 無限

//<12974> エロ侍
<12974> エロ侍

//<12975> エロエロ団ナンバー１
<12975> エロエロ団ナンバー１

//<12976> ただのエロ少年
<12976> ただのエロ少年

//<12977> ユリブサイク
<12977> ユリブサイク

//<12978> ドピュッシー
<12978> ドピュッシー

//<12979> アメリカンエロドッグ
<12979> アメリカンエロドッグ

//<12980> ゼウス
<12980> ゼウス

//<12981> 日向markⅡ
<12981> 日向markⅡ

//<12982> 糞虫
<12982> 糞虫

//<12983> 量産型日向
<12983> 量産型日向

//<12984> ？？
<12984> ？？

//<12985> 「…まず」
<12985> 「…まず」

//<12986> 松下
<12986> 松下

//<12987> 「目がふたつだ」
<12987> 「目がふたつだ」

//<12988> nothing
<12988> nothing

//<12989> nothing
<12989> nothing

//<12990> nothing
<12990> nothing

//<12991> nothing
<12991> nothing

//<12992> nothing
<12992> nothing

//<12993> 椎名
<12993> 椎名

//<12994> 「わかった。目はふたつ、と」
<12994> 「わかった。目はふたつ、と」

//<12995> nothing
<12995> nothing

//<12996> nothing
<12996> nothing

//<12997> nothing
<12997> nothing

//<12998> nothing
<12998> nothing

//<12999> nothing
<12999> nothing

//<13000> こんなんで大丈夫なのだろうか。
<13000> こんなんで大丈夫なのだろうか。

//<13001> 松下
<13001> 松下

//<13002> 「あと、鼻がひとつで口がひとつ、そうだ、耳は左右にふたつだ」
<13002> 「あと、鼻がひとつで口がひとつ、そうだ、耳は左右にふたつだ」

//<13003> nothing
<13003> nothing

//<13004> nothing
<13004> nothing

//<13005> nothing
<13005> nothing

//<13006> nothing
<13006> nothing

//<13007> nothing
<13007> nothing

//<13008> 椎名
<13008> 椎名

//<13009> 「ほぅ…毛は？」
<13009> 「ほぅ…毛は？」

//<13010> 松下
<13010> 松下

//<13011> 「眉毛、まつげ、そして頭にはがっつりと…」
<13011> 「眉毛、まつげ、そして頭にはがっつりと…」

//<13012> nothing
<13012> nothing

//<13013> nothing
<13013> nothing

//<13014> nothing
<13014> nothing

//<13015> nothing
<13015> nothing

//<13016> nothing
<13016> nothing

//<13017> 椎名
<13017> 椎名

//<13018> 「む…」
<13018> 「む…」

//<13019> nothing
<13019> nothing

//<13020> nothing
<13020> nothing

//<13021> nothing
<13021> nothing

//<13022> nothing
<13022> nothing

//<13023> nothing
<13023> nothing

//<13024> 椎名
<13024> 椎名

//<13025> 「ということは、もしかして…」
<13025> 「ということは、もしかして…」

//<13026> nothing
<13026> nothing

//<13027> nothing
<13027> nothing

//<13028> nothing
<13028> nothing

//<13029> nothing
<13029> nothing

//<13030> nothing
<13030> nothing

//<13031> 椎名
<13031> 椎名

//<13032> 「相手は人間なのか…？」
<13032> 「相手は人間なのか…？」

//<13033> 松下
<13033> 松下

//<13034> 「ああ、人間だ」
<13034> 「ああ、人間だ」

//<13035> nothing
<13035> nothing

//<13036> nothing
<13036> nothing

//<13037> nothing
<13037> nothing

//<13038> nothing
<13038> nothing

//<13039> nothing
<13039> nothing

//<13040> nothing
<13040> nothing

//<13041> 音無
<13041> 音無

//<13042> クソ坊主
<13042> クソ坊主

//<13043> 代理人
<13043> 代理人

//<13044> 微妙すぎるイケメン
<13044> 微妙すぎるイケメン

//<13045> ロリコン
<13045> ロリコン

//<13046> メガネ仲間
<13046> メガネ仲間

//<13047> 暗算日本記録保持者
<13047> 暗算日本記録保持者

//<13048> 通り魔
<13048> 通り魔

//<13049> 記憶ナシ男
<13049> 記憶ナシ男

//<13050> 音速
<13050> 音速

//<13051> 無限
<13051> 無限

//<13052> エロ侍
<13052> エロ侍

//<13053> エロエロ団ナンバー１
<13053> エロエロ団ナンバー１

//<13054> ただのエロ少年
<13054> ただのエロ少年

//<13055> ユリブサイク
<13055> ユリブサイク

//<13056> ドピュッシー
<13056> ドピュッシー

//<13057> アメリカンエロドッグ
<13057> アメリカンエロドッグ

//<13058> ゼウス
<13058> ゼウス

//<13059> 日向markⅡ
<13059> 日向markⅡ

//<13060> 糞虫
<13060> 糞虫

//<13061> 量産型日向
<13061> 量産型日向

//<13062> ？？
<13062> ？？

//<13063> 「だぁーーーー！！」
<13063> 「だぁーーーー！！」

//<13064> 俺は思いきり、叫んでしまう。
<13064> 俺は思いきり、叫んでしまう。

//<13065> nothing
<13065> nothing

//<13066> nothing
<13066> nothing

//<13067> nothing
<13067> nothing

//<13068> nothing
<13068> nothing

//<13069> 松下
<13069> 松下

//<13070> 「あん？　どうした？」
<13070> 「あん？　どうした？」

//<13071> 音無
<13071> 音無

//<13072> クソ坊主
<13072> クソ坊主

//<13073> 代理人
<13073> 代理人

//<13074> 微妙すぎるイケメン
<13074> 微妙すぎるイケメン

//<13075> ロリコン
<13075> ロリコン

//<13076> メガネ仲間
<13076> メガネ仲間

//<13077> 暗算日本記録保持者
<13077> 暗算日本記録保持者

//<13078> 通り魔
<13078> 通り魔

//<13079> 記憶ナシ男
<13079> 記憶ナシ男

//<13080> 音速
<13080> 音速

//<13081> 無限
<13081> 無限

//<13082> エロ侍
<13082> エロ侍

//<13083> エロエロ団ナンバー１
<13083> エロエロ団ナンバー１

//<13084> ただのエロ少年
<13084> ただのエロ少年

//<13085> ユリブサイク
<13085> ユリブサイク

//<13086> ドピュッシー
<13086> ドピュッシー

//<13087> アメリカンエロドッグ
<13087> アメリカンエロドッグ

//<13088> ゼウス
<13088> ゼウス

//<13089> 日向markⅡ
<13089> 日向markⅡ

//<13090> 糞虫
<13090> 糞虫

//<13091> 量産型日向
<13091> 量産型日向

//<13092> ？？
<13092> ？？

//<13093> 「護騨は、情報が雑すぎ！　椎名も途中まで人間と気づかないなんて、似顔絵以前の問題だぁーー！！」
<13093> 「護騨は、情報が雑すぎ！　椎名も途中まで人間と気づかないなんて、似顔絵以前の問題だぁーー！！」

//<13094> nothing
<13094> nothing

//<13095> nothing
<13095> nothing

//<13096> nothing
<13096> nothing

//<13097> nothing
<13097> nothing

//<13098> 松下
<13098> 松下

//<13099> 「…すまねぇ、ほんとに思い出せねぇんだ」
<13099> 「…すまねぇ、ほんとに思い出せねぇんだ」

//<13100> nothing
<13100> nothing

//<13101> nothing
<13101> nothing

//<13102> nothing
<13102> nothing

//<13103> nothing
<13103> nothing

//<13104> 椎名
<13104> 椎名

//<13105> 「その口調、合ってるのか？」
<13105> 「その口調、合ってるのか？」

//<13106> 音無
<13106> 音無

//<13107> クソ坊主
<13107> クソ坊主

//<13108> 代理人
<13108> 代理人

//<13109> 微妙すぎるイケメン
<13109> 微妙すぎるイケメン

//<13110> ロリコン
<13110> ロリコン

//<13111> メガネ仲間
<13111> メガネ仲間

//<13112> 暗算日本記録保持者
<13112> 暗算日本記録保持者

