// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> こんなに受け続けていて、大丈夫なのだろうか…。
<0000> こんなに受け続けていて、大丈夫なのだろうか…。
//<1069> 通り魔
<1069> 通り魔

//<1070> 記憶ナシ男
<1070> 記憶ナシ男

//<1071> 音速
<1071> 音速

//<1072> 無限
<1072> 無限

//<1073> エロ侍
<1073> エロ侍

//<1074> エロエロ団ナンバー１
<1074> エロエロ団ナンバー１

//<1075> ただのエロ少年
<1075> ただのエロ少年

//<1076> ユリブサイク
<1076> ユリブサイク

//<1077> ドピュッシー
<1077> ドピュッシー

//<1078> アメリカンエロドッグ
<1078> アメリカンエロドッグ

//<1079> ゼウス
<1079> ゼウス

//<1080> 日向markⅡ
<1080> 日向markⅡ

//<1081> 糞虫
<1081> 糞虫

//<1082> 量産型日向
<1082> 量産型日向

//<1083> ？？
<1083> ？？

//<1084> 「そうしたら、ここから出られる」
<1084> 「そうしたら、ここから出られる」

//<1085> nothing
<1085> nothing

//<1086> nothing
<1086> nothing

//<1087> nothing
<1087> nothing

//<1088> nothing
<1088> nothing

//<1089> nothing
<1089> nothing

//<1090> 天使
<1090> 天使

//<1091> かなで
<1091> かなで

//<1092> 女生徒
<1092> 女生徒

//<1093> ？？
<1093> ？？

//<1094> 「そうかもしれないわね」
<1094> 「そうかもしれないわね」

//<1095> 音無
<1095> 音無

//<1096> クソ坊主
<1096> クソ坊主

//<1097> 代理人
<1097> 代理人

//<1098> 微妙すぎるイケメン
<1098> 微妙すぎるイケメン

//<1099> ロリコン
<1099> ロリコン

//<1100> メガネ仲間
<1100> メガネ仲間

//<1101> 暗算日本記録保持者
<1101> 暗算日本記録保持者

//<1102> 通り魔
<1102> 通り魔

//<1103> 記憶ナシ男
<1103> 記憶ナシ男

//<1104> 音速
<1104> 音速

//<1105> 無限
<1105> 無限

//<1106> エロ侍
<1106> エロ侍

//<1107> エロエロ団ナンバー１
<1107> エロエロ団ナンバー１

//<1108> ただのエロ少年
<1108> ただのエロ少年

//<1109> ユリブサイク
<1109> ユリブサイク

//<1110> ドピュッシー
<1110> ドピュッシー

//<1111> アメリカンエロドッグ
<1111> アメリカンエロドッグ

//<1112> ゼウス
<1112> ゼウス

//<1113> 日向markⅡ
<1113> 日向markⅡ

//<1114> 糞虫
<1114> 糞虫

//<1115> 量産型日向
<1115> 量産型日向

//<1116> ？？
<1116> ？？

//<1117> 「そこには神が居るかもしれないし…」
<1117> 「そこには神が居るかもしれないし…」

//<1118> 音無
<1118> 音無

//<1119> クソ坊主
<1119> クソ坊主

//<1120> 代理人
<1120> 代理人

//<1121> 微妙すぎるイケメン
<1121> 微妙すぎるイケメン

//<1122> ロリコン
<1122> ロリコン

//<1123> メガネ仲間
<1123> メガネ仲間

//<1124> 暗算日本記録保持者
<1124> 暗算日本記録保持者

//<1125> 通り魔
<1125> 通り魔

//<1126> 記憶ナシ男
<1126> 記憶ナシ男

//<1127> 音速
<1127> 音速

//<1128> 無限
<1128> 無限

//<1129> エロ侍
<1129> エロ侍

//<1130> エロエロ団ナンバー１
<1130> エロエロ団ナンバー１

//<1131> ただのエロ少年
<1131> ただのエロ少年

//<1132> ユリブサイク
<1132> ユリブサイク

//<1133> ドピュッシー
<1133> ドピュッシー

//<1134> アメリカンエロドッグ
<1134> アメリカンエロドッグ

//<1135> ゼウス
<1135> ゼウス

//<1136> 日向markⅡ
<1136> 日向markⅡ

//<1137> 糞虫
<1137> 糞虫

//<1138> 量産型日向
<1138> 量産型日向

//<1139> ？？
<1139> ？？

//<1140> 「もしかしたら死後の世界から抜け出すイコール、生き返ることかもしれない」
<1140> 「もしかしたら死後の世界から抜け出すイコール、生き返ることかもしれない」

//<1141> nothing
<1141> nothing

//<1142> nothing
<1142> nothing

//<1143> nothing
<1143> nothing

//<1144> nothing
<1144> nothing

//<1145> nothing
<1145> nothing

//<1146> 天使
<1146> 天使

//<1147> かなで
<1147> かなで

//<1148> 女生徒
<1148> 女生徒

//<1149> ？？
<1149> ？？

//<1150> 「現世ではすでに灰よ？」
<1150> 「現世ではすでに灰よ？」

//<1151> 音無
<1151> 音無

//<1152> クソ坊主
<1152> クソ坊主

//<1153> 代理人
<1153> 代理人

//<1154> 微妙すぎるイケメン
<1154> 微妙すぎるイケメン

//<1155> ロリコン
<1155> ロリコン

//<1156> メガネ仲間
<1156> メガネ仲間

//<1157> 暗算日本記録保持者
<1157> 暗算日本記録保持者

//<1158> 通り魔
<1158> 通り魔

//<1159> 記憶ナシ男
<1159> 記憶ナシ男

//<1160> 音速
<1160> 音速

//<1161> 無限
<1161> 無限

//<1162> エロ侍
<1162> エロ侍

//<1163> エロエロ団ナンバー１
<1163> エロエロ団ナンバー１

//<1164> ただのエロ少年
<1164> ただのエロ少年

//<1165> ユリブサイク
<1165> ユリブサイク

//<1166> ドピュッシー
<1166> ドピュッシー

//<1167> アメリカンエロドッグ
<1167> アメリカンエロドッグ

//<1168> ゼウス
<1168> ゼウス

//<1169> 日向markⅡ
<1169> 日向markⅡ

//<1170> 糞虫
<1170> 糞虫

//<1171> 量産型日向
<1171> 量産型日向

//<1172> ？？
<1172> ？？

//<1173> 「そりゃ時間が巻き戻るんだよ」
<1173> 「そりゃ時間が巻き戻るんだよ」

//<1174> nothing
<1174> nothing

//<1175> nothing
<1175> nothing

//<1176> nothing
<1176> nothing

//<1177> nothing
<1177> nothing

//<1178> nothing
<1178> nothing

//<1179> 天使
<1179> 天使

//<1180> かなで
<1180> かなで

//<1181> 女生徒
<1181> 女生徒

//<1182> ？？
<1182> ？？

//<1183> 「都合のいい話ね」
<1183> 「都合のいい話ね」

//<1184> 音無
<1184> 音無

//<1185> クソ坊主
<1185> クソ坊主

//<1186> 代理人
<1186> 代理人

//<1187> 微妙すぎるイケメン
<1187> 微妙すぎるイケメン

//<1188> ロリコン
<1188> ロリコン

//<1189> メガネ仲間
<1189> メガネ仲間

//<1190> 暗算日本記録保持者
<1190> 暗算日本記録保持者

//<1191> 通り魔
<1191> 通り魔

//<1192> 記憶ナシ男
<1192> 記憶ナシ男

//<1193> 音速
<1193> 音速

//<1194> 無限
<1194> 無限

//<1195> エロ侍
<1195> エロ侍

//<1196> エロエロ団ナンバー１
<1196> エロエロ団ナンバー１

//<1197> ただのエロ少年
<1197> ただのエロ少年

//<1198> ユリブサイク
<1198> ユリブサイク

//<1199> ドピュッシー
<1199> ドピュッシー

//<1200> アメリカンエロドッグ
<1200> アメリカンエロドッグ

//<1201> ゼウス
<1201> ゼウス

//<1202> 日向markⅡ
<1202> 日向markⅡ

//<1203> 糞虫
<1203> 糞虫

//<1204> 量産型日向
<1204> 量産型日向

//<1205> ？？
<1205> ？？

//<1206> 「それぐらいの見返りがあったっていいだろう」
<1206> 「それぐらいの見返りがあったっていいだろう」

//<1207> 音無
<1207> 音無

//<1208> クソ坊主
<1208> クソ坊主

//<1209> 代理人
<1209> 代理人

//<1210> 微妙すぎるイケメン
<1210> 微妙すぎるイケメン

//<1211> ロリコン
<1211> ロリコン

//<1212> メガネ仲間
<1212> メガネ仲間

//<1213> 暗算日本記録保持者
<1213> 暗算日本記録保持者

//<1214> 通り魔
<1214> 通り魔

//<1215> 記憶ナシ男
<1215> 記憶ナシ男

//<1216> 音速
<1216> 音速

//<1217> 無限
<1217> 無限

//<1218> エロ侍
<1218> エロ侍

//<1219> エロエロ団ナンバー１
<1219> エロエロ団ナンバー１

//<1220> ただのエロ少年
<1220> ただのエロ少年

//<1221> ユリブサイク
<1221> ユリブサイク

//<1222> ドピュッシー
<1222> ドピュッシー

//<1223> アメリカンエロドッグ
<1223> アメリカンエロドッグ

//<1224> ゼウス
<1224> ゼウス

//<1225> 日向markⅡ
<1225> 日向markⅡ

//<1226> 糞虫
<1226> 糞虫

//<1227> 量産型日向
<1227> 量産型日向

//<1228> ？？
<1228> ？？

//<1229> 「何か特別なことが起きるに違いない」
<1229> 「何か特別なことが起きるに違いない」

//<1230> nothing
<1230> nothing

//<1231> nothing
<1231> nothing

//<1232> nothing
<1232> nothing

//<1233> nothing
<1233> nothing

//<1234> nothing
<1234> nothing

//<1235> 天使
<1235> 天使

//<1236> かなで
<1236> かなで

//<1237> 女生徒
<1237> 女生徒

//<1238> ？？
<1238> ？？

//<1239> 「そ」
<1239> 「そ」

//<1240> 音無
<1240> 音無

//<1241> クソ坊主
<1241> クソ坊主

//<1242> 代理人
<1242> 代理人

//<1243> 微妙すぎるイケメン
<1243> 微妙すぎるイケメン

//<1244> ロリコン
<1244> ロリコン

//<1245> メガネ仲間
<1245> メガネ仲間

//<1246> 暗算日本記録保持者
<1246> 暗算日本記録保持者

//<1247> 通り魔
<1247> 通り魔

//<1248> 記憶ナシ男
<1248> 記憶ナシ男

//<1249> 音速
<1249> 音速

//<1250> 無限
<1250> 無限

//<1251> エロ侍
<1251> エロ侍

//<1252> エロエロ団ナンバー１
<1252> エロエロ団ナンバー１

//<1253> ただのエロ少年
<1253> ただのエロ少年

//<1254> ユリブサイク
<1254> ユリブサイク

//<1255> ドピュッシー
<1255> ドピュッシー

//<1256> アメリカンエロドッグ
<1256> アメリカンエロドッグ

//<1257> ゼウス
<1257> ゼウス

//<1258> 日向markⅡ
<1258> 日向markⅡ

//<1259> 糞虫
<1259> 糞虫

//<1260> 量産型日向
<1260> 量産型日向

//<1261> ？？
<1261> ？？

//<1262> 「試してみる価値はあると思う」
<1262> 「試してみる価値はあると思う」

//<1263> nothing
<1263> nothing

//<1264> nothing
<1264> nothing

//<1265> nothing
<1265> nothing

//<1266> nothing
<1266> nothing

//<1267> nothing
<1267> nothing

//<1268> 天使
<1268> 天使

//<1269> かなで
<1269> かなで

//<1270> 女生徒
<1270> 女生徒

//<1271> ？？
<1271> ？？

//<1272> 「やるの？」
<1272> 「やるの？」

//<1273> 音無
<1273> 音無

//<1274> クソ坊主
<1274> クソ坊主

//<1275> 代理人
<1275> 代理人

//<1276> 微妙すぎるイケメン
<1276> 微妙すぎるイケメン

//<1277> ロリコン
<1277> ロリコン

//<1278> メガネ仲間
<1278> メガネ仲間

//<1279> 暗算日本記録保持者
<1279> 暗算日本記録保持者

//<1280> 通り魔
<1280> 通り魔

//<1281> 記憶ナシ男
<1281> 記憶ナシ男

//<1282> 音速
<1282> 音速

//<1283> 無限
<1283> 無限

//<1284> エロ侍
<1284> エロ侍

//<1285> エロエロ団ナンバー１
<1285> エロエロ団ナンバー１

//<1286> ただのエロ少年
<1286> ただのエロ少年

//<1287> ユリブサイク
<1287> ユリブサイク

//<1288> ドピュッシー
<1288> ドピュッシー

//<1289> アメリカンエロドッグ
<1289> アメリカンエロドッグ

//<1290> ゼウス
<1290> ゼウス

//<1291> 日向markⅡ
<1291> 日向markⅡ

//<1292> 糞虫
<1292> 糞虫

//<1293> 量産型日向
<1293> 量産型日向

//<1294> ？？
<1294> ？？

//<1295> 「いつか、気が向いたらな」
<1295> 「いつか、気が向いたらな」

//<1296> nothing
<1296> nothing

//<1297> nothing
<1297> nothing

//<1298> nothing
<1298> nothing

//<1299> nothing
<1299> nothing

//<1300> nothing
<1300> nothing

//<1301> 天使
<1301> 天使

//<1302> かなで
<1302> かなで

//<1303> 女生徒
<1303> 女生徒

//<1304> ？？
<1304> ？？

//<1305> 「だったら止めるわ」
<1305> 「だったら止めるわ」

//<1306> 音無
<1306> 音無

//<1307> クソ坊主
<1307> クソ坊主

//<1308> 代理人
<1308> 代理人

//<1309> 微妙すぎるイケメン
<1309> 微妙すぎるイケメン

//<1310> ロリコン
<1310> ロリコン

//<1311> メガネ仲間
<1311> メガネ仲間

//<1312> 暗算日本記録保持者
<1312> 暗算日本記録保持者

//<1313> 通り魔
<1313> 通り魔

//<1314> 記憶ナシ男
<1314> 記憶ナシ男

//<1315> 音速
<1315> 音速

//<1316> 無限
<1316> 無限

//<1317> エロ侍
<1317> エロ侍

//<1318> エロエロ団ナンバー１
<1318> エロエロ団ナンバー１

//<1319> ただのエロ少年
<1319> ただのエロ少年

//<1320> ユリブサイク
<1320> ユリブサイク

//<1321> ドピュッシー
<1321> ドピュッシー

//<1322> アメリカンエロドッグ
<1322> アメリカンエロドッグ

//<1323> ゼウス
<1323> ゼウス

//<1324> 日向markⅡ
<1324> 日向markⅡ

//<1325> 糞虫
<1325> 糞虫

//<1326> 量産型日向
<1326> 量産型日向

//<1327> ？？
<1327> ？？

//<1328> 「どうして」
<1328> 「どうして」

//<1329> nothing
<1329> nothing

//<1330> nothing
<1330> nothing

//<1331> nothing
<1331> nothing

//<1332> nothing
<1332> nothing

//<1333> nothing
<1333> nothing

//<1334> 天使
<1334> 天使

//<1335> かなで
<1335> かなで

//<1336> 女生徒
<1336> 女生徒

//<1337> ？？
<1337> ？？

//<1338> 「だって、あの壁を越えるほどの木を伐採するなんて、環境破壊じゃない」
<1338> 「だって、あの壁を越えるほどの木を伐採するなんて、環境破壊じゃない」

//<1339> 音無
<1339> 音無

//<1340> クソ坊主
<1340> クソ坊主

//<1341> 代理人
<1341> 代理人

//<1342> 微妙すぎるイケメン
<1342> 微妙すぎるイケメン

//<1343> ロリコン
<1343> ロリコン

//<1344> メガネ仲間
<1344> メガネ仲間

//<1345> 暗算日本記録保持者
<1345> 暗算日本記録保持者

//<1346> 通り魔
<1346> 通り魔

//<1347> 記憶ナシ男
<1347> 記憶ナシ男

//<1348> 音速
<1348> 音速

//<1349> 無限
<1349> 無限

//<1350> エロ侍
<1350> エロ侍

//<1351> エロエロ団ナンバー１
<1351> エロエロ団ナンバー１

//<1352> ただのエロ少年
<1352> ただのエロ少年

//<1353> ユリブサイク
<1353> ユリブサイク

//<1354> ドピュッシー
<1354> ドピュッシー

//<1355> アメリカンエロドッグ
<1355> アメリカンエロドッグ

//<1356> ゼウス
<1356> ゼウス

//<1357> 日向markⅡ
<1357> 日向markⅡ

//<1358> 糞虫
<1358> 糞虫

//<1359> 量産型日向
<1359> 量産型日向

//<1360> ？？
<1360> ？？

//<1361> 「じゃ、やる時はひっそりとやるよ」
<1361> 「じゃ、やる時はひっそりとやるよ」

//<1362> nothing
<1362> nothing

//<1363> nothing
<1363> nothing

//<1364> nothing
<1364> nothing

//<1365> nothing
<1365> nothing

//<1366> nothing
<1366> nothing

//<1367> 天使
<1367> 天使

//<1368> かなで
<1368> かなで

//<1369> 女生徒
<1369> 女生徒

//<1370> ？？
<1370> ？？

//<1371> 「そ」
<1371> 「そ」

//<1372> 味気ない返事。
<1372> 味気ない返事。

//<1373> nothing
<1373> nothing

//<1374> nothing
<1374> nothing

//<1375> nothing
<1375> nothing

//<1376> nothing
<1376> nothing

//<1377> nothing
<1377> nothing

//<1378> nothing
<1378> nothing

//<1379> 教室を後にした。
<1379> 教室を後にした。

//<1380> dummy
<1380> dummy

//<1381> m204
<1381> m204

//<1382> kn0905
<1382> kn0905

//<1383> bg_kuro
<1383> bg_kuro

//<1384> ep88_bg016
<1384> ep88_bg016

//<1385> m127
<1385> m127

//<1386> bg_siro
<1386> bg_siro

//<1387> ep06_bg008
<1387> ep06_bg008

//<1388> kn0901
<1388> kn0901

//<1389> bg_siro
<1389> bg_siro

//<1390> ep88_bg016
<1390> ep88_bg016

//<1391> bg_kuro
<1391> bg_kuro

//<1392> kn0101
<1392> kn0101

//<1393> kn0102_08
<1393> kn0102_08

//<1394> kn0101
<1394> kn0101

//<1395> sys_bk_selline00
<1395> sys_bk_selline00

//<1396> kn0901
<1396> kn0901

//<1397> kn0909
<1397> kn0909

//<1398> kn0901_05
<1398> kn0901_05

//<1399> kn0901
<1399> kn0901

//<1400> kn0901_05
<1400> kn0901_05

//<1401> m118
<1401> m118

//<1402> kn0901
<1402> kn0901

//<1403> kn0901_05
<1403> kn0901_05

//<1404> kn0101
<1404> kn0101

//<1405> kn0101_08
<1405> kn0101_08

//<1406> kn0102_08
<1406> kn0102_08

//<1407> kn0101
<1407> kn0101

//<1408> kn0101_08
<1408> kn0101_08

//<1409> kn0102_01
<1409> kn0102_01

//<1410> kn0101
<1410> kn0101

//<1411> m127
<1411> m127

//<1412> kn0101
<1412> kn0101

//<1413> kn0101_08
<1413> kn0101_08

//<1414> kn0101
<1414> kn0101

//<1415> kn0901
<1415> kn0901

//<1416> kn0901_05
<1416> kn0901_05

//<1417> kn0901
<1417> kn0901

//<1418> kn0901_05
<1418> kn0901_05

//<1419> kn0901
<1419> kn0901

//<1420> bg_siro
<1420> bg_siro

//<1421> ep88_bg002
<1421> ep88_bg002

//<1422> yr0109
<1422> yr0109

//<1423> yr0509
<1423> yr0509

//<1424> bg_siro
<1424> bg_siro
{19c84} 0a // 1424

//<1425> ep88_bg016
<1425> ep88_bg016

//<1426> kn0901
<1426> kn0901

//<1427> kn0901_05
<1427> kn0901_05

//<1428> kn0909
<1428> kn0909

//<1429> kn0901
<1429> kn0901

//<1430> kn0901_05
<1430> kn0901_05

//<1431> kn0901
<1431> kn0901

//<1432> kn0909
<1432> kn0909

//<1433> kn0901_05
<1433> kn0901_05

//<1434> kn0901
<1434> kn0901

//<1435> kn0101_08
<1435> kn0101_08

//<1436> kn0101
<1436> kn0101

