// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 昨日の作戦で、天使の部屋で見たものがずっと気になっていた。
<0000> 昨日の作戦で、天使の部屋で見たものがずっと気になっていた。
//<1066> ゆり
<1066> ゆり

//<1067> 女生徒
<1067> 女生徒

//<1068> ？？
<1068> ？？

//<1069> 「助かるわ。天使に対しての作戦はあたしが練るから、今後はそんなこと考えずにね」
<1069> 「助かるわ。天使に対しての作戦はあたしが練るから、今後はそんなこと考えずにね」

//<1070> 音無
<1070> 音無

//<1071> クソ坊主
<1071> クソ坊主

//<1072> 代理人
<1072> 代理人

//<1073> 微妙すぎるイケメン
<1073> 微妙すぎるイケメン

//<1074> ロリコン
<1074> ロリコン

//<1075> メガネ仲間
<1075> メガネ仲間

//<1076> 暗算日本記録保持者
<1076> 暗算日本記録保持者

//<1077> 通り魔
<1077> 通り魔

//<1078> 記憶ナシ男
<1078> 記憶ナシ男

//<1079> 音速
<1079> 音速

//<1080> 無限
<1080> 無限

//<1081> エロ侍
<1081> エロ侍

//<1082> エロエロ団ナンバー１
<1082> エロエロ団ナンバー１

//<1083> ただのエロ少年
<1083> ただのエロ少年

//<1084> ユリブサイク
<1084> ユリブサイク

//<1085> ドピュッシー
<1085> ドピュッシー

//<1086> アメリカンエロドッグ
<1086> アメリカンエロドッグ

//<1087> ゼウス
<1087> ゼウス

//<1088> 日向markⅡ
<1088> 日向markⅡ

//<1089> 糞虫
<1089> 糞虫

//<1090> 量産型日向
<1090> 量産型日向

//<1091> ？？
<1091> ？？

//<1092> 「なにか俺に手伝えることはないか？」
<1092> 「なにか俺に手伝えることはないか？」

//<1093> nothing
<1093> nothing

//<1094> nothing
<1094> nothing

//<1095> nothing
<1095> nothing

//<1096> nothing
<1096> nothing

//<1097> nothing
<1097> nothing

//<1098> ゆり
<1098> ゆり

//<1099> 女生徒
<1099> 女生徒

//<1100> ？？
<1100> ？？

//<1101> 「あなたはまだまだ新米なんだから、幹部のみんなに追いつくぐらい、体力作りと銃の練習に努めなさい」
<1101> 「あなたはまだまだ新米なんだから、幹部のみんなに追いつくぐらい、体力作りと銃の練習に努めなさい」

//<1102> 考えるのはリーダーであるゆりの仕事ってことか。
<1102> 考えるのはリーダーであるゆりの仕事ってことか。

//<1103> いや、今はその指示に従っておこう。
<1103> いや、今はその指示に従っておこう。

//<1104> あれ？　と違和感を覚える。
<1104> あれ？　と違和感を覚える。

//<1105> 音無
<1105> 音無

//<1106> クソ坊主
<1106> クソ坊主

//<1107> 代理人
<1107> 代理人

//<1108> 微妙すぎるイケメン
<1108> 微妙すぎるイケメン

//<1109> ロリコン
<1109> ロリコン

//<1110> メガネ仲間
<1110> メガネ仲間

//<1111> 暗算日本記録保持者
<1111> 暗算日本記録保持者

//<1112> 通り魔
<1112> 通り魔

//<1113> 記憶ナシ男
<1113> 記憶ナシ男

//<1114> 音速
<1114> 音速

//<1115> 無限
<1115> 無限

//<1116> エロ侍
<1116> エロ侍

//<1117> エロエロ団ナンバー１
<1117> エロエロ団ナンバー１

//<1118> ただのエロ少年
<1118> ただのエロ少年

//<1119> ユリブサイク
<1119> ユリブサイク

//<1120> ドピュッシー
<1120> ドピュッシー

//<1121> アメリカンエロドッグ
<1121> アメリカンエロドッグ

//<1122> ゼウス
<1122> ゼウス

//<1123> 日向markⅡ
<1123> 日向markⅡ

//<1124> 糞虫
<1124> 糞虫

//<1125> 量産型日向
<1125> 量産型日向

//<1126> ？？
<1126> ？？

//<1127> 「恐らくだけど…ゆり、その考えは戦線のモラルに反しないか」
<1127> 「恐らくだけど…ゆり、その考えは戦線のモラルに反しないか」

//<1128> nothing
<1128> nothing

//<1129> nothing
<1129> nothing

//<1130> nothing
<1130> nothing

//<1131> nothing
<1131> nothing

//<1132> nothing
<1132> nothing

//<1133> ゆり
<1133> ゆり

//<1134> 女生徒
<1134> 女生徒

//<1135> ？？
<1135> ？？

//<1136> 「どうして？」
<1136> 「どうして？」

//<1137> 音無
<1137> 音無

//<1138> クソ坊主
<1138> クソ坊主

//<1139> 代理人
<1139> 代理人

//<1140> 微妙すぎるイケメン
<1140> 微妙すぎるイケメン

//<1141> ロリコン
<1141> ロリコン

//<1142> メガネ仲間
<1142> メガネ仲間

//<1143> 暗算日本記録保持者
<1143> 暗算日本記録保持者

//<1144> 通り魔
<1144> 通り魔

//<1145> 記憶ナシ男
<1145> 記憶ナシ男

//<1146> 音速
<1146> 音速

//<1147> 無限
<1147> 無限

//<1148> エロ侍
<1148> エロ侍

//<1149> エロエロ団ナンバー１
<1149> エロエロ団ナンバー１

//<1150> ただのエロ少年
<1150> ただのエロ少年

//<1151> ユリブサイク
<1151> ユリブサイク

//<1152> ドピュッシー
<1152> ドピュッシー

//<1153> アメリカンエロドッグ
<1153> アメリカンエロドッグ

//<1154> ゼウス
<1154> ゼウス

//<1155> 日向markⅡ
<1155> 日向markⅡ

//<1156> 糞虫
<1156> 糞虫

//<1157> 量産型日向
<1157> 量産型日向

//<1158> ？？
<1158> ？？

//<1159> 「だって、初日の質問でお前は、人間は貴重な仲間だ、と言ったじゃないか」
<1159> 「だって、初日の質問でお前は、人間は貴重な仲間だ、と言ったじゃないか」

//<1160> nothing
<1160> nothing

//<1161> nothing
<1161> nothing

//<1162> nothing
<1162> nothing

//<1163> nothing
<1163> nothing

//<1164> nothing
<1164> nothing

//<1165> ゆり
<1165> ゆり

//<1166> 女生徒
<1166> 女生徒

//<1167> ？？
<1167> ？？

//<1168> 「………」
<1168> 「………」

//<1169> 図星なのか、ゆりはしばらく目を瞑った。
<1169> 図星なのか、ゆりはしばらく目を瞑った。

//<1170> nothing
<1170> nothing

//<1171> nothing
<1171> nothing

//<1172> nothing
<1172> nothing

//<1173> nothing
<1173> nothing

//<1174> nothing
<1174> nothing

//<1175> ゆり
<1175> ゆり

//<1176> 女生徒
<1176> 女生徒

//<1177> ？？
<1177> ？？

//<1178> 「そうね…」
<1178> 「そうね…」

//<1179> うっすらと目を開き、ため息混じりにそう答えた。
<1179> うっすらと目を開き、ため息混じりにそう答えた。

//<1180> nothing
<1180> nothing

//<1181> nothing
<1181> nothing

//<1182> nothing
<1182> nothing

//<1183> nothing
<1183> nothing

//<1184> nothing
<1184> nothing

//<1185> ゆり
<1185> ゆり

//<1186> 女生徒
<1186> 女生徒

//<1187> ？？
<1187> ？？

//<1188> 「じゃあ、あなたは天使を仲間に加えろと？」
<1188> 「じゃあ、あなたは天使を仲間に加えろと？」

//<1189> 戦線のルール的には仲間に加えるべき
<1189> 戦線のルール的には仲間に加えるべき

//<1190> 戦線の事を考えれば、今はまだ違う
<1190> 戦線の事を考えれば、今はまだ違う

//<1191> selbtn : 
<1191> selbtn : 

//<1192> 音無
<1192> 音無

//<1193> クソ坊主
<1193> クソ坊主

//<1194> 代理人
<1194> 代理人

//<1195> 微妙すぎるイケメン
<1195> 微妙すぎるイケメン

//<1196> ロリコン
<1196> ロリコン

//<1197> メガネ仲間
<1197> メガネ仲間

//<1198> 暗算日本記録保持者
<1198> 暗算日本記録保持者

//<1199> 通り魔
<1199> 通り魔

//<1200> 記憶ナシ男
<1200> 記憶ナシ男

//<1201> 音速
<1201> 音速

//<1202> 無限
<1202> 無限

//<1203> エロ侍
<1203> エロ侍

//<1204> エロエロ団ナンバー１
<1204> エロエロ団ナンバー１

//<1205> ただのエロ少年
<1205> ただのエロ少年

//<1206> ユリブサイク
<1206> ユリブサイク

//<1207> ドピュッシー
<1207> ドピュッシー

//<1208> アメリカンエロドッグ
<1208> アメリカンエロドッグ

//<1209> ゼウス
<1209> ゼウス

//<1210> 日向markⅡ
<1210> 日向markⅡ

//<1211> 糞虫
<1211> 糞虫

//<1212> 量産型日向
<1212> 量産型日向

//<1213> ？？
<1213> ？？

//<1214> 「ああ。戦線のルールではそうなるだろ？」
<1214> 「ああ。戦線のルールではそうなるだろ？」

//<1215> nothing
<1215> nothing

//<1216> nothing
<1216> nothing

//<1217> nothing
<1217> nothing

//<1218> nothing
<1218> nothing

//<1219> nothing
<1219> nothing

//<1220> ゆり
<1220> ゆり

//<1221> 女生徒
<1221> 女生徒

//<1222> ？？
<1222> ？？

//<1223> 「どれだけあたしたちは天使と戦ってきたって話よ」
<1223> 「どれだけあたしたちは天使と戦ってきたって話よ」

//<1224> nothing
<1224> nothing

//<1225> nothing
<1225> nothing

//<1226> nothing
<1226> nothing

//<1227> nothing
<1227> nothing

//<1228> nothing
<1228> nothing

//<1229> ゆり
<1229> ゆり

//<1230> 女生徒
<1230> 女生徒

//<1231> ？？
<1231> ？？

//<1232> 「あの子の信念は、あたしたちに授業を受けさせ、部活にも励ませる、という模範的なもの」
<1232> 「あの子の信念は、あたしたちに授業を受けさせ、部活にも励ませる、という模範的なもの」

//<1233> nothing
<1233> nothing

//<1234> nothing
<1234> nothing

//<1235> nothing
<1235> nothing

//<1236> nothing
<1236> nothing

//<1237> nothing
<1237> nothing

//<1238> ゆり
<1238> ゆり

//<1239> 女生徒
<1239> 女生徒

//<1240> ？？
<1240> ？？

//<1241> 「今更、戦線の仲間に入って、神を一緒に探しましょう、と言ったところで、仲間になると思う？」
<1241> 「今更、戦線の仲間に入って、神を一緒に探しましょう、と言ったところで、仲間になると思う？」

//<1242> 音無
<1242> 音無

//<1243> クソ坊主
<1243> クソ坊主

//<1244> 代理人
<1244> 代理人

//<1245> 微妙すぎるイケメン
<1245> 微妙すぎるイケメン

//<1246> ロリコン
<1246> ロリコン

//<1247> メガネ仲間
<1247> メガネ仲間

//<1248> 暗算日本記録保持者
<1248> 暗算日本記録保持者

//<1249> 通り魔
<1249> 通り魔

//<1250> 記憶ナシ男
<1250> 記憶ナシ男

//<1251> 音速
<1251> 音速

//<1252> 無限
<1252> 無限

//<1253> エロ侍
<1253> エロ侍

//<1254> エロエロ団ナンバー１
<1254> エロエロ団ナンバー１

//<1255> ただのエロ少年
<1255> ただのエロ少年

//<1256> ユリブサイク
<1256> ユリブサイク

//<1257> ドピュッシー
<1257> ドピュッシー

//<1258> アメリカンエロドッグ
<1258> アメリカンエロドッグ

//<1259> ゼウス
<1259> ゼウス

//<1260> 日向markⅡ
<1260> 日向markⅡ

//<1261> 糞虫
<1261> 糞虫

//<1262> 量産型日向
<1262> 量産型日向

//<1263> ？？
<1263> ？？

//<1264> 「それは…ならないよな…」
<1264> 「それは…ならないよな…」

//<1265> nothing
<1265> nothing

//<1266> nothing
<1266> nothing

//<1267> nothing
<1267> nothing

//<1268> nothing
<1268> nothing

//<1269> nothing
<1269> nothing

//<1270> ゆり
<1270> ゆり

//<1271> 女生徒
<1271> 女生徒

//<1272> ？？
<1272> ？？

//<1273> 「でしょ？」
<1273> 「でしょ？」

//<1274> nothing
<1274> nothing

//<1275> nothing
<1275> nothing

//<1276> nothing
<1276> nothing

//<1277> nothing
<1277> nothing

//<1278> nothing
<1278> nothing

//<1279> ゆり
<1279> ゆり

//<1280> 女生徒
<1280> 女生徒

//<1281> ？？
<1281> ？？

//<1282> 「だから、今の関係のままがベター」
<1282> 「だから、今の関係のままがベター」

//<1283> 音無
<1283> 音無

//<1284> クソ坊主
<1284> クソ坊主

//<1285> 代理人
<1285> 代理人

//<1286> 微妙すぎるイケメン
<1286> 微妙すぎるイケメン

//<1287> ロリコン
<1287> ロリコン

//<1288> メガネ仲間
<1288> メガネ仲間

//<1289> 暗算日本記録保持者
<1289> 暗算日本記録保持者

//<1290> 通り魔
<1290> 通り魔

//<1291> 記憶ナシ男
<1291> 記憶ナシ男

//<1292> 音速
<1292> 音速

//<1293> 無限
<1293> 無限

//<1294> エロ侍
<1294> エロ侍

//<1295> エロエロ団ナンバー１
<1295> エロエロ団ナンバー１

//<1296> ただのエロ少年
<1296> ただのエロ少年

//<1297> ユリブサイク
<1297> ユリブサイク

//<1298> ドピュッシー
<1298> ドピュッシー

//<1299> アメリカンエロドッグ
<1299> アメリカンエロドッグ

//<1300> ゼウス
<1300> ゼウス

//<1301> 日向markⅡ
<1301> 日向markⅡ

//<1302> 糞虫
<1302> 糞虫

//<1303> 量産型日向
<1303> 量産型日向

//<1304> ？？
<1304> ？？

//<1305> 「そうなるか…」
<1305> 「そうなるか…」

//<1306> 音無
<1306> 音無

//<1307> クソ坊主
<1307> クソ坊主

//<1308> 代理人
<1308> 代理人

//<1309> 微妙すぎるイケメン
<1309> 微妙すぎるイケメン

//<1310> ロリコン
<1310> ロリコン

//<1311> メガネ仲間
<1311> メガネ仲間

//<1312> 暗算日本記録保持者
<1312> 暗算日本記録保持者

//<1313> 通り魔
<1313> 通り魔

//<1314> 記憶ナシ男
<1314> 記憶ナシ男

//<1315> 音速
<1315> 音速

//<1316> 無限
<1316> 無限

//<1317> エロ侍
<1317> エロ侍

//<1318> エロエロ団ナンバー１
<1318> エロエロ団ナンバー１

//<1319> ただのエロ少年
<1319> ただのエロ少年

//<1320> ユリブサイク
<1320> ユリブサイク

//<1321> ドピュッシー
<1321> ドピュッシー

//<1322> アメリカンエロドッグ
<1322> アメリカンエロドッグ

//<1323> ゼウス
<1323> ゼウス

//<1324> 日向markⅡ
<1324> 日向markⅡ

//<1325> 糞虫
<1325> 糞虫

//<1326> 量産型日向
<1326> 量産型日向

//<1327> ？？
<1327> ？？

//<1328> 「いい奴なのにな…」
<1328> 「いい奴なのにな…」

//<1329> nothing
<1329> nothing

//<1330> nothing
<1330> nothing

//<1331> nothing
<1331> nothing

//<1332> nothing
<1332> nothing

//<1333> nothing
<1333> nothing

//<1334> ゆり
<1334> ゆり

//<1335> 女生徒
<1335> 女生徒

//<1336> ？？
<1336> ？？

//<1337> 「おっと、聞き捨てならないわね。あなた、天使とどういう関係なの？」
<1337> 「おっと、聞き捨てならないわね。あなた、天使とどういう関係なの？」

//<1338> 音無
<1338> 音無

//<1339> クソ坊主
<1339> クソ坊主

//<1340> 代理人
<1340> 代理人

//<1341> 微妙すぎるイケメン
<1341> 微妙すぎるイケメン

//<1342> ロリコン
<1342> ロリコン

//<1343> メガネ仲間
<1343> メガネ仲間

//<1344> 暗算日本記録保持者
<1344> 暗算日本記録保持者

//<1345> 通り魔
<1345> 通り魔

//<1346> 記憶ナシ男
<1346> 記憶ナシ男

//<1347> 音速
<1347> 音速

//<1348> 無限
<1348> 無限

//<1349> エロ侍
<1349> エロ侍

//<1350> エロエロ団ナンバー１
<1350> エロエロ団ナンバー１

//<1351> ただのエロ少年
<1351> ただのエロ少年

//<1352> ユリブサイク
<1352> ユリブサイク

//<1353> ドピュッシー
<1353> ドピュッシー

//<1354> アメリカンエロドッグ
<1354> アメリカンエロドッグ

//<1355> ゼウス
<1355> ゼウス

//<1356> 日向markⅡ
<1356> 日向markⅡ

//<1357> 糞虫
<1357> 糞虫

//<1358> 量産型日向
<1358> 量産型日向

//<1359> ？？
<1359> ？？

//<1360> 「いや、ただ、俺の記憶を取り戻そうとしてくれている…それだけだ」
<1360> 「いや、ただ、俺の記憶を取り戻そうとしてくれている…それだけだ」

//<1361> nothing
<1361> nothing

//<1362> nothing
<1362> nothing

//<1363> nothing
<1363> nothing

//<1364> nothing
<1364> nothing

//<1365> nothing
<1365> nothing

//<1366> ゆり
<1366> ゆり

//<1367> 女生徒
<1367> 女生徒

//<1368> ？？
<1368> ？？

//<1369> 「そ。それ以上は踏み込むべきじゃないわね。あなたまで戦線の敵になっちゃうわ」
<1369> 「そ。それ以上は踏み込むべきじゃないわね。あなたまで戦線の敵になっちゃうわ」

//<1370> 音無
<1370> 音無

//<1371> クソ坊主
<1371> クソ坊主

//<1372> 代理人
<1372> 代理人

//<1373> 微妙すぎるイケメン
<1373> 微妙すぎるイケメン

//<1374> ロリコン
<1374> ロリコン

//<1375> メガネ仲間
<1375> メガネ仲間

//<1376> 暗算日本記録保持者
<1376> 暗算日本記録保持者

//<1377> 通り魔
<1377> 通り魔

//<1378> 記憶ナシ男
<1378> 記憶ナシ男

//<1379> 音速
<1379> 音速

//<1380> 無限
<1380> 無限

//<1381> エロ侍
<1381> エロ侍

//<1382> エロエロ団ナンバー１
<1382> エロエロ団ナンバー１

//<1383> ただのエロ少年
<1383> ただのエロ少年

//<1384> ユリブサイク
<1384> ユリブサイク

//<1385> ドピュッシー
<1385> ドピュッシー

//<1386> アメリカンエロドッグ
<1386> アメリカンエロドッグ

//<1387> ゼウス
<1387> ゼウス

//<1388> 日向markⅡ
<1388> 日向markⅡ

//<1389> 糞虫
<1389> 糞虫

//<1390> 量産型日向
<1390> 量産型日向

//<1391> ？？
<1391> ？？

//<1392> 「…わかった」
<1392> 「…わかった」

//<1393> 今はそう答えるしかなかった。
<1393> 今はそう答えるしかなかった。

//<1394> 長い時間、戦い続けてきたんだ。
<1394> 長い時間、戦い続けてきたんだ。

//<1395> そう簡単に和解できるわけもないか。
<1395> そう簡単に和解できるわけもないか。

//<1396> 音無
<1396> 音無

//<1397> クソ坊主
<1397> クソ坊主

//<1398> 代理人
<1398> 代理人

//<1399> 微妙すぎるイケメン
<1399> 微妙すぎるイケメン

//<1400> ロリコン
<1400> ロリコン

//<1401> メガネ仲間
<1401> メガネ仲間

//<1402> 暗算日本記録保持者
<1402> 暗算日本記録保持者

//<1403> 通り魔
<1403> 通り魔

//<1404> 記憶ナシ男
<1404> 記憶ナシ男

//<1405> 音速
<1405> 音速

//<1406> 無限
<1406> 無限

//<1407> エロ侍
<1407> エロ侍

//<1408> エロエロ団ナンバー１
<1408> エロエロ団ナンバー１

//<1409> ただのエロ少年
<1409> ただのエロ少年

//<1410> ユリブサイク
<1410> ユリブサイク

//<1411> ドピュッシー
<1411> ドピュッシー

//<1412> アメリカンエロドッグ
<1412> アメリカンエロドッグ

//<1413> ゼウス
<1413> ゼウス

//<1414> 日向markⅡ
<1414> 日向markⅡ

//<1415> 糞虫
<1415> 糞虫

//<1416> 量産型日向
<1416> 量産型日向

//<1417> ？？
<1417> ？？

//<1418> 「いや違う。そこまでは言わない」
<1418> 「いや違う。そこまでは言わない」

//<1419> 音無
<1419> 音無

//<1420> クソ坊主
<1420> クソ坊主

//<1421> 代理人
<1421> 代理人

//<1422> 微妙すぎるイケメン
<1422> 微妙すぎるイケメン

//<1423> ロリコン
<1423> ロリコン

//<1424> メガネ仲間
<1424> メガネ仲間

//<1425> 暗算日本記録保持者
<1425> 暗算日本記録保持者

//<1426> 通り魔
<1426> 通り魔

//<1427> 記憶ナシ男
<1427> 記憶ナシ男

//<1428> 音速
<1428> 音速

//<1429> 無限
<1429> 無限

//<1430> エロ侍
<1430> エロ侍

//<1431> エロエロ団ナンバー１
<1431> エロエロ団ナンバー１

//<1432> ただのエロ少年
<1432> ただのエロ少年

//<1433> ユリブサイク
<1433> ユリブサイク

//<1434> ドピュッシー
<1434> ドピュッシー

//<1435> アメリカンエロドッグ
<1435> アメリカンエロドッグ

//<1436> ゼウス
<1436> ゼウス

//<1437> 日向markⅡ
<1437> 日向markⅡ

//<1438> 糞虫
<1438> 糞虫

//<1439> 量産型日向
<1439> 量産型日向

//<1440> ？？
<1440> ？？

//<1441> 「実際、お前が言うように、天使が宿敵じゃないと、戦線の士気はがた落ちだ」
<1441> 「実際、お前が言うように、天使が宿敵じゃないと、戦線の士気はがた落ちだ」

//<1442> nothing
<1442> nothing

//<1443> nothing
<1443> nothing

//<1444> nothing
<1444> nothing

//<1445> nothing
<1445> nothing

//<1446> nothing
<1446> nothing

//<1447> ゆり
<1447> ゆり

//<1448> 女生徒
<1448> 女生徒

//<1449> ？？
<1449> ？？

//<1450> 「そう言ってもらえると助かるけど」
<1450> 「そう言ってもらえると助かるけど」

//<1451> でも、考えれば考えるほど、天使のことが不憫に思えてならない…。
<1451> でも、考えれば考えるほど、天使のことが不憫に思えてならない…。

//<1452> 人間同士なら、こちらは圧倒的な数。まるでイジメじゃないか…。
<1452> 人間同士なら、こちらは圧倒的な数。まるでイジメじゃないか…。

//<1453> だから、俺はこう伝える。
<1453> だから、俺はこう伝える。

//<1454> 音無
<1454> 音無

//<1455> クソ坊主
<1455> クソ坊主

//<1456> 代理人
<1456> 代理人

//<1457> 微妙すぎるイケメン
<1457> 微妙すぎるイケメン

//<1458> ロリコン
<1458> ロリコン

//<1459> メガネ仲間
<1459> メガネ仲間

//<1460> 暗算日本記録保持者
<1460> 暗算日本記録保持者

//<1461> 通り魔
<1461> 通り魔

//<1462> 記憶ナシ男
<1462> 記憶ナシ男

//<1463> 音速
<1463> 音速

//<1464> 無限
<1464> 無限

//<1465> エロ侍
<1465> エロ侍

//<1466> エロエロ団ナンバー１
<1466> エロエロ団ナンバー１

//<1467> ただのエロ少年
<1467> ただのエロ少年

//<1468> ユリブサイク
<1468> ユリブサイク

//<1469> ドピュッシー
<1469> ドピュッシー

//<1470> アメリカンエロドッグ
<1470> アメリカンエロドッグ

//<1471> ゼウス
<1471> ゼウス

//<1472> 日向markⅡ
<1472> 日向markⅡ

//<1473> 糞虫
<1473> 糞虫

//<1474> 量産型日向
<1474> 量産型日向

//<1475> ？？
<1475> ？？

//<1476> 「新米の俺が言うことではないだろうけど、ただ、天使は人間だとみんなに伝えるべき時がいつか来たら…その時だけは肯定してほしい」
<1476> 「新米の俺が言うことではないだろうけど、ただ、天使は人間だとみんなに伝えるべき時がいつか来たら…その時だけは肯定してほしい」

//<1477> nothing
<1477> nothing

//<1478> nothing
<1478> nothing

//<1479> nothing
<1479> nothing

//<1480> nothing
<1480> nothing

//<1481> nothing
<1481> nothing

//<1482> ゆり
<1482> ゆり

//<1483> 女生徒
<1483> 女生徒

//<1484> ？？
<1484> ？？

//<1485> 「………」
<1485> 「………」

//<1486> ゆりは無言のまま。何を考えているのか…。
<1486> ゆりは無言のまま。何を考えているのか…。

//<1487> その条件が飲めないならすぐバラす
<1487> その条件が飲めないならすぐバラす

//<1488> 条件を変える
<1488> 条件を変える

//<1489> selbtn : 
<1489> selbtn : 

//<1490> 音無
<1490> 音無

//<1491> クソ坊主
<1491> クソ坊主

//<1492> 代理人
<1492> 代理人

//<1493> 微妙すぎるイケメン
<1493> 微妙すぎるイケメン

//<1494> ロリコン
<1494> ロリコン

//<1495> メガネ仲間
<1495> メガネ仲間

//<1496> 暗算日本記録保持者
<1496> 暗算日本記録保持者

//<1497> 通り魔
<1497> 通り魔

//<1498> 記憶ナシ男
<1498> 記憶ナシ男

//<1499> 音速
<1499> 音速

//<1500> 無限
<1500> 無限

//<1501> エロ侍
<1501> エロ侍

//<1502> エロエロ団ナンバー１
<1502> エロエロ団ナンバー１

//<1503> ただのエロ少年
<1503> ただのエロ少年

//<1504> ユリブサイク
<1504> ユリブサイク

//<1505> ドピュッシー
<1505> ドピュッシー

//<1506> アメリカンエロドッグ
<1506> アメリカンエロドッグ

//<1507> ゼウス
<1507> ゼウス

//<1508> 日向markⅡ
<1508> 日向markⅡ

//<1509> 糞虫
<1509> 糞虫

//<1510> 量産型日向
<1510> 量産型日向

//<1511> ？？
<1511> ？？

//<1512> 「じゃあ、戦線メンバーの誰かが人間だと気づいたら、その時は肯定してほしい」
<1512> 「じゃあ、戦線メンバーの誰かが人間だと気づいたら、その時は肯定してほしい」

//<1513> nothing
<1513> nothing

//<1514> nothing
<1514> nothing

//<1515> nothing
<1515> nothing

//<1516> nothing
<1516> nothing

//<1517> nothing
<1517> nothing

//<1518> ゆり
<1518> ゆり

//<1519> 女生徒
<1519> 女生徒

//<1520> ？？
<1520> ？？

//<1521> 「言っておくけど、連中はあほよ？」
<1521> 「言っておくけど、連中はあほよ？」

//<1522> そのリーダーが言うな。
<1522> そのリーダーが言うな。

//<1523> 音無
<1523> 音無

//<1524> クソ坊主
<1524> クソ坊主

//<1525> 代理人
<1525> 代理人

//<1526> 微妙すぎるイケメン
<1526> 微妙すぎるイケメン

//<1527> ロリコン
<1527> ロリコン

//<1528> メガネ仲間
<1528> メガネ仲間

//<1529> 暗算日本記録保持者
<1529> 暗算日本記録保持者

//<1530> 通り魔
<1530> 通り魔

//<1531> 記憶ナシ男
<1531> 記憶ナシ男

//<1532> 音速
<1532> 音速

//<1533> 無限
<1533> 無限

//<1534> エロ侍
<1534> エロ侍

//<1535> エロエロ団ナンバー１
<1535> エロエロ団ナンバー１

//<1536> ただのエロ少年
<1536> ただのエロ少年

//<1537> ユリブサイク
<1537> ユリブサイク

//<1538> ドピュッシー
<1538> ドピュッシー

//<1539> アメリカンエロドッグ
<1539> アメリカンエロドッグ

//<1540> ゼウス
<1540> ゼウス

//<1541> 日向markⅡ
<1541> 日向markⅡ

//<1542> 糞虫
<1542> 糞虫

//<1543> 量産型日向
<1543> 量産型日向

//<1544> ？？
<1544> ？？

//<1545> 「で、どうなんだ？」
<1545> 「で、どうなんだ？」

//<1546> nothing
<1546> nothing

//<1547> nothing
<1547> nothing

//<1548> nothing
<1548> nothing

//<1549> nothing
<1549> nothing

//<1550> nothing
<1550> nothing

//<1551> ゆり
<1551> ゆり

//<1552> 女生徒
<1552> 女生徒

//<1553> ？？
<1553> ？？

//<1554> 「はいはい、わかったわかった」
<1554> 「はいはい、わかったわかった」

//<1555> よし。
<1555> よし。

//<1556> 音無
<1556> 音無

//<1557> クソ坊主
<1557> クソ坊主

//<1558> 代理人
<1558> 代理人

//<1559> 微妙すぎるイケメン
<1559> 微妙すぎるイケメン

//<1560> ロリコン
<1560> ロリコン

//<1561> メガネ仲間
<1561> メガネ仲間

//<1562> 暗算日本記録保持者
<1562> 暗算日本記録保持者

//<1563> 通り魔
<1563> 通り魔

//<1564> 記憶ナシ男
<1564> 記憶ナシ男

//<1565> 音速
<1565> 音速

//<1566> 無限
<1566> 無限

//<1567> エロ侍
<1567> エロ侍

//<1568> エロエロ団ナンバー１
<1568> エロエロ団ナンバー１

//<1569> ただのエロ少年
<1569> ただのエロ少年

//<1570> ユリブサイク
<1570> ユリブサイク

//<1571> ドピュッシー
<1571> ドピュッシー

//<1572> アメリカンエロドッグ
<1572> アメリカンエロドッグ

//<1573> ゼウス
<1573> ゼウス

//<1574> 日向markⅡ
<1574> 日向markⅡ

//<1575> 糞虫
<1575> 糞虫

//<1576> 量産型日向
<1576> 量産型日向

//<1577> ？？
<1577> ？？

//<1578> 「約束だからな」
<1578> 「約束だからな」

//<1579> nothing
<1579> nothing

//<1580> nothing
<1580> nothing

//<1581> nothing
<1581> nothing

//<1582> nothing
<1582> nothing

//<1583> nothing
<1583> nothing

//<1584> ゆり
<1584> ゆり

//<1585> 女生徒
<1585> 女生徒

//<1586> ？？
<1586> ？？

//<1587> 「ええ」
<1587> 「ええ」

//<1588> 音無
<1588> 音無

//<1589> クソ坊主
<1589> クソ坊主

//<1590> 代理人
<1590> 代理人

//<1591> 微妙すぎるイケメン
<1591> 微妙すぎるイケメン

//<1592> ロリコン
<1592> ロリコン

//<1593> メガネ仲間
