// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 天使

//<1063> メガネ仲間
<1063> メガネ仲間

//<1064> 暗算日本記録保持者
<1064> 暗算日本記録保持者

//<1065> 通り魔
<1065> 通り魔

//<1066> 記憶ナシ男
<1066> 記憶ナシ男

//<1067> 音速
<1067> 音速

//<1068> 無限
<1068> 無限

//<1069> エロ侍
<1069> エロ侍

//<1070> エロエロ団ナンバー１
<1070> エロエロ団ナンバー１

//<1071> ただのエロ少年
<1071> ただのエロ少年

//<1072> ユリブサイク
<1072> ユリブサイク

//<1073> ドピュッシー
<1073> ドピュッシー

//<1074> アメリカンエロドッグ
<1074> アメリカンエロドッグ

//<1075> ゼウス
<1075> ゼウス

//<1076> 日向markⅡ
<1076> 日向markⅡ

//<1077> 糞虫
<1077> 糞虫

//<1078> 量産型日向
<1078> 量産型日向

//<1079> ？？
<1079> ？？

//<1080> 「わかった…」
<1080> 「わかった…」

//<1081> nothing
<1081> nothing

//<1082> nothing
<1082> nothing

//<1083> nothing
<1083> nothing

//<1084> nothing
<1084> nothing

//<1085> nothing
<1085> nothing

//<1086> nothing
<1086> nothing

//<1087> 俺がそう答えると、天使は喉元から刃を放してくれた。
<1087> 俺がそう答えると、天使は喉元から刃を放してくれた。

//<1088> 音無
<1088> 音無

//<1089> クソ坊主
<1089> クソ坊主

//<1090> 代理人
<1090> 代理人

//<1091> 微妙すぎるイケメン
<1091> 微妙すぎるイケメン

//<1092> ロリコン
<1092> ロリコン

//<1093> メガネ仲間
<1093> メガネ仲間

//<1094> 暗算日本記録保持者
<1094> 暗算日本記録保持者

//<1095> 通り魔
<1095> 通り魔

//<1096> 記憶ナシ男
<1096> 記憶ナシ男

//<1097> 音速
<1097> 音速

//<1098> 無限
<1098> 無限

//<1099> エロ侍
<1099> エロ侍

//<1100> エロエロ団ナンバー１
<1100> エロエロ団ナンバー１

//<1101> ただのエロ少年
<1101> ただのエロ少年

//<1102> ユリブサイク
<1102> ユリブサイク

//<1103> ドピュッシー
<1103> ドピュッシー

//<1104> アメリカンエロドッグ
<1104> アメリカンエロドッグ

//<1105> ゼウス
<1105> ゼウス

//<1106> 日向markⅡ
<1106> 日向markⅡ

//<1107> 糞虫
<1107> 糞虫

//<1108> 量産型日向
<1108> 量産型日向

//<1109> ？？
<1109> ？？

//<1110> （今だ！）
<1110> （今だ！）

//<1111> 俺は何も言わず、体を反転させ、全力で走り天使から逃げた。
<1111> 俺は何も言わず、体を反転させ、全力で走り天使から逃げた。

//<1112> dummy
<1112> dummy

//<1113> bg_kuro
<1113> bg_kuro

//<1114> ep03_bg013
<1114> ep03_bg013

//<1115> m204
<1115> m204

//<1116> kn0901_05
<1116> kn0901_05

//<1117> kn0901
<1117> kn0901

//<1118> kn0902_08
<1118> kn0902_08

//<1119> kn0901_05
<1119> kn0901_05

//<1120> kn0101
<1120> kn0101

//<1121> kn0901
<1121> kn0901

//<1122> m118
<1122> m118

//<1123> kn0101_08
<1123> kn0101_08

//<1124> sys_bk_selline00
<1124> sys_bk_selline00

//<1125> kn0101
<1125> kn0101

//<1126> kn0102_08
<1126> kn0102_08

//<1127> kn0101
<1127> kn0101

//<1128> kn0101
<1128> kn0101

//<1129> kn0901_05
<1129> kn0901_05

//<1130> kn0101
<1130> kn0101

//<1131> kn0901_05
<1131> kn0901_05

//<1132> kn0101
<1132> kn0101

//<1133> kn0901_05
<1133> kn0901_05

//<1134> kn0101
<1134> kn0101

//<1135> sys_bk_selline00
<1135> sys_bk_selline00

//<1136> bg_kuro
<1136> bg_kuro

//<1137> m114
<1137> m114

//<1138> ep88_bg002
<1138> ep88_bg002

//<1139> yr0109
<1139> yr0109

//<1140> bg_kuro
<1140> bg_kuro

//<1141> ep88_bg008
<1141> ep88_bg008

//<1142> ep88_bg007
<1142> ep88_bg007

//<1143> bg_kuro
<1143> bg_kuro

//<1144> ep10_bg014
<1144> ep10_bg014

//<1145> kn0901
<1145> kn0901

//<1146> kn0901_05
<1146> kn0901_05

//<1147> sys_bk_selline00
<1147> sys_bk_selline00

//<1148> bg_kuro
<1148> bg_kuro

//<1149> ep04_bg021
<1149> ep04_bg021

//<1150> ep07_bg029
<1150> ep07_bg029

//<1151> ep10_bg001
<1151> ep10_bg001

//<1152> bg_kuro
<1152> bg_kuro

//<1153> ep03_bg018
<1153> ep03_bg018

//<1154> bg_kuro
<1154> bg_kuro

//<1155> m114
<1155> m114

//<1156> ep03_bg018
<1156> ep03_bg018

//<1157> m114
<1157> m114

//<1158> kn1101_05
<1158> kn1101_05

//<1159> kn1101
<1159> kn1101

//<1160> kn1201
<1160> kn1201

//<1161> m114
<1161> m114

//<1162> kn0909_05
<1162> kn0909_05

//<1163> kn1101_05
<1163> kn1101_05

//<1164> kn1101
<1164> kn1101

//<1165> kn1201
<1165> kn1201

//<1166> kn0301
<1166> kn0301

//<1167> kn0301_08
<1167> kn0301_08

//<1168> kn0301
<1168> kn0301

//<1169> kn1201
<1169> kn1201

//<1170> kn999900r4
<1170> kn999900r4

//<1171> bs3_kn120100l4
<1171> bs3_kn120100l4

//<1172> bs3_kn0301
<1172> bs3_kn0301

//<1173> bs3_kn0301_08
<1173> bs3_kn0301_08

//<1174> bs3_kn120100l4
<1174> bs3_kn120100l4

//<1175> bs3_kn1201_05
<1175> bs3_kn1201_05

//<1176> bg_kuro
<1176> bg_kuro

