// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 白
<0000> 白
<0914> 初音

//<0915> 「いけるの！？」
<0915> 「いけるの！？」

//<0916> 音無
<0916> 音無

//<0917> クソ坊主
<0917> クソ坊主

//<0918> 代理人
<0918> 代理人

//<0919> 微妙すぎるイケメン
<0919> 微妙すぎるイケメン

//<0920> ロリコン
<0920> ロリコン

//<0921> メガネ仲間
<0921> メガネ仲間

//<0922> 暗算日本記録保持者
<0922> 暗算日本記録保持者

//<0923> 通り魔
<0923> 通り魔

//<0924> 記憶ナシ男
<0924> 記憶ナシ男

//<0925> 音速
<0925> 音速

//<0926> 無限
<0926> 無限

//<0927> エロ侍
<0927> エロ侍

//<0928> エロエロ団ナンバー１
<0928> エロエロ団ナンバー１

//<0929> ただのエロ少年
<0929> ただのエロ少年

//<0930> ユリブサイク
<0930> ユリブサイク

//<0931> ドピュッシー
<0931> ドピュッシー

//<0932> アメリカンエロドッグ
<0932> アメリカンエロドッグ

//<0933> ゼウス
<0933> ゼウス

//<0934> 日向markⅡ
<0934> 日向markⅡ

//<0935> 糞虫
<0935> 糞虫

//<0936> 量産型日向
<0936> 量産型日向

//<0937> ？？
<0937> ？？

//<0938> 「行けるようにかけ合ってみる」
<0938> 「行けるようにかけ合ってみる」

//<0939> 音無
<0939> 音無

//<0940> クソ坊主
<0940> クソ坊主

//<0941> 代理人
<0941> 代理人

//<0942> 微妙すぎるイケメン
<0942> 微妙すぎるイケメン

//<0943> ロリコン
<0943> ロリコン

//<0944> メガネ仲間
<0944> メガネ仲間

//<0945> 暗算日本記録保持者
<0945> 暗算日本記録保持者

//<0946> 通り魔
<0946> 通り魔

//<0947> 記憶ナシ男
<0947> 記憶ナシ男

//<0948> 音速
<0948> 音速

//<0949> 無限
<0949> 無限

//<0950> エロ侍
<0950> エロ侍

//<0951> エロエロ団ナンバー１
<0951> エロエロ団ナンバー１

//<0952> ただのエロ少年
<0952> ただのエロ少年

//<0953> ユリブサイク
<0953> ユリブサイク

//<0954> ドピュッシー
<0954> ドピュッシー

//<0955> アメリカンエロドッグ
<0955> アメリカンエロドッグ

//<0956> ゼウス
<0956> ゼウス

//<0957> 日向markⅡ
<0957> 日向markⅡ

//<0958> 糞虫
<0958> 糞虫

//<0959> 量産型日向
<0959> 量産型日向

//<0960> ？？
<0960> ？？

//<0961> 「もしだめでも、内緒で連れていってやるよ」
<0961> 「もしだめでも、内緒で連れていってやるよ」

//<0962> 初音
<0962> 初音

//<0963> 「ほんと？」
<0963> 「ほんと？」

//<0964> 音無
<0964> 音無

//<0965> クソ坊主
<0965> クソ坊主

//<0966> 代理人
<0966> 代理人

//<0967> 微妙すぎるイケメン
<0967> 微妙すぎるイケメン

//<0968> ロリコン
<0968> ロリコン

//<0969> メガネ仲間
<0969> メガネ仲間

//<0970> 暗算日本記録保持者
<0970> 暗算日本記録保持者

//<0971> 通り魔
<0971> 通り魔

//<0972> 記憶ナシ男
<0972> 記憶ナシ男

//<0973> 音速
<0973> 音速

//<0974> 無限
<0974> 無限

//<0975> エロ侍
<0975> エロ侍

//<0976> エロエロ団ナンバー１
<0976> エロエロ団ナンバー１

//<0977> ただのエロ少年
<0977> ただのエロ少年

//<0978> ユリブサイク
<0978> ユリブサイク

//<0979> ドピュッシー
<0979> ドピュッシー

//<0980> アメリカンエロドッグ
<0980> アメリカンエロドッグ

//<0981> ゼウス
<0981> ゼウス

//<0982> 日向markⅡ
<0982> 日向markⅡ

//<0983> 糞虫
<0983> 糞虫

//<0984> 量産型日向
<0984> 量産型日向

//<0985> ？？
<0985> ？？

//<0986> 「ああ、ほんと」
<0986> 「ああ、ほんと」

//<0987> 初音
<0987> 初音

//<0988> 「やったーー！！　ありがとう、おにぃちゃん！」
<0988> 「やったーー！！　ありがとう、おにぃちゃん！」

//<0989> これまでで一番大きなありがとうだった。
<0989> これまでで一番大きなありがとうだった。

//<0990> 白
<0990> 白

//<0991> バイトの掛け持ちを始めた。
<0991> バイトの掛け持ちを始めた。

//<0992> クリスマスソングを聴いたスーパーで。
<0992> クリスマスソングを聴いたスーパーで。

//<0993> 慣れない仕事で最初は戸惑いの連続だった。
<0993> 慣れない仕事で最初は戸惑いの連続だった。

//<0994> 棚卸し中に、みかんを入れた箱に足を引っかけ転かしてしまう。
<0994> 棚卸し中に、みかんを入れた箱に足を引っかけ転かしてしまう。

//<0995> se_orange
<0995> se_orange

//<0996> 大量のみかんが床に散乱する。
<0996> 大量のみかんが床に散乱する。

//<0997> パートのおばさん
<0997> パートのおばさん

//<0998> 「ああっ、音無くん、なにやってんの！」
<0998> 「ああっ、音無くん、なにやってんの！」

//<0999> 音無
<0999> 音無

//<1000> クソ坊主
<1000> クソ坊主

//<1001> 代理人
<1001> 代理人

//<1002> 微妙すぎるイケメン
<1002> 微妙すぎるイケメン

//<1003> ロリコン
<1003> ロリコン

//<1004> メガネ仲間
<1004> メガネ仲間

//<1005> 暗算日本記録保持者
<1005> 暗算日本記録保持者

//<1006> 通り魔
<1006> 通り魔

//<1007> 記憶ナシ男
<1007> 記憶ナシ男

//<1008> 音速
<1008> 音速

//<1009> 無限
<1009> 無限

//<1010> エロ侍
<1010> エロ侍

//<1011> エロエロ団ナンバー１
<1011> エロエロ団ナンバー１

//<1012> ただのエロ少年
<1012> ただのエロ少年

//<1013> ユリブサイク
<1013> ユリブサイク

//<1014> ドピュッシー
<1014> ドピュッシー

//<1015> アメリカンエロドッグ
<1015> アメリカンエロドッグ

//<1016> ゼウス
<1016> ゼウス

//<1017> 日向markⅡ
<1017> 日向markⅡ

//<1018> 糞虫
<1018> 糞虫

//<1019> 量産型日向
<1019> 量産型日向

//<1020> ？？
<1020> ？？

//<1021> 「すみません、すぐ片づけますっ」
<1021> 「すみません、すぐ片づけますっ」

//<1022> 本屋で、洒落た雑誌を購入した。
<1022> 本屋で、洒落た雑誌を購入した。

//<1023> この近くでクリスマスディナーを楽しめる店を紹介している特集記事があったからだ。
<1023> この近くでクリスマスディナーを楽しめる店を紹介している特集記事があったからだ。

//<1024> 家に帰ると、クリスマスまでに貯まるお金の試算をした。
<1024> 家に帰ると、クリスマスまでに貯まるお金の試算をした。

//<1025> そして、多分大丈夫だろうと一番豪華そうなお店に電話して、慣れない受け答えで夕飯の予約をした。
<1025> そして、多分大丈夫だろうと一番豪華そうなお店に電話して、慣れない受け答えで夕飯の予約をした。

//<1026> nothing
<1026> nothing

//<1027> 
<1027> 

//<1028> 
<1028> 

//<1029> nothing
<1029> nothing

//<1030> 朝から晩まで働き続ける日々。
<1030> 朝から晩まで働き続ける日々。

//<1031> 家では寝るだけになった。
<1031> 家では寝るだけになった。

//<1032> それでもいい。
<1032> それでもいい。

//<1033> 今は目標があるから。
<1033> 今は目標があるから。

//<1034> 初音をクリスマスに大通りまで連れていく。
<1034> 初音をクリスマスに大通りまで連れていく。

//<1035> ただひとつ心配なのは…
<1035> ただひとつ心配なのは…

//<1036> 容体が悪くなっていることだった。
<1036> 容体が悪くなっていることだった。

//<1037> 白
<1037> 白

//<1038> 初音は個室に移された。
<1038> 初音は個室に移された。

//<1039> 初音
<1039> 初音

//<1040> 「これでいっぱいたくさん、しゃべれるね…」
<1040> 「これでいっぱいたくさん、しゃべれるね…」

//<1041> 初音
<1041> 初音

//<1042> 「どれだけしゃべってもめいわくにならないもんね…」
<1042> 「どれだけしゃべってもめいわくにならないもんね…」

//<1043> そう喜ぶ初音の鼻と口はプラスチックのマスクで覆われていた。
<1043> そう喜ぶ初音の鼻と口はプラスチックのマスクで覆われていた。

//<1044> 不快だろうに…外してやりたい。
<1044> 不快だろうに…外してやりたい。

//<1045> そんな衝動に駆られたが、きっと必要なものなのだろう。
<1045> そんな衝動に駆られたが、きっと必要なものなのだろう。

//<1046> 初音
<1046> 初音

//<1047> 「あと３日だね、クリスマスまで…」
<1047> 「あと３日だね、クリスマスまで…」

//<1048> 初音
<1048> 初音

//<1049> 「せいかくには２４日はイヴだけどね…」
<1049> 「せいかくには２４日はイヴだけどね…」

//<1050> 音無
<1050> 音無

//<1051> クソ坊主
<1051> クソ坊主

//<1052> 代理人
<1052> 代理人

//<1053> 微妙すぎるイケメン
<1053> 微妙すぎるイケメン

//<1054> ロリコン
<1054> ロリコン

//<1055> メガネ仲間
<1055> メガネ仲間

//<1056> 暗算日本記録保持者
<1056> 暗算日本記録保持者

//<1057> 通り魔
<1057> 通り魔

//<1058> 記憶ナシ男
<1058> 記憶ナシ男

//<1059> 音速
<1059> 音速

//<1060> 無限
<1060> 無限

//<1061> エロ侍
<1061> エロ侍

//<1062> エロエロ団ナンバー１
<1062> エロエロ団ナンバー１

//<1063> ただのエロ少年
<1063> ただのエロ少年

//<1064> ユリブサイク
<1064> ユリブサイク

//<1065> ドピュッシー
<1065> ドピュッシー

//<1066> アメリカンエロドッグ
<1066> アメリカンエロドッグ

//<1067> ゼウス
<1067> ゼウス

//<1068> 日向markⅡ
<1068> 日向markⅡ

//<1069> 糞虫
<1069> 糞虫

//<1070> 量産型日向
<1070> 量産型日向

//<1071> ？？
<1071> ？？

//<1072> 「イヴ？」
<1072> 「イヴ？」

//<1073> 初音
<1073> 初音

//<1074> 「うん。ほんとのクリスマスは２５日…」
<1074> 「うん。ほんとのクリスマスは２５日…」

//<1075> 音無
<1075> 音無

//<1076> クソ坊主
<1076> クソ坊主

//<1077> 代理人
<1077> 代理人

//<1078> 微妙すぎるイケメン
<1078> 微妙すぎるイケメン

//<1079> ロリコン
<1079> ロリコン

//<1080> メガネ仲間
<1080> メガネ仲間

//<1081> 暗算日本記録保持者
<1081> 暗算日本記録保持者

//<1082> 通り魔
<1082> 通り魔

//<1083> 記憶ナシ男
<1083> 記憶ナシ男

//<1084> 音速
<1084> 音速

//<1085> 無限
<1085> 無限

//<1086> エロ侍
<1086> エロ侍

//<1087> エロエロ団ナンバー１
<1087> エロエロ団ナンバー１

//<1088> ただのエロ少年
<1088> ただのエロ少年

//<1089> ユリブサイク
<1089> ユリブサイク

//<1090> ドピュッシー
<1090> ドピュッシー

//<1091> アメリカンエロドッグ
<1091> アメリカンエロドッグ

//<1092> ゼウス
<1092> ゼウス

//<1093> 日向markⅡ
<1093> 日向markⅡ

//<1094> 糞虫
<1094> 糞虫

//<1095> 量産型日向
<1095> 量産型日向

//<1096> ？？
<1096> ？？

//<1097> 「え？　じゃあ、後４日なのか？」
<1097> 「え？　じゃあ、後４日なのか？」

//<1098> 初音
<1098> 初音

//<1099> 「でもキリスト教では…まえの日の夕方から、もうクリスマスなんだよ…」
<1099> 「でもキリスト教では…まえの日の夕方から、もうクリスマスなんだよ…」

//<1100> 音無
<1100> 音無

//<1101> クソ坊主
<1101> クソ坊主

//<1102> 代理人
<1102> 代理人

//<1103> 微妙すぎるイケメン
<1103> 微妙すぎるイケメン

//<1104> ロリコン
<1104> ロリコン

//<1105> メガネ仲間
<1105> メガネ仲間

//<1106> 暗算日本記録保持者
<1106> 暗算日本記録保持者

//<1107> 通り魔
<1107> 通り魔

//<1108> 記憶ナシ男
<1108> 記憶ナシ男

//<1109> 音速
<1109> 音速

//<1110> 無限
<1110> 無限

//<1111> エロ侍
<1111> エロ侍

//<1112> エロエロ団ナンバー１
<1112> エロエロ団ナンバー１

//<1113> ただのエロ少年
<1113> ただのエロ少年

//<1114> ユリブサイク
<1114> ユリブサイク

//<1115> ドピュッシー
<1115> ドピュッシー

//<1116> アメリカンエロドッグ
<1116> アメリカンエロドッグ

//<1117> ゼウス
<1117> ゼウス

//<1118> 日向markⅡ
<1118> 日向markⅡ

//<1119> 糞虫
<1119> 糞虫

//<1120> 量産型日向
<1120> 量産型日向

//<1121> ？？
<1121> ？？

//<1122> 「初音は物知りなんだなあ。じゃあ、あと３日でいいんだな」
<1122> 「初音は物知りなんだなあ。じゃあ、あと３日でいいんだな」

//<1123> 初音
<1123> 初音

//<1124> 「うん」
<1124> 「うん」

//<1125> 後３日と後４日。
<1125> 後３日と後４日。

//<1126> たった一日の差なのに、どうしても後３日のほうが良かった。
<1126> たった一日の差なのに、どうしても後３日のほうが良かった。

//<1127> 後４日はなぜか異様に遠く感じられたのだ。
<1127> 後４日はなぜか異様に遠く感じられたのだ。

//<1128> 初音
<1128> 初音

//<1129> 「街の大通り、つれていってくれるんだよね…？」
<1129> 「街の大通り、つれていってくれるんだよね…？」

//<1130> 音無
<1130> 音無

//<1131> クソ坊主
<1131> クソ坊主

//<1132> 代理人
<1132> 代理人

//<1133> 微妙すぎるイケメン
<1133> 微妙すぎるイケメン

//<1134> ロリコン
<1134> ロリコン

//<1135> メガネ仲間
<1135> メガネ仲間

//<1136> 暗算日本記録保持者
<1136> 暗算日本記録保持者

//<1137> 通り魔
<1137> 通り魔

//<1138> 記憶ナシ男
<1138> 記憶ナシ男

//<1139> 音速
<1139> 音速

//<1140> 無限
<1140> 無限

//<1141> エロ侍
<1141> エロ侍

//<1142> エロエロ団ナンバー１
<1142> エロエロ団ナンバー１

//<1143> ただのエロ少年
<1143> ただのエロ少年

//<1144> ユリブサイク
<1144> ユリブサイク

//<1145> ドピュッシー
<1145> ドピュッシー

//<1146> アメリカンエロドッグ
<1146> アメリカンエロドッグ

//<1147> ゼウス
<1147> ゼウス

//<1148> 日向markⅡ
<1148> 日向markⅡ

//<1149> 糞虫
<1149> 糞虫

//<1150> 量産型日向
<1150> 量産型日向

//<1151> ？？
<1151> ？？

//<1152> 「ああ、もちろん」
<1152> 「ああ、もちろん」

//<1153> 初音
<1153> 初音

//<1154> 「やくそくだもんね…！」
<1154> 「やくそくだもんね…！」

//<1155> 音無
<1155> 音無

//<1156> クソ坊主
<1156> クソ坊主

//<1157> 代理人
<1157> 代理人

//<1158> 微妙すぎるイケメン
<1158> 微妙すぎるイケメン

//<1159> ロリコン
<1159> ロリコン

//<1160> メガネ仲間
<1160> メガネ仲間

//<1161> 暗算日本記録保持者
<1161> 暗算日本記録保持者

//<1162> 通り魔
<1162> 通り魔

//<1163> 記憶ナシ男
<1163> 記憶ナシ男

//<1164> 音速
<1164> 音速

//<1165> 無限
<1165> 無限

//<1166> エロ侍
<1166> エロ侍

//<1167> エロエロ団ナンバー１
<1167> エロエロ団ナンバー１

//<1168> ただのエロ少年
<1168> ただのエロ少年

//<1169> ユリブサイク
<1169> ユリブサイク

//<1170> ドピュッシー
<1170> ドピュッシー

//<1171> アメリカンエロドッグ
<1171> アメリカンエロドッグ

//<1172> ゼウス
<1172> ゼウス

//<1173> 日向markⅡ
<1173> 日向markⅡ

//<1174> 糞虫
<1174> 糞虫

//<1175> 量産型日向
<1175> 量産型日向

//<1176> ？？
<1176> ？？

//<1177> 「ああ、必ず連れていってやるよ」
<1177> 「ああ、必ず連れていってやるよ」

//<1178> 白
<1178> 白

//<1179> １２月２４日。
<1179> １２月２４日。

//<1180> クリスマスイヴ。
<1180> クリスマスイヴ。

//<1181> イヴでない日との違いはよくわからなかった。
<1181> イヴでない日との違いはよくわからなかった。

//<1182> 俺は初音のぶんのコートとマフラーも持って、財布に全財産を詰めて病院へと向かった。
<1182> 俺は初音のぶんのコートとマフラーも持って、財布に全財産を詰めて病院へと向かった。

//<1183> 白
<1183> 白

//<1184> nothing
<1184> nothing

//<1185> 
<1185> 

//<1186> 
<1186> 

//<1187> nothing
<1187> nothing

//<1188> 初音の担当医師に外に連れ出していいか尋ねた。
<1188> 初音の担当医師に外に連れ出していいか尋ねた。

//<1189> きみは頭がおかしいのか？という顔をされた。
<1189> きみは頭がおかしいのか？という顔をされた。

//<1190> 少しだけでも、と俺は粘った。
<1190> 少しだけでも、と俺は粘った。

//<1191> が、とりつく島もない。
<1191> が、とりつく島もない。

//<1192> まあいい。こっそり連れ出せばいいだけの話だ。
<1192> まあいい。こっそり連れ出せばいいだけの話だ。

//<1193> 俺は諦めた振りをした。
<1193> 俺は諦めた振りをした。

//<1194> 最後に、絶対安静ですよ、と念を押された。
<1194> 最後に、絶対安静ですよ、と念を押された。

//<1195> …絶対安静。
<1195> …絶対安静。

//<1196> その意味もよくわからなかった。
<1196> その意味もよくわからなかった。

//<1197> 白
<1197> 白

//<1198> 俺は初音の病室から最短距離で表に出られる経路を調べた。
<1198> 俺は初音の病室から最短距離で表に出られる経路を調べた。

//<1199> 廊下の窓から出るのが一番近道だった。
<1199> 廊下の窓から出るのが一番近道だった。

//<1200> 出ると、すぐ駐車場だ。
<1200> 出ると、すぐ駐車場だ。

//<1201> 闇に紛れてそこまで行けば見つかることもないだろう。
<1201> 闇に紛れてそこまで行けば見つかることもないだろう。

//<1202> 陽が落ちるのを待った。
<1202> 陽が落ちるのを待った。

//<1203> se_hospitaldoor_open
<1203> se_hospitaldoor_open

//<1204> 初音の病室に入る。面会時間ぎりぎりだ。
<1204> 初音の病室に入る。面会時間ぎりぎりだ。

//<1205> 初音は眠っていた。
<1205> 初音は眠っていた。

//<1206> 起こしていいのだろうか。
<1206> 起こしていいのだろうか。

//<1207> 息をするたび、口を覆うプラスチックのマスクが白く籠もった。
<1207> 息をするたび、口を覆うプラスチックのマスクが白く籠もった。

//<1208> これは外してもいいものなのだろうか。
<1208> これは外してもいいものなのだろうか。

//<1209> どういう役目を果たしているのかもわからない。
<1209> どういう役目を果たしているのかもわからない。

//<1210> 俺の影が初音の瞼にかかったところで、その目がうっすらと開いた。
<1210> 俺の影が初音の瞼にかかったところで、その目がうっすらと開いた。

//<1211> 初音
<1211> 初音

//<1212> 「よかった…」
<1212> 「よかった…」

//<1213> 初音はそう言った。
<1213> 初音はそう言った。

//<1214> 何が、と訊き返すと。
<1214> 何が、と訊き返すと。

//<1215> 初音
<1215> 初音

//<1216> 「いけるんだよね…？」
<1216> 「いけるんだよね…？」

//<1217> そう訊き返してきた。
<1217> そう訊き返してきた。

//<1218> だから俺は、もちろん、と答えた。
<1218> だから俺は、もちろん、と答えた。

//<1219> すると初音は、よかった、と繰り返した。
<1219> すると初音は、よかった、と繰り返した。

//<1220> そう。
<1220> そう。

//<1221> これはいいことなんだ。
<1221> これはいいことなんだ。

//<1222> 俺は何も間違っていない。
<1222> 俺は何も間違っていない。

//<1223> そのマスクを外した。
<1223> そのマスクを外した。

//<1224> 体を起こしてやり、コートを着せ、マフラーを巻いてやった。
<1224> 体を起こしてやり、コートを着せ、マフラーを巻いてやった。

//<1225> 初音が嬉しそうな顔をする。
<1225> 初音が嬉しそうな顔をする。

//<1226> それを見た俺も幸福感に包まれる。
<1226> それを見た俺も幸福感に包まれる。

//<1227> 白
<1227> 白

//<1228> 初音を負ぶって、病院を抜け出した。呆気ないほど簡単にそれは成功した。
<1228> 初音を負ぶって、病院を抜け出した。呆気ないほど簡単にそれは成功した。

//<1229> だが外は寒い…。
<1229> だが外は寒い…。

//<1230> 音無
<1230> 音無

//<1231> クソ坊主
<1231> クソ坊主

//<1232> 代理人
<1232> 代理人

//<1233> 微妙すぎるイケメン
<1233> 微妙すぎるイケメン

//<1234> ロリコン
<1234> ロリコン

//<1235> メガネ仲間
<1235> メガネ仲間

//<1236> 暗算日本記録保持者
<1236> 暗算日本記録保持者

//<1237> 通り魔
<1237> 通り魔

//<1238> 記憶ナシ男
<1238> 記憶ナシ男

//<1239> 音速
<1239> 音速

//<1240> 無限
<1240> 無限

//<1241> エロ侍
<1241> エロ侍

//<1242> エロエロ団ナンバー１
<1242> エロエロ団ナンバー１

//<1243> ただのエロ少年
<1243> ただのエロ少年

//<1244> ユリブサイク
<1244> ユリブサイク

//<1245> ドピュッシー
<1245> ドピュッシー

//<1246> アメリカンエロドッグ
<1246> アメリカンエロドッグ

//<1247> ゼウス
<1247> ゼウス

//<1248> 日向markⅡ
<1248> 日向markⅡ

//<1249> 糞虫
<1249> 糞虫

//<1250> 量産型日向
<1250> 量産型日向

//<1251> ？？
<1251> ？？

//<1252> 「寒くないか？」
<1252> 「寒くないか？」

//<1253> 初音
<1253> 初音

//<1254> 「へーき…」
<1254> 「へーき…」

//<1255> なら何も問題ない。
<1255> なら何も問題ない。

//<1256> 初音の体重も驚くほどに軽い。
<1256> 初音の体重も驚くほどに軽い。

//<1257> これならどれだけだって歩ける自信がある。
<1257> これならどれだけだって歩ける自信がある。

//<1258> nothing
<1258> nothing

//<1259> 
<1259> 

//<1260> 
<1260> 

//<1261> nothing
<1261> nothing

//<1262> 小さく暗い筋を抜け、大通りまで辿り着いた。
<1262> 小さく暗い筋を抜け、大通りまで辿り着いた。

//<1263> 夜なのに、なんて眩い風景。
<1263> 夜なのに、なんて眩い風景。

//<1264> 電飾で飾られた街路樹がどこまでも続いていた。
<1264> 電飾で飾られた街路樹がどこまでも続いていた。

//<1265> 音無
<1265> 音無

//<1266> クソ坊主
<1266> クソ坊主

//<1267> 代理人
<1267> 代理人

//<1268> 微妙すぎるイケメン
<1268> 微妙すぎるイケメン

//<1269> ロリコン
<1269> ロリコン

//<1270> メガネ仲間
<1270> メガネ仲間

//<1271> 暗算日本記録保持者
<1271> 暗算日本記録保持者

//<1272> 通り魔
<1272> 通り魔

//<1273> 記憶ナシ男
<1273> 記憶ナシ男

//<1274> 音速
<1274> 音速

//<1275> 無限
<1275> 無限

//<1276> エロ侍
<1276> エロ侍

//<1277> エロエロ団ナンバー１
<1277> エロエロ団ナンバー１

//<1278> ただのエロ少年
<1278> ただのエロ少年

//<1279> ユリブサイク
<1279> ユリブサイク

//<1280> ドピュッシー
<1280> ドピュッシー

//<1281> アメリカンエロドッグ
<1281> アメリカンエロドッグ

//<1282> ゼウス
<1282> ゼウス

//<1283> 日向markⅡ
<1283> 日向markⅡ

//<1284> 糞虫
<1284> 糞虫

//<1285> 量産型日向
<1285> 量産型日向

//<1286> ？？
<1286> ？？

//<1287> 「すげー…」
<1287> 「すげー…」

//<1288> 俺はしばらく見入ってしまっていた。
<1288> 俺はしばらく見入ってしまっていた。

//<1289> 音無
<1289> 音無

//<1290> クソ坊主
<1290> クソ坊主

//<1291> 代理人
<1291> 代理人

//<1292> 微妙すぎるイケメン
<1292> 微妙すぎるイケメン

//<1293> ロリコン
<1293> ロリコン

//<1294> メガネ仲間
<1294> メガネ仲間

//<1295> 暗算日本記録保持者
<1295> 暗算日本記録保持者

//<1296> 通り魔
<1296> 通り魔

//<1297> 記憶ナシ男
<1297> 記憶ナシ男

//<1298> 音速
<1298> 音速

//<1299> 無限
<1299> 無限

//<1300> エロ侍
<1300> エロ侍

//<1301> エロエロ団ナンバー１
<1301> エロエロ団ナンバー１

//<1302> ただのエロ少年
<1302> ただのエロ少年

//<1303> ユリブサイク
<1303> ユリブサイク

//<1304> ドピュッシー
<1304> ドピュッシー

//<1305> アメリカンエロドッグ
<1305> アメリカンエロドッグ

//<1306> ゼウス
<1306> ゼウス

//<1307> 日向markⅡ
<1307> 日向markⅡ

//<1308> 糞虫
<1308> 糞虫

//<1309> 量産型日向
<1309> 量産型日向

//<1310> ？？
<1310> ？？

//<1311> 「おい、見えてるか？　すごいぞ？」
<1311> 「おい、見えてるか？　すごいぞ？」

//<1312> 背中を少し揺すってみせた。
<1312> 背中を少し揺すってみせた。

//<1313> 初音
<1313> 初音

//<1314> 「うん…すごく…きれい…」
<1314> 「うん…すごく…きれい…」

//<1315> 小さいけど、初音の声が返ってくる。
<1315> 小さいけど、初音の声が返ってくる。

//<1316> 音無
<1316> 音無

//<1317> クソ坊主
<1317> クソ坊主

//<1318> 代理人
<1318> 代理人

//<1319> 微妙すぎるイケメン
<1319> 微妙すぎるイケメン

//<1320> ロリコン
<1320> ロリコン

//<1321> メガネ仲間
<1321> メガネ仲間

//<1322> 暗算日本記録保持者
<1322> 暗算日本記録保持者

//<1323> 通り魔
<1323> 通り魔

//<1324> 記憶ナシ男
<1324> 記憶ナシ男

//<1325> 音速
<1325> 音速

//<1326> 無限
<1326> 無限

//<1327> エロ侍
<1327> エロ侍

//<1328> エロエロ団ナンバー１
<1328> エロエロ団ナンバー１

//<1329> ただのエロ少年
<1329> ただのエロ少年

//<1330> ユリブサイク
<1330> ユリブサイク

//<1331> ドピュッシー
<1331> ドピュッシー

//<1332> アメリカンエロドッグ
<1332> アメリカンエロドッグ

//<1333> ゼウス
<1333> ゼウス

//<1334> 日向markⅡ
<1334> 日向markⅡ

//<1335> 糞虫
<1335> 糞虫

//<1336> 量産型日向
<1336> 量産型日向

//<1337> ？？
<1337> ？？

//<1338> 「だな。すごく綺麗だ」
<1338> 「だな。すごく綺麗だ」

//<1339> 音無
<1339> 音無

//<1340> クソ坊主
<1340> クソ坊主

//<1341> 代理人
<1341> 代理人

//<1342> 微妙すぎるイケメン
<1342> 微妙すぎるイケメン

//<1343> ロリコン
<1343> ロリコン

//<1344> メガネ仲間
<1344> メガネ仲間

//<1345> 暗算日本記録保持者
<1345> 暗算日本記録保持者

//<1346> 通り魔
<1346> 通り魔

//<1347> 記憶ナシ男
<1347> 記憶ナシ男

//<1348> 音速
<1348> 音速

//<1349> 無限
<1349> 無限

//<1350> エロ侍
<1350> エロ侍

//<1351> エロエロ団ナンバー１
<1351> エロエロ団ナンバー１

//<1352> ただのエロ少年
<1352> ただのエロ少年

//<1353> ユリブサイク
<1353> ユリブサイク

//<1354> ドピュッシー
<1354> ドピュッシー

//<1355> アメリカンエロドッグ
<1355> アメリカンエロドッグ

//<1356> ゼウス
<1356> ゼウス

//<1357> 日向markⅡ
<1357> 日向markⅡ

//<1358> 糞虫
<1358> 糞虫

//<1359> 量産型日向
<1359> 量産型日向

//<1360> ？？
<1360> ？？

//<1361> 「俺も見られてよかったよ。お前のおかげだな」
<1361> 「俺も見られてよかったよ。お前のおかげだな」

//<1362> 音無
<1362> 音無

//<1363> クソ坊主
<1363> クソ坊主

//<1364> 代理人
<1364> 代理人

//<1365> 微妙すぎるイケメン
<1365> 微妙すぎるイケメン

//<1366> ロリコン
<1366> ロリコン

//<1367> メガネ仲間
<1367> メガネ仲間

//<1368> 暗算日本記録保持者
<1368> 暗算日本記録保持者

//<1369> 通り魔
<1369> 通り魔

//<1370> 記憶ナシ男
<1370> 記憶ナシ男

//<1371> 音速
<1371> 音速

//<1372> 無限
<1372> 無限

//<1373> エロ侍
<1373> エロ侍

//<1374> エロエロ団ナンバー１
<1374> エロエロ団ナンバー１

//<1375> ただのエロ少年
<1375> ただのエロ少年

//<1376> ユリブサイク
<1376> ユリブサイク

//<1377> ドピュッシー
<1377> ドピュッシー

//<1378> アメリカンエロドッグ
<1378> アメリカンエロドッグ

//<1379> ゼウス
<1379> ゼウス

//<1380> 日向markⅡ
<1380> 日向markⅡ

//<1381> 糞虫
<1381> 糞虫

//<1382> 量産型日向
<1382> 量産型日向

//<1383> ？？
<1383> ？？

//<1384> 「さて、これからも楽しい時間が続くぞ？」
<1384> 「さて、これからも楽しい時間が続くぞ？」

//<1385> 音無
<1385> 音無

//<1386> クソ坊主
<1386> クソ坊主

//<1387> 代理人
<1387> 代理人

