// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 食べ物の話題
<0000> 食べ物の話題
<1045> 微妙すぎるイケメン

//<1046> ロリコン
<1046> ロリコン

//<1047> メガネ仲間
<1047> メガネ仲間

//<1048> 暗算日本記録保持者
<1048> 暗算日本記録保持者

//<1049> 通り魔
<1049> 通り魔

//<1050> 記憶ナシ男
<1050> 記憶ナシ男

//<1051> 音速
<1051> 音速

//<1052> 無限
<1052> 無限

//<1053> エロ侍
<1053> エロ侍

//<1054> エロエロ団ナンバー１
<1054> エロエロ団ナンバー１

//<1055> ただのエロ少年
<1055> ただのエロ少年

//<1056> ユリブサイク
<1056> ユリブサイク

//<1057> ドピュッシー
<1057> ドピュッシー

//<1058> アメリカンエロドッグ
<1058> アメリカンエロドッグ

//<1059> ゼウス
<1059> ゼウス

//<1060> 日向markⅡ
<1060> 日向markⅡ

//<1061> 糞虫
<1061> 糞虫

//<1062> 量産型日向
<1062> 量産型日向

//<1063> ？？
<1063> ？？

//<1064> 「そうだったあぁぁーー！！」
<1064> 「そうだったあぁぁーー！！」

//<1065> nothing
<1065> nothing

//<1066> nothing
<1066> nothing

//<1067> nothing
<1067> nothing

//<1068> nothing
<1068> nothing

//<1069> nothing
<1069> nothing

//<1070> nothing
<1070> nothing

//<1071> なんてこった…、死後の世界だってことをすっかり忘れていた。
<1071> なんてこった…、死後の世界だってことをすっかり忘れていた。

//<1072> 岩沢はもうこっちに興味を向けていない。
<1072> 岩沢はもうこっちに興味を向けていない。

//<1073> 大人しく、出て行こう…。
<1073> 大人しく、出て行こう…。

//<1074> 音無
<1074> 音無

//<1075> クソ坊主
<1075> クソ坊主

//<1076> 代理人
<1076> 代理人

//<1077> 微妙すぎるイケメン
<1077> 微妙すぎるイケメン

//<1078> ロリコン
<1078> ロリコン

//<1079> メガネ仲間
<1079> メガネ仲間

//<1080> 暗算日本記録保持者
<1080> 暗算日本記録保持者

//<1081> 通り魔
<1081> 通り魔

//<1082> 記憶ナシ男
<1082> 記憶ナシ男

//<1083> 音速
<1083> 音速

//<1084> 無限
<1084> 無限

//<1085> エロ侍
<1085> エロ侍

//<1086> エロエロ団ナンバー１
<1086> エロエロ団ナンバー１

//<1087> ただのエロ少年
<1087> ただのエロ少年

//<1088> ユリブサイク
<1088> ユリブサイク

//<1089> ドピュッシー
<1089> ドピュッシー

//<1090> アメリカンエロドッグ
<1090> アメリカンエロドッグ

//<1091> ゼウス
<1091> ゼウス

//<1092> 日向markⅡ
<1092> 日向markⅡ

//<1093> 糞虫
<1093> 糞虫

//<1094> 量産型日向
<1094> 量産型日向

//<1095> ？？
<1095> ？？

//<1096> 「指を切断した場合の対処法を教える。結果から言えば、再接着が可能なんだ」
<1096> 「指を切断した場合の対処法を教える。結果から言えば、再接着が可能なんだ」

//<1097> nothing
<1097> nothing

//<1098> nothing
<1098> nothing

//<1099> nothing
<1099> nothing

//<1100> nothing
<1100> nothing

//<1101> nothing
<1101> nothing

//<1102> 岩沢
<1102> 岩沢

//<1103> 「へえ…」
<1103> 「へえ…」

//<1104> nothing
<1104> nothing

//<1105> nothing
<1105> nothing

//<1106> nothing
<1106> nothing

//<1107> nothing
<1107> nothing

//<1108> nothing
<1108> nothing

//<1109> 音無
<1109> 音無

//<1110> クソ坊主
<1110> クソ坊主

//<1111> 代理人
<1111> 代理人

//<1112> 微妙すぎるイケメン
<1112> 微妙すぎるイケメン

//<1113> ロリコン
<1113> ロリコン

//<1114> メガネ仲間
<1114> メガネ仲間

//<1115> 暗算日本記録保持者
<1115> 暗算日本記録保持者

//<1116> 通り魔
<1116> 通り魔

//<1117> 記憶ナシ男
<1117> 記憶ナシ男

//<1118> 音速
<1118> 音速

//<1119> 無限
<1119> 無限

//<1120> エロ侍
<1120> エロ侍

//<1121> エロエロ団ナンバー１
<1121> エロエロ団ナンバー１

//<1122> ただのエロ少年
<1122> ただのエロ少年

//<1123> ユリブサイク
<1123> ユリブサイク

//<1124> ドピュッシー
<1124> ドピュッシー

//<1125> アメリカンエロドッグ
<1125> アメリカンエロドッグ

//<1126> ゼウス
<1126> ゼウス

//<1127> 日向markⅡ
<1127> 日向markⅡ

//<1128> 糞虫
<1128> 糞虫

//<1129> 量産型日向
<1129> 量産型日向

//<1130> ？？
<1130> ？？

//<1131> 「絶対洗ったりせずそのまま綺麗なビニール袋に入れる」
<1131> 「絶対洗ったりせずそのまま綺麗なビニール袋に入れる」

//<1132> 音無
<1132> 音無

//<1133> クソ坊主
<1133> クソ坊主

//<1134> 代理人
<1134> 代理人

//<1135> 微妙すぎるイケメン
<1135> 微妙すぎるイケメン

//<1136> ロリコン
<1136> ロリコン

//<1137> メガネ仲間
<1137> メガネ仲間

//<1138> 暗算日本記録保持者
<1138> 暗算日本記録保持者

//<1139> 通り魔
<1139> 通り魔

//<1140> 記憶ナシ男
<1140> 記憶ナシ男

//<1141> 音速
<1141> 音速

//<1142> 無限
<1142> 無限

//<1143> エロ侍
<1143> エロ侍

//<1144> エロエロ団ナンバー１
<1144> エロエロ団ナンバー１

//<1145> ただのエロ少年
<1145> ただのエロ少年

//<1146> ユリブサイク
<1146> ユリブサイク

//<1147> ドピュッシー
<1147> ドピュッシー

//<1148> アメリカンエロドッグ
<1148> アメリカンエロドッグ

//<1149> ゼウス
<1149> ゼウス

//<1150> 日向markⅡ
<1150> 日向markⅡ

//<1151> 糞虫
<1151> 糞虫

//<1152> 量産型日向
<1152> 量産型日向

//<1153> ？？
<1153> ？？

//<1154> 「それで５時間ぐらいは持つから、それまでに病院へ駆け込めばいい」
<1154> 「それで５時間ぐらいは持つから、それまでに病院へ駆け込めばいい」

//<1155> 音無
<1155> 音無

//<1156> クソ坊主
<1156> クソ坊主

//<1157> 代理人
<1157> 代理人

//<1158> 微妙すぎるイケメン
<1158> 微妙すぎるイケメン

//<1159> ロリコン
<1159> ロリコン

//<1160> メガネ仲間
<1160> メガネ仲間

//<1161> 暗算日本記録保持者
<1161> 暗算日本記録保持者

//<1162> 通り魔
<1162> 通り魔

//<1163> 記憶ナシ男
<1163> 記憶ナシ男

//<1164> 音速
<1164> 音速

//<1165> 無限
<1165> 無限

//<1166> エロ侍
<1166> エロ侍

//<1167> エロエロ団ナンバー１
<1167> エロエロ団ナンバー１

//<1168> ただのエロ少年
<1168> ただのエロ少年

//<1169> ユリブサイク
<1169> ユリブサイク

//<1170> ドピュッシー
<1170> ドピュッシー

//<1171> アメリカンエロドッグ
<1171> アメリカンエロドッグ

//<1172> ゼウス
<1172> ゼウス

//<1173> 日向markⅡ
<1173> 日向markⅡ

//<1174> 糞虫
<1174> 糞虫

//<1175> 量産型日向
<1175> 量産型日向

//<1176> ？？
<1176> ？？

//<1177> 「もっと時間がかかる場合は、氷とかで冷却すればさらに倍以上の時間は持つ」
<1177> 「もっと時間がかかる場合は、氷とかで冷却すればさらに倍以上の時間は持つ」

//<1178> 音無
<1178> 音無

//<1179> クソ坊主
<1179> クソ坊主

//<1180> 代理人
<1180> 代理人

//<1181> 微妙すぎるイケメン
<1181> 微妙すぎるイケメン

//<1182> ロリコン
<1182> ロリコン

//<1183> メガネ仲間
<1183> メガネ仲間

//<1184> 暗算日本記録保持者
<1184> 暗算日本記録保持者

//<1185> 通り魔
<1185> 通り魔

//<1186> 記憶ナシ男
<1186> 記憶ナシ男

//<1187> 音速
<1187> 音速

//<1188> 無限
<1188> 無限

//<1189> エロ侍
<1189> エロ侍

//<1190> エロエロ団ナンバー１
<1190> エロエロ団ナンバー１

//<1191> ただのエロ少年
<1191> ただのエロ少年

//<1192> ユリブサイク
<1192> ユリブサイク

//<1193> ドピュッシー
<1193> ドピュッシー

//<1194> アメリカンエロドッグ
<1194> アメリカンエロドッグ

//<1195> ゼウス
<1195> ゼウス

//<1196> 日向markⅡ
<1196> 日向markⅡ

//<1197> 糞虫
<1197> 糞虫

//<1198> 量産型日向
<1198> 量産型日向

//<1199> ？？
<1199> ？？

//<1200> 「病院が近くだったら、直接持って駆け込め」
<1200> 「病院が近くだったら、直接持って駆け込め」

//<1201> 説明を終え、わくわくと反応を待つ。
<1201> 説明を終え、わくわくと反応を待つ。

//<1202> nothing
<1202> nothing

//<1203> nothing
<1203> nothing

//<1204> nothing
<1204> nothing

//<1205> nothing
<1205> nothing

//<1206> nothing
<1206> nothing

//<1207> 岩沢
<1207> 岩沢

//<1208> 「この世界に病院なんてないから」
<1208> 「この世界に病院なんてないから」

//<1209> 音無
<1209> 音無

//<1210> クソ坊主
<1210> クソ坊主

//<1211> 代理人
<1211> 代理人

//<1212> 微妙すぎるイケメン
<1212> 微妙すぎるイケメン

//<1213> ロリコン
<1213> ロリコン

//<1214> メガネ仲間
<1214> メガネ仲間

//<1215> 暗算日本記録保持者
<1215> 暗算日本記録保持者

//<1216> 通り魔
<1216> 通り魔

//<1217> 記憶ナシ男
<1217> 記憶ナシ男

//<1218> 音速
<1218> 音速

//<1219> 無限
<1219> 無限

//<1220> エロ侍
<1220> エロ侍

//<1221> エロエロ団ナンバー１
<1221> エロエロ団ナンバー１

//<1222> ただのエロ少年
<1222> ただのエロ少年

//<1223> ユリブサイク
<1223> ユリブサイク

//<1224> ドピュッシー
<1224> ドピュッシー

//<1225> アメリカンエロドッグ
<1225> アメリカンエロドッグ

//<1226> ゼウス
<1226> ゼウス

//<1227> 日向markⅡ
<1227> 日向markⅡ

//<1228> 糞虫
<1228> 糞虫

//<1229> 量産型日向
<1229> 量産型日向

//<1230> ？？
<1230> ？？

//<1231> 「そうだったあぁぁーー！！」
<1231> 「そうだったあぁぁーー！！」

//<1232> 音無
<1232> 音無

//<1233> クソ坊主
<1233> クソ坊主

//<1234> 代理人
<1234> 代理人

//<1235> 微妙すぎるイケメン
<1235> 微妙すぎるイケメン

//<1236> ロリコン
<1236> ロリコン

//<1237> メガネ仲間
<1237> メガネ仲間

//<1238> 暗算日本記録保持者
<1238> 暗算日本記録保持者

//<1239> 通り魔
<1239> 通り魔

//<1240> 記憶ナシ男
<1240> 記憶ナシ男

//<1241> 音速
<1241> 音速

//<1242> 無限
<1242> 無限

//<1243> エロ侍
<1243> エロ侍

//<1244> エロエロ団ナンバー１
<1244> エロエロ団ナンバー１

//<1245> ただのエロ少年
<1245> ただのエロ少年

//<1246> ユリブサイク
<1246> ユリブサイク

//<1247> ドピュッシー
<1247> ドピュッシー

//<1248> アメリカンエロドッグ
<1248> アメリカンエロドッグ

//<1249> ゼウス
<1249> ゼウス

//<1250> 日向markⅡ
<1250> 日向markⅡ

//<1251> 糞虫
<1251> 糞虫

//<1252> 量産型日向
<1252> 量産型日向

//<1253> ？？
<1253> ？？

//<1254> 「じゃあ、どうすればいいんだ！？」
<1254> 「じゃあ、どうすればいいんだ！？」

//<1255> nothing
<1255> nothing

//<1256> nothing
<1256> nothing

//<1257> nothing
<1257> nothing

//<1258> nothing
<1258> nothing

//<1259> nothing
<1259> nothing

//<1260> 岩沢
<1260> 岩沢

//<1261> 「切断したぐらいならほっときゃすぐ生えてくるか、くっつくよ」
<1261> 「切断したぐらいならほっときゃすぐ生えてくるか、くっつくよ」

//<1262> 音無
<1262> 音無

//<1263> クソ坊主
<1263> クソ坊主

//<1264> 代理人
<1264> 代理人

//<1265> 微妙すぎるイケメン
<1265> 微妙すぎるイケメン

//<1266> ロリコン
<1266> ロリコン

//<1267> メガネ仲間
<1267> メガネ仲間

//<1268> 暗算日本記録保持者
<1268> 暗算日本記録保持者

//<1269> 通り魔
<1269> 通り魔

//<1270> 記憶ナシ男
<1270> 記憶ナシ男

//<1271> 音速
<1271> 音速

//<1272> 無限
<1272> 無限

//<1273> エロ侍
<1273> エロ侍

//<1274> エロエロ団ナンバー１
<1274> エロエロ団ナンバー１

//<1275> ただのエロ少年
<1275> ただのエロ少年

//<1276> ユリブサイク
<1276> ユリブサイク

//<1277> ドピュッシー
<1277> ドピュッシー

//<1278> アメリカンエロドッグ
<1278> アメリカンエロドッグ

//<1279> ゼウス
<1279> ゼウス

//<1280> 日向markⅡ
<1280> 日向markⅡ

//<1281> 糞虫
<1281> 糞虫

//<1282> 量産型日向
<1282> 量産型日向

//<1283> ？？
<1283> ？？

//<1284> 「そうなのか…サンキュー…」
<1284> 「そうなのか…サンキュー…」

//<1285> nothing
<1285> nothing

//<1286> nothing
<1286> nothing

//<1287> nothing
<1287> nothing

//<1288> nothing
<1288> nothing

//<1289> nothing
<1289> nothing

//<1290> nothing
<1290> nothing

//<1291> 逆に教えられてしまった…。
<1291> 逆に教えられてしまった…。

//<1292> 今日の所は大人しく、出て行こう。
<1292> 今日の所は大人しく、出て行こう。

//<1293> 音無
<1293> 音無

//<1294> クソ坊主
<1294> クソ坊主

//<1295> 代理人
<1295> 代理人

//<1296> 微妙すぎるイケメン
<1296> 微妙すぎるイケメン

//<1297> ロリコン
<1297> ロリコン

//<1298> メガネ仲間
<1298> メガネ仲間

//<1299> 暗算日本記録保持者
<1299> 暗算日本記録保持者

//<1300> 通り魔
<1300> 通り魔

//<1301> 記憶ナシ男
<1301> 記憶ナシ男

//<1302> 音速
<1302> 音速

//<1303> 無限
<1303> 無限

//<1304> エロ侍
<1304> エロ侍

//<1305> エロエロ団ナンバー１
<1305> エロエロ団ナンバー１

//<1306> ただのエロ少年
<1306> ただのエロ少年

//<1307> ユリブサイク
<1307> ユリブサイク

//<1308> ドピュッシー
<1308> ドピュッシー

//<1309> アメリカンエロドッグ
<1309> アメリカンエロドッグ

//<1310> ゼウス
<1310> ゼウス

//<1311> 日向markⅡ
<1311> 日向markⅡ

//<1312> 糞虫
<1312> 糞虫

//<1313> 量産型日向
<1313> 量産型日向

//<1314> ？？
<1314> ？？

//<1315> 「我慢したおならがどこに行くか、気にはならないか？」
<1315> 「我慢したおならがどこに行くか、気にはならないか？」

//<1316> nothing
<1316> nothing

//<1317> nothing
<1317> nothing

//<1318> nothing
<1318> nothing

//<1319> nothing
<1319> nothing

//<1320> nothing
<1320> nothing

//<1321> 岩沢
<1321> 岩沢

//<1322> 「待てよ。鼻水に続いて、今度はおならかい」
<1322> 「待てよ。鼻水に続いて、今度はおならかい」

//<1323> 音無
<1323> 音無

//<1324> クソ坊主
<1324> クソ坊主

//<1325> 代理人
<1325> 代理人

//<1326> 微妙すぎるイケメン
<1326> 微妙すぎるイケメン

//<1327> ロリコン
<1327> ロリコン

//<1328> メガネ仲間
<1328> メガネ仲間

//<1329> 暗算日本記録保持者
<1329> 暗算日本記録保持者

//<1330> 通り魔
<1330> 通り魔

//<1331> 記憶ナシ男
<1331> 記憶ナシ男

//<1332> 音速
<1332> 音速

//<1333> 無限
<1333> 無限

//<1334> エロ侍
<1334> エロ侍

//<1335> エロエロ団ナンバー１
<1335> エロエロ団ナンバー１

//<1336> ただのエロ少年
<1336> ただのエロ少年

//<1337> ユリブサイク
<1337> ユリブサイク

//<1338> ドピュッシー
<1338> ドピュッシー

//<1339> アメリカンエロドッグ
<1339> アメリカンエロドッグ

//<1340> ゼウス
<1340> ゼウス

//<1341> 日向markⅡ
<1341> 日向markⅡ

//<1342> 糞虫
<1342> 糞虫

//<1343> 量産型日向
<1343> 量産型日向

//<1344> ？？
<1344> ？？

//<1345> 「ああ」
<1345> 「ああ」

//<1346> nothing
<1346> nothing

//<1347> nothing
<1347> nothing

//<1348> nothing
<1348> nothing

//<1349> nothing
<1349> nothing

//<1350> nothing
<1350> nothing

//<1351> 岩沢
<1351> 岩沢

//<1352> 「だから、そんな話を聞くのはごめんだ。出て行ってくれないかな」
<1352> 「だから、そんな話を聞くのはごめんだ。出て行ってくれないかな」

//<1353> nothing
<1353> nothing

//<1354> nothing
<1354> nothing

//<1355> nothing
<1355> nothing

//<1356> nothing
<1356> nothing

//<1357> nothing
<1357> nothing

//<1358> nothing
<1358> nothing

//<1359> え…。
<1359> え…。

//<1360> そう言われると、そうするしかない…。
<1360> そう言われると、そうするしかない…。

//<1361> 話す内容の選択をミスってしまったようだ。
<1361> 話す内容の選択をミスってしまったようだ。

//<1362> 俺は大人しく、空き教室を出て行くことにした…。
<1362> 俺は大人しく、空き教室を出て行くことにした…。

//<1363> nothing
<1363> nothing

//<1364> nothing
<1364> nothing

//<1365> nothing
<1365> nothing

//<1366> nothing
<1366> nothing

//<1367> nothing
<1367> nothing

//<1368> 岩沢
<1368> 岩沢

//<1369> 「それ、女性にする話か？」
<1369> 「それ、女性にする話か？」

//<1370> うん、俺がおかしい。
<1370> うん、俺がおかしい。

//<1371> nothing
<1371> nothing

//<1372> nothing
<1372> nothing

//<1373> nothing
<1373> nothing

//<1374> nothing
<1374> nothing

//<1375> nothing
<1375> nothing

//<1376> 岩沢
<1376> 岩沢

//<1377> 「で？」
<1377> 「で？」

//<1378> 音無
<1378> 音無

//<1379> クソ坊主
<1379> クソ坊主

//<1380> 代理人
<1380> 代理人

//<1381> 微妙すぎるイケメン
<1381> 微妙すぎるイケメン

//<1382> ロリコン
<1382> ロリコン

//<1383> メガネ仲間
<1383> メガネ仲間

//<1384> 暗算日本記録保持者
<1384> 暗算日本記録保持者

//<1385> 通り魔
<1385> 通り魔

//<1386> 記憶ナシ男
<1386> 記憶ナシ男

//<1387> 音速
<1387> 音速

//<1388> 無限
<1388> 無限

//<1389> エロ侍
<1389> エロ侍

//<1390> エロエロ団ナンバー１
<1390> エロエロ団ナンバー１

//<1391> ただのエロ少年
<1391> ただのエロ少年

//<1392> ユリブサイク
<1392> ユリブサイク

//<1393> ドピュッシー
<1393> ドピュッシー

//<1394> アメリカンエロドッグ
<1394> アメリカンエロドッグ

//<1395> ゼウス
<1395> ゼウス

//<1396> 日向markⅡ
<1396> 日向markⅡ

//<1397> 糞虫
<1397> 糞虫

//<1398> 量産型日向
<1398> 量産型日向

//<1399> ？？
<1399> ？？

//<1400> 「おならは大腸でほとんど吸収され、小腸に逆流する。そこから血液中に入る。尿に溶け込んだり、代謝されたりするんだけど、中には、肺に行くおならもあるんだ」
<1400> 「おならは大腸でほとんど吸収され、小腸に逆流する。そこから血液中に入る。尿に溶け込んだり、代謝されたりするんだけど、中には、肺に行くおならもあるんだ」

//<1401> nothing
<1401> nothing

//<1402> nothing
<1402> nothing

//<1403> nothing
<1403> nothing

//<1404> nothing
<1404> nothing

//<1405> nothing
<1405> nothing

//<1406> 岩沢
<1406> 岩沢

//<1407> 「なに？　それは…どうなるんだ…」
<1407> 「なに？　それは…どうなるんだ…」

//<1408> 音無
<1408> 音無

//<1409> クソ坊主
<1409> クソ坊主

//<1410> 代理人
<1410> 代理人

//<1411> 微妙すぎるイケメン
<1411> 微妙すぎるイケメン

//<1412> ロリコン
<1412> ロリコン

//<1413> メガネ仲間
<1413> メガネ仲間

//<1414> 暗算日本記録保持者
<1414> 暗算日本記録保持者

//<1415> 通り魔
<1415> 通り魔

//<1416> 記憶ナシ男
<1416> 記憶ナシ男

//<1417> 音速
<1417> 音速

//<1418> 無限
<1418> 無限

//<1419> エロ侍
<1419> エロ侍

//<1420> エロエロ団ナンバー１
<1420> エロエロ団ナンバー１

//<1421> ただのエロ少年
<1421> ただのエロ少年

//<1422> ユリブサイク
<1422> ユリブサイク

//<1423> ドピュッシー
<1423> ドピュッシー

//<1424> アメリカンエロドッグ
<1424> アメリカンエロドッグ

//<1425> ゼウス
<1425> ゼウス

//<1426> 日向markⅡ
<1426> 日向markⅡ

//<1427> 糞虫
<1427> 糞虫

//<1428> 量産型日向
<1428> 量産型日向

//<1429> ？？
<1429> ？？

//<1430> 「それは…口からデビューすることになる」
<1430> 「それは…口からデビューすることになる」

//<1431> nothing
<1431> nothing

//<1432> nothing
<1432> nothing

//<1433> nothing
<1433> nothing

//<1434> nothing
<1434> nothing

//<1435> nothing
<1435> nothing

//<1436> 岩沢
<1436> 岩沢

//<1437> 「そんなっ、あたしたちは口からおならを吐いて過ごしてきたってことか！？」
<1437> 「そんなっ、あたしたちは口からおならを吐いて過ごしてきたってことか！？」

//<1438> 音無
<1438> 音無

//<1439> クソ坊主
<1439> クソ坊主

//<1440> 代理人
<1440> 代理人

//<1441> 微妙すぎるイケメン
<1441> 微妙すぎるイケメン

//<1442> ロリコン
<1442> ロリコン

//<1443> メガネ仲間
<1443> メガネ仲間

//<1444> 暗算日本記録保持者
<1444> 暗算日本記録保持者

//<1445> 通り魔
<1445> 通り魔

//<1446> 記憶ナシ男
<1446> 記憶ナシ男

//<1447> 音速
<1447> 音速

//<1448> 無限
<1448> 無限

//<1449> エロ侍
<1449> エロ侍

//<1450> エロエロ団ナンバー１
<1450> エロエロ団ナンバー１

//<1451> ただのエロ少年
<1451> ただのエロ少年

//<1452> ユリブサイク
<1452> ユリブサイク

//<1453> ドピュッシー
<1453> ドピュッシー

//<1454> アメリカンエロドッグ
<1454> アメリカンエロドッグ

//<1455> ゼウス
<1455> ゼウス

//<1456> 日向markⅡ
<1456> 日向markⅡ

//<1457> 糞虫
<1457> 糞虫

//<1458> 量産型日向
<1458> 量産型日向

//<1459> ？？
<1459> ？？

//<1460> 「だけど、その時には二酸化炭素になっていて、臭さはないんだけどな」
<1460> 「だけど、その時には二酸化炭素になっていて、臭さはないんだけどな」

//<1461> nothing
<1461> nothing

//<1462> nothing
<1462> nothing

//<1463> nothing
<1463> nothing

//<1464> nothing
<1464> nothing

//<1465> nothing
<1465> nothing

//<1466> 岩沢
<1466> 岩沢

//<1467> 「んだよっ、ったく、焦らせるなよ…」
<1467> 「んだよっ、ったく、焦らせるなよ…」

//<1468> 音無
<1468> 音無

//<1469> クソ坊主
<1469> クソ坊主

//<1470> 代理人
<1470> 代理人

//<1471> 微妙すぎるイケメン
<1471> 微妙すぎるイケメン

//<1472> ロリコン
<1472> ロリコン

//<1473> メガネ仲間
<1473> メガネ仲間

//<1474> 暗算日本記録保持者
<1474> 暗算日本記録保持者

//<1475> 通り魔
<1475> 通り魔

//<1476> 記憶ナシ男
<1476> 記憶ナシ男

//<1477> 音速
<1477> 音速

//<1478> 無限
<1478> 無限

//<1479> エロ侍
<1479> エロ侍

//<1480> エロエロ団ナンバー１
<1480> エロエロ団ナンバー１

//<1481> ただのエロ少年
<1481> ただのエロ少年

//<1482> ユリブサイク
<1482> ユリブサイク

//<1483> ドピュッシー
<1483> ドピュッシー

//<1484> アメリカンエロドッグ
<1484> アメリカンエロドッグ

//<1485> ゼウス
<1485> ゼウス

//<1486> 日向markⅡ
<1486> 日向markⅡ

//<1487> 糞虫
<1487> 糞虫

//<1488> 量産型日向
<1488> 量産型日向

//<1489> ？？
<1489> ？？

//<1490> 「でも、我慢はしないほうがいい。血中に入ったおならは悪さをすることがあるからな」
<1490> 「でも、我慢はしないほうがいい。血中に入ったおならは悪さをすることがあるからな」

//<1491> nothing
<1491> nothing

//<1492> nothing
<1492> nothing

//<1493> nothing
<1493> nothing

//<1494> nothing
<1494> nothing

//<1495> nothing
<1495> nothing

//<1496> 岩沢
<1496> 岩沢

//<1497> 「そうなのか。参考にさせて頂くよ」
<1497> 「そうなのか。参考にさせて頂くよ」

//<1498> この反応は、良かったととっていいのだろうか。
<1498> この反応は、良かったととっていいのだろうか。

//<1499> nothing
<1499> nothing

//<1500> nothing
<1500> nothing

//<1501> nothing
<1501> nothing

//<1502> nothing
<1502> nothing

//<1503> nothing
<1503> nothing

//<1504> nothing
<1504> nothing

//<1505> 自分の作業に戻った岩沢の機嫌は良さそうだ。
<1505> 自分の作業に戻った岩沢の機嫌は良さそうだ。

//<1506> どうやら、岩沢の心を掴む話ができたようだな。
<1506> どうやら、岩沢の心を掴む話ができたようだな。

//<1507> 俺はほっとしながら、空き教室を後にした。
<1507> 俺はほっとしながら、空き教室を後にした。

//<1508> 音無
<1508> 音無

//<1509> クソ坊主
<1509> クソ坊主

//<1510> 代理人
<1510> 代理人

//<1511> 微妙すぎるイケメン
<1511> 微妙すぎるイケメン

//<1512> ロリコン
<1512> ロリコン

//<1513> メガネ仲間
<1513> メガネ仲間

//<1514> 暗算日本記録保持者
<1514> 暗算日本記録保持者

//<1515> 通り魔
<1515> 通り魔

//<1516> 記憶ナシ男
<1516> 記憶ナシ男

//<1517> 音速
<1517> 音速

//<1518> 無限
<1518> 無限

//<1519> エロ侍
<1519> エロ侍

//<1520> エロエロ団ナンバー１
<1520> エロエロ団ナンバー１

//<1521> ただのエロ少年
<1521> ただのエロ少年

//<1522> ユリブサイク
<1522> ユリブサイク

//<1523> ドピュッシー
<1523> ドピュッシー

//<1524> アメリカンエロドッグ
<1524> アメリカンエロドッグ

//<1525> ゼウス
<1525> ゼウス

//<1526> 日向markⅡ
<1526> 日向markⅡ

//<1527> 糞虫
<1527> 糞虫

//<1528> 量産型日向
<1528> 量産型日向

//<1529> ？？
<1529> ？？

//<1530> 「真空砲は知ってるか？」
<1530> 「真空砲は知ってるか？」

//<1531> nothing
<1531> nothing

//<1532> nothing
<1532> nothing

//<1533> nothing
<1533> nothing

//<1534> nothing
<1534> nothing

//<1535> nothing
<1535> nothing

//<1536> 岩沢
<1536> 岩沢

//<1537> 「知らないね」
<1537> 「知らないね」

//<1538> 音無
<1538> 音無

//<1539> クソ坊主
<1539> クソ坊主

//<1540> 代理人
<1540> 代理人

//<1541> 微妙すぎるイケメン
<1541> 微妙すぎるイケメン

//<1542> ロリコン
<1542> ロリコン

//<1543> メガネ仲間
<1543> メガネ仲間

//<1544> 暗算日本記録保持者
<1544> 暗算日本記録保持者

//<1545> 通り魔
<1545> 通り魔

//<1546> 記憶ナシ男
<1546> 記憶ナシ男

//<1547> 音速
<1547> 音速

//<1548> 無限
<1548> 無限

//<1549> エロ侍
<1549> エロ侍

//<1550> エロエロ団ナンバー１
<1550> エロエロ団ナンバー１

//<1551> ただのエロ少年
<1551> ただのエロ少年

//<1552> ユリブサイク
<1552> ユリブサイク

//<1553> ドピュッシー
<1553> ドピュッシー

//<1554> アメリカンエロドッグ
<1554> アメリカンエロドッグ

//<1555> ゼウス
<1555> ゼウス

//<1556> 日向markⅡ
<1556> 日向markⅡ

//<1557> 糞虫
<1557> 糞虫

//<1558> 量産型日向
<1558> 量産型日向

//<1559> ？？
<1559> ？？

//<1560> 「ＢＢ弾は？」
<1560> 「ＢＢ弾は？」

//<1561> nothing
<1561> nothing

//<1562> nothing
<1562> nothing

//<1563> nothing
<1563> nothing

//<1564> nothing
<1564> nothing

//<1565> nothing
<1565> nothing

//<1566> 岩沢
<1566> 岩沢

//<1567> 「それも知らないね」
<1567> 「それも知らないね」

//<1568> 岩沢は全然興味を示さない。でも、俺は話を続ける。
<1568> 岩沢は全然興味を示さない。でも、俺は話を続ける。

//<1569> 音無
<1569> 音無

//<1570> クソ坊主
<1570> クソ坊主

//<1571> 代理人
<1571> 代理人

//<1572> 微妙すぎるイケメン
<1572> 微妙すぎるイケメン

