// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> そうだ。図書館に行くと決めていたんだった。
<0000> そうだ。図書館に行くと決めていたんだった。
//<0964> 最後の一冊が通された。よし、終わった！と思いきや。
<0964> 最後の一冊が通された。よし、終わった！と思いきや。

//<0965> 司書
<0965> 司書

//<0966> 「袋はお持ちではないですか？」
<0966> 「袋はお持ちではないですか？」

//<0967> そう訊かれ、頭が真っ白になる。
<0967> そう訊かれ、頭が真っ白になる。

//<0968> 音無
<0968> 音無

//<0969> クソ坊主
<0969> クソ坊主

//<0970> 代理人
<0970> 代理人

//<0971> 微妙すぎるイケメン
<0971> 微妙すぎるイケメン

//<0972> ロリコン
<0972> ロリコン

//<0973> メガネ仲間
<0973> メガネ仲間

//<0974> 暗算日本記録保持者
<0974> 暗算日本記録保持者

//<0975> 通り魔
<0975> 通り魔

//<0976> 記憶ナシ男
<0976> 記憶ナシ男

//<0977> 音速
<0977> 音速

//<0978> 無限
<0978> 無限

//<0979> エロ侍
<0979> エロ侍

//<0980> エロエロ団ナンバー１
<0980> エロエロ団ナンバー１

//<0981> ただのエロ少年
<0981> ただのエロ少年

//<0982> ユリブサイク
<0982> ユリブサイク

//<0983> ドピュッシー
<0983> ドピュッシー

//<0984> アメリカンエロドッグ
<0984> アメリカンエロドッグ

//<0985> ゼウス
<0985> ゼウス

//<0986> 日向markⅡ
<0986> 日向markⅡ

//<0987> 糞虫
<0987> 糞虫

//<0988> 量産型日向
<0988> 量産型日向

//<0989> ？？
<0989> ？？

//<0990> （…！？　袋…なんの袋だ…？）
<0990> （…！？　袋…なんの袋だ…？）

//<0991> 音無
<0991> 音無

//<0992> クソ坊主
<0992> クソ坊主

//<0993> 代理人
<0993> 代理人

//<0994> 微妙すぎるイケメン
<0994> 微妙すぎるイケメン

//<0995> ロリコン
<0995> ロリコン

//<0996> メガネ仲間
<0996> メガネ仲間

//<0997> 暗算日本記録保持者
<0997> 暗算日本記録保持者

//<0998> 通り魔
<0998> 通り魔

//<0999> 記憶ナシ男
<0999> 記憶ナシ男

//<1000> 音速
<1000> 音速

//<1001> 無限
<1001> 無限

//<1002> エロ侍
<1002> エロ侍

//<1003> エロエロ団ナンバー１
<1003> エロエロ団ナンバー１

//<1004> ただのエロ少年
<1004> ただのエロ少年

//<1005> ユリブサイク
<1005> ユリブサイク

//<1006> ドピュッシー
<1006> ドピュッシー

//<1007> アメリカンエロドッグ
<1007> アメリカンエロドッグ

//<1008> ゼウス
<1008> ゼウス

//<1009> 日向markⅡ
<1009> 日向markⅡ

//<1010> 糞虫
<1010> 糞虫

//<1011> 量産型日向
<1011> 量産型日向

//<1012> ？？
<1012> ？？

//<1013> （まさか、あそこの袋のことか…！？　それならある！！）
<1013> （まさか、あそこの袋のことか…！？　それならある！！）

//<1014> 音無
<1014> 音無

//<1015> クソ坊主
<1015> クソ坊主

//<1016> 代理人
<1016> 代理人

//<1017> 微妙すぎるイケメン
<1017> 微妙すぎるイケメン

//<1018> ロリコン
<1018> ロリコン

//<1019> メガネ仲間
<1019> メガネ仲間

//<1020> 暗算日本記録保持者
<1020> 暗算日本記録保持者

//<1021> 通り魔
<1021> 通り魔

//<1022> 記憶ナシ男
<1022> 記憶ナシ男

//<1023> 音速
<1023> 音速

//<1024> 無限
<1024> 無限

//<1025> エロ侍
<1025> エロ侍

//<1026> エロエロ団ナンバー１
<1026> エロエロ団ナンバー１

//<1027> ただのエロ少年
<1027> ただのエロ少年

//<1028> ユリブサイク
<1028> ユリブサイク

//<1029> ドピュッシー
<1029> ドピュッシー

//<1030> アメリカンエロドッグ
<1030> アメリカンエロドッグ

//<1031> ゼウス
<1031> ゼウス

//<1032> 日向markⅡ
<1032> 日向markⅡ

//<1033> 糞虫
<1033> 糞虫

//<1034> 量産型日向
<1034> 量産型日向

//<1035> ？？
<1035> ？？

//<1036> 「あ、あります…」
<1036> 「あ、あります…」

//<1037> 司書
<1037> 司書

//<1038> 「なら、このままで大丈夫ですね。どうぞ」
<1038> 「なら、このままで大丈夫ですね。どうぞ」

//<1039> 音無
<1039> 音無

//<1040> クソ坊主
<1040> クソ坊主

//<1041> 代理人
<1041> 代理人

//<1042> 微妙すぎるイケメン
<1042> 微妙すぎるイケメン

//<1043> ロリコン
<1043> ロリコン

//<1044> メガネ仲間
<1044> メガネ仲間

//<1045> 暗算日本記録保持者
<1045> 暗算日本記録保持者

//<1046> 通り魔
<1046> 通り魔

//<1047> 記憶ナシ男
<1047> 記憶ナシ男

//<1048> 音速
<1048> 音速

//<1049> 無限
<1049> 無限

//<1050> エロ侍
<1050> エロ侍

//<1051> エロエロ団ナンバー１
<1051> エロエロ団ナンバー１

//<1052> ただのエロ少年
<1052> ただのエロ少年

//<1053> ユリブサイク
<1053> ユリブサイク

//<1054> ドピュッシー
<1054> ドピュッシー

//<1055> アメリカンエロドッグ
<1055> アメリカンエロドッグ

//<1056> ゼウス
<1056> ゼウス

//<1057> 日向markⅡ
<1057> 日向markⅡ

//<1058> 糞虫
<1058> 糞虫

//<1059> 量産型日向
<1059> 量産型日向

//<1060> ？？
<1060> ？？

//<1061> 「ん？」
<1061> 「ん？」

//<1062> どうやってこの３０冊を部屋に持ち帰る？
<1062> どうやってこの３０冊を部屋に持ち帰る？

//<1063> se_cannon_destruction
<1063> se_cannon_destruction

//<1064> 音無
<1064> 音無

//<1065> クソ坊主
<1065> クソ坊主

//<1066> 代理人
<1066> 代理人

//<1067> 微妙すぎるイケメン
<1067> 微妙すぎるイケメン

//<1068> ロリコン
<1068> ロリコン

//<1069> メガネ仲間
<1069> メガネ仲間

//<1070> 暗算日本記録保持者
<1070> 暗算日本記録保持者

//<1071> 通り魔
<1071> 通り魔

//<1072> 記憶ナシ男
<1072> 記憶ナシ男

//<1073> 音速
<1073> 音速

//<1074> 無限
<1074> 無限

//<1075> エロ侍
<1075> エロ侍

//<1076> エロエロ団ナンバー１
<1076> エロエロ団ナンバー１

//<1077> ただのエロ少年
<1077> ただのエロ少年

//<1078> ユリブサイク
<1078> ユリブサイク

//<1079> ドピュッシー
<1079> ドピュッシー

//<1080> アメリカンエロドッグ
<1080> アメリカンエロドッグ

//<1081> ゼウス
<1081> ゼウス

//<1082> 日向markⅡ
<1082> 日向markⅡ

//<1083> 糞虫
<1083> 糞虫

//<1084> 量産型日向
<1084> 量産型日向

//<1085> ？？
<1085> ？？

//<1086> 「あーーーー！！」
<1086> 「あーーーー！！」

//<1087> ようやく気づく。
<1087> ようやく気づく。

//<1088> 音無
<1088> 音無

//<1089> クソ坊主
<1089> クソ坊主

//<1090> 代理人
<1090> 代理人

//<1091> 微妙すぎるイケメン
<1091> 微妙すぎるイケメン

//<1092> ロリコン
<1092> ロリコン

//<1093> メガネ仲間
<1093> メガネ仲間

//<1094> 暗算日本記録保持者
<1094> 暗算日本記録保持者

//<1095> 通り魔
<1095> 通り魔

//<1096> 記憶ナシ男
<1096> 記憶ナシ男

//<1097> 音速
<1097> 音速

//<1098> 無限
<1098> 無限

//<1099> エロ侍
<1099> エロ侍

//<1100> エロエロ団ナンバー１
<1100> エロエロ団ナンバー１

//<1101> ただのエロ少年
<1101> ただのエロ少年

//<1102> ユリブサイク
<1102> ユリブサイク

//<1103> ドピュッシー
<1103> ドピュッシー

//<1104> アメリカンエロドッグ
<1104> アメリカンエロドッグ

//<1105> ゼウス
<1105> ゼウス

//<1106> 日向markⅡ
<1106> 日向markⅡ

//<1107> 糞虫
<1107> 糞虫

//<1108> 量産型日向
<1108> 量産型日向

//<1109> ？？
<1109> ？？

//<1110> （さっきの袋は、本を入れるための袋のことを指していたんだぁーーー！！）
<1110> （さっきの袋は、本を入れるための袋のことを指していたんだぁーーー！！）

//<1111> 司書
<1111> 司書

//<1112> 「どうしました？」
<1112> 「どうしました？」

//<1113> 立ち往生している俺に司書さんが声をかけてくる。こうなりゃ、開き直って言うしかない。
<1113> 立ち往生している俺に司書さんが声をかけてくる。こうなりゃ、開き直って言うしかない。

//<1114> 音無
<1114> 音無

//<1115> クソ坊主
<1115> クソ坊主

//<1116> 代理人
<1116> 代理人

//<1117> 微妙すぎるイケメン
<1117> 微妙すぎるイケメン

//<1118> ロリコン
<1118> ロリコン

//<1119> メガネ仲間
<1119> メガネ仲間

//<1120> 暗算日本記録保持者
<1120> 暗算日本記録保持者

//<1121> 通り魔
<1121> 通り魔

//<1122> 記憶ナシ男
<1122> 記憶ナシ男

//<1123> 音速
<1123> 音速

//<1124> 無限
<1124> 無限

//<1125> エロ侍
<1125> エロ侍

//<1126> エロエロ団ナンバー１
<1126> エロエロ団ナンバー１

//<1127> ただのエロ少年
<1127> ただのエロ少年

//<1128> ユリブサイク
<1128> ユリブサイク

//<1129> ドピュッシー
<1129> ドピュッシー

//<1130> アメリカンエロドッグ
<1130> アメリカンエロドッグ

//<1131> ゼウス
<1131> ゼウス

//<1132> 日向markⅡ
<1132> 日向markⅡ

//<1133> 糞虫
<1133> 糞虫

//<1134> 量産型日向
<1134> 量産型日向

//<1135> ？？
<1135> ？？

//<1136> 「すみません、違う袋と勘違いしていました…。袋はありません…」
<1136> 「すみません、違う袋と勘違いしていました…。袋はありません…」

//<1137> 司書
<1137> 司書

//<1138> 「では、こちらをお使いください」
<1138> 「では、こちらをお使いください」

//<1139> 布製の緑色をした大きなバッグがカウンターに置かれた。
<1139> 布製の緑色をした大きなバッグがカウンターに置かれた。

//<1140> 音無
<1140> 音無

//<1141> クソ坊主
<1141> クソ坊主

//<1142> 代理人
<1142> 代理人

//<1143> 微妙すぎるイケメン
<1143> 微妙すぎるイケメン

//<1144> ロリコン
<1144> ロリコン

//<1145> メガネ仲間
<1145> メガネ仲間

//<1146> 暗算日本記録保持者
<1146> 暗算日本記録保持者

//<1147> 通り魔
<1147> 通り魔

//<1148> 記憶ナシ男
<1148> 記憶ナシ男

//<1149> 音速
<1149> 音速

//<1150> 無限
<1150> 無限

//<1151> エロ侍
<1151> エロ侍

//<1152> エロエロ団ナンバー１
<1152> エロエロ団ナンバー１

//<1153> ただのエロ少年
<1153> ただのエロ少年

//<1154> ユリブサイク
<1154> ユリブサイク

//<1155> ドピュッシー
<1155> ドピュッシー

//<1156> アメリカンエロドッグ
<1156> アメリカンエロドッグ

//<1157> ゼウス
<1157> ゼウス

//<1158> 日向markⅡ
<1158> 日向markⅡ

//<1159> 糞虫
<1159> 糞虫

//<1160> 量産型日向
<1160> 量産型日向

//<1161> ？？
<1161> ？？

//<1162> 「あ…あざっす」
<1162> 「あ…あざっす」

//<1163> 気まずい空気の中、それにすべてを詰め込み、ようやく図書館を出ることに成功した。
<1163> 気まずい空気の中、それにすべてを詰め込み、ようやく図書館を出ることに成功した。

//<1164> それらはまた、一度部屋に戻り、ベッドの下に隠しておいた。
<1164> それらはまた、一度部屋に戻り、ベッドの下に隠しておいた。

//<1165> 音無よ、ここはくる所ではない
<1165> 音無よ、ここはくる所ではない

//<1166> カウンターには借りた時と同じ、眼鏡が似合う司書さんが居た。
<1166> カウンターには借りた時と同じ、眼鏡が似合う司書さんが居た。

//<1167> 音無
<1167> 音無

//<1168> クソ坊主
<1168> クソ坊主

//<1169> 代理人
<1169> 代理人

//<1170> 微妙すぎるイケメン
<1170> 微妙すぎるイケメン

//<1171> ロリコン
<1171> ロリコン

//<1172> メガネ仲間
<1172> メガネ仲間

//<1173> 暗算日本記録保持者
<1173> 暗算日本記録保持者

//<1174> 通り魔
<1174> 通り魔

//<1175> 記憶ナシ男
<1175> 記憶ナシ男

//<1176> 音速
<1176> 音速

//<1177> 無限
<1177> 無限

//<1178> エロ侍
<1178> エロ侍

//<1179> エロエロ団ナンバー１
<1179> エロエロ団ナンバー１

//<1180> ただのエロ少年
<1180> ただのエロ少年

//<1181> ユリブサイク
<1181> ユリブサイク

//<1182> ドピュッシー
<1182> ドピュッシー

//<1183> アメリカンエロドッグ
<1183> アメリカンエロドッグ

//<1184> ゼウス
<1184> ゼウス

//<1185> 日向markⅡ
<1185> 日向markⅡ

//<1186> 糞虫
<1186> 糞虫

//<1187> 量産型日向
<1187> 量産型日向

//<1188> ？？
<1188> ？？

//<1189> 「返却です」
<1189> 「返却です」

//<1190> 司書
<1190> 司書

//<1191> 「少しお持ちください」
<1191> 「少しお持ちください」

//<1192> また、ぴっぴっとバーコードリーダーで一冊ずつ通していく。
<1192> また、ぴっぴっとバーコードリーダーで一冊ずつ通していく。

//<1193> 司書
<1193> 司書

//<1194> 「はい。どうぞ」
<1194> 「はい。どうぞ」

//<1195> 図書カードを返してもらい、滞りなく、返却を終えた。
<1195> 図書カードを返してもらい、滞りなく、返却を終えた。

//<1196> そこから、本棚へと向かう。
<1196> そこから、本棚へと向かう。

//<1197> さて、続きを借りる漫画を『斉藤一族』と『やるっきゃ内藤さん』の二択から、決めなければならない…。
<1197> さて、続きを借りる漫画を『斉藤一族』と『やるっきゃ内藤さん』の二択から、決めなければならない…。

//<1198> 『斉藤一族』
<1198> 『斉藤一族』

//<1199> 『やるっきゃ内藤さん』
<1199> 『やるっきゃ内藤さん』

//<1200> selbtn : 
<1200> selbtn : 

//<1201> 音無
<1201> 音無

//<1202> クソ坊主
<1202> クソ坊主

//<1203> 代理人
<1203> 代理人

//<1204> 微妙すぎるイケメン
<1204> 微妙すぎるイケメン

//<1205> ロリコン
<1205> ロリコン

//<1206> メガネ仲間
<1206> メガネ仲間

//<1207> 暗算日本記録保持者
<1207> 暗算日本記録保持者

//<1208> 通り魔
<1208> 通り魔

//<1209> 記憶ナシ男
<1209> 記憶ナシ男

//<1210> 音速
<1210> 音速

//<1211> 無限
<1211> 無限

//<1212> エロ侍
<1212> エロ侍

//<1213> エロエロ団ナンバー１
<1213> エロエロ団ナンバー１

//<1214> ただのエロ少年
<1214> ただのエロ少年

//<1215> ユリブサイク
<1215> ユリブサイク

//<1216> ドピュッシー
<1216> ドピュッシー

//<1217> アメリカンエロドッグ
<1217> アメリカンエロドッグ

//<1218> ゼウス
<1218> ゼウス

//<1219> 日向markⅡ
<1219> 日向markⅡ

//<1220> 糞虫
<1220> 糞虫

//<1221> 量産型日向
<1221> 量産型日向

//<1222> ？？
<1222> ？？

//<1223> （『斉藤一族』だ！　これなら後ろめたい思いもしない！）
<1223> （『斉藤一族』だ！　これなら後ろめたい思いもしない！）

//<1224> つながりが悪いのは重々承知だが、とりあえずつないだ
<1224> つながりが悪いのは重々承知だが、とりあえずつないだ

//<1225> 音無
<1225> 音無

//<1226> クソ坊主
<1226> クソ坊主

//<1227> 代理人
<1227> 代理人

//<1228> 微妙すぎるイケメン
<1228> 微妙すぎるイケメン

//<1229> ロリコン
<1229> ロリコン

//<1230> メガネ仲間
<1230> メガネ仲間

//<1231> 暗算日本記録保持者
<1231> 暗算日本記録保持者

//<1232> 通り魔
<1232> 通り魔

//<1233> 記憶ナシ男
<1233> 記憶ナシ男

//<1234> 音速
<1234> 音速

//<1235> 無限
<1235> 無限

//<1236> エロ侍
<1236> エロ侍

//<1237> エロエロ団ナンバー１
<1237> エロエロ団ナンバー１

//<1238> ただのエロ少年
<1238> ただのエロ少年

//<1239> ユリブサイク
<1239> ユリブサイク

//<1240> ドピュッシー
<1240> ドピュッシー

//<1241> アメリカンエロドッグ
<1241> アメリカンエロドッグ

//<1242> ゼウス
<1242> ゼウス

//<1243> 日向markⅡ
<1243> 日向markⅡ

//<1244> 糞虫
<1244> 糞虫

//<1245> 量産型日向
<1245> 量産型日向

//<1246> ？？
<1246> ？？

//<1247> （『やるっきゃ内藤さん』だ！　内藤さんのいやらしさをもっと堪能したい！）
<1247> （『やるっきゃ内藤さん』だ！　内藤さんのいやらしさをもっと堪能したい！）

//<1248> 俺は漫画コーナーに移動する。
<1248> 俺は漫画コーナーに移動する。

//<1249> 音無
<1249> 音無

//<1250> クソ坊主
<1250> クソ坊主

//<1251> 代理人
<1251> 代理人

//<1252> 微妙すぎるイケメン
<1252> 微妙すぎるイケメン

//<1253> ロリコン
<1253> ロリコン

//<1254> メガネ仲間
<1254> メガネ仲間

//<1255> 暗算日本記録保持者
<1255> 暗算日本記録保持者

//<1256> 通り魔
<1256> 通り魔

//<1257> 記憶ナシ男
<1257> 記憶ナシ男

//<1258> 音速
<1258> 音速

//<1259> 無限
<1259> 無限

//<1260> エロ侍
<1260> エロ侍

//<1261> エロエロ団ナンバー１
<1261> エロエロ団ナンバー１

//<1262> ただのエロ少年
<1262> ただのエロ少年

//<1263> ユリブサイク
<1263> ユリブサイク

//<1264> ドピュッシー
<1264> ドピュッシー

//<1265> アメリカンエロドッグ
<1265> アメリカンエロドッグ

//<1266> ゼウス
<1266> ゼウス

//<1267> 日向markⅡ
<1267> 日向markⅡ

//<1268> 糞虫
<1268> 糞虫

//<1269> 量産型日向
<1269> 量産型日向

//<1270> ？？
<1270> ？？

//<1271> （レンタルショップのように敷居はないが、エロ漫画はある程度端に偏っている…）
<1271> （レンタルショップのように敷居はないが、エロ漫画はある程度端に偏っている…）

//<1272> その図書館の聖域、エロゾーンへとさりげなく侵入する。緊張感はピークだ。
<1272> その図書館の聖域、エロゾーンへとさりげなく侵入する。緊張感はピークだ。

//<1273> 音無
<1273> 音無

//<1274> クソ坊主
<1274> クソ坊主

//<1275> 代理人
<1275> 代理人

//<1276> 微妙すぎるイケメン
<1276> 微妙すぎるイケメン

//<1277> ロリコン
<1277> ロリコン

//<1278> メガネ仲間
<1278> メガネ仲間

//<1279> 暗算日本記録保持者
<1279> 暗算日本記録保持者

//<1280> 通り魔
<1280> 通り魔

//<1281> 記憶ナシ男
<1281> 記憶ナシ男

//<1282> 音速
<1282> 音速

//<1283> 無限
<1283> 無限

//<1284> エロ侍
<1284> エロ侍

//<1285> エロエロ団ナンバー１
<1285> エロエロ団ナンバー１

//<1286> ただのエロ少年
<1286> ただのエロ少年

//<1287> ユリブサイク
<1287> ユリブサイク

//<1288> ドピュッシー
<1288> ドピュッシー

//<1289> アメリカンエロドッグ
<1289> アメリカンエロドッグ

//<1290> ゼウス
<1290> ゼウス

//<1291> 日向markⅡ
<1291> 日向markⅡ

//<1292> 糞虫
<1292> 糞虫

//<1293> 量産型日向
<1293> 量産型日向

//<1294> ？？
<1294> ？？

//<1295> （焦るな…！　エエエ、エロ漫画は逃げない！！）
<1295> （焦るな…！　エエエ、エロ漫画は逃げない！！）

//<1296> 白
<1296> 白
{1dbf0} 0a // 1296

//<1297> nothing
<1297> nothing

//<1298> nothing
<1298> nothing

//<1299> nothing
<1299> nothing

//<1300> nothing
<1300> nothing

//<1301> nothing
<1301> nothing

//<1302> 日向
<1302> 日向

//<1303> 男Ｂ
<1303> 男Ｂ

//<1304> エロエロ団総帥
<1304> エロエロ団総帥

//<1305> イケチン
<1305> イケチン

//<1306> ホモ太
<1306> ホモ太

//<1307> ひなチン
<1307> ひなチン

//<1308> 秀樹
<1308> 秀樹

//<1309> 男子生徒
<1309> 男子生徒

//<1310> ？？
<1310> ？？

//<1311> 「一気借りとかしないんだな」
<1311> 「一気借りとかしないんだな」

//<1312> 音無
<1312> 音無

//<1313> クソ坊主
<1313> クソ坊主

//<1314> 代理人
<1314> 代理人

//<1315> 微妙すぎるイケメン
<1315> 微妙すぎるイケメン

//<1316> ロリコン
<1316> ロリコン

//<1317> メガネ仲間
<1317> メガネ仲間

//<1318> 暗算日本記録保持者
<1318> 暗算日本記録保持者

//<1319> 通り魔
<1319> 通り魔

//<1320> 記憶ナシ男
<1320> 記憶ナシ男

//<1321> 音速
<1321> 音速

//<1322> 無限
<1322> 無限

//<1323> エロ侍
<1323> エロ侍

//<1324> エロエロ団ナンバー１
<1324> エロエロ団ナンバー１

//<1325> ただのエロ少年
<1325> ただのエロ少年

//<1326> ユリブサイク
<1326> ユリブサイク

//<1327> ドピュッシー
<1327> ドピュッシー

//<1328> アメリカンエロドッグ
<1328> アメリカンエロドッグ

//<1329> ゼウス
<1329> ゼウス

//<1330> 日向markⅡ
<1330> 日向markⅡ

//<1331> 糞虫
<1331> 糞虫

//<1332> 量産型日向
<1332> 量産型日向

//<1333> ？？
<1333> ？？

//<1334> 「一気借り？」
<1334> 「一気借り？」

//<1335> nothing
<1335> nothing

//<1336> nothing
<1336> nothing

//<1337> nothing
<1337> nothing

//<1338> nothing
<1338> nothing

//<1339> nothing
<1339> nothing

//<1340> 日向
<1340> 日向

//<1341> 男Ｂ
<1341> 男Ｂ

//<1342> エロエロ団総帥
<1342> エロエロ団総帥

//<1343> イケチン
<1343> イケチン

//<1344> ホモ太
<1344> ホモ太

//<1345> ひなチン
<1345> ひなチン

//<1346> 秀樹
<1346> 秀樹

//<1347> 男子生徒
<1347> 男子生徒

//<1348> ？？
<1348> ？？

//<1349> 「完結している漫画の１巻から最終巻までを一度に借りることさ」
<1349> 「完結している漫画の１巻から最終巻までを一度に借りることさ」

//<1350> 音無
<1350> 音無

//<1351> クソ坊主
<1351> クソ坊主

//<1352> 代理人
<1352> 代理人

//<1353> 微妙すぎるイケメン
<1353> 微妙すぎるイケメン

//<1354> ロリコン
<1354> ロリコン

//<1355> メガネ仲間
<1355> メガネ仲間

//<1356> 暗算日本記録保持者
<1356> 暗算日本記録保持者

//<1357> 通り魔
<1357> 通り魔

//<1358> 記憶ナシ男
<1358> 記憶ナシ男

//<1359> 音速
<1359> 音速

//<1360> 無限
<1360> 無限

//<1361> エロ侍
<1361> エロ侍

//<1362> エロエロ団ナンバー１
<1362> エロエロ団ナンバー１

//<1363> ただのエロ少年
<1363> ただのエロ少年

//<1364> ユリブサイク
<1364> ユリブサイク

//<1365> ドピュッシー
<1365> ドピュッシー

//<1366> アメリカンエロドッグ
<1366> アメリカンエロドッグ

//<1367> ゼウス
<1367> ゼウス

//<1368> 日向markⅡ
<1368> 日向markⅡ

//<1369> 糞虫
<1369> 糞虫

//<1370> 量産型日向
<1370> 量産型日向

//<1371> ？？
<1371> ？？

//<1372> （なんてシーンがフラッシュバックするんだ…！！）
<1372> （なんてシーンがフラッシュバックするんだ…！！）

//<1373> 音無
<1373> 音無

//<1374> クソ坊主
<1374> クソ坊主

//<1375> 代理人
<1375> 代理人

//<1376> 微妙すぎるイケメン
<1376> 微妙すぎるイケメン

//<1377> ロリコン
<1377> ロリコン

//<1378> メガネ仲間
<1378> メガネ仲間

//<1379> 暗算日本記録保持者
<1379> 暗算日本記録保持者

//<1380> 通り魔
<1380> 通り魔

//<1381> 記憶ナシ男
<1381> 記憶ナシ男

//<1382> 音速
<1382> 音速

//<1383> 無限
<1383> 無限

//<1384> エロ侍
<1384> エロ侍

//<1385> エロエロ団ナンバー１
<1385> エロエロ団ナンバー１

//<1386> ただのエロ少年
<1386> ただのエロ少年

//<1387> ユリブサイク
<1387> ユリブサイク

//<1388> ドピュッシー
<1388> ドピュッシー

//<1389> アメリカンエロドッグ
<1389> アメリカンエロドッグ

//<1390> ゼウス
<1390> ゼウス

//<1391> 日向markⅡ
<1391> 日向markⅡ

//<1392> 糞虫
<1392> 糞虫

//<1393> 量産型日向
<1393> 量産型日向

//<1394> ？？
<1394> ？？

//<1395> （『やるっきゃ内藤さん』を一気借りしようと思えば出来るのか…）
<1395> （『やるっきゃ内藤さん』を一気借りしようと思えば出来るのか…）

//<1396> ごくり、と唾を飲む。
<1396> ごくり、と唾を飲む。

//<1397> その音すら、眼鏡が似合うクールビューティーな司書さんに届いてしまいそうなほど大きく響いて聞こえた…。
<1397> その音すら、眼鏡が似合うクールビューティーな司書さんに届いてしまいそうなほど大きく響いて聞こえた…。

//<1398> 音無
<1398> 音無

//<1399> クソ坊主
<1399> クソ坊主

//<1400> 代理人
<1400> 代理人

//<1401> 微妙すぎるイケメン
<1401> 微妙すぎるイケメン

//<1402> ロリコン
<1402> ロリコン

//<1403> メガネ仲間
<1403> メガネ仲間

//<1404> 暗算日本記録保持者
<1404> 暗算日本記録保持者

//<1405> 通り魔
<1405> 通り魔

//<1406> 記憶ナシ男
<1406> 記憶ナシ男

//<1407> 音速
<1407> 音速

//<1408> 無限
<1408> 無限

//<1409> エロ侍
<1409> エロ侍

//<1410> エロエロ団ナンバー１
<1410> エロエロ団ナンバー１

//<1411> ただのエロ少年
<1411> ただのエロ少年

//<1412> ユリブサイク
<1412> ユリブサイク

//<1413> ドピュッシー
<1413> ドピュッシー

//<1414> アメリカンエロドッグ
<1414> アメリカンエロドッグ

//<1415> ゼウス
<1415> ゼウス

//<1416> 日向markⅡ
<1416> 日向markⅡ

//<1417> 糞虫
<1417> 糞虫

//<1418> 量産型日向
<1418> 量産型日向

//<1419> ？？
<1419> ？？

//<1420> （まずはこのシリーズが全何巻かを確かめよう…）
<1420> （まずはこのシリーズが全何巻かを確かめよう…）

//<1421> 今返したばかりの１巻はない。２巻目から確かめていくと…。
<1421> 今返したばかりの１巻はない。２巻目から確かめていくと…。

//<1422> 音無
<1422> 音無

//<1423> クソ坊主
<1423> クソ坊主

//<1424> 代理人
<1424> 代理人

//<1425> 微妙すぎるイケメン
<1425> 微妙すぎるイケメン

//<1426> ロリコン
<1426> ロリコン

//<1427> メガネ仲間
<1427> メガネ仲間

//<1428> 暗算日本記録保持者
<1428> 暗算日本記録保持者

//<1429> 通り魔
<1429> 通り魔

//<1430> 記憶ナシ男
<1430> 記憶ナシ男

//<1431> 音速
<1431> 音速

//<1432> 無限
<1432> 無限

//<1433> エロ侍
<1433> エロ侍

//<1434> エロエロ団ナンバー１
<1434> エロエロ団ナンバー１

//<1435> ただのエロ少年
<1435> ただのエロ少年

//<1436> ユリブサイク
<1436> ユリブサイク

//<1437> ドピュッシー
<1437> ドピュッシー

//<1438> アメリカンエロドッグ
<1438> アメリカンエロドッグ

//<1439> ゼウス
<1439> ゼウス

//<1440> 日向markⅡ
<1440> 日向markⅡ

//<1441> 糞虫
<1441> 糞虫

//<1442> 量産型日向
<1442> 量産型日向

//<1443> ？？
<1443> ？？

//<1444> （えええ、どこまで続くんだ…）
<1444> （えええ、どこまで続くんだ…）

//<1445> se_cannon_destruction
<1445> se_cannon_destruction

//<1446> 音無
<1446> 音無

//<1447> クソ坊主
<1447> クソ坊主

//<1448> 代理人
<1448> 代理人

//<1449> 微妙すぎるイケメン
<1449> 微妙すぎるイケメン

//<1450> ロリコン
<1450> ロリコン

//<1451> メガネ仲間
<1451> メガネ仲間

//<1452> 暗算日本記録保持者
<1452> 暗算日本記録保持者

//<1453> 通り魔
<1453> 通り魔

//<1454> 記憶ナシ男
<1454> 記憶ナシ男

//<1455> 音速
<1455> 音速

//<1456> 無限
<1456> 無限

//<1457> エロ侍
<1457> エロ侍

//<1458> エロエロ団ナンバー１
<1458> エロエロ団ナンバー１

//<1459> ただのエロ少年
<1459> ただのエロ少年

//<1460> ユリブサイク
<1460> ユリブサイク

//<1461> ドピュッシー
<1461> ドピュッシー

//<1462> アメリカンエロドッグ
