// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 99_場所選択マップ
<0000> 99_場所選択マップ

//<1935> エロエロ団ナンバー１
<1935> エロエロ団ナンバー１

//<1936> ただのエロ少年
<1936> ただのエロ少年

//<1937> ユリブサイク
<1937> ユリブサイク

//<1938> ドピュッシー
<1938> ドピュッシー

//<1939> アメリカンエロドッグ
<1939> アメリカンエロドッグ

//<1940> ゼウス
<1940> ゼウス

//<1941> 日向markⅡ
<1941> 日向markⅡ

//<1942> 糞虫
<1942> 糞虫

//<1943> 量産型日向
<1943> 量産型日向

//<1944> ？？
<1944> ？？

//<1945> 「一度だけある」
<1945> 「一度だけある」

//<1946> ゆり
<1946> ゆり

//<1947> 女生徒
<1947> 女生徒

//<1948> ？？
<1948> ？？

//<1949> 「いつ？」
<1949> 「いつ？」

//<1950> 音無
<1950> 音無

//<1951> クソ坊主
<1951> クソ坊主

//<1952> 代理人
<1952> 代理人

//<1953> 微妙すぎるイケメン
<1953> 微妙すぎるイケメン

//<1954> ロリコン
<1954> ロリコン

//<1955> メガネ仲間
<1955> メガネ仲間

//<1956> 暗算日本記録保持者
<1956> 暗算日本記録保持者

//<1957> 通り魔
<1957> 通り魔

//<1958> 記憶ナシ男
<1958> 記憶ナシ男

//<1959> 音速
<1959> 音速

//<1960> 無限
<1960> 無限

//<1961> エロ侍
<1961> エロ侍

//<1962> エロエロ団ナンバー１
<1962> エロエロ団ナンバー１

//<1963> ただのエロ少年
<1963> ただのエロ少年

//<1964> ユリブサイク
<1964> ユリブサイク

//<1965> ドピュッシー
<1965> ドピュッシー

//<1966> アメリカンエロドッグ
<1966> アメリカンエロドッグ

//<1967> ゼウス
<1967> ゼウス

//<1968> 日向markⅡ
<1968> 日向markⅡ

//<1969> 糞虫
<1969> 糞虫

//<1970> 量産型日向
<1970> 量産型日向

//<1971> ？？
<1971> ？？

//<1972> 「天使エリアへの侵入作戦…」
<1972> 「天使エリアへの侵入作戦…」

//<1973> ゆり
<1973> ゆり

//<1974> 女生徒
<1974> 女生徒

//<1975> ？？
<1975> ？？

//<1976> 「ふぅ…」
<1976> 「ふぅ…」

//<1977> ゆりはやりきれないように、深くため息をついた。
<1977> ゆりはやりきれないように、深くため息をついた。

//<1978> ゆり
<1978> ゆり

//<1979> 女生徒
<1979> 女生徒

//<1980> ？？
<1980> ？？

//<1981> 「そうよね。現状、記憶が戻っていないあなたには、神や天使に抗う理由がない」
<1981> 「そうよね。現状、記憶が戻っていないあなたには、神や天使に抗う理由がない」

//<1982> 図星で、何も言い返せない。
<1982> 図星で、何も言い返せない。

//<1983> ゆり
<1983> ゆり

//<1984> 女生徒
<1984> 女生徒

//<1985> ？？
<1985> ？？

//<1986> 「天使に同情してしまうのもわかるわ」
<1986> 「天使に同情してしまうのもわかるわ」

//<1987> ゆり
<1987> ゆり

//<1988> 女生徒
<1988> 女生徒

//<1989> ？？
<1989> ？？

//<1990> 「でもせめて記憶が戻るまではそういうことはやめて」
<1990> 「でもせめて記憶が戻るまではそういうことはやめて」

//<1991> 音無
<1991> 音無

//<1992> クソ坊主
<1992> クソ坊主

//<1993> 代理人
<1993> 代理人

//<1994> 微妙すぎるイケメン
<1994> 微妙すぎるイケメン

//<1995> ロリコン
<1995> ロリコン

//<1996> メガネ仲間
<1996> メガネ仲間

//<1997> 暗算日本記録保持者
<1997> 暗算日本記録保持者

//<1998> 通り魔
<1998> 通り魔

//<1999> 記憶ナシ男
<1999> 記憶ナシ男

//<2000> 音速
<2000> 音速

//<2001> 無限
<2001> 無限

//<2002> エロ侍
<2002> エロ侍

//<2003> エロエロ団ナンバー１
<2003> エロエロ団ナンバー１

//<2004> ただのエロ少年
<2004> ただのエロ少年

//<2005> ユリブサイク
<2005> ユリブサイク

//<2006> ドピュッシー
<2006> ドピュッシー

//<2007> アメリカンエロドッグ
<2007> アメリカンエロドッグ

//<2008> ゼウス
<2008> ゼウス

//<2009> 日向markⅡ
<2009> 日向markⅡ

//<2010> 糞虫
<2010> 糞虫

//<2011> 量産型日向
<2011> 量産型日向

//<2012> ？？
<2012> ？？

//<2013> 「ない」
<2013> 「ない」

//<2014> 嘘を付いた。
<2014> 嘘を付いた。

//<2015> ゆり
<2015> ゆり

//<2016> 女生徒
<2016> 女生徒

//<2017> ？？
<2017> ？？

//<2018> 「本当に？」
<2018> 「本当に？」

//<2019> 音無
<2019> 音無

//<2020> クソ坊主
<2020> クソ坊主

//<2021> 代理人
<2021> 代理人

//<2022> 微妙すぎるイケメン
<2022> 微妙すぎるイケメン

//<2023> ロリコン
<2023> ロリコン

//<2024> メガネ仲間
<2024> メガネ仲間

//<2025> 暗算日本記録保持者
<2025> 暗算日本記録保持者

//<2026> 通り魔
<2026> 通り魔

//<2027> 記憶ナシ男
<2027> 記憶ナシ男

//<2028> 音速
<2028> 音速

//<2029> 無限
<2029> 無限

//<2030> エロ侍
<2030> エロ侍

//<2031> エロエロ団ナンバー１
<2031> エロエロ団ナンバー１

//<2032> ただのエロ少年
<2032> ただのエロ少年

//<2033> ユリブサイク
<2033> ユリブサイク

//<2034> ドピュッシー
<2034> ドピュッシー

//<2035> アメリカンエロドッグ
<2035> アメリカンエロドッグ

//<2036> ゼウス
<2036> ゼウス

//<2037> 日向markⅡ
<2037> 日向markⅡ

//<2038> 糞虫
<2038> 糞虫

//<2039> 量産型日向
<2039> 量産型日向

//<2040> ？？
<2040> ？？

//<2041> 「ああ、本当に。そこまで俺もあさはかじゃない」
<2041> 「ああ、本当に。そこまで俺もあさはかじゃない」

//<2042> ゆり
<2042> ゆり

//<2043> 女生徒
<2043> 女生徒

//<2044> ？？
<2044> ？？

//<2045> 「遊佐さん、信じていい？」
<2045> 「遊佐さん、信じていい？」

//<2046> 音無
<2046> 音無

//<2047> クソ坊主
<2047> クソ坊主

//<2048> 代理人
<2048> 代理人

//<2049> 微妙すぎるイケメン
<2049> 微妙すぎるイケメン

//<2050> ロリコン
<2050> ロリコン

//<2051> メガネ仲間
<2051> メガネ仲間

//<2052> 暗算日本記録保持者
<2052> 暗算日本記録保持者

//<2053> 通り魔
<2053> 通り魔

//<2054> 記憶ナシ男
<2054> 記憶ナシ男

//<2055> 音速
<2055> 音速

//<2056> 無限
<2056> 無限

//<2057> エロ侍
<2057> エロ侍

//<2058> エロエロ団ナンバー１
<2058> エロエロ団ナンバー１

//<2059> ただのエロ少年
<2059> ただのエロ少年

//<2060> ユリブサイク
<2060> ユリブサイク

//<2061> ドピュッシー
<2061> ドピュッシー

//<2062> アメリカンエロドッグ
<2062> アメリカンエロドッグ

//<2063> ゼウス
<2063> ゼウス

//<2064> 日向markⅡ
<2064> 日向markⅡ

//<2065> 糞虫
<2065> 糞虫

//<2066> 量産型日向
<2066> 量産型日向

//<2067> ？？
<2067> ？？

//<2068> （え！？　居るのか！？）
<2068> （え！？　居るのか！？）

//<2069> 振り返ると、そこに立っていた。
<2069> 振り返ると、そこに立っていた。

//<2070> 音無
<2070> 音無

//<2071> クソ坊主
<2071> クソ坊主

//<2072> 代理人
<2072> 代理人

//<2073> 微妙すぎるイケメン
<2073> 微妙すぎるイケメン

//<2074> ロリコン
<2074> ロリコン

//<2075> メガネ仲間
<2075> メガネ仲間

//<2076> 暗算日本記録保持者
<2076> 暗算日本記録保持者

//<2077> 通り魔
<2077> 通り魔

//<2078> 記憶ナシ男
<2078> 記憶ナシ男

//<2079> 音速
<2079> 音速

//<2080> 無限
<2080> 無限

//<2081> エロ侍
<2081> エロ侍

//<2082> エロエロ団ナンバー１
<2082> エロエロ団ナンバー１

//<2083> ただのエロ少年
<2083> ただのエロ少年

//<2084> ユリブサイク
<2084> ユリブサイク

//<2085> ドピュッシー
<2085> ドピュッシー

//<2086> アメリカンエロドッグ
<2086> アメリカンエロドッグ

//<2087> ゼウス
<2087> ゼウス

//<2088> 日向markⅡ
<2088> 日向markⅡ

//<2089> 糞虫
<2089> 糞虫

//<2090> 量産型日向
<2090> 量産型日向

//<2091> ？？
<2091> ？？

//<2092> （しまった！　遊佐の異常な機動性を忘れていた…！）
<2092> （しまった！　遊佐の異常な機動性を忘れていた…！）

//<2093> 振り返ると、そこに立っていた。
<2093> 振り返ると、そこに立っていた。

//<2094> 俺はもう驚かない。
<2094> 俺はもう驚かない。

//<2095> none
<2095> none

//<2096> 遊佐
<2096> 遊佐

//<2097> 「何を話しているかはわかりませんが、近しい関係にあることは確かです」
<2097> 「何を話しているかはわかりませんが、近しい関係にあることは確かです」

//<2098> ゆり
<2098> ゆり

//<2099> 女生徒
<2099> 女生徒

//<2100> ？？
<2100> ？？

//<2101> 「近しい関係ねぇ…。それで作戦のことは話していない、と」
<2101> 「近しい関係ねぇ…。それで作戦のことは話していない、と」

//<2102> 音無
<2102> 音無

//<2103> クソ坊主
<2103> クソ坊主

//<2104> 代理人
<2104> 代理人

//<2105> 微妙すぎるイケメン
<2105> 微妙すぎるイケメン

//<2106> ロリコン
<2106> ロリコン

//<2107> メガネ仲間
<2107> メガネ仲間

//<2108> 暗算日本記録保持者
<2108> 暗算日本記録保持者

//<2109> 通り魔
<2109> 通り魔

//<2110> 記憶ナシ男
<2110> 記憶ナシ男

//<2111> 音速
<2111> 音速

//<2112> 無限
<2112> 無限

//<2113> エロ侍
<2113> エロ侍

//<2114> エロエロ団ナンバー１
<2114> エロエロ団ナンバー１

//<2115> ただのエロ少年
<2115> ただのエロ少年

//<2116> ユリブサイク
<2116> ユリブサイク

//<2117> ドピュッシー
<2117> ドピュッシー

//<2118> アメリカンエロドッグ
<2118> アメリカンエロドッグ

//<2119> ゼウス
<2119> ゼウス

//<2120> 日向markⅡ
<2120> 日向markⅡ

//<2121> 糞虫
<2121> 糞虫

//<2122> 量産型日向
<2122> 量産型日向

//<2123> ？？
<2123> ？？

//<2124> 「ああ」
<2124> 「ああ」

//<2125> 嘘を突き通すしかない。
<2125> 嘘を突き通すしかない。

//<2126> 音無
<2126> 音無

//<2127> クソ坊主
<2127> クソ坊主

//<2128> 代理人
<2128> 代理人

//<2129> 微妙すぎるイケメン
<2129> 微妙すぎるイケメン

//<2130> ロリコン
<2130> ロリコン

//<2131> メガネ仲間
<2131> メガネ仲間

//<2132> 暗算日本記録保持者
<2132> 暗算日本記録保持者

//<2133> 通り魔
<2133> 通り魔

//<2134> 記憶ナシ男
<2134> 記憶ナシ男

//<2135> 音速
<2135> 音速

//<2136> 無限
<2136> 無限

//<2137> エロ侍
<2137> エロ侍

//<2138> エロエロ団ナンバー１
<2138> エロエロ団ナンバー１

//<2139> ただのエロ少年
<2139> ただのエロ少年

//<2140> ユリブサイク
<2140> ユリブサイク

//<2141> ドピュッシー
<2141> ドピュッシー

//<2142> アメリカンエロドッグ
<2142> アメリカンエロドッグ

//<2143> ゼウス
<2143> ゼウス

//<2144> 日向markⅡ
<2144> 日向markⅡ

//<2145> 糞虫
<2145> 糞虫

//<2146> 量産型日向
<2146> 量産型日向

//<2147> ？？
<2147> ？？

//<2148> 「ない」
<2148> 「ない」

//<2149> ゆり
<2149> ゆり

//<2150> 女生徒
<2150> 女生徒

//<2151> ？？
<2151> ？？

//<2152> 「でも、記憶が戻っていないあなたには、神や天使に抗う理由がない」
<2152> 「でも、記憶が戻っていないあなたには、神や天使に抗う理由がない」

//<2153> まったくその通りだ。何も言い返せない…。
<2153> まったくその通りだ。何も言い返せない…。

//<2154> ゆり
<2154> ゆり

//<2155> 女生徒
<2155> 女生徒

//<2156> ？？
<2156> ？？

//<2157> 「何か答えて」
<2157> 「何か答えて」

//<2158> 音無
<2158> 音無

//<2159> クソ坊主
<2159> クソ坊主

//<2160> 代理人
<2160> 代理人

//<2161> 微妙すぎるイケメン
<2161> 微妙すぎるイケメン

//<2162> ロリコン
<2162> ロリコン

//<2163> メガネ仲間
<2163> メガネ仲間

//<2164> 暗算日本記録保持者
<2164> 暗算日本記録保持者

//<2165> 通り魔
<2165> 通り魔

//<2166> 記憶ナシ男
<2166> 記憶ナシ男

//<2167> 音速
<2167> 音速

//<2168> 無限
<2168> 無限

//<2169> エロ侍
<2169> エロ侍

//<2170> エロエロ団ナンバー１
<2170> エロエロ団ナンバー１

//<2171> ただのエロ少年
<2171> ただのエロ少年

//<2172> ユリブサイク
<2172> ユリブサイク

//<2173> ドピュッシー
<2173> ドピュッシー

//<2174> アメリカンエロドッグ
<2174> アメリカンエロドッグ

//<2175> ゼウス
<2175> ゼウス

//<2176> 日向markⅡ
<2176> 日向markⅡ

//<2177> 糞虫
<2177> 糞虫

//<2178> 量産型日向
<2178> 量産型日向

//<2179> ？？
<2179> ？？

//<2180> 「でも、俺もここに来たってことは、みんなと同じようにひどい生前だったってことだろ…」
<2180> 「でも、俺もここに来たってことは、みんなと同じようにひどい生前だったってことだろ…」

//<2181> ゆり
<2181> ゆり

//<2182> 女生徒
<2182> 女生徒

//<2183> ？？
<2183> ？？

//<2184> 「しかしそこには実感が伴っていないはず。神や天使が憎い、なんて」
<2184> 「しかしそこには実感が伴っていないはず。神や天使が憎い、なんて」

//<2185> ゆりは俺をどこに追いつめようとしているんだ…。
<2185> ゆりは俺をどこに追いつめようとしているんだ…。

//<2186> 音無
<2186> 音無

//<2187> クソ坊主
<2187> クソ坊主

//<2188> 代理人
<2188> 代理人

//<2189> 微妙すぎるイケメン
<2189> 微妙すぎるイケメン

//<2190> ロリコン
<2190> ロリコン

//<2191> メガネ仲間
<2191> メガネ仲間

//<2192> 暗算日本記録保持者
<2192> 暗算日本記録保持者

//<2193> 通り魔
<2193> 通り魔

//<2194> 記憶ナシ男
<2194> 記憶ナシ男

//<2195> 音速
<2195> 音速

//<2196> 無限
<2196> 無限

//<2197> エロ侍
<2197> エロ侍

//<2198> エロエロ団ナンバー１
<2198> エロエロ団ナンバー１

//<2199> ただのエロ少年
<2199> ただのエロ少年

//<2200> ユリブサイク
<2200> ユリブサイク

//<2201> ドピュッシー
<2201> ドピュッシー

//<2202> アメリカンエロドッグ
<2202> アメリカンエロドッグ

//<2203> ゼウス
<2203> ゼウス

//<2204> 日向markⅡ
<2204> 日向markⅡ

//<2205> 糞虫
<2205> 糞虫

//<2206> 量産型日向
<2206> 量産型日向

//<2207> ？？
<2207> ？？

//<2208> 「まあ…そうだな…」
<2208> 「まあ…そうだな…」

//<2209> ゆり
<2209> ゆり

//<2210> 女生徒
<2210> 女生徒

//<2211> ？？
<2211> ？？

//<2212> 「一方的に銃を向けられる彼女の姿に同情したことは？」
<2212> 「一方的に銃を向けられる彼女の姿に同情したことは？」

//<2213> ある
<2213> ある

//<2214> ない
<2214> ない

//<2215> selbtn : 
<2215> selbtn : 

//<2216> 音無
<2216> 音無

//<2217> クソ坊主
<2217> クソ坊主

//<2218> 代理人
<2218> 代理人

//<2219> 微妙すぎるイケメン
<2219> 微妙すぎるイケメン

//<2220> ロリコン
<2220> ロリコン

//<2221> メガネ仲間
<2221> メガネ仲間

//<2222> 暗算日本記録保持者
<2222> 暗算日本記録保持者

//<2223> 通り魔
<2223> 通り魔

//<2224> 記憶ナシ男
<2224> 記憶ナシ男

//<2225> 音速
<2225> 音速

//<2226> 無限
<2226> 無限

//<2227> エロ侍
<2227> エロ侍

//<2228> エロエロ団ナンバー１
<2228> エロエロ団ナンバー１

//<2229> ただのエロ少年
<2229> ただのエロ少年

//<2230> ユリブサイク
<2230> ユリブサイク

//<2231> ドピュッシー
<2231> ドピュッシー

//<2232> アメリカンエロドッグ
<2232> アメリカンエロドッグ

//<2233> ゼウス
<2233> ゼウス

//<2234> 日向markⅡ
<2234> 日向markⅡ

//<2235> 糞虫
<2235> 糞虫

//<2236> 量産型日向
<2236> 量産型日向

//<2237> ？？
<2237> ？？

//<2238> 「それは…ある。初めてのオペレーションの日だ」
<2238> 「それは…ある。初めてのオペレーションの日だ」

//<2239> ゆり
<2239> ゆり

//<2240> 女生徒
<2240> 女生徒

//<2241> ？？
<2241> ？？

//<2242> 「それ以降は？」
<2242> 「それ以降は？」

//<2243> ある
<2243> ある

//<2244> ない
<2244> ない

//<2245> selbtn : 
<2245> selbtn : 

//<2246> 音無
<2246> 音無

//<2247> クソ坊主
<2247> クソ坊主

//<2248> 代理人
<2248> 代理人

//<2249> 微妙すぎるイケメン
<2249> 微妙すぎるイケメン

//<2250> ロリコン
<2250> ロリコン

//<2251> メガネ仲間
<2251> メガネ仲間

//<2252> 暗算日本記録保持者
<2252> 暗算日本記録保持者

//<2253> 通り魔
<2253> 通り魔

//<2254> 記憶ナシ男
<2254> 記憶ナシ男

//<2255> 音速
<2255> 音速

//<2256> 無限
<2256> 無限

//<2257> エロ侍
<2257> エロ侍

//<2258> エロエロ団ナンバー１
<2258> エロエロ団ナンバー１

//<2259> ただのエロ少年
<2259> ただのエロ少年

//<2260> ユリブサイク
<2260> ユリブサイク

//<2261> ドピュッシー
<2261> ドピュッシー

//<2262> アメリカンエロドッグ
<2262> アメリカンエロドッグ

//<2263> ゼウス
<2263> ゼウス

//<2264> 日向markⅡ
<2264> 日向markⅡ

//<2265> 糞虫
<2265> 糞虫

//<2266> 量産型日向
<2266> 量産型日向

//<2267> ？？
<2267> ？？

//<2268> 「ある…」
<2268> 「ある…」

//<2269> 正直に答えてしまう。
<2269> 正直に答えてしまう。

//<2270> ゆり
<2270> ゆり

//<2271> 女生徒
<2271> 女生徒

//<2272> ？？
<2272> ？？

//<2273> 「でしょうね」
<2273> 「でしょうね」

//<2274> 音無
<2274> 音無

//<2275> クソ坊主
<2275> クソ坊主

//<2276> 代理人
<2276> 代理人

//<2277> 微妙すぎるイケメン
<2277> 微妙すぎるイケメン

//<2278> ロリコン
<2278> ロリコン

//<2279> メガネ仲間
<2279> メガネ仲間

//<2280> 暗算日本記録保持者
<2280> 暗算日本記録保持者

//<2281> 通り魔
<2281> 通り魔

//<2282> 記憶ナシ男
<2282> 記憶ナシ男

//<2283> 音速
<2283> 音速

//<2284> 無限
<2284> 無限

//<2285> エロ侍
<2285> エロ侍

//<2286> エロエロ団ナンバー１
<2286> エロエロ団ナンバー１

//<2287> ただのエロ少年
<2287> ただのエロ少年

//<2288> ユリブサイク
<2288> ユリブサイク

//<2289> ドピュッシー
<2289> ドピュッシー

//<2290> アメリカンエロドッグ
<2290> アメリカンエロドッグ

//<2291> ゼウス
<2291> ゼウス

//<2292> 日向markⅡ
<2292> 日向markⅡ

//<2293> 糞虫
<2293> 糞虫

//<2294> 量産型日向
<2294> 量産型日向

//<2295> ？？
<2295> ？？

//<2296> 「ない…」
<2296> 「ない…」

//<2297> 自分に言い聞かせるように答えた。
<2297> 自分に言い聞かせるように答えた。

//<2298> ない、はずだ…。
<2298> ない、はずだ…。

//<2299> ゆり
<2299> ゆり

//<2300> 女生徒
<2300> 女生徒

//<2301> ？？
<2301> ？？

//<2302> 「現状で言えば、あなたは戦線にも天使にも肩を貸せる中立の立場」
<2302> 「現状で言えば、あなたは戦線にも天使にも肩を貸せる中立の立場」

//<2303> 音無
<2303> 音無

//<2304> クソ坊主
<2304> クソ坊主

//<2305> 代理人
<2305> 代理人

//<2306> 微妙すぎるイケメン
<2306> 微妙すぎるイケメン

//<2307> ロリコン
<2307> ロリコン

//<2308> メガネ仲間
<2308> メガネ仲間

//<2309> 暗算日本記録保持者
<2309> 暗算日本記録保持者

//<2310> 通り魔
<2310> 通り魔

//<2311> 記憶ナシ男
<2311> 記憶ナシ男

//<2312> 音速
<2312> 音速

//<2313> 無限
<2313> 無限

//<2314> エロ侍
<2314> エロ侍

//<2315> エロエロ団ナンバー１
<2315> エロエロ団ナンバー１

//<2316> ただのエロ少年
<2316> ただのエロ少年

//<2317> ユリブサイク
<2317> ユリブサイク

//<2318> ドピュッシー
<2318> ドピュッシー

//<2319> アメリカンエロドッグ
<2319> アメリカンエロドッグ

//<2320> ゼウス
<2320> ゼウス

//<2321> 日向markⅡ
<2321> 日向markⅡ

//<2322> 糞虫
<2322> 糞虫

//<2323> 量産型日向
<2323> 量産型日向

//<2324> ？？
<2324> ？？

//<2325> 「そうなのか…」
<2325> 「そうなのか…」

//<2326> ゆり
<2326> ゆり

//<2327> 女生徒
<2327> 女生徒

//<2328> ？？
<2328> ？？

//<2329> 「別にあなたを責めているわけじゃないわ。それは仕方のないことだもの」
<2329> 「別にあなたを責めているわけじゃないわ。それは仕方のないことだもの」

//<2330> ゆり
<2330> ゆり

//<2331> 女生徒
<2331> 女生徒

//<2332> ？？
<2332> ？？

//<2333> 「ただ、ひとつだけ守ってほしいの」
<2333> 「ただ、ひとつだけ守ってほしいの」

//<2334> 音無
<2334> 音無

//<2335> クソ坊主
<2335> クソ坊主

//<2336> 代理人
<2336> 代理人

//<2337> 微妙すぎるイケメン
<2337> 微妙すぎるイケメン

//<2338> ロリコン
<2338> ロリコン

//<2339> メガネ仲間
<2339> メガネ仲間

//<2340> 暗算日本記録保持者
<2340> 暗算日本記録保持者

//<2341> 通り魔
<2341> 通り魔

//<2342> 記憶ナシ男
<2342> 記憶ナシ男

//<2343> 音速
<2343> 音速

//<2344> 無限
<2344> 無限

//<2345> エロ侍
<2345> エロ侍

//<2346> エロエロ団ナンバー１
<2346> エロエロ団ナンバー１

//<2347> ただのエロ少年
<2347> ただのエロ少年

//<2348> ユリブサイク
<2348> ユリブサイク

//<2349> ドピュッシー
<2349> ドピュッシー

//<2350> アメリカンエロドッグ
<2350> アメリカンエロドッグ

//<2351> ゼウス
<2351> ゼウス

//<2352> 日向markⅡ
<2352> 日向markⅡ

//<2353> 糞虫
<2353> 糞虫

//<2354> 量産型日向
<2354> 量産型日向

//<2355> ？？
<2355> ？？

//<2356> 「なにを…？」
<2356> 「なにを…？」

//<2357> ゆり
<2357> ゆり

//<2358> 女生徒
<2358> 女生徒

//<2359> ？？
<2359> ？？

//<2360> 「作戦の情報をリークしないで。それは戦線メンバーのモラルとして」
<2360> 「作戦の情報をリークしないで。それは戦線メンバーのモラルとして」

//<2361> 従う
<2361> 従う

//<2362> 拒否する
<2362> 拒否する

//<2363> selbtn : 
<2363> selbtn : 

//<2364> 音無
<2364> 音無

//<2365> クソ坊主
<2365> クソ坊主

//<2366> 代理人
<2366> 代理人

//<2367> 微妙すぎるイケメン
<2367> 微妙すぎるイケメン

//<2368> ロリコン
<2368> ロリコン

//<2369> メガネ仲間
<2369> メガネ仲間

//<2370> 暗算日本記録保持者
<2370> 暗算日本記録保持者

//<2371> 通り魔
<2371> 通り魔

//<2372> 記憶ナシ男
<2372> 記憶ナシ男

//<2373> 音速
<2373> 音速

//<2374> 無限
<2374> 無限

//<2375> エロ侍
<2375> エロ侍

//<2376> エロエロ団ナンバー１
<2376> エロエロ団ナンバー１

//<2377> ただのエロ少年
<2377> ただのエロ少年

//<2378> ユリブサイク
<2378> ユリブサイク

//<2379> ドピュッシー
<2379> ドピュッシー

//<2380> アメリカンエロドッグ
<2380> アメリカンエロドッグ

//<2381> ゼウス
<2381> ゼウス

//<2382> 日向markⅡ
<2382> 日向markⅡ

//<2383> 糞虫
<2383> 糞虫

//<2384> 量産型日向
<2384> 量産型日向

//<2385> ？？
<2385> ？？

//<2386> 「ああ…。わかったよ」
<2386> 「ああ…。わかったよ」

//<2387> 音無
<2387> 音無

//<2388> クソ坊主
<2388> クソ坊主

//<2389> 代理人
<2389> 代理人

//<2390> 微妙すぎるイケメン
<2390> 微妙すぎるイケメン

//<2391> ロリコン
<2391> ロリコン

//<2392> メガネ仲間
<2392> メガネ仲間

//<2393> 暗算日本記録保持者
<2393> 暗算日本記録保持者

//<2394> 通り魔
<2394> 通り魔

//<2395> 記憶ナシ男
<2395> 記憶ナシ男

//<2396> 音速
<2396> 音速

//<2397> 無限
<2397> 無限

//<2398> エロ侍
<2398> エロ侍

//<2399> エロエロ団ナンバー１
<2399> エロエロ団ナンバー１

//<2400> ただのエロ少年
<2400> ただのエロ少年

//<2401> ユリブサイク
<2401> ユリブサイク

//<2402> ドピュッシー
<2402> ドピュッシー

//<2403> アメリカンエロドッグ
<2403> アメリカンエロドッグ

//<2404> ゼウス
<2404> ゼウス

//<2405> 日向markⅡ
<2405> 日向markⅡ

//<2406> 糞虫
<2406> 糞虫

//<2407> 量産型日向
<2407> 量産型日向

//<2408> ？？
<2408> ？？

//<2409> 「でも、ほんとにいい奴だから…会うことだけは許してほしい」
<2409> 「でも、ほんとにいい奴だから…会うことだけは許してほしい」

//<2410> ゆり
<2410> ゆり

//<2411> 女生徒
<2411> 女生徒

//<2412> ？？
<2412> ？？

//<2413> 「あのねぇ…」
<2413> 「あのねぇ…」

//<2414> どばっと冷や汗が噴出した気分に襲われる。
<2414> どばっと冷や汗が噴出した気分に襲われる。

//<2415> ゆり
<2415> ゆり

//<2416> 女生徒
<2416> 女生徒

//<2417> ？？
<2417> ？？

//<2418> 「あたしたちは、何十年と神とその使いの天使に抗い戦って来たのよ」
<2418> 「あたしたちは、何十年と神とその使いの天使に抗い戦って来たのよ」

//<2419> ゆり
<2419> ゆり

//<2420> 女生徒
<2420> 女生徒

//<2421> ？？
<2421> ？？

//<2422> 「それを邪魔しようというのなら、戦線から抜けて」
<2422> 「それを邪魔しようというのなら、戦線から抜けて」

//<2423> ゆり
<2423> ゆり

//<2424> 女生徒
<2424> 女生徒

//<2425> ？？
<2425> ？？

//<2426> 「もし、今後情報の漏洩に気づいた時は、こちらからあなたを切る」
<2426> 「もし、今後情報の漏洩に気づいた時は、こちらからあなたを切る」

//<2427> ゆり
<2427> ゆり

//<2428> 女生徒
<2428> 女生徒

//<2429> ？？
<2429> ？？

//<2430> 「いいわね、音無くん？」
<2430> 「いいわね、音無くん？」

//<2431> 最後は子供に言い聞かせるような口振りだった。
<2431> 最後は子供に言い聞かせるような口振りだった。

//<2432> 今の俺は音無ではない、という余裕もない…。
<2432> 今の俺は音無ではない、という余裕もない…。

//<2433> 頷く
<2433> 頷く

//<2434> 遊佐のことを訊く
<2434> 遊佐のことを訊く

//<2435> selbtn : 
<2435> selbtn : 

//<2436> 音無
<2436> 音無

//<2437> クソ坊主
<2437> クソ坊主

//<2438> 代理人
<2438> 代理人

//<2439> 微妙すぎるイケメン
<2439> 微妙すぎるイケメン

//<2440> ロリコン
<2440> ロリコン

//<2441> メガネ仲間
<2441> メガネ仲間

//<2442> 暗算日本記録保持者
<2442> 暗算日本記録保持者

//<2443> 通り魔
<2443> 通り魔

//<2444> 記憶ナシ男
<2444> 記憶ナシ男

//<2445> 音速
<2445> 音速

//<2446> 無限
<2446> 無限

//<2447> エロ侍
<2447> エロ侍

//<2448> エロエロ団ナンバー１
<2448> エロエロ団ナンバー１

//<2449> ただのエロ少年
<2449> ただのエロ少年

//<2450> ユリブサイク
<2450> ユリブサイク

//<2451> ドピュッシー
<2451> ドピュッシー

//<2452> アメリカンエロドッグ
