// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ゆりは俺たちが居ることを確認すると、部屋の明かりを落としてプロジェクターを点けた。
<0000> ゆりは俺たちが居ることを確認すると、部屋の明かりを落としてプロジェクターを点けた。

//<8523> 微妙すぎるイケメン
<8523> 微妙すぎるイケメン

//<8524> ロリコン
<8524> ロリコン

//<8525> メガネ仲間
<8525> メガネ仲間

//<8526> 暗算日本記録保持者
<8526> 暗算日本記録保持者

//<8527> 通り魔
<8527> 通り魔

//<8528> 記憶ナシ男
<8528> 記憶ナシ男

//<8529> 音速
<8529> 音速

//<8530> 無限
<8530> 無限

//<8531> エロ侍
<8531> エロ侍

//<8532> エロエロ団ナンバー１
<8532> エロエロ団ナンバー１

//<8533> ただのエロ少年
<8533> ただのエロ少年

//<8534> ユリブサイク
<8534> ユリブサイク

//<8535> ドピュッシー
<8535> ドピュッシー

//<8536> アメリカンエロドッグ
<8536> アメリカンエロドッグ

//<8537> ゼウス
<8537> ゼウス

//<8538> 日向markⅡ
<8538> 日向markⅡ

//<8539> 糞虫
<8539> 糞虫

//<8540> 量産型日向
<8540> 量産型日向

//<8541> ？？
<8541> ？？

//<8542> 「俺は何も立てなくていいんだよな…？」
<8542> 「俺は何も立てなくていいんだよな…？」

//<8543> nothing
<8543> nothing

//<8544> nothing
<8544> nothing

//<8545> nothing
<8545> nothing

//<8546> nothing
<8546> nothing

//<8547> nothing
<8547> nothing

//<8548> 椎名
<8548> 椎名

//<8549> 「もちろん。集中力の歴然たる差…見せつけてやろう」
<8549> 「もちろん。集中力の歴然たる差…見せつけてやろう」

//<8550> nothing
<8550> nothing

//<8551> nothing
<8551> nothing

//<8552> nothing
<8552> nothing

//<8553> nothing
<8553> nothing

//<8554> nothing
<8554> nothing

//<8555> 日向
<8555> 日向

//<8556> 男Ｂ
<8556> 男Ｂ

//<8557> エロエロ団総帥
<8557> エロエロ団総帥

//<8558> イケチン
<8558> イケチン

//<8559> ホモ太
<8559> ホモ太

//<8560> ひなチン
<8560> ひなチン

//<8561> 秀樹
<8561> 秀樹

//<8562> 男子生徒
<8562> 男子生徒

//<8563> ？？
<8563> ？？

//<8564> 「よし、決まりだ」
<8564> 「よし、決まりだ」

//<8565> ユイ
<8565> ユイ

//<8566> 「あほばかり増えていきますねっ」
<8566> 「あほばかり増えていきますねっ」

//<8567> 音無
<8567> 音無

//<8568> クソ坊主
<8568> クソ坊主

//<8569> 代理人
<8569> 代理人

//<8570> 微妙すぎるイケメン
<8570> 微妙すぎるイケメン

//<8571> ロリコン
<8571> ロリコン

//<8572> メガネ仲間
<8572> メガネ仲間

//<8573> 暗算日本記録保持者
<8573> 暗算日本記録保持者

//<8574> 通り魔
<8574> 通り魔

//<8575> 記憶ナシ男
<8575> 記憶ナシ男

//<8576> 音速
<8576> 音速

//<8577> 無限
<8577> 無限

//<8578> エロ侍
<8578> エロ侍

//<8579> エロエロ団ナンバー１
<8579> エロエロ団ナンバー１

//<8580> ただのエロ少年
<8580> ただのエロ少年

//<8581> ユリブサイク
<8581> ユリブサイク

//<8582> ドピュッシー
<8582> ドピュッシー

//<8583> アメリカンエロドッグ
<8583> アメリカンエロドッグ

//<8584> ゼウス
<8584> ゼウス

//<8585> 日向markⅡ
<8585> 日向markⅡ

//<8586> 糞虫
<8586> 糞虫

//<8587> 量産型日向
<8587> 量産型日向

//<8588> ？？
<8588> ？？

//<8589> 「これで四人かぁ…」
<8589> 「これで四人かぁ…」

//<8590> 音無
<8590> 音無

//<8591> クソ坊主
<8591> クソ坊主

//<8592> 代理人
<8592> 代理人

//<8593> 微妙すぎるイケメン
<8593> 微妙すぎるイケメン

//<8594> ロリコン
<8594> ロリコン

//<8595> メガネ仲間
<8595> メガネ仲間

//<8596> 暗算日本記録保持者
<8596> 暗算日本記録保持者

//<8597> 通り魔
<8597> 通り魔

//<8598> 記憶ナシ男
<8598> 記憶ナシ男

//<8599> 音速
<8599> 音速

//<8600> 無限
<8600> 無限

//<8601> エロ侍
<8601> エロ侍

//<8602> エロエロ団ナンバー１
<8602> エロエロ団ナンバー１

//<8603> ただのエロ少年
<8603> ただのエロ少年

//<8604> ユリブサイク
<8604> ユリブサイク

//<8605> ドピュッシー
<8605> ドピュッシー

//<8606> アメリカンエロドッグ
<8606> アメリカンエロドッグ

//<8607> ゼウス
<8607> ゼウス

//<8608> 日向markⅡ
<8608> 日向markⅡ

//<8609> 糞虫
<8609> 糞虫

//<8610> 量産型日向
<8610> 量産型日向

//<8611> ？？
<8611> ？？

//<8612> 「これでようやく三人かぁ…」
<8612> 「これでようやく三人かぁ…」

//<8613> nothing
<8613> nothing

//<8614> nothing
<8614> nothing

//<8615> nothing
<8615> nothing

//<8616> nothing
<8616> nothing

//<8617> nothing
<8617> nothing

//<8618> 日向
<8618> 日向

//<8619> 男Ｂ
<8619> 男Ｂ

//<8620> エロエロ団総帥
<8620> エロエロ団総帥

//<8621> イケチン
<8621> イケチン

//<8622> ホモ太
<8622> ホモ太

//<8623> ひなチン
<8623> ひなチン

//<8624> 秀樹
<8624> 秀樹

//<8625> 男子生徒
<8625> 男子生徒

//<8626> ？？
<8626> ？？

//<8627> 「仕方ねぇ。後はあいつを入れるか」
<8627> 「仕方ねぇ。後はあいつを入れるか」

//<8628> se_river_loop
<8628> se_river_loop

//<8629> se_kazekiri3
<8629> se_kazekiri3

//<8630> nothing
<8630> nothing

//<8631> nothing
<8631> nothing

//<8632> nothing
<8632> nothing

//<8633> nothing
<8633> nothing

//<8634> nothing
<8634> nothing

//<8635> 野田
<8635> 野田

//<8636> 男Ｆ
<8636> 男Ｆ

//<8637> イケパイ
<8637> イケパイ

//<8638> 男
<8638> 男

//<8639> ？？
<8639> ？？

//<8640> 「はいっ！　はいっ！　はいっ！　せやあああぁぁーーー！！」
<8640> 「はいっ！　はいっ！　はいっ！　せやあああぁぁーーー！！」

//<8641> nothing
<8641> nothing

//<8642> nothing
<8642> nothing

//<8643> nothing
<8643> nothing

//<8644> nothing
<8644> nothing

//<8645> nothing
<8645> nothing

//<8646> 野田が上半身裸で、ハルバートを片手で振り続けている。
<8646> 野田が上半身裸で、ハルバートを片手で振り続けている。

//<8647> 俺たちは岩陰に身を潜めていた。
<8647> 俺たちは岩陰に身を潜めていた。

//<8648> 日向
<8648> 日向

//<8649> 男Ｂ
<8649> 男Ｂ

//<8650> エロエロ団総帥
<8650> エロエロ団総帥

//<8651> イケチン
<8651> イケチン

//<8652> ホモ太
<8652> ホモ太

//<8653> ひなチン
<8653> ひなチン

//<8654> 秀樹
<8654> 秀樹

//<8655> 男子生徒
<8655> 男子生徒

//<8656> ？？
<8656> ？？

//<8657> 「あいつを誘う奴なんていねぇ。直情的でゆりっぺ以外の指示には従わないからな」
<8657> 「あいつを誘う奴なんていねぇ。直情的でゆりっぺ以外の指示には従わないからな」

//<8658> ユイ
<8658> ユイ

//<8659> 「つまり、あの人もあほなんですね」
<8659> 「つまり、あの人もあほなんですね」

//<8660> 日向
<8660> 日向

//<8661> 男Ｂ
<8661> 男Ｂ

//<8662> エロエロ団総帥
<8662> エロエロ団総帥

//<8663> イケチン
<8663> イケチン

//<8664> ホモ太
<8664> ホモ太

//<8665> ひなチン
<8665> ひなチン

//<8666> 秀樹
<8666> 秀樹

//<8667> 男子生徒
<8667> 男子生徒

//<8668> ？？
<8668> ？？

//<8669> 「だが、あほは利用できる。しかも見ろっ」
<8669> 「だが、あほは利用できる。しかも見ろっ」

//<8670> 日向
<8670> 日向

//<8671> 男Ｂ
<8671> 男Ｂ

//<8672> エロエロ団総帥
<8672> エロエロ団総帥

//<8673> イケチン
<8673> イケチン

//<8674> ホモ太
<8674> ホモ太

//<8675> ひなチン
<8675> ひなチン

//<8676> 秀樹
<8676> 秀樹

//<8677> 男子生徒
<8677> 男子生徒

//<8678> ？？
<8678> ？？

//<8679> 「長い棒を振らせたら、右に出る奴はいない。バットを振るために鍛錬してきたようなものじゃないか」
<8679> 「長い棒を振らせたら、右に出る奴はいない。バットを振るために鍛錬してきたようなものじゃないか」

//<8680> ユイ
<8680> ユイ

//<8681> 「では、行きますか」
<8681> 「では、行きますか」

//<8682> 日向
<8682> 日向

//<8683> 男Ｂ
<8683> 男Ｂ

//<8684> エロエロ団総帥
<8684> エロエロ団総帥

//<8685> イケチン
<8685> イケチン

//<8686> ホモ太
<8686> ホモ太

//<8687> ひなチン
<8687> ひなチン

//<8688> 秀樹
<8688> 秀樹

//<8689> 男子生徒
<8689> 男子生徒

//<8690> ？？
<8690> ？？

//<8691> 「しかも見ろ。長い棒を振らせたら、右に出る奴はいない。バットを振るために鍛錬してきたようなものじゃないか」
<8691> 「しかも見ろ。長い棒を振らせたら、右に出る奴はいない。バットを振るために鍛錬してきたようなものじゃないか」

//<8692> 音無
<8692> 音無

//<8693> クソ坊主
<8693> クソ坊主

//<8694> 代理人
<8694> 代理人

//<8695> 微妙すぎるイケメン
<8695> 微妙すぎるイケメン

//<8696> ロリコン
<8696> ロリコン

//<8697> メガネ仲間
<8697> メガネ仲間

//<8698> 暗算日本記録保持者
<8698> 暗算日本記録保持者

//<8699> 通り魔
<8699> 通り魔

//<8700> 記憶ナシ男
<8700> 記憶ナシ男

//<8701> 音速
<8701> 音速

//<8702> 無限
<8702> 無限

//<8703> エロ侍
<8703> エロ侍

//<8704> エロエロ団ナンバー１
<8704> エロエロ団ナンバー１

//<8705> ただのエロ少年
<8705> ただのエロ少年

//<8706> ユリブサイク
<8706> ユリブサイク

//<8707> ドピュッシー
<8707> ドピュッシー

//<8708> アメリカンエロドッグ
<8708> アメリカンエロドッグ

//<8709> ゼウス
<8709> ゼウス

//<8710> 日向markⅡ
<8710> 日向markⅡ

//<8711> 糞虫
<8711> 糞虫

//<8712> 量産型日向
<8712> 量産型日向

//<8713> ？？
<8713> ？？

//<8714> 「確かに！　さすが日向だぜ！」
<8714> 「確かに！　さすが日向だぜ！」

//<8715> 確かに、野田のハルバート使いは身をもって体験してるから、言いたいことはわかるけど。
<8715> 確かに、野田のハルバート使いは身をもって体験してるから、言いたいことはわかるけど。

//<8716> それにしても無理矢理すぎるだろ…。
<8716> それにしても無理矢理すぎるだろ…。

//<8717> 日向
<8717> 日向

//<8718> 男Ｂ
<8718> 男Ｂ

//<8719> エロエロ団総帥
<8719> エロエロ団総帥

//<8720> イケチン
<8720> イケチン

//<8721> ホモ太
<8721> ホモ太

//<8722> ひなチン
<8722> ひなチン

//<8723> 秀樹
<8723> 秀樹

//<8724> 男子生徒
<8724> 男子生徒

//<8725> ？？
<8725> ？？

//<8726> 「さて、行きますか」
<8726> 「さて、行きますか」

//<8727> 名乗り出る
<8727> 名乗り出る

//<8728> 日向に任せる
<8728> 日向に任せる

//<8729> selbtn : 
<8729> selbtn : 

//<8730> nothing
<8730> nothing

//<8731> nothing
<8731> nothing

//<8732> nothing
<8732> nothing

//<8733> nothing
<8733> nothing

//<8734> nothing
<8734> nothing

//<8735> nothing
<8735> nothing

//<8736> 音無
<8736> 音無

//<8737> クソ坊主
<8737> クソ坊主

//<8738> 代理人
<8738> 代理人

//<8739> 微妙すぎるイケメン
<8739> 微妙すぎるイケメン

//<8740> ロリコン
<8740> ロリコン

//<8741> メガネ仲間
<8741> メガネ仲間

//<8742> 暗算日本記録保持者
<8742> 暗算日本記録保持者

//<8743> 通り魔
<8743> 通り魔

//<8744> 記憶ナシ男
<8744> 記憶ナシ男

//<8745> 音速
<8745> 音速

//<8746> 無限
<8746> 無限

//<8747> エロ侍
<8747> エロ侍

//<8748> エロエロ団ナンバー１
<8748> エロエロ団ナンバー１

//<8749> ただのエロ少年
<8749> ただのエロ少年

//<8750> ユリブサイク
<8750> ユリブサイク

//<8751> ドピュッシー
<8751> ドピュッシー

//<8752> アメリカンエロドッグ
<8752> アメリカンエロドッグ

//<8753> ゼウス
<8753> ゼウス

//<8754> 日向markⅡ
<8754> 日向markⅡ

//<8755> 糞虫
<8755> 糞虫

//<8756> 量産型日向
<8756> 量産型日向

//<8757> ？？
<8757> ？？

//<8758> 「ここは俺に任せてくれないか」
<8758> 「ここは俺に任せてくれないか」

//<8759> nothing
<8759> nothing

//<8760> nothing
<8760> nothing

//<8761> nothing
<8761> nothing

//<8762> nothing
<8762> nothing

//<8763> nothing
<8763> nothing

//<8764> 日向
<8764> 日向

//<8765> 男Ｂ
<8765> 男Ｂ

//<8766> エロエロ団総帥
<8766> エロエロ団総帥

//<8767> イケチン
<8767> イケチン

//<8768> ホモ太
<8768> ホモ太

//<8769> ひなチン
<8769> ひなチン

//<8770> 秀樹
<8770> 秀樹

//<8771> 男子生徒
<8771> 男子生徒

//<8772> ？？
<8772> ？？

//<8773> 「ええっ！？　お前あいつから嫌われてるんじゃなかったのか！？」
<8773> 「ええっ！？　お前あいつから嫌われてるんじゃなかったのか！？」

//<8774> 音無
<8774> 音無

//<8775> クソ坊主
<8775> クソ坊主

//<8776> 代理人
<8776> 代理人

//<8777> 微妙すぎるイケメン
<8777> 微妙すぎるイケメン

//<8778> ロリコン
<8778> ロリコン

//<8779> メガネ仲間
<8779> メガネ仲間

//<8780> 暗算日本記録保持者
<8780> 暗算日本記録保持者

//<8781> 通り魔
<8781> 通り魔

//<8782> 記憶ナシ男
<8782> 記憶ナシ男

//<8783> 音速
<8783> 音速

//<8784> 無限
<8784> 無限

//<8785> エロ侍
<8785> エロ侍

//<8786> エロエロ団ナンバー１
<8786> エロエロ団ナンバー１

//<8787> ただのエロ少年
<8787> ただのエロ少年

//<8788> ユリブサイク
<8788> ユリブサイク

//<8789> ドピュッシー
<8789> ドピュッシー

//<8790> アメリカンエロドッグ
<8790> アメリカンエロドッグ

//<8791> ゼウス
<8791> ゼウス

//<8792> 日向markⅡ
<8792> 日向markⅡ

//<8793> 糞虫
<8793> 糞虫

//<8794> 量産型日向
<8794> 量産型日向

//<8795> ？？
<8795> ？？

//<8796> 「いや、お前の知らないところで、今では仲が良くなってるんだ」
<8796> 「いや、お前の知らないところで、今では仲が良くなってるんだ」

//<8797> nothing
<8797> nothing

//<8798> nothing
<8798> nothing

//<8799> nothing
<8799> nothing

//<8800> nothing
<8800> nothing

//<8801> nothing
<8801> nothing

//<8802> 日向
<8802> 日向

//<8803> 男Ｂ
<8803> 男Ｂ

//<8804> エロエロ団総帥
<8804> エロエロ団総帥

//<8805> イケチン
<8805> イケチン

//<8806> ホモ太
<8806> ホモ太

//<8807> ひなチン
<8807> ひなチン

//<8808> 秀樹
<8808> 秀樹

//<8809> 男子生徒
<8809> 男子生徒

//<8810> ？？
<8810> ？？
{e2517} 33 // 8810

//<8811> 「そうだったのか…。よし、わかった任せる」
<8811> 「そうだったのか…。よし、わかった任せる」

//<8812> nothing
<8812> nothing

//<8813> nothing
<8813> nothing

//<8814> nothing
<8814> nothing

//<8815> nothing
<8815> nothing

//<8816> nothing
<8816> nothing

//<8817> nothing
<8817> nothing

//<8818> nothing
<8818> nothing

//<8819> nothing
<8819> nothing

//<8820> nothing
<8820> nothing

//<8821> nothing
<8821> nothing

//<8822> nothing
<8822> nothing

//<8823> 岩陰から出て、近づいていく。
<8823> 岩陰から出て、近づいていく。

//<8824> 音無
<8824> 音無

//<8825> クソ坊主
<8825> クソ坊主

//<8826> 代理人
<8826> 代理人

//<8827> 微妙すぎるイケメン
<8827> 微妙すぎるイケメン

//<8828> ロリコン
<8828> ロリコン

//<8829> メガネ仲間
<8829> メガネ仲間

//<8830> 暗算日本記録保持者
<8830> 暗算日本記録保持者

//<8831> 通り魔
<8831> 通り魔

//<8832> 記憶ナシ男
<8832> 記憶ナシ男

//<8833> 音速
<8833> 音速

//<8834> 無限
<8834> 無限

//<8835> エロ侍
<8835> エロ侍

//<8836> エロエロ団ナンバー１
<8836> エロエロ団ナンバー１

//<8837> ただのエロ少年
<8837> ただのエロ少年

//<8838> ユリブサイク
<8838> ユリブサイク

//<8839> ドピュッシー
<8839> ドピュッシー

//<8840> アメリカンエロドッグ
<8840> アメリカンエロドッグ

//<8841> ゼウス
<8841> ゼウス

//<8842> 日向markⅡ
<8842> 日向markⅡ

//<8843> 糞虫
<8843> 糞虫

//<8844> 量産型日向
<8844> 量産型日向

//<8845> ？？
<8845> ？？

//<8846> 「よう。調子はどうだい」
<8846> 「よう。調子はどうだい」

//<8847> nothing
<8847> nothing

//<8848> nothing
<8848> nothing

//<8849> nothing
<8849> nothing

//<8850> nothing
<8850> nothing

//<8851> nothing
<8851> nothing

//<8852> そう声をかけた。
<8852> そう声をかけた。

//<8853> nothing
<8853> nothing

//<8854> nothing
<8854> nothing

//<8855> nothing
<8855> nothing

//<8856> nothing
<8856> nothing

//<8857> nothing
<8857> nothing

//<8858> 野田
<8858> 野田

//<8859> 男Ｆ
<8859> 男Ｆ

//<8860> イケパイ
<8860> イケパイ

//<8861> 男
<8861> 男

//<8862> ？？
<8862> ？？

//<8863> 「ふっ…貴様か…今日もリベンジに来たか」
<8863> 「ふっ…貴様か…今日もリベンジに来たか」

//<8864> ああ
<8864> ああ

//<8865> 違う
<8865> 違う

//<8866> selbtn : 
<8866> selbtn : 

//<8867> 音無
<8867> 音無

//<8868> クソ坊主
<8868> クソ坊主

//<8869> 代理人
<8869> 代理人

//<8870> 微妙すぎるイケメン
<8870> 微妙すぎるイケメン

//<8871> ロリコン
<8871> ロリコン

//<8872> メガネ仲間
<8872> メガネ仲間

//<8873> 暗算日本記録保持者
<8873> 暗算日本記録保持者

//<8874> 通り魔
<8874> 通り魔

//<8875> 記憶ナシ男
<8875> 記憶ナシ男

//<8876> 音速
<8876> 音速

//<8877> 無限
<8877> 無限

//<8878> エロ侍
<8878> エロ侍

//<8879> エロエロ団ナンバー１
<8879> エロエロ団ナンバー１

//<8880> ただのエロ少年
<8880> ただのエロ少年

//<8881> ユリブサイク
<8881> ユリブサイク

//<8882> ドピュッシー
<8882> ドピュッシー

//<8883> アメリカンエロドッグ
<8883> アメリカンエロドッグ

//<8884> ゼウス
<8884> ゼウス

//<8885> 日向markⅡ
<8885> 日向markⅡ

//<8886> 糞虫
<8886> 糞虫

//<8887> 量産型日向
<8887> 量産型日向

//<8888> ？？
<8888> ？？

//<8889> 「ああ」
<8889> 「ああ」

//<8890> nothing
<8890> nothing

//<8891> nothing
<8891> nothing

//<8892> nothing
<8892> nothing

//<8893> nothing
<8893> nothing

//<8894> nothing
<8894> nothing

//<8895> 日向
<8895> 日向

//<8896> 男Ｂ
<8896> 男Ｂ

//<8897> エロエロ団総帥
<8897> エロエロ団総帥

//<8898> イケチン
<8898> イケチン

//<8899> ホモ太
<8899> ホモ太

//<8900> ひなチン
<8900> ひなチン

//<8901> 秀樹
<8901> 秀樹

//<8902> 男子生徒
<8902> 男子生徒

//<8903> ？？
<8903> ？？

//<8904> 「ストーーーップ！　ストップ！　ストップ！」
<8904> 「ストーーーップ！　ストップ！　ストップ！」

//<8905> nothing
<8905> nothing

//<8906> nothing
<8906> nothing

//<8907> nothing
<8907> nothing

//<8908> nothing
<8908> nothing

//<8909> nothing
<8909> nothing

//<8910> 日向が割って入ってくる。
<8910> 日向が割って入ってくる。

//<8911> nothing
<8911> nothing

//<8912> nothing
<8912> nothing

//<8913> nothing
<8913> nothing

//<8914> nothing
<8914> nothing

//<8915> nothing
<8915> nothing

//<8916> 日向
<8916> 日向

//<8917> 男Ｂ
<8917> 男Ｂ

//<8918> エロエロ団総帥
<8918> エロエロ団総帥

//<8919> イケチン
<8919> イケチン

//<8920> ホモ太
<8920> ホモ太

//<8921> ひなチン
<8921> ひなチン

//<8922> 秀樹
<8922> 秀樹

//<8923> 男子生徒
<8923> 男子生徒

//<8924> ？？
<8924> ？？

//<8925> 「音無、お前、目的忘れてねーか！？」
<8925> 「音無、お前、目的忘れてねーか！？」

//<8926> 音無
<8926> 音無

//<8927> クソ坊主
<8927> クソ坊主

//<8928> 代理人
<8928> 代理人

//<8929> 微妙すぎるイケメン
<8929> 微妙すぎるイケメン

//<8930> ロリコン
<8930> ロリコン

//<8931> メガネ仲間
<8931> メガネ仲間

//<8932> 暗算日本記録保持者
<8932> 暗算日本記録保持者

//<8933> 通り魔
<8933> 通り魔

//<8934> 記憶ナシ男
<8934> 記憶ナシ男

//<8935> 音速
<8935> 音速

//<8936> 無限
<8936> 無限

//<8937> エロ侍
<8937> エロ侍

//<8938> エロエロ団ナンバー１
<8938> エロエロ団ナンバー１

//<8939> ただのエロ少年
<8939> ただのエロ少年

//<8940> ユリブサイク
<8940> ユリブサイク

//<8941> ドピュッシー
<8941> ドピュッシー

//<8942> アメリカンエロドッグ
<8942> アメリカンエロドッグ

//<8943> ゼウス
<8943> ゼウス

//<8944> 日向markⅡ
<8944> 日向markⅡ

//<8945> 糞虫
<8945> 糞虫

//<8946> 量産型日向
<8946> 量産型日向

//<8947> ？？
<8947> ？？

//<8948> 「野田との熱い決闘だろ？」
<8948> 「野田との熱い決闘だろ？」

//<8949> nothing
<8949> nothing

//<8950> nothing
<8950> nothing

//<8951> nothing
<8951> nothing

//<8952> nothing
<8952> nothing

//<8953> nothing
<8953> nothing

//<8954> 日向
<8954> 日向

//<8955> 男Ｂ
<8955> 男Ｂ

//<8956> エロエロ団総帥
<8956> エロエロ団総帥

//<8957> イケチン
<8957> イケチン

//<8958> ホモ太
<8958> ホモ太

//<8959> ひなチン
<8959> ひなチン

//<8960> 秀樹
<8960> 秀樹

//<8961> 男子生徒
<8961> 男子生徒

//<8962> ？？
<8962> ？？

//<8963> 「ちっっがーーーーーーうっ！」
<8963> 「ちっっがーーーーーーうっ！」

//<8964> nothing
<8964> nothing

//<8965> nothing
<8965> nothing

//<8966> nothing
<8966> nothing

//<8967> nothing
<8967> nothing

//<8968> nothing
<8968> nothing

//<8969> 日向
<8969> 日向

//<8970> 男Ｂ
<8970> 男Ｂ

//<8971> エロエロ団総帥
<8971> エロエロ団総帥

//<8972> イケチン
<8972> イケチン

//<8973> ホモ太
<8973> ホモ太

//<8974> ひなチン
<8974> ひなチン

//<8975> 秀樹
<8975> 秀樹

//<8976> 男子生徒
<8976> 男子生徒

//<8977> ？？
<8977> ？？

//<8978> 「目覚めろ、目覚めろぉーーー！！」
<8978> 「目覚めろ、目覚めろぉーーー！！」

//<8979> nothing
<8979> nothing

//<8980> nothing
<8980> nothing

//<8981> nothing
<8981> nothing

//<8982> nothing
<8982> nothing

//<8983> nothing
<8983> nothing

//<8984> 両肩を掴まれ、前後に揺すられる。
<8984> 両肩を掴まれ、前後に揺すられる。

//<8985> 音無
<8985> 音無

//<8986> クソ坊主
<8986> クソ坊主

//<8987> 代理人
<8987> 代理人

//<8988> 微妙すぎるイケメン
<8988> 微妙すぎるイケメン

//<8989> ロリコン
<8989> ロリコン

//<8990> メガネ仲間
<8990> メガネ仲間

//<8991> 暗算日本記録保持者
<8991> 暗算日本記録保持者

//<8992> 通り魔
<8992> 通り魔

//<8993> 記憶ナシ男
<8993> 記憶ナシ男

//<8994> 音速
<8994> 音速

//<8995> 無限
<8995> 無限

//<8996> エロ侍
<8996> エロ侍

//<8997> エロエロ団ナンバー１
<8997> エロエロ団ナンバー１

//<8998> ただのエロ少年
<8998> ただのエロ少年

//<8999> ユリブサイク
<8999> ユリブサイク

//<9000> ドピュッシー
<9000> ドピュッシー

//<9001> アメリカンエロドッグ
<9001> アメリカンエロドッグ

//<9002> ゼウス
<9002> ゼウス

//<9003> 日向markⅡ
<9003> 日向markⅡ

//<9004> 糞虫
<9004> 糞虫

//<9005> 量産型日向
<9005> 量産型日向

//<9006> ？？
<9006> ？？

//<9007> 「ええと…」
<9007> 「ええと…」

//<9008> 野田との熱い決闘
<9008> 野田との熱い決闘

//<9009> 野田を勧誘
<9009> 野田を勧誘

//<9010> selbtn : 
<9010> selbtn : 

//<9011> nothing
<9011> nothing

//<9012> nothing
<9012> nothing

//<9013> nothing
<9013> nothing

//<9014> nothing
<9014> nothing

//<9015> 音無
<9015> 音無

//<9016> クソ坊主
<9016> クソ坊主

//<9017> 代理人
<9017> 代理人

//<9018> 微妙すぎるイケメン
<9018> 微妙すぎるイケメン

//<9019> ロリコン
<9019> ロリコン

//<9020> メガネ仲間
<9020> メガネ仲間

//<9021> 暗算日本記録保持者
<9021> 暗算日本記録保持者

//<9022> 通り魔
<9022> 通り魔

//<9023> 記憶ナシ男
<9023> 記憶ナシ男

//<9024> 音速
<9024> 音速

//<9025> 無限
<9025> 無限

//<9026> エロ侍
<9026> エロ侍

//<9027> エロエロ団ナンバー１
<9027> エロエロ団ナンバー１

//<9028> ただのエロ少年
<9028> ただのエロ少年

//<9029> ユリブサイク
<9029> ユリブサイク

//<9030> ドピュッシー
<9030> ドピュッシー

//<9031> アメリカンエロドッグ
<9031> アメリカンエロドッグ

//<9032> ゼウス
<9032> ゼウス

//<9033> 日向markⅡ
<9033> 日向markⅡ

//<9034> 糞虫
<9034> 糞虫

//<9035> 量産型日向
<9035> 量産型日向

//<9036> ？？
<9036> ？？

//<9037> 「野田との熱い決闘」
<9037> 「野田との熱い決闘」

//<9038> nothing
<9038> nothing

//<9039> nothing
<9039> nothing

//<9040> nothing
<9040> nothing

//<9041> nothing
<9041> nothing

//<9042> nothing
<9042> nothing

//<9043> 日向
<9043> 日向

//<9044> 男Ｂ
<9044> 男Ｂ

//<9045> エロエロ団総帥
<9045> エロエロ団総帥

//<9046> イケチン
<9046> イケチン

//<9047> ホモ太
<9047> ホモ太

//<9048> ひなチン
<9048> ひなチン

//<9049> 秀樹
<9049> 秀樹

//<9050> 男子生徒
<9050> 男子生徒

//<9051> ？？
<9051> ？？

//<9052> 「だから、ちっっがーーーーーーーうっ！！」
<9052> 「だから、ちっっがーーーーーーーうっ！！」

//<9053> nothing
<9053> nothing

//<9054> nothing
<9054> nothing

//<9055> nothing
<9055> nothing

//<9056> nothing
<9056> nothing

//<9057> nothing
<9057> nothing

//<9058> 日向
<9058> 日向

//<9059> 男Ｂ
<9059> 男Ｂ

//<9060> エロエロ団総帥
<9060> エロエロ団総帥

//<9061> イケチン
<9061> イケチン

//<9062> ホモ太
<9062> ホモ太

//<9063> ひなチン
<9063> ひなチン

//<9064> 秀樹
<9064> 秀樹

//<9065> 男子生徒
<9065> 男子生徒

//<9066> ？？
<9066> ？？

//<9067> 「勧誘だよ、勧誘！！」
<9067> 「勧誘だよ、勧誘！！」

//<9068> nothing
<9068> nothing

//<9069> nothing
<9069> nothing

//<9070> nothing
<9070> nothing

//<9071> nothing
<9071> nothing

//<9072> nothing
<9072> nothing

//<9073> nothing
<9073> nothing

//<9074> 音無
<9074> 音無

//<9075> クソ坊主
<9075> クソ坊主

//<9076> 代理人
<9076> 代理人

//<9077> 微妙すぎるイケメン
