// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ようやく、オペレーションも終わり、これで何の気兼ねなく岩沢とまた会えるはずだ。
<0000> ようやく、オペレーションも終わり、これで何の気兼ねなく岩沢とまた会えるはずだ。
<1907> 「だからこそ興味深くもあるんだが。もっとわかりやすく言ってくれ」

//<1908> 音無
<1908> 音無

//<1909> クソ坊主
<1909> クソ坊主

//<1910> 代理人
<1910> 代理人

//<1911> 微妙すぎるイケメン
<1911> 微妙すぎるイケメン

//<1912> ロリコン
<1912> ロリコン

//<1913> メガネ仲間
<1913> メガネ仲間

//<1914> 暗算日本記録保持者
<1914> 暗算日本記録保持者

//<1915> 通り魔
<1915> 通り魔

//<1916> 記憶ナシ男
<1916> 記憶ナシ男

//<1917> 音速
<1917> 音速

//<1918> 無限
<1918> 無限

//<1919> エロ侍
<1919> エロ侍

//<1920> エロエロ団ナンバー１
<1920> エロエロ団ナンバー１

//<1921> ただのエロ少年
<1921> ただのエロ少年

//<1922> ユリブサイク
<1922> ユリブサイク

//<1923> ドピュッシー
<1923> ドピュッシー

//<1924> アメリカンエロドッグ
<1924> アメリカンエロドッグ

//<1925> ゼウス
<1925> ゼウス

//<1926> 日向markⅡ
<1926> 日向markⅡ

//<1927> 糞虫
<1927> 糞虫

//<1928> 量産型日向
<1928> 量産型日向

//<1929> ？？
<1929> ？？

//<1930> 「俺は…岩沢の人生を否定しない」
<1930> 「俺は…岩沢の人生を否定しない」

//<1931> nothing
<1931> nothing

//<1932> nothing
<1932> nothing

//<1933> nothing
<1933> nothing

//<1934> nothing
<1934> nothing

//<1935> nothing
<1935> nothing

//<1936> 音無
<1936> 音無

//<1937> クソ坊主
<1937> クソ坊主

//<1938> 代理人
<1938> 代理人

//<1939> 微妙すぎるイケメン
<1939> 微妙すぎるイケメン

//<1940> ロリコン
<1940> ロリコン

//<1941> メガネ仲間
<1941> メガネ仲間

//<1942> 暗算日本記録保持者
<1942> 暗算日本記録保持者

//<1943> 通り魔
<1943> 通り魔

//<1944> 記憶ナシ男
<1944> 記憶ナシ男

//<1945> 音速
<1945> 音速

//<1946> 無限
<1946> 無限

//<1947> エロ侍
<1947> エロ侍

//<1948> エロエロ団ナンバー１
<1948> エロエロ団ナンバー１

//<1949> ただのエロ少年
<1949> ただのエロ少年

//<1950> ユリブサイク
<1950> ユリブサイク

//<1951> ドピュッシー
<1951> ドピュッシー

//<1952> アメリカンエロドッグ
<1952> アメリカンエロドッグ

//<1953> ゼウス
<1953> ゼウス

//<1954> 日向markⅡ
<1954> 日向markⅡ

//<1955> 糞虫
<1955> 糞虫

//<1956> 量産型日向
<1956> 量産型日向

//<1957> ？？
<1957> ？？

//<1958> 「それが『生きること』だと思う」
<1958> 「それが『生きること』だと思う」

//<1959> 音無
<1959> 音無

//<1960> クソ坊主
<1960> クソ坊主

//<1961> 代理人
<1961> 代理人

//<1962> 微妙すぎるイケメン
<1962> 微妙すぎるイケメン

//<1963> ロリコン
<1963> ロリコン

//<1964> メガネ仲間
<1964> メガネ仲間

//<1965> 暗算日本記録保持者
<1965> 暗算日本記録保持者

//<1966> 通り魔
<1966> 通り魔

//<1967> 記憶ナシ男
<1967> 記憶ナシ男

//<1968> 音速
<1968> 音速

//<1969> 無限
<1969> 無限

//<1970> エロ侍
<1970> エロ侍

//<1971> エロエロ団ナンバー１
<1971> エロエロ団ナンバー１

//<1972> ただのエロ少年
<1972> ただのエロ少年

//<1973> ユリブサイク
<1973> ユリブサイク

//<1974> ドピュッシー
<1974> ドピュッシー

//<1975> アメリカンエロドッグ
<1975> アメリカンエロドッグ

//<1976> ゼウス
<1976> ゼウス

//<1977> 日向markⅡ
<1977> 日向markⅡ

//<1978> 糞虫
<1978> 糞虫

//<1979> 量産型日向
<1979> 量産型日向

//<1980> ？？
<1980> ？？

//<1981> 「いや、それこそが、かな」
<1981> 「いや、それこそが、かな」

//<1982> nothing
<1982> nothing

//<1983> nothing
<1983> nothing

//<1984> nothing
<1984> nothing

//<1985> nothing
<1985> nothing

//<1986> nothing
<1986> nothing

//<1987> 岩沢
<1987> 岩沢

//<1988> 「おかしなことを言うな。この期に及んで感情論かい？」
<1988> 「おかしなことを言うな。この期に及んで感情論かい？」

//<1989> 音無
<1989> 音無

//<1990> クソ坊主
<1990> クソ坊主

//<1991> 代理人
<1991> 代理人

//<1992> 微妙すぎるイケメン
<1992> 微妙すぎるイケメン

//<1993> ロリコン
<1993> ロリコン

//<1994> メガネ仲間
<1994> メガネ仲間

//<1995> 暗算日本記録保持者
<1995> 暗算日本記録保持者

//<1996> 通り魔
<1996> 通り魔

//<1997> 記憶ナシ男
<1997> 記憶ナシ男

//<1998> 音速
<1998> 音速

//<1999> 無限
<1999> 無限

//<2000> エロ侍
<2000> エロ侍

//<2001> エロエロ団ナンバー１
<2001> エロエロ団ナンバー１

//<2002> ただのエロ少年
<2002> ただのエロ少年

//<2003> ユリブサイク
<2003> ユリブサイク

//<2004> ドピュッシー
<2004> ドピュッシー

//<2005> アメリカンエロドッグ
<2005> アメリカンエロドッグ

//<2006> ゼウス
<2006> ゼウス

//<2007> 日向markⅡ
<2007> 日向markⅡ

//<2008> 糞虫
<2008> 糞虫

//<2009> 量産型日向
<2009> 量産型日向

//<2010> ？？
<2010> ？？

//<2011> 「悪いが、同情なんてしてねぇよ」
<2011> 「悪いが、同情なんてしてねぇよ」

//<2012> nothing
<2012> nothing

//<2013> nothing
<2013> nothing

//<2014> nothing
<2014> nothing

//<2015> nothing
<2015> nothing

//<2016> nothing
<2016> nothing

//<2017> 岩沢
<2017> 岩沢

//<2018> 「ほぅ…ますます面白いね」
<2018> 「ほぅ…ますます面白いね」

//<2019> 音無
<2019> 音無

//<2020> クソ坊主
<2020> クソ坊主

//<2021> 代理人
<2021> 代理人

//<2022> 微妙すぎるイケメン
<2022> 微妙すぎるイケメン

//<2023> ロリコン
<2023> ロリコン

//<2024> メガネ仲間
<2024> メガネ仲間

//<2025> 暗算日本記録保持者
<2025> 暗算日本記録保持者

//<2026> 通り魔
<2026> 通り魔

//<2027> 記憶ナシ男
<2027> 記憶ナシ男

//<2028> 音速
<2028> 音速

//<2029> 無限
<2029> 無限

//<2030> エロ侍
<2030> エロ侍

//<2031> エロエロ団ナンバー１
<2031> エロエロ団ナンバー１

//<2032> ただのエロ少年
<2032> ただのエロ少年

//<2033> ユリブサイク
<2033> ユリブサイク

//<2034> ドピュッシー
<2034> ドピュッシー

//<2035> アメリカンエロドッグ
<2035> アメリカンエロドッグ

//<2036> ゼウス
<2036> ゼウス

//<2037> 日向markⅡ
<2037> 日向markⅡ

//<2038> 糞虫
<2038> 糞虫

//<2039> 量産型日向
<2039> 量産型日向

//<2040> ？？
<2040> ？？

//<2041> 「結局のところ、岩沢は幸せ探しをしていたんだ」
<2041> 「結局のところ、岩沢は幸せ探しをしていたんだ」

//<2042> nothing
<2042> nothing

//<2043> nothing
<2043> nothing

//<2044> nothing
<2044> nothing

//<2045> nothing
<2045> nothing

//<2046> nothing
<2046> nothing

//<2047> 岩沢
<2047> 岩沢

//<2048> 「へぇ」
<2048> 「へぇ」

//<2049> 音無
<2049> 音無

//<2050> クソ坊主
<2050> クソ坊主

//<2051> 代理人
<2051> 代理人

//<2052> 微妙すぎるイケメン
<2052> 微妙すぎるイケメン

//<2053> ロリコン
<2053> ロリコン

//<2054> メガネ仲間
<2054> メガネ仲間

//<2055> 暗算日本記録保持者
<2055> 暗算日本記録保持者

//<2056> 通り魔
<2056> 通り魔

//<2057> 記憶ナシ男
<2057> 記憶ナシ男

//<2058> 音速
<2058> 音速

//<2059> 無限
<2059> 無限

//<2060> エロ侍
<2060> エロ侍

//<2061> エロエロ団ナンバー１
<2061> エロエロ団ナンバー１

//<2062> ただのエロ少年
<2062> ただのエロ少年

//<2063> ユリブサイク
<2063> ユリブサイク

//<2064> ドピュッシー
<2064> ドピュッシー

//<2065> アメリカンエロドッグ
<2065> アメリカンエロドッグ

//<2066> ゼウス
<2066> ゼウス

//<2067> 日向markⅡ
<2067> 日向markⅡ

//<2068> 糞虫
<2068> 糞虫

//<2069> 量産型日向
<2069> 量産型日向

//<2070> ？？
<2070> ？？

//<2071> 「今のあんたは幸せか？」
<2071> 「今のあんたは幸せか？」

//<2072> nothing
<2072> nothing

//<2073> nothing
<2073> nothing

//<2074> nothing
<2074> nothing

//<2075> nothing
<2075> nothing

//<2076> nothing
<2076> nothing

//<2077> 岩沢
<2077> 岩沢

//<2078> 「まあ、歌も歌えてるし、バンド仲間やファンも居て、そこそこ幸せだよ」
<2078> 「まあ、歌も歌えてるし、バンド仲間やファンも居て、そこそこ幸せだよ」

//<2079> 音無
<2079> 音無

//<2080> クソ坊主
<2080> クソ坊主

//<2081> 代理人
<2081> 代理人

//<2082> 微妙すぎるイケメン
<2082> 微妙すぎるイケメン

//<2083> ロリコン
<2083> ロリコン

//<2084> メガネ仲間
<2084> メガネ仲間

//<2085> 暗算日本記録保持者
<2085> 暗算日本記録保持者

//<2086> 通り魔
<2086> 通り魔

//<2087> 記憶ナシ男
<2087> 記憶ナシ男

//<2088> 音速
<2088> 音速

//<2089> 無限
<2089> 無限

//<2090> エロ侍
<2090> エロ侍

//<2091> エロエロ団ナンバー１
<2091> エロエロ団ナンバー１

//<2092> ただのエロ少年
<2092> ただのエロ少年

//<2093> ユリブサイク
<2093> ユリブサイク

//<2094> ドピュッシー
<2094> ドピュッシー

//<2095> アメリカンエロドッグ
<2095> アメリカンエロドッグ

//<2096> ゼウス
<2096> ゼウス

//<2097> 日向markⅡ
<2097> 日向markⅡ

//<2098> 糞虫
<2098> 糞虫

//<2099> 量産型日向
<2099> 量産型日向

//<2100> ？？
<2100> ？？

//<2101> 「そこそこ、か」
<2101> 「そこそこ、か」

//<2102> 音無
<2102> 音無

//<2103> クソ坊主
<2103> クソ坊主

//<2104> 代理人
<2104> 代理人

//<2105> 微妙すぎるイケメン
<2105> 微妙すぎるイケメン

//<2106> ロリコン
<2106> ロリコン

//<2107> メガネ仲間
<2107> メガネ仲間

//<2108> 暗算日本記録保持者
<2108> 暗算日本記録保持者

//<2109> 通り魔
<2109> 通り魔

//<2110> 記憶ナシ男
<2110> 記憶ナシ男

//<2111> 音速
<2111> 音速

//<2112> 無限
<2112> 無限

//<2113> エロ侍
<2113> エロ侍

//<2114> エロエロ団ナンバー１
<2114> エロエロ団ナンバー１

//<2115> ただのエロ少年
<2115> ただのエロ少年

//<2116> ユリブサイク
<2116> ユリブサイク

//<2117> ドピュッシー
<2117> ドピュッシー

//<2118> アメリカンエロドッグ
<2118> アメリカンエロドッグ

//<2119> ゼウス
<2119> ゼウス

//<2120> 日向markⅡ
<2120> 日向markⅡ

//<2121> 糞虫
<2121> 糞虫

//<2122> 量産型日向
<2122> 量産型日向

//<2123> ？？
<2123> ？？

//<2124> 「もしかしたら、岩沢は幸せ探しを休んでるんじゃないか？」
<2124> 「もしかしたら、岩沢は幸せ探しを休んでるんじゃないか？」

//<2125> nothing
<2125> nothing

//<2126> nothing
<2126> nothing

//<2127> nothing
<2127> nothing

//<2128> nothing
<2128> nothing

//<2129> nothing
<2129> nothing

//<2130> 岩沢
<2130> 岩沢

//<2131> 「ほぅ、言うねぇ」
<2131> 「ほぅ、言うねぇ」

//<2132> nothing
<2132> nothing

//<2133> nothing
<2133> nothing

//<2134> nothing
<2134> nothing

//<2135> nothing
<2135> nothing

//<2136> nothing
<2136> nothing

//<2137> 岩沢
<2137> 岩沢

//<2138> 「こんな生前の記憶を植え付けられたまま、どうやったら、幸せになれるって言うんだい」
<2138> 「こんな生前の記憶を植え付けられたまま、どうやったら、幸せになれるって言うんだい」

//<2139> nothing
<2139> nothing

//<2140> nothing
<2140> nothing

//<2141> nothing
<2141> nothing

//<2142> nothing
<2142> nothing

//<2143> nothing
<2143> nothing

//<2144> 音無
<2144> 音無

//<2145> クソ坊主
<2145> クソ坊主

//<2146> 代理人
<2146> 代理人

//<2147> 微妙すぎるイケメン
<2147> 微妙すぎるイケメン

//<2148> ロリコン
<2148> ロリコン

//<2149> メガネ仲間
<2149> メガネ仲間

//<2150> 暗算日本記録保持者
<2150> 暗算日本記録保持者

//<2151> 通り魔
<2151> 通り魔

//<2152> 記憶ナシ男
<2152> 記憶ナシ男

//<2153> 音速
<2153> 音速

//<2154> 無限
<2154> 無限

//<2155> エロ侍
<2155> エロ侍

//<2156> エロエロ団ナンバー１
<2156> エロエロ団ナンバー１

//<2157> ただのエロ少年
<2157> ただのエロ少年

//<2158> ユリブサイク
<2158> ユリブサイク

//<2159> ドピュッシー
<2159> ドピュッシー

//<2160> アメリカンエロドッグ
<2160> アメリカンエロドッグ

//<2161> ゼウス
<2161> ゼウス

//<2162> 日向markⅡ
<2162> 日向markⅡ

//<2163> 糞虫
<2163> 糞虫

//<2164> 量産型日向
<2164> 量産型日向

//<2165> ？？
<2165> ？？

//<2166> 「それはわからない。それこそお前次第だ。俺にわかるわけがない」
<2166> 「それはわからない。それこそお前次第だ。俺にわかるわけがない」

//<2167> nothing
<2167> nothing

//<2168> nothing
<2168> nothing

//<2169> nothing
<2169> nothing

//<2170> nothing
<2170> nothing

//<2171> nothing
<2171> nothing

//<2172> 岩沢
<2172> 岩沢

//<2173> 「幸せ探しねぇ…」
<2173> 「幸せ探しねぇ…」

//<2174> nothing
<2174> nothing

//<2175> nothing
<2175> nothing

//<2176> nothing
<2176> nothing

//<2177> nothing
<2177> nothing

//<2178> nothing
<2178> nothing

//<2179> 岩沢
<2179> 岩沢

//<2180> 「おっと、もうこんな時間か。あたしは練習に行くよ」
<2180> 「おっと、もうこんな時間か。あたしは練習に行くよ」

//<2181> 音無
<2181> 音無

//<2182> クソ坊主
<2182> クソ坊主

//<2183> 代理人
<2183> 代理人

//<2184> 微妙すぎるイケメン
<2184> 微妙すぎるイケメン

//<2185> ロリコン
<2185> ロリコン

//<2186> メガネ仲間
<2186> メガネ仲間

//<2187> 暗算日本記録保持者
<2187> 暗算日本記録保持者

//<2188> 通り魔
<2188> 通り魔

//<2189> 記憶ナシ男
<2189> 記憶ナシ男

//<2190> 音速
<2190> 音速

//<2191> 無限
<2191> 無限

//<2192> エロ侍
<2192> エロ侍

//<2193> エロエロ団ナンバー１
<2193> エロエロ団ナンバー１

//<2194> ただのエロ少年
<2194> ただのエロ少年

//<2195> ユリブサイク
<2195> ユリブサイク

//<2196> ドピュッシー
<2196> ドピュッシー

//<2197> アメリカンエロドッグ
<2197> アメリカンエロドッグ

//<2198> ゼウス
<2198> ゼウス

//<2199> 日向markⅡ
<2199> 日向markⅡ

//<2200> 糞虫
<2200> 糞虫

//<2201> 量産型日向
<2201> 量産型日向

//<2202> ？？
<2202> ？？

//<2203> 「ああ」
<2203> 「ああ」

//<2204> nothing
<2204> nothing

//<2205> nothing
<2205> nothing

//<2206> nothing
<2206> nothing

//<2207> nothing
<2207> nothing

//<2208> nothing
<2208> nothing

//<2209> nothing
<2209> nothing

//<2210> ここで岩沢と別れることに。
<2210> ここで岩沢と別れることに。

//<2211> …遠ざかっていく背中を眺めながら、息を吐く。
<2211> …遠ざかっていく背中を眺めながら、息を吐く。

//<2212> 記憶が戻っていないくせに、何を偉そうなことを言ったんだろうな、俺は。
<2212> 記憶が戻っていないくせに、何を偉そうなことを言ったんだろうな、俺は。

//<2213> 音無
<2213> 音無

//<2214> クソ坊主
<2214> クソ坊主

//<2215> 代理人
<2215> 代理人

//<2216> 微妙すぎるイケメン
<2216> 微妙すぎるイケメン

//<2217> ロリコン
<2217> ロリコン

//<2218> メガネ仲間
<2218> メガネ仲間

//<2219> 暗算日本記録保持者
<2219> 暗算日本記録保持者

//<2220> 通り魔
<2220> 通り魔

//<2221> 記憶ナシ男
<2221> 記憶ナシ男

//<2222> 音速
<2222> 音速

//<2223> 無限
<2223> 無限

//<2224> エロ侍
<2224> エロ侍

//<2225> エロエロ団ナンバー１
<2225> エロエロ団ナンバー１

//<2226> ただのエロ少年
<2226> ただのエロ少年

//<2227> ユリブサイク
<2227> ユリブサイク

//<2228> ドピュッシー
<2228> ドピュッシー

//<2229> アメリカンエロドッグ
<2229> アメリカンエロドッグ

//<2230> ゼウス
<2230> ゼウス

//<2231> 日向markⅡ
<2231> 日向markⅡ

//<2232> 糞虫
<2232> 糞虫

//<2233> 量産型日向
<2233> 量産型日向

//<2234> ？？
<2234> ？？

//<2235> 「お前は蝶だ」
<2235> 「お前は蝶だ」

//<2236> nothing
<2236> nothing

//<2237> nothing
<2237> nothing

//<2238> nothing
<2238> nothing

//<2239> nothing
<2239> nothing

//<2240> nothing
<2240> nothing

//<2241> 岩沢
<2241> 岩沢

//<2242> 「はっ、気を遣わなくたっていいんだぜ？　あたしが蝶なものか」
<2242> 「はっ、気を遣わなくたっていいんだぜ？　あたしが蝶なものか」

//<2243> 音無
<2243> 音無

//<2244> クソ坊主
<2244> クソ坊主

//<2245> 代理人
<2245> 代理人

//<2246> 微妙すぎるイケメン
<2246> 微妙すぎるイケメン

//<2247> ロリコン
<2247> ロリコン

//<2248> メガネ仲間
<2248> メガネ仲間

//<2249> 暗算日本記録保持者
<2249> 暗算日本記録保持者

//<2250> 通り魔
<2250> 通り魔

//<2251> 記憶ナシ男
<2251> 記憶ナシ男

//<2252> 音速
<2252> 音速

//<2253> 無限
<2253> 無限

//<2254> エロ侍
<2254> エロ侍

//<2255> エロエロ団ナンバー１
<2255> エロエロ団ナンバー１

//<2256> ただのエロ少年
<2256> ただのエロ少年

//<2257> ユリブサイク
<2257> ユリブサイク

//<2258> ドピュッシー
<2258> ドピュッシー

//<2259> アメリカンエロドッグ
<2259> アメリカンエロドッグ

//<2260> ゼウス
<2260> ゼウス

//<2261> 日向markⅡ
<2261> 日向markⅡ

//<2262> 糞虫
<2262> 糞虫

//<2263> 量産型日向
<2263> 量産型日向

//<2264> ？？
<2264> ？？

//<2265> 「非力そうな蝶でも全部背負って…しかも、誰かを元気づけようとしてる」
<2265> 「非力そうな蝶でも全部背負って…しかも、誰かを元気づけようとしてる」

//<2266> nothing
<2266> nothing

//<2267> nothing
<2267> nothing

//<2268> nothing
<2268> nothing

//<2269> nothing
<2269> nothing

//<2270> nothing
<2270> nothing

//<2271> 音無
<2271> 音無

//<2272> クソ坊主
<2272> クソ坊主

//<2273> 代理人
<2273> 代理人

//<2274> 微妙すぎるイケメン
<2274> 微妙すぎるイケメン

//<2275> ロリコン
<2275> ロリコン

//<2276> メガネ仲間
<2276> メガネ仲間

//<2277> 暗算日本記録保持者
<2277> 暗算日本記録保持者

//<2278> 通り魔
<2278> 通り魔

//<2279> 記憶ナシ男
<2279> 記憶ナシ男

//<2280> 音速
<2280> 音速

//<2281> 無限
<2281> 無限

//<2282> エロ侍
<2282> エロ侍

//<2283> エロエロ団ナンバー１
<2283> エロエロ団ナンバー１

//<2284> ただのエロ少年
<2284> ただのエロ少年

//<2285> ユリブサイク
<2285> ユリブサイク

//<2286> ドピュッシー
<2286> ドピュッシー

//<2287> アメリカンエロドッグ
<2287> アメリカンエロドッグ

//<2288> ゼウス
<2288> ゼウス

//<2289> 日向markⅡ
<2289> 日向markⅡ

//<2290> 糞虫
<2290> 糞虫

//<2291> 量産型日向
<2291> 量産型日向

//<2292> ？？
<2292> ？？

//<2293> 「全力で指もすり切れて、ぶっ倒れそうでも、やるんだろ？」
<2293> 「全力で指もすり切れて、ぶっ倒れそうでも、やるんだろ？」

//<2294> 音無
<2294> 音無

//<2295> クソ坊主
<2295> クソ坊主

//<2296> 代理人
<2296> 代理人

//<2297> 微妙すぎるイケメン
<2297> 微妙すぎるイケメン

//<2298> ロリコン
<2298> ロリコン

//<2299> メガネ仲間
<2299> メガネ仲間

//<2300> 暗算日本記録保持者
<2300> 暗算日本記録保持者

//<2301> 通り魔
<2301> 通り魔

//<2302> 記憶ナシ男
<2302> 記憶ナシ男

//<2303> 音速
<2303> 音速

//<2304> 無限
<2304> 無限

//<2305> エロ侍
<2305> エロ侍

//<2306> エロエロ団ナンバー１
<2306> エロエロ団ナンバー１

//<2307> ただのエロ少年
<2307> ただのエロ少年

//<2308> ユリブサイク
<2308> ユリブサイク

//<2309> ドピュッシー
<2309> ドピュッシー

//<2310> アメリカンエロドッグ
<2310> アメリカンエロドッグ

//<2311> ゼウス
<2311> ゼウス

//<2312> 日向markⅡ
<2312> 日向markⅡ

//<2313> 糞虫
<2313> 糞虫

//<2314> 量産型日向
<2314> 量産型日向

//<2315> ？？
<2315> ？？

//<2316> 「今夜も蝶ってさ」
<2316> 「今夜も蝶ってさ」

//<2317> nothing
<2317> nothing

//<2318> nothing
<2318> nothing

//<2319> nothing
<2319> nothing

//<2320> nothing
<2320> nothing

//<2321> nothing
<2321> nothing

//<2322> 岩沢
<2322> 岩沢

//<2323> 「なんで、そこまで蝶にこだわるんだ？　そもそも蝶は夜、飛ぶのか？」
<2323> 「なんで、そこまで蝶にこだわるんだ？　そもそも蝶は夜、飛ぶのか？」

//<2324> 痛いところを突かれた…。
<2324> 痛いところを突かれた…。

//<2325> 音無
<2325> 音無

//<2326> クソ坊主
<2326> クソ坊主

//<2327> 代理人
<2327> 代理人

//<2328> 微妙すぎるイケメン
<2328> 微妙すぎるイケメン

//<2329> ロリコン
<2329> ロリコン

//<2330> メガネ仲間
<2330> メガネ仲間

//<2331> 暗算日本記録保持者
<2331> 暗算日本記録保持者

//<2332> 通り魔
<2332> 通り魔

//<2333> 記憶ナシ男
<2333> 記憶ナシ男

//<2334> 音速
<2334> 音速

//<2335> 無限
<2335> 無限

//<2336> エロ侍
<2336> エロ侍

//<2337> エロエロ団ナンバー１
<2337> エロエロ団ナンバー１

//<2338> ただのエロ少年
<2338> ただのエロ少年

//<2339> ユリブサイク
<2339> ユリブサイク

//<2340> ドピュッシー
<2340> ドピュッシー

//<2341> アメリカンエロドッグ
<2341> アメリカンエロドッグ

//<2342> ゼウス
<2342> ゼウス

//<2343> 日向markⅡ
<2343> 日向markⅡ

//<2344> 糞虫
<2344> 糞虫

//<2345> 量産型日向
<2345> 量産型日向

//<2346> ？？
<2346> ？？

//<2347> 「じゃ、蛾だ。昆虫分類学上、違いはない」
<2347> 「じゃ、蛾だ。昆虫分類学上、違いはない」

//<2348> nothing
<2348> nothing

//<2349> nothing
<2349> nothing

//<2350> nothing
<2350> nothing

//<2351> nothing
<2351> nothing

//<2352> nothing
<2352> nothing

//<2353> 岩沢
<2353> 岩沢

//<2354> 「蛾？　なんか、その言われようは嫌なんだが…」
<2354> 「蛾？　なんか、その言われようは嫌なんだが…」

//<2355> 音無
<2355> 音無

//<2356> クソ坊主
<2356> クソ坊主

//<2357> 代理人
<2357> 代理人

//<2358> 微妙すぎるイケメン
<2358> 微妙すぎるイケメン

//<2359> ロリコン
<2359> ロリコン

//<2360> メガネ仲間
<2360> メガネ仲間

//<2361> 暗算日本記録保持者
<2361> 暗算日本記録保持者

//<2362> 通り魔
<2362> 通り魔

//<2363> 記憶ナシ男
<2363> 記憶ナシ男

//<2364> 音速
<2364> 音速

//<2365> 無限
<2365> 無限

//<2366> エロ侍
<2366> エロ侍

//<2367> エロエロ団ナンバー１
<2367> エロエロ団ナンバー１

//<2368> ただのエロ少年
<2368> ただのエロ少年

//<2369> ユリブサイク
<2369> ユリブサイク

//<2370> ドピュッシー
<2370> ドピュッシー

//<2371> アメリカンエロドッグ
<2371> アメリカンエロドッグ

//<2372> ゼウス
<2372> ゼウス

//<2373> 日向markⅡ
<2373> 日向markⅡ

//<2374> 糞虫
<2374> 糞虫

//<2375> 量産型日向
<2375> 量産型日向

//<2376> ？？
<2376> ？？

//<2377> 「見た目が違うだけで蝶と同じだぜ？」
<2377> 「見た目が違うだけで蝶と同じだぜ？」

//<2378> 音無
<2378> 音無

//<2379> クソ坊主
<2379> クソ坊主

//<2380> 代理人
<2380> 代理人

//<2381> 微妙すぎるイケメン
<2381> 微妙すぎるイケメン

//<2382> ロリコン
<2382> ロリコン

//<2383> メガネ仲間
<2383> メガネ仲間

//<2384> 暗算日本記録保持者
<2384> 暗算日本記録保持者

//<2385> 通り魔
<2385> 通り魔

//<2386> 記憶ナシ男
<2386> 記憶ナシ男

//<2387> 音速
<2387> 音速

//<2388> 無限
<2388> 無限

//<2389> エロ侍
<2389> エロ侍

//<2390> エロエロ団ナンバー１
<2390> エロエロ団ナンバー１

//<2391> ただのエロ少年
<2391> ただのエロ少年

//<2392> ユリブサイク
<2392> ユリブサイク

//<2393> ドピュッシー
<2393> ドピュッシー

//<2394> アメリカンエロドッグ
<2394> アメリカンエロドッグ

//<2395> ゼウス
<2395> ゼウス

//<2396> 日向markⅡ
<2396> 日向markⅡ

//<2397> 糞虫
<2397> 糞虫

//<2398> 量産型日向
<2398> 量産型日向

//<2399> ？？
<2399> ？？

//<2400> 「お前は夜の蝶だ」
<2400> 「お前は夜の蝶だ」

//<2401> nothing
<2401> nothing

//<2402> nothing
<2402> nothing

//<2403> nothing
<2403> nothing

//<2404> nothing
<2404> nothing

//<2405> nothing
<2405> nothing

//<2406> 岩沢
<2406> 岩沢

//<2407> 「え？　なんだよそれ。水商売的なか？」
<2407> 「え？　なんだよそれ。水商売的なか？」

//<2408> 音無
<2408> 音無

//<2409> クソ坊主
<2409> クソ坊主

//<2410> 代理人
<2410> 代理人

//<2411> 微妙すぎるイケメン
<2411> 微妙すぎるイケメン

//<2412> ロリコン
<2412> ロリコン

//<2413> メガネ仲間
<2413> メガネ仲間

//<2414> 暗算日本記録保持者
<2414> 暗算日本記録保持者

//<2415> 通り魔
<2415> 通り魔

//<2416> 記憶ナシ男
<2416> 記憶ナシ男

//<2417> 音速
<2417> 音速

//<2418> 無限
<2418> 無限

//<2419> エロ侍
<2419> エロ侍

//<2420> エロエロ団ナンバー１
<2420> エロエロ団ナンバー１

//<2421> ただのエロ少年
<2421> ただのエロ少年

//<2422> ユリブサイク
<2422> ユリブサイク

//<2423> ドピュッシー
<2423> ドピュッシー

//<2424> アメリカンエロドッグ
<2424> アメリカンエロドッグ

//<2425> ゼウス
<2425> ゼウス

//<2426> 日向markⅡ
<2426> 日向markⅡ

//<2427> 糞虫
<2427> 糞虫

//<2428> 量産型日向
<2428> 量産型日向

//<2429> ？？
<2429> ？？

//<2430> 「いやいや、自由に羽ばたく蝶さ」
<2430> 「いやいや、自由に羽ばたく蝶さ」

//<2431> nothing
<2431> nothing

//<2432> nothing
<2432> nothing

//<2433> nothing
<2433> nothing

//<2434> nothing
<2434> nothing

//<2435> nothing
<2435> nothing

//<2436> 岩沢
<2436> 岩沢

//<2437> 「だったら、夜は要らなくねーか？」
<2437> 「だったら、夜は要らなくねーか？」

//<2438> そうだ…蝶は昼行性だった。夜行性なのは蛾だ。
