// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 打ち込みをしていた松下五段が俺の気配に気づき、振り返る。
<0000> 打ち込みをしていた松下五段が俺の気配に気づき、振り返る。
//<1070> 通り魔
<1070> 通り魔

//<1071> 記憶ナシ男
<1071> 記憶ナシ男

//<1072> 音速
<1072> 音速

//<1073> 無限
<1073> 無限

//<1074> エロ侍
<1074> エロ侍

//<1075> エロエロ団ナンバー１
<1075> エロエロ団ナンバー１

//<1076> ただのエロ少年
<1076> ただのエロ少年

//<1077> ユリブサイク
<1077> ユリブサイク

//<1078> ドピュッシー
<1078> ドピュッシー

//<1079> アメリカンエロドッグ
<1079> アメリカンエロドッグ

//<1080> ゼウス
<1080> ゼウス

//<1081> 日向markⅡ
<1081> 日向markⅡ

//<1082> 糞虫
<1082> 糞虫

//<1083> 量産型日向
<1083> 量産型日向

//<1084> ？？
<1084> ？？

//<1085> 「ああ」
<1085> 「ああ」

//<1086> nothing
<1086> nothing

//<1087> nothing
<1087> nothing

//<1088> nothing
<1088> nothing

//<1089> nothing
<1089> nothing

//<1090> nothing
<1090> nothing

//<1091> 松下
<1091> 松下

//<1092> 「俺がお前の胸を押す。そうしたら、背中を丸めて、両腕で音が鳴るぐらいに地面を打つんだ。いいな？」
<1092> 「俺がお前の胸を押す。そうしたら、背中を丸めて、両腕で音が鳴るぐらいに地面を打つんだ。いいな？」

//<1093> 音無
<1093> 音無

//<1094> クソ坊主
<1094> クソ坊主

//<1095> 代理人
<1095> 代理人

//<1096> 微妙すぎるイケメン
<1096> 微妙すぎるイケメン

//<1097> ロリコン
<1097> ロリコン

//<1098> メガネ仲間
<1098> メガネ仲間

//<1099> 暗算日本記録保持者
<1099> 暗算日本記録保持者

//<1100> 通り魔
<1100> 通り魔

//<1101> 記憶ナシ男
<1101> 記憶ナシ男

//<1102> 音速
<1102> 音速

//<1103> 無限
<1103> 無限

//<1104> エロ侍
<1104> エロ侍

//<1105> エロエロ団ナンバー１
<1105> エロエロ団ナンバー１

//<1106> ただのエロ少年
<1106> ただのエロ少年

//<1107> ユリブサイク
<1107> ユリブサイク

//<1108> ドピュッシー
<1108> ドピュッシー

//<1109> アメリカンエロドッグ
<1109> アメリカンエロドッグ

//<1110> ゼウス
<1110> ゼウス

//<1111> 日向markⅡ
<1111> 日向markⅡ

//<1112> 糞虫
<1112> 糞虫

//<1113> 量産型日向
<1113> 量産型日向

//<1114> ？？
<1114> ？？

//<1115> 「ああ…」
<1115> 「ああ…」

//<1116> nothing
<1116> nothing

//<1117> nothing
<1117> nothing

//<1118> nothing
<1118> nothing

//<1119> nothing
<1119> nothing

//<1120> nothing
<1120> nothing

//<1121> 松下
<1121> 松下

//<1122> 「では、いくぞ」
<1122> 「では、いくぞ」

//<1123> 松下が近づいてきて、俺の胸を押す。
<1123> 松下が近づいてきて、俺の胸を押す。

//<1124> そっと押された気がしたが、両足を揃えてしまった俺からすると、倒れるしかなかった。
<1124> そっと押された気がしたが、両足を揃えてしまった俺からすると、倒れるしかなかった。

//<1125> 言われた通り、背中を丸め、両手を地面に突くが、ものすごい痛みが走る。
<1125> 言われた通り、背中を丸め、両手を地面に突くが、ものすごい痛みが走る。

//<1126> 音無
<1126> 音無

//<1127> クソ坊主
<1127> クソ坊主

//<1128> 代理人
<1128> 代理人

//<1129> 微妙すぎるイケメン
<1129> 微妙すぎるイケメン

//<1130> ロリコン
<1130> ロリコン

//<1131> メガネ仲間
<1131> メガネ仲間

//<1132> 暗算日本記録保持者
<1132> 暗算日本記録保持者

//<1133> 通り魔
<1133> 通り魔

//<1134> 記憶ナシ男
<1134> 記憶ナシ男

//<1135> 音速
<1135> 音速

//<1136> 無限
<1136> 無限

//<1137> エロ侍
<1137> エロ侍

//<1138> エロエロ団ナンバー１
<1138> エロエロ団ナンバー１

//<1139> ただのエロ少年
<1139> ただのエロ少年

//<1140> ユリブサイク
<1140> ユリブサイク

//<1141> ドピュッシー
<1141> ドピュッシー

//<1142> アメリカンエロドッグ
<1142> アメリカンエロドッグ

//<1143> ゼウス
<1143> ゼウス

//<1144> 日向markⅡ
<1144> 日向markⅡ

//<1145> 糞虫
<1145> 糞虫

//<1146> 量産型日向
<1146> 量産型日向

//<1147> ？？
<1147> ？？

//<1148> 「いてぇーーーー！！」
<1148> 「いてぇーーーー！！」

//<1149> 横にごろりと転がると、俺が倒れた場所に尖った石ころがあった。それが背中を突いたのだ。
<1149> 横にごろりと転がると、俺が倒れた場所に尖った石ころがあった。それが背中を突いたのだ。

//<1150> 音無
<1150> 音無

//<1151> クソ坊主
<1151> クソ坊主

//<1152> 代理人
<1152> 代理人

//<1153> 微妙すぎるイケメン
<1153> 微妙すぎるイケメン

//<1154> ロリコン
<1154> ロリコン

//<1155> メガネ仲間
<1155> メガネ仲間

//<1156> 暗算日本記録保持者
<1156> 暗算日本記録保持者

//<1157> 通り魔
<1157> 通り魔

//<1158> 記憶ナシ男
<1158> 記憶ナシ男

//<1159> 音速
<1159> 音速

//<1160> 無限
<1160> 無限

//<1161> エロ侍
<1161> エロ侍

//<1162> エロエロ団ナンバー１
<1162> エロエロ団ナンバー１

//<1163> ただのエロ少年
<1163> ただのエロ少年

//<1164> ユリブサイク
<1164> ユリブサイク

//<1165> ドピュッシー
<1165> ドピュッシー

//<1166> アメリカンエロドッグ
<1166> アメリカンエロドッグ

//<1167> ゼウス
<1167> ゼウス

//<1168> 日向markⅡ
<1168> 日向markⅡ

//<1169> 糞虫
<1169> 糞虫

//<1170> 量産型日向
<1170> 量産型日向

//<1171> ？？
<1171> ？？

//<1172> 「畳じゃないと、意味ないぜ！？」
<1172> 「畳じゃないと、意味ないぜ！？」

//<1173> nothing
<1173> nothing

//<1174> nothing
<1174> nothing

//<1175> nothing
<1175> nothing

//<1176> nothing
<1176> nothing

//<1177> nothing
<1177> nothing

//<1178> 松下
<1178> 松下

//<1179> 「ほぅ…戦闘中、常に下が畳だとでも思うのか？」
<1179> 「ほぅ…戦闘中、常に下が畳だとでも思うのか？」

//<1180> 逆に訊かれる。
<1180> 逆に訊かれる。

//<1181> 時にはある
<1181> 時にはある

//<1182> ない
<1182> ない

//<1183> selbtn : 
<1183> selbtn : 

//<1184> 音無
<1184> 音無

//<1185> クソ坊主
<1185> クソ坊主

//<1186> 代理人
<1186> 代理人

//<1187> 微妙すぎるイケメン
<1187> 微妙すぎるイケメン

//<1188> ロリコン
<1188> ロリコン

//<1189> メガネ仲間
<1189> メガネ仲間

//<1190> 暗算日本記録保持者
<1190> 暗算日本記録保持者

//<1191> 通り魔
<1191> 通り魔

//<1192> 記憶ナシ男
<1192> 記憶ナシ男

//<1193> 音速
<1193> 音速

//<1194> 無限
<1194> 無限

//<1195> エロ侍
<1195> エロ侍

//<1196> エロエロ団ナンバー１
<1196> エロエロ団ナンバー１

//<1197> ただのエロ少年
<1197> ただのエロ少年

//<1198> ユリブサイク
<1198> ユリブサイク

//<1199> ドピュッシー
<1199> ドピュッシー

//<1200> アメリカンエロドッグ
<1200> アメリカンエロドッグ

//<1201> ゼウス
<1201> ゼウス

//<1202> 日向markⅡ
<1202> 日向markⅡ

//<1203> 糞虫
<1203> 糞虫

//<1204> 量産型日向
<1204> 量産型日向

//<1205> ？？
<1205> ？？

//<1206> 「時にはある！」
<1206> 「時にはある！」

//<1207> nothing
<1207> nothing

//<1208> nothing
<1208> nothing

//<1209> nothing
<1209> nothing

//<1210> nothing
<1210> nothing

//<1211> nothing
<1211> nothing

//<1212> 松下
<1212> 松下

//<1213> 「確かに、この学校にも柔道場はある。だが、俺が戦線として長きにわたり戦ってきた中で、床が畳であったことは一度もない！」
<1213> 「確かに、この学校にも柔道場はある。だが、俺が戦線として長きにわたり戦ってきた中で、床が畳であったことは一度もない！」

//<1214> 圧倒的な説得力だ。新参者の俺には言い返す言葉は見つからない…。
<1214> 圧倒的な説得力だ。新参者の俺には言い返す言葉は見つからない…。

//<1215> 音無
<1215> 音無

//<1216> クソ坊主
<1216> クソ坊主

//<1217> 代理人
<1217> 代理人

//<1218> 微妙すぎるイケメン
<1218> 微妙すぎるイケメン

//<1219> ロリコン
<1219> ロリコン

//<1220> メガネ仲間
<1220> メガネ仲間

//<1221> 暗算日本記録保持者
<1221> 暗算日本記録保持者

//<1222> 通り魔
<1222> 通り魔

//<1223> 記憶ナシ男
<1223> 記憶ナシ男

//<1224> 音速
<1224> 音速

//<1225> 無限
<1225> 無限

//<1226> エロ侍
<1226> エロ侍

//<1227> エロエロ団ナンバー１
<1227> エロエロ団ナンバー１

//<1228> ただのエロ少年
<1228> ただのエロ少年

//<1229> ユリブサイク
<1229> ユリブサイク

//<1230> ドピュッシー
<1230> ドピュッシー

//<1231> アメリカンエロドッグ
<1231> アメリカンエロドッグ

//<1232> ゼウス
<1232> ゼウス

//<1233> 日向markⅡ
<1233> 日向markⅡ

//<1234> 糞虫
<1234> 糞虫

//<1235> 量産型日向
<1235> 量産型日向

//<1236> ？？
<1236> ？？

//<1237> （ありえるのか…？）
<1237> （ありえるのか…？）

//<1238> どれだけ考えても、答えはひとつだ…。
<1238> どれだけ考えても、答えはひとつだ…。

//<1239> 音無
<1239> 音無

//<1240> クソ坊主
<1240> クソ坊主

//<1241> 代理人
<1241> 代理人

//<1242> 微妙すぎるイケメン
<1242> 微妙すぎるイケメン

//<1243> ロリコン
<1243> ロリコン

//<1244> メガネ仲間
<1244> メガネ仲間

//<1245> 暗算日本記録保持者
<1245> 暗算日本記録保持者

//<1246> 通り魔
<1246> 通り魔

//<1247> 記憶ナシ男
<1247> 記憶ナシ男

//<1248> 音速
<1248> 音速

//<1249> 無限
<1249> 無限

//<1250> エロ侍
<1250> エロ侍

//<1251> エロエロ団ナンバー１
<1251> エロエロ団ナンバー１

//<1252> ただのエロ少年
<1252> ただのエロ少年

//<1253> ユリブサイク
<1253> ユリブサイク

//<1254> ドピュッシー
<1254> ドピュッシー

//<1255> アメリカンエロドッグ
<1255> アメリカンエロドッグ

//<1256> ゼウス
<1256> ゼウス

//<1257> 日向markⅡ
<1257> 日向markⅡ

//<1258> 糞虫
<1258> 糞虫

//<1259> 量産型日向
<1259> 量産型日向

//<1260> ？？
<1260> ？？

//<1261> 「ない…」
<1261> 「ない…」

//<1262> nothing
<1262> nothing

//<1263> nothing
<1263> nothing

//<1264> nothing
<1264> nothing

//<1265> nothing
<1265> nothing

//<1266> nothing
<1266> nothing

//<1267> 松下
<1267> 松下

//<1268> 「慣れていくしかない」
<1268> 「慣れていくしかない」

//<1269> 音無
<1269> 音無

//<1270> クソ坊主
<1270> クソ坊主

//<1271> 代理人
<1271> 代理人

//<1272> 微妙すぎるイケメン
<1272> 微妙すぎるイケメン

//<1273> ロリコン
<1273> ロリコン

//<1274> メガネ仲間
<1274> メガネ仲間

//<1275> 暗算日本記録保持者
<1275> 暗算日本記録保持者

//<1276> 通り魔
<1276> 通り魔

//<1277> 記憶ナシ男
<1277> 記憶ナシ男

//<1278> 音速
<1278> 音速

//<1279> 無限
<1279> 無限

//<1280> エロ侍
<1280> エロ侍

//<1281> エロエロ団ナンバー１
<1281> エロエロ団ナンバー１

//<1282> ただのエロ少年
<1282> ただのエロ少年

//<1283> ユリブサイク
<1283> ユリブサイク

//<1284> ドピュッシー
<1284> ドピュッシー

//<1285> アメリカンエロドッグ
<1285> アメリカンエロドッグ

//<1286> ゼウス
<1286> ゼウス

//<1287> 日向markⅡ
<1287> 日向markⅡ

//<1288> 糞虫
<1288> 糞虫

//<1289> 量産型日向
<1289> 量産型日向

//<1290> ？？
<1290> ？？

//<1291> 「そのようだな…」
<1291> 「そのようだな…」

//<1292> nothing
<1292> nothing

//<1293> nothing
<1293> nothing

//<1294> nothing
<1294> nothing

//<1295> nothing
<1295> nothing

//<1296> nothing
<1296> nothing

//<1297> 松下
<1297> 松下

//<1298> 「次は横受身だ。左足を前に一歩踏み出し、右腕を肩の高さまで伸ばし、それを前に振りだしつつ、左足を曲げて、おしりから地面について右腕で地面を打って倒れろ。いいな？」
<1298> 「次は横受身だ。左足を前に一歩踏み出し、右腕を肩の高さまで伸ばし、それを前に振りだしつつ、左足を曲げて、おしりから地面について右腕で地面を打って倒れろ。いいな？」

//<1299> 音無
<1299> 音無

//<1300> クソ坊主
<1300> クソ坊主

//<1301> 代理人
<1301> 代理人

//<1302> 微妙すぎるイケメン
<1302> 微妙すぎるイケメン

//<1303> ロリコン
<1303> ロリコン

//<1304> メガネ仲間
<1304> メガネ仲間

//<1305> 暗算日本記録保持者
<1305> 暗算日本記録保持者

//<1306> 通り魔
<1306> 通り魔

//<1307> 記憶ナシ男
<1307> 記憶ナシ男

//<1308> 音速
<1308> 音速

//<1309> 無限
<1309> 無限

//<1310> エロ侍
<1310> エロ侍

//<1311> エロエロ団ナンバー１
<1311> エロエロ団ナンバー１

//<1312> ただのエロ少年
<1312> ただのエロ少年

//<1313> ユリブサイク
<1313> ユリブサイク

//<1314> ドピュッシー
<1314> ドピュッシー

//<1315> アメリカンエロドッグ
<1315> アメリカンエロドッグ

//<1316> ゼウス
<1316> ゼウス

//<1317> 日向markⅡ
<1317> 日向markⅡ

//<1318> 糞虫
<1318> 糞虫

//<1319> 量産型日向
<1319> 量産型日向

//<1320> ？？
<1320> ？？

//<1321> 「え？」
<1321> 「え？」

//<1322> 一気に言われても理解できない。
<1322> 一気に言われても理解できない。

//<1323> nothing
<1323> nothing

//<1324> nothing
<1324> nothing

//<1325> nothing
<1325> nothing

//<1326> nothing
<1326> nothing

//<1327> nothing
<1327> nothing

//<1328> 松下
<1328> 松下

//<1329> 「では、お前が俺の足、どちらでもいい刈ってみてくれ」
<1329> 「では、お前が俺の足、どちらでもいい刈ってみてくれ」

//<1330> 音無
<1330> 音無

//<1331> クソ坊主
<1331> クソ坊主

//<1332> 代理人
<1332> 代理人

//<1333> 微妙すぎるイケメン
<1333> 微妙すぎるイケメン

//<1334> ロリコン
<1334> ロリコン

//<1335> メガネ仲間
<1335> メガネ仲間

//<1336> 暗算日本記録保持者
<1336> 暗算日本記録保持者

//<1337> 通り魔
<1337> 通り魔

//<1338> 記憶ナシ男
<1338> 記憶ナシ男

//<1339> 音速
<1339> 音速

//<1340> 無限
<1340> 無限

//<1341> エロ侍
<1341> エロ侍

//<1342> エロエロ団ナンバー１
<1342> エロエロ団ナンバー１

//<1343> ただのエロ少年
<1343> ただのエロ少年

//<1344> ユリブサイク
<1344> ユリブサイク

//<1345> ドピュッシー
<1345> ドピュッシー

//<1346> アメリカンエロドッグ
<1346> アメリカンエロドッグ

//<1347> ゼウス
<1347> ゼウス

//<1348> 日向markⅡ
<1348> 日向markⅡ

//<1349> 糞虫
<1349> 糞虫

//<1350> 量産型日向
<1350> 量産型日向

//<1351> ？？
<1351> ？？

//<1352> 「かる？」
<1352> 「かる？」

//<1353> nothing
<1353> nothing

//<1354> nothing
<1354> nothing

//<1355> nothing
<1355> nothing

//<1356> nothing
<1356> nothing

//<1357> nothing
<1357> nothing

//<1358> 松下
<1358> 松下

//<1359> 「それも伝わらないのか…」
<1359> 「それも伝わらないのか…」

//<1360> nothing
<1360> nothing

//<1361> nothing
<1361> nothing

//<1362> nothing
<1362> nothing

//<1363> nothing
<1363> nothing

//<1364> nothing
<1364> nothing

//<1365> 松下
<1365> 松下

//<1366> 「とりあえず利き足で、俺のくるぶし辺りを内側から外へ全力で蹴って、同時に胸を押してみてくれ」
<1366> 「とりあえず利き足で、俺のくるぶし辺りを内側から外へ全力で蹴って、同時に胸を押してみてくれ」

//<1367> 俺の運動神経で、そんなことを同時にできるのだろうか？
<1367> 俺の運動神経で、そんなことを同時にできるのだろうか？

//<1368> nothing
<1368> nothing

//<1369> nothing
<1369> nothing

//<1370> nothing
<1370> nothing

//<1371> nothing
<1371> nothing

//<1372> nothing
<1372> nothing

//<1373> 松下
<1373> 松下

//<1374> 「こいやぁーーーー！！」
<1374> 「こいやぁーーーー！！」

//<1375> 松下五段はすでに戦闘モードになって構えている。
<1375> 松下五段はすでに戦闘モードになって構えている。

//<1376> よくわからないが、やってみるしかない。
<1376> よくわからないが、やってみるしかない。

//<1377> が、足を刈るなんて、松下五段の巨体に対しては俺のような細身では頑として動かなかった。
<1377> が、足を刈るなんて、松下五段の巨体に対しては俺のような細身では頑として動かなかった。

//<1378> 蹴った自分の足のほうが痛い…。
<1378> 蹴った自分の足のほうが痛い…。

//<1379> nothing
<1379> nothing

//<1380> nothing
<1380> nothing

//<1381> nothing
<1381> nothing

//<1382> nothing
<1382> nothing

//<1383> nothing
<1383> nothing

//<1384> 松下
<1384> 松下

//<1385> 「蹴るだけでは、この巨漢を崩せないだろう」
<1385> 「蹴るだけでは、この巨漢を崩せないだろう」

//<1386> 音無
<1386> 音無

//<1387> クソ坊主
<1387> クソ坊主

//<1388> 代理人
<1388> 代理人

//<1389> 微妙すぎるイケメン
<1389> 微妙すぎるイケメン

//<1390> ロリコン
<1390> ロリコン

//<1391> メガネ仲間
<1391> メガネ仲間

//<1392> 暗算日本記録保持者
<1392> 暗算日本記録保持者

//<1393> 通り魔
<1393> 通り魔

//<1394> 記憶ナシ男
<1394> 記憶ナシ男

//<1395> 音速
<1395> 音速

//<1396> 無限
<1396> 無限

//<1397> エロ侍
<1397> エロ侍

//<1398> エロエロ団ナンバー１
<1398> エロエロ団ナンバー１

//<1399> ただのエロ少年
<1399> ただのエロ少年

//<1400> ユリブサイク
<1400> ユリブサイク

//<1401> ドピュッシー
<1401> ドピュッシー

//<1402> アメリカンエロドッグ
<1402> アメリカンエロドッグ

//<1403> ゼウス
<1403> ゼウス

//<1404> 日向markⅡ
<1404> 日向markⅡ

//<1405> 糞虫
<1405> 糞虫

//<1406> 量産型日向
<1406> 量産型日向

//<1407> ？？
<1407> ？？

//<1408> 「ああ、その通りだ」
<1408> 「ああ、その通りだ」

//<1409> nothing
<1409> nothing

//<1410> nothing
<1410> nothing

//<1411> nothing
<1411> nothing

//<1412> nothing
<1412> nothing

//<1413> nothing
<1413> nothing

//<1414> 松下
<1414> 松下

//<1415> 「しかし、攻撃態勢に入った相手の柔道着をしっかり掴み、多少でも持ち上がれば、足は刈れる」
<1415> 「しかし、攻撃態勢に入った相手の柔道着をしっかり掴み、多少でも持ち上がれば、足は刈れる」

//<1416> 音無
<1416> 音無

//<1417> クソ坊主
<1417> クソ坊主

//<1418> 代理人
<1418> 代理人

//<1419> 微妙すぎるイケメン
<1419> 微妙すぎるイケメン

//<1420> ロリコン
<1420> ロリコン

//<1421> メガネ仲間
<1421> メガネ仲間

//<1422> 暗算日本記録保持者
<1422> 暗算日本記録保持者

//<1423> 通り魔
<1423> 通り魔

//<1424> 記憶ナシ男
<1424> 記憶ナシ男

//<1425> 音速
<1425> 音速

//<1426> 無限
<1426> 無限

//<1427> エロ侍
<1427> エロ侍

//<1428> エロエロ団ナンバー１
<1428> エロエロ団ナンバー１

//<1429> ただのエロ少年
<1429> ただのエロ少年

//<1430> ユリブサイク
<1430> ユリブサイク

//<1431> ドピュッシー
<1431> ドピュッシー

//<1432> アメリカンエロドッグ
<1432> アメリカンエロドッグ

//<1433> ゼウス
<1433> ゼウス

//<1434> 日向markⅡ
<1434> 日向markⅡ

//<1435> 糞虫
<1435> 糞虫

//<1436> 量産型日向
<1436> 量産型日向

//<1437> ？？
<1437> ？？

//<1438> 「お前を持ち上げるなんて！　体重差がありすぎだろ！」
<1438> 「お前を持ち上げるなんて！　体重差がありすぎだろ！」

//<1439> nothing
<1439> nothing

//<1440> nothing
<1440> nothing

//<1441> nothing
<1441> nothing

//<1442> nothing
<1442> nothing

//<1443> nothing
<1443> nothing

//<1444> 松下
<1444> 松下

//<1445> 「動きの中で、タイミングを合わせ、頑張れば、少しは浮く。そこで足を刈れ」
<1445> 「動きの中で、タイミングを合わせ、頑張れば、少しは浮く。そこで足を刈れ」

//<1446> 音無
<1446> 音無

//<1447> クソ坊主
<1447> クソ坊主

//<1448> 代理人
<1448> 代理人

//<1449> 微妙すぎるイケメン
<1449> 微妙すぎるイケメン

//<1450> ロリコン
<1450> ロリコン

//<1451> メガネ仲間
<1451> メガネ仲間

//<1452> 暗算日本記録保持者
<1452> 暗算日本記録保持者

//<1453> 通り魔
<1453> 通り魔

//<1454> 記憶ナシ男
<1454> 記憶ナシ男

//<1455> 音速
<1455> 音速

//<1456> 無限
<1456> 無限

//<1457> エロ侍
<1457> エロ侍

//<1458> エロエロ団ナンバー１
<1458> エロエロ団ナンバー１

//<1459> ただのエロ少年
<1459> ただのエロ少年

//<1460> ユリブサイク
<1460> ユリブサイク

//<1461> ドピュッシー
<1461> ドピュッシー

//<1462> アメリカンエロドッグ
<1462> アメリカンエロドッグ

//<1463> ゼウス
<1463> ゼウス

//<1464> 日向markⅡ
<1464> 日向markⅡ

//<1465> 糞虫
<1465> 糞虫

//<1466> 量産型日向
<1466> 量産型日向

//<1467> ？？
<1467> ？？

//<1468> 「くっそ…」
<1468> 「くっそ…」

//<1469> 松下五段が間合いを計るように動き出す。
<1469> 松下五段が間合いを計るように動き出す。

//<1470> 俺も間合いを計る。
<1470> 俺も間合いを計る。

//<1471> 相手の足が揃った。
<1471> 相手の足が揃った。

//<1472> 音無
<1472> 音無

//<1473> クソ坊主
<1473> クソ坊主

//<1474> 代理人
<1474> 代理人

//<1475> 微妙すぎるイケメン
<1475> 微妙すぎるイケメン

//<1476> ロリコン
<1476> ロリコン

//<1477> メガネ仲間
<1477> メガネ仲間

//<1478> 暗算日本記録保持者
<1478> 暗算日本記録保持者

//<1479> 通り魔
<1479> 通り魔

//<1480> 記憶ナシ男
<1480> 記憶ナシ男

//<1481> 音速
<1481> 音速

//<1482> 無限
<1482> 無限

//<1483> エロ侍
<1483> エロ侍

//<1484> エロエロ団ナンバー１
<1484> エロエロ団ナンバー１

//<1485> ただのエロ少年
<1485> ただのエロ少年

//<1486> ユリブサイク
<1486> ユリブサイク

//<1487> ドピュッシー
<1487> ドピュッシー

//<1488> アメリカンエロドッグ
<1488> アメリカンエロドッグ

//<1489> ゼウス
<1489> ゼウス

//<1490> 日向markⅡ
<1490> 日向markⅡ

//<1491> 糞虫
<1491> 糞虫

//<1492> 量産型日向
<1492> 量産型日向

//<1493> ？？
<1493> ？？

//<1494> （今だ！）
<1494> （今だ！）

//<1495> 俺は踏み込むと同時に胴着を掴み、必死に巨体を持ち上げ、足を刈った。
<1495> 俺は踏み込むと同時に胴着を掴み、必死に巨体を持ち上げ、足を刈った。

//<1496> が、あれ？　空が見える。
<1496> が、あれ？　空が見える。

//<1497> nothing
<1497> nothing

//<1498> 
<1498> 

//<1499> 
<1499> 

//<1500> nothing
<1500> nothing

//<1501> se_fracture
<1501> se_fracture

//<1502> 首から地面に落ちる。ぐきり、と音がした。
<1502> 首から地面に落ちる。ぐきり、と音がした。

//<1503> 音無
<1503> 音無

//<1504> クソ坊主
<1504> クソ坊主

//<1505> 代理人
<1505> 代理人

//<1506> 微妙すぎるイケメン
<1506> 微妙すぎるイケメン

//<1507> ロリコン
<1507> ロリコン

//<1508> メガネ仲間
<1508> メガネ仲間

//<1509> 暗算日本記録保持者
<1509> 暗算日本記録保持者

//<1510> 通り魔
<1510> 通り魔

//<1511> 記憶ナシ男
<1511> 記憶ナシ男

//<1512> 音速
<1512> 音速

//<1513> 無限
<1513> 無限

//<1514> エロ侍
<1514> エロ侍

//<1515> エロエロ団ナンバー１
<1515> エロエロ団ナンバー１

//<1516> ただのエロ少年
<1516> ただのエロ少年

//<1517> ユリブサイク
<1517> ユリブサイク

//<1518> ドピュッシー
<1518> ドピュッシー

//<1519> アメリカンエロドッグ
<1519> アメリカンエロドッグ

//<1520> ゼウス
<1520> ゼウス

//<1521> 日向markⅡ
<1521> 日向markⅡ

//<1522> 糞虫
<1522> 糞虫

//<1523> 量産型日向
<1523> 量産型日向

//<1524> ？？
<1524> ？？

//<1525> 「いっでぇぇーーーー！！」
<1525> 「いっでぇぇーーーー！！」

//<1526> nothing
<1526> nothing

//<1527> nothing
<1527> nothing

//<1528> nothing
<1528> nothing

//<1529> nothing
<1529> nothing

//<1530> nothing
<1530> nothing

//<1531> 松下
<1531> 松下

//<1532> 「おっと、すまん、組むと勝手に体が動いてしまっていた」
<1532> 「おっと、すまん、組むと勝手に体が動いてしまっていた」

//<1533> 音無
<1533> 音無

//<1534> クソ坊主
<1534> クソ坊主

//<1535> 代理人
<1535> 代理人

//<1536> 微妙すぎるイケメン
<1536> 微妙すぎるイケメン

//<1537> ロリコン
<1537> ロリコン

//<1538> メガネ仲間
<1538> メガネ仲間

//<1539> 暗算日本記録保持者
<1539> 暗算日本記録保持者

//<1540> 通り魔
<1540> 通り魔

//<1541> 記憶ナシ男
<1541> 記憶ナシ男

//<1542> 音速
<1542> 音速

//<1543> 無限
<1543> 無限

//<1544> エロ侍
<1544> エロ侍

//<1545> エロエロ団ナンバー１
<1545> エロエロ団ナンバー１

//<1546> ただのエロ少年
<1546> ただのエロ少年

//<1547> ユリブサイク
<1547> ユリブサイク

//<1548> ドピュッシー
<1548> ドピュッシー

//<1549> アメリカンエロドッグ
<1549> アメリカンエロドッグ

//<1550> ゼウス
<1550> ゼウス

//<1551> 日向markⅡ
<1551> 日向markⅡ

//<1552> 糞虫
<1552> 糞虫

//<1553> 量産型日向
<1553> 量産型日向

//<1554> ？？
<1554> ？？

//<1555> 「イツツ…なんか、すごい痛いだが…」
<1555> 「イツツ…なんか、すごい痛いだが…」

//<1556> nothing
<1556> nothing

//<1557> nothing
<1557> nothing

//<1558> nothing
<1558> nothing

//<1559> nothing
<1559> nothing

//<1560> nothing
<1560> nothing

//<1561> 松下
<1561> 松下

//<1562> 「むちうちだな。まあ、明日には治っている」
<1562> 「むちうちだな。まあ、明日には治っている」

//<1563> 音無
<1563> 音無

//<1564> クソ坊主
<1564> クソ坊主

//<1565> 代理人
<1565> 代理人

//<1566> 微妙すぎるイケメン
<1566> 微妙すぎるイケメン

//<1567> ロリコン
<1567> ロリコン

//<1568> メガネ仲間
<1568> メガネ仲間

//<1569> 暗算日本記録保持者
<1569> 暗算日本記録保持者

//<1570> 通り魔
<1570> 通り魔

//<1571> 記憶ナシ男
<1571> 記憶ナシ男

//<1572> 音速
<1572> 音速

//<1573> 無限
<1573> 無限

//<1574> エロ侍
<1574> エロ侍

//<1575> エロエロ団ナンバー１
<1575> エロエロ団ナンバー１

//<1576> ただのエロ少年
<1576> ただのエロ少年

//<1577> ユリブサイク
<1577> ユリブサイク

//<1578> ドピュッシー
<1578> ドピュッシー

//<1579> アメリカンエロドッグ
<1579> アメリカンエロドッグ

//<1580> ゼウス
<1580> ゼウス

//<1581> 日向markⅡ
<1581> 日向markⅡ

//<1582> 糞虫
<1582> 糞虫

//<1583> 量産型日向
