// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 素っ気なく本部を後にする岩沢を追う。
<0000> 素っ気なく本部を後にする岩沢を追う。
//<1067> 「五番はひさ子さん。あなたのミートセンスは素晴らしい。守備はセカンドです」
<1067> 「五番はひさ子さん。あなたのミートセンスは素晴らしい。守備はセカンドです」

//<1068> ひさ子
<1068> ひさ子

//<1069> 「了解」
<1069> 「了解」

//<1070> 音無
<1070> 音無

//<1071> クソ坊主
<1071> クソ坊主

//<1072> 代理人
<1072> 代理人

//<1073> 微妙すぎるイケメン
<1073> 微妙すぎるイケメン

//<1074> ロリコン
<1074> ロリコン

//<1075> メガネ仲間
<1075> メガネ仲間

//<1076> 暗算日本記録保持者
<1076> 暗算日本記録保持者

//<1077> 通り魔
<1077> 通り魔

//<1078> 記憶ナシ男
<1078> 記憶ナシ男

//<1079> 音速
<1079> 音速

//<1080> 無限
<1080> 無限

//<1081> エロ侍
<1081> エロ侍

//<1082> エロエロ団ナンバー１
<1082> エロエロ団ナンバー１

//<1083> ただのエロ少年
<1083> ただのエロ少年

//<1084> ユリブサイク
<1084> ユリブサイク

//<1085> ドピュッシー
<1085> ドピュッシー

//<1086> アメリカンエロドッグ
<1086> アメリカンエロドッグ

//<1087> ゼウス
<1087> ゼウス

//<1088> 日向markⅡ
<1088> 日向markⅡ

//<1089> 糞虫
<1089> 糞虫

//<1090> 量産型日向
<1090> 量産型日向

//<1091> ？？
<1091> ？？

//<1092> （やばい…すげぇ緊張する…ここで、下位打者と告げられたら、岩沢を前にして、すごく格好悪いじゃん…）
<1092> （やばい…すげぇ緊張する…ここで、下位打者と告げられたら、岩沢を前にして、すごく格好悪いじゃん…）

//<1093> 音無
<1093> 音無

//<1094> クソ坊主
<1094> クソ坊主

//<1095> 代理人
<1095> 代理人

//<1096> 微妙すぎるイケメン
<1096> 微妙すぎるイケメン

//<1097> ロリコン
<1097> ロリコン

//<1098> メガネ仲間
<1098> メガネ仲間

//<1099> 暗算日本記録保持者
<1099> 暗算日本記録保持者

//<1100> 通り魔
<1100> 通り魔

//<1101> 記憶ナシ男
<1101> 記憶ナシ男

//<1102> 音速
<1102> 音速

//<1103> 無限
<1103> 無限

//<1104> エロ侍
<1104> エロ侍

//<1105> エロエロ団ナンバー１
<1105> エロエロ団ナンバー１

//<1106> ただのエロ少年
<1106> ただのエロ少年

//<1107> ユリブサイク
<1107> ユリブサイク

//<1108> ドピュッシー
<1108> ドピュッシー

//<1109> アメリカンエロドッグ
<1109> アメリカンエロドッグ

//<1110> ゼウス
<1110> ゼウス

//<1111> 日向markⅡ
<1111> 日向markⅡ

//<1112> 糞虫
<1112> 糞虫

//<1113> 量産型日向
<1113> 量産型日向

//<1114> ？？
<1114> ？？

//<1115> （次、名前呼ばれろ！　次、名前呼ばれろ！）
<1115> （次、名前呼ばれろ！　次、名前呼ばれろ！）

//<1116> ただひたすら、祈る。
<1116> ただひたすら、祈る。

//<1117> 音無
<1117> 音無

//<1118> クソ坊主
<1118> クソ坊主

//<1119> 代理人
<1119> 代理人

//<1120> 微妙すぎるイケメン
<1120> 微妙すぎるイケメン

//<1121> ロリコン
<1121> ロリコン

//<1122> メガネ仲間
<1122> メガネ仲間

//<1123> 暗算日本記録保持者
<1123> 暗算日本記録保持者

//<1124> 通り魔
<1124> 通り魔

//<1125> 記憶ナシ男
<1125> 記憶ナシ男

//<1126> 音速
<1126> 音速

//<1127> 無限
<1127> 無限

//<1128> エロ侍
<1128> エロ侍

//<1129> エロエロ団ナンバー１
<1129> エロエロ団ナンバー１

//<1130> ただのエロ少年
<1130> ただのエロ少年

//<1131> ユリブサイク
<1131> ユリブサイク

//<1132> ドピュッシー
<1132> ドピュッシー

//<1133> アメリカンエロドッグ
<1133> アメリカンエロドッグ

//<1134> ゼウス
<1134> ゼウス

//<1135> 日向markⅡ
<1135> 日向markⅡ

//<1136> 糞虫
<1136> 糞虫

//<1137> 量産型日向
<1137> 量産型日向

//<1138> ？？
<1138> ？？

//<1139> （ガルデモメンバーは長年やってきているとはいえ、さすがに女子より劣る下位打者とかだったら、格好悪すぎてへこむな…）
<1139> （ガルデモメンバーは長年やってきているとはいえ、さすがに女子より劣る下位打者とかだったら、格好悪すぎてへこむな…）

//<1140> 山倉
<1140> 山倉

//<1141> 「六番は、音無さんです」
<1141> 「六番は、音無さんです」

//<1142> 音無
<1142> 音無

//<1143> クソ坊主
<1143> クソ坊主

//<1144> 代理人
<1144> 代理人

//<1145> 微妙すぎるイケメン
<1145> 微妙すぎるイケメン

//<1146> ロリコン
<1146> ロリコン

//<1147> メガネ仲間
<1147> メガネ仲間

//<1148> 暗算日本記録保持者
<1148> 暗算日本記録保持者

//<1149> 通り魔
<1149> 通り魔

//<1150> 記憶ナシ男
<1150> 記憶ナシ男

//<1151> 音速
<1151> 音速

//<1152> 無限
<1152> 無限

//<1153> エロ侍
<1153> エロ侍

//<1154> エロエロ団ナンバー１
<1154> エロエロ団ナンバー１

//<1155> ただのエロ少年
<1155> ただのエロ少年

//<1156> ユリブサイク
<1156> ユリブサイク

//<1157> ドピュッシー
<1157> ドピュッシー

//<1158> アメリカンエロドッグ
<1158> アメリカンエロドッグ

//<1159> ゼウス
<1159> ゼウス

//<1160> 日向markⅡ
<1160> 日向markⅡ

//<1161> 糞虫
<1161> 糞虫

//<1162> 量産型日向
<1162> 量産型日向

//<1163> ？？
<1163> ？？

//<1164> 「よし、きたーーー！！」
<1164> 「よし、きたーーー！！」

//<1165> nothing
<1165> nothing

//<1166> nothing
<1166> nothing

//<1167> nothing
<1167> nothing

//<1168> nothing
<1168> nothing

//<1169> nothing
<1169> nothing

//<1170> ひさ子
<1170> ひさ子

//<1171> 「すげー喜びようだな…」
<1171> 「すげー喜びようだな…」

//<1172> 思わず口に出してしまった。恥ずかしい…。
<1172> 思わず口に出してしまった。恥ずかしい…。

//<1173> nothing
<1173> nothing

//<1174> nothing
<1174> nothing

//<1175> nothing
<1175> nothing

//<1176> nothing
<1176> nothing

//<1177> nothing
<1177> nothing

//<1178> nothing
<1178> nothing

//<1179> 音無
<1179> 音無

//<1180> クソ坊主
<1180> クソ坊主

//<1181> 代理人
<1181> 代理人

//<1182> 微妙すぎるイケメン
<1182> 微妙すぎるイケメン

//<1183> ロリコン
<1183> ロリコン

//<1184> メガネ仲間
<1184> メガネ仲間

//<1185> 暗算日本記録保持者
<1185> 暗算日本記録保持者

//<1186> 通り魔
<1186> 通り魔

//<1187> 記憶ナシ男
<1187> 記憶ナシ男

//<1188> 音速
<1188> 音速

//<1189> 無限
<1189> 無限

//<1190> エロ侍
<1190> エロ侍

//<1191> エロエロ団ナンバー１
<1191> エロエロ団ナンバー１

//<1192> ただのエロ少年
<1192> ただのエロ少年

//<1193> ユリブサイク
<1193> ユリブサイク

//<1194> ドピュッシー
<1194> ドピュッシー

//<1195> アメリカンエロドッグ
<1195> アメリカンエロドッグ

//<1196> ゼウス
<1196> ゼウス

//<1197> 日向markⅡ
<1197> 日向markⅡ

//<1198> 糞虫
<1198> 糞虫

//<1199> 量産型日向
<1199> 量産型日向

//<1200> ？？
<1200> ？？

//<1201> （よかった！）
<1201> （よかった！）

//<1202> それを聞いて安堵する。
<1202> それを聞いて安堵する。

//<1203> 山倉
<1203> 山倉

//<1204> 「バッティングは、変化球にも食らいついて、逆方向に流せる。六番ぐらいに居ると、相手からすれば厄介な存在になると思われます」
<1204> 「バッティングは、変化球にも食らいついて、逆方向に流せる。六番ぐらいに居ると、相手からすれば厄介な存在になると思われます」

//<1205> 音無
<1205> 音無

//<1206> クソ坊主
<1206> クソ坊主

//<1207> 代理人
<1207> 代理人

//<1208> 微妙すぎるイケメン
<1208> 微妙すぎるイケメン

//<1209> ロリコン
<1209> ロリコン

//<1210> メガネ仲間
<1210> メガネ仲間

//<1211> 暗算日本記録保持者
<1211> 暗算日本記録保持者

//<1212> 通り魔
<1212> 通り魔

//<1213> 記憶ナシ男
<1213> 記憶ナシ男

//<1214> 音速
<1214> 音速

//<1215> 無限
<1215> 無限

//<1216> エロ侍
<1216> エロ侍

//<1217> エロエロ団ナンバー１
<1217> エロエロ団ナンバー１

//<1218> ただのエロ少年
<1218> ただのエロ少年

//<1219> ユリブサイク
<1219> ユリブサイク

//<1220> ドピュッシー
<1220> ドピュッシー

//<1221> アメリカンエロドッグ
<1221> アメリカンエロドッグ

//<1222> ゼウス
<1222> ゼウス

//<1223> 日向markⅡ
<1223> 日向markⅡ

//<1224> 糞虫
<1224> 糞虫

//<1225> 量産型日向
<1225> 量産型日向

//<1226> ？？
<1226> ？？

//<1227> （これでなんとかメンツは保てた気がする…！）
<1227> （これでなんとかメンツは保てた気がする…！）

//<1228> 一応、野球のセンスはあるってことか。自分のことだが意外だ。
<1228> 一応、野球のセンスはあるってことか。自分のことだが意外だ。

//<1229> 山倉
<1229> 山倉

//<1230> 「そして、守備ではピッチャーです」
<1230> 「そして、守備ではピッチャーです」

//<1231> 音無
<1231> 音無

//<1232> クソ坊主
<1232> クソ坊主

//<1233> 代理人
<1233> 代理人

//<1234> 微妙すぎるイケメン
<1234> 微妙すぎるイケメン

//<1235> ロリコン
<1235> ロリコン

//<1236> メガネ仲間
<1236> メガネ仲間

//<1237> 暗算日本記録保持者
<1237> 暗算日本記録保持者

//<1238> 通り魔
<1238> 通り魔

//<1239> 記憶ナシ男
<1239> 記憶ナシ男

//<1240> 音速
<1240> 音速

//<1241> 無限
<1241> 無限

//<1242> エロ侍
<1242> エロ侍

//<1243> エロエロ団ナンバー１
<1243> エロエロ団ナンバー１

//<1244> ただのエロ少年
<1244> ただのエロ少年

//<1245> ユリブサイク
<1245> ユリブサイク

//<1246> ドピュッシー
<1246> ドピュッシー

//<1247> アメリカンエロドッグ
<1247> アメリカンエロドッグ

//<1248> ゼウス
<1248> ゼウス

//<1249> 日向markⅡ
<1249> 日向markⅡ

//<1250> 糞虫
<1250> 糞虫

//<1251> 量産型日向
<1251> 量産型日向

//<1252> ？？
<1252> ？？

//<1253> 「えっ！？　俺が！？」
<1253> 「えっ！？　俺が！？」

//<1254> いきなりの指名で、困惑する。
<1254> いきなりの指名で、困惑する。

//<1255> 山倉
<1255> 山倉

//<1256> 「はい」
<1256> 「はい」

//<1257> 山倉
<1257> 山倉

//<1258> 「制球力が他のメンバーよりずば抜けています。ようはコントロールがいい。不肖私めが、リードしたいと思います」
<1258> 「制球力が他のメンバーよりずば抜けています。ようはコントロールがいい。不肖私めが、リードしたいと思います」

//<1259> 音無
<1259> 音無

//<1260> クソ坊主
<1260> クソ坊主

//<1261> 代理人
<1261> 代理人

//<1262> 微妙すぎるイケメン
<1262> 微妙すぎるイケメン

//<1263> ロリコン
<1263> ロリコン

//<1264> メガネ仲間
<1264> メガネ仲間

//<1265> 暗算日本記録保持者
<1265> 暗算日本記録保持者

//<1266> 通り魔
<1266> 通り魔

//<1267> 記憶ナシ男
<1267> 記憶ナシ男

//<1268> 音速
<1268> 音速

//<1269> 無限
<1269> 無限

//<1270> エロ侍
<1270> エロ侍

//<1271> エロエロ団ナンバー１
<1271> エロエロ団ナンバー１

//<1272> ただのエロ少年
<1272> ただのエロ少年

//<1273> ユリブサイク
<1273> ユリブサイク

//<1274> ドピュッシー
<1274> ドピュッシー

//<1275> アメリカンエロドッグ
<1275> アメリカンエロドッグ

//<1276> ゼウス
<1276> ゼウス

//<1277> 日向markⅡ
<1277> 日向markⅡ

//<1278> 糞虫
<1278> 糞虫

//<1279> 量産型日向
<1279> 量産型日向

//<1280> ？？
<1280> ？？

//<1281> 「ストレートしか投げられないぜ！？」
<1281> 「ストレートしか投げられないぜ！？」

//<1282> 山倉
<1282> 山倉

//<1283> 「チェンジアップを付け焼き刃ですが、お教えします。それさえ物にすれば、緩急がつけられるので野球部以外の生徒は抑えきれます」
<1283> 「チェンジアップを付け焼き刃ですが、お教えします。それさえ物にすれば、緩急がつけられるので野球部以外の生徒は抑えきれます」

//<1284> 音無
<1284> 音無

//<1285> クソ坊主
<1285> クソ坊主

//<1286> 代理人
<1286> 代理人

//<1287> 微妙すぎるイケメン
<1287> 微妙すぎるイケメン

//<1288> ロリコン
<1288> ロリコン

//<1289> メガネ仲間
<1289> メガネ仲間

//<1290> 暗算日本記録保持者
<1290> 暗算日本記録保持者

//<1291> 通り魔
<1291> 通り魔

//<1292> 記憶ナシ男
<1292> 記憶ナシ男

//<1293> 音速
<1293> 音速

//<1294> 無限
<1294> 無限

//<1295> エロ侍
<1295> エロ侍

//<1296> エロエロ団ナンバー１
<1296> エロエロ団ナンバー１

//<1297> ただのエロ少年
<1297> ただのエロ少年

//<1298> ユリブサイク
<1298> ユリブサイク

//<1299> ドピュッシー
<1299> ドピュッシー

//<1300> アメリカンエロドッグ
<1300> アメリカンエロドッグ

//<1301> ゼウス
<1301> ゼウス

//<1302> 日向markⅡ
<1302> 日向markⅡ

//<1303> 糞虫
<1303> 糞虫

//<1304> 量産型日向
<1304> 量産型日向

//<1305> ？？
<1305> ？？

//<1306> 「ほんと、付け焼き刃もいいところだ…そんな変化球を今からすぐ覚えられるのかよ…」
<1306> 「ほんと、付け焼き刃もいいところだ…そんな変化球を今からすぐ覚えられるのかよ…」

//<1307> 山倉
<1307> 山倉

//<1308> 「ストレートと違うのは、握り方だけなので」
<1308> 「ストレートと違うのは、握り方だけなので」

//<1309> ひさ子
<1309> ひさ子

//<1310> 「それだけで、チェンジアップとやらは投げられるのか？」
<1310> 「それだけで、チェンジアップとやらは投げられるのか？」

//<1311> 山倉
<1311> 山倉

//<1312> 「はい。フォームや腕の振りはストレートのままで大丈夫です」
<1312> 「はい。フォームや腕の振りはストレートのままで大丈夫です」

//<1313> nothing
<1313> nothing

//<1314> nothing
<1314> nothing

//<1315> nothing
<1315> nothing

//<1316> nothing
<1316> nothing

//<1317> nothing
<1317> nothing

//<1318> 岩沢
<1318> 岩沢

//<1319> 「いけるか、音無？」
<1319> 「いけるか、音無？」

//<1320> nothing
<1320> nothing

//<1321> nothing
<1321> nothing

//<1322> nothing
<1322> nothing

//<1323> nothing
<1323> nothing

//<1324> nothing
<1324> nothing

//<1325> nothing
<1325> nothing

//<1326> 音無
<1326> 音無

//<1327> クソ坊主
<1327> クソ坊主

//<1328> 代理人
<1328> 代理人

//<1329> 微妙すぎるイケメン
<1329> 微妙すぎるイケメン

//<1330> ロリコン
<1330> ロリコン

//<1331> メガネ仲間
<1331> メガネ仲間

//<1332> 暗算日本記録保持者
<1332> 暗算日本記録保持者

//<1333> 通り魔
<1333> 通り魔

//<1334> 記憶ナシ男
<1334> 記憶ナシ男

//<1335> 音速
<1335> 音速

//<1336> 無限
<1336> 無限

//<1337> エロ侍
<1337> エロ侍

//<1338> エロエロ団ナンバー１
<1338> エロエロ団ナンバー１

//<1339> ただのエロ少年
<1339> ただのエロ少年

//<1340> ユリブサイク
<1340> ユリブサイク

//<1341> ドピュッシー
<1341> ドピュッシー

//<1342> アメリカンエロドッグ
<1342> アメリカンエロドッグ

//<1343> ゼウス
<1343> ゼウス

//<1344> 日向markⅡ
<1344> 日向markⅡ

//<1345> 糞虫
<1345> 糞虫

//<1346> 量産型日向
<1346> 量産型日向

//<1347> ？？
<1347> ？？

//<1348> 「まあ、野球経験者に言われるんだったら、やるけどさ…。でも打たれまくったら、代わってくれよな」
<1348> 「まあ、野球経験者に言われるんだったら、やるけどさ…。でも打たれまくったら、代わってくれよな」

//<1349> 山倉
<1349> 山倉

//<1350> 「はい」
<1350> 「はい」

//<1351> nothing
<1351> nothing

//<1352> nothing
<1352> nothing

//<1353> nothing
<1353> nothing

//<1354> 山倉
<1354> 山倉

//<1355> 「後は、七番がレフトで関根さん、八番がファースト岩沢さん、九番がライト、入江さん」
<1355> 「後は、七番がレフトで関根さん、八番がファースト岩沢さん、九番がライト、入江さん」

//<1356> nothing
<1356> nothing

//<1357> nothing
<1357> nothing

//<1358> nothing
<1358> nothing

//<1359> nothing
<1359> nothing

//<1360> nothing
<1360> nothing

//<1361> nothing
<1361> nothing

//<1362> 山倉
<1362> 山倉

//<1363> 「基本、外野には飛ばさせないリードをします。徹底的に低めに集めて。音無さんのコントロールなら、それが出来ます」
<1363> 「基本、外野には飛ばさせないリードをします。徹底的に低めに集めて。音無さんのコントロールなら、それが出来ます」

//<1364> 関根
<1364> 関根

//<1365> 「うわ、なんか舐められてる…！！」
<1365> 「うわ、なんか舐められてる…！！」

//<1366> nothing
<1366> nothing

//<1367> nothing
<1367> nothing

//<1368> nothing
<1368> nothing

//<1369> nothing
<1369> nothing

//<1370> 入江
<1370> 入江

//<1371> 「まあまあ、バンドならともかく、運動神経については、あたしらはとやかく言えないよ…」
<1371> 「まあまあ、バンドならともかく、運動神経については、あたしらはとやかく言えないよ…」

//<1372> nothing
<1372> nothing

//<1373> nothing
<1373> nothing

//<1374> nothing
<1374> nothing

//<1375> nothing
<1375> nothing

//<1376> nothing
<1376> nothing

//<1377> 関根
<1377> 関根

//<1378> 「ちっ！　４番ＤＨぐらいが妥当だってのに…！」
<1378> 「ちっ！　４番ＤＨぐらいが妥当だってのに…！」

//<1379> 山倉
<1379> 山倉

//<1380> 「かつて、あなたがヒットを打ったところを見たことがありません」
<1380> 「かつて、あなたがヒットを打ったところを見たことがありません」

//<1381> nothing
<1381> nothing

//<1382> nothing
<1382> nothing

//<1383> nothing
<1383> nothing

//<1384> nothing
<1384> nothing

//<1385> nothing
<1385> nothing

//<1386> 関根
<1386> 関根

//<1387> 「手厳しいＮＰＣだなぁ、おいーー！！」
<1387> 「手厳しいＮＰＣだなぁ、おいーー！！」

//<1388> nothing
<1388> nothing

//<1389> nothing
<1389> nothing

//<1390> nothing
<1390> nothing

//<1391> nothing
<1391> nothing

//<1392> nothing
<1392> nothing

//<1393> 入江
<1393> 入江

//<1394> 「まあまあ、その通りなんだし、落ち着こうよ、しおりん」
<1394> 「まあまあ、その通りなんだし、落ち着こうよ、しおりん」

//<1395> nothing
<1395> nothing

//<1396> nothing
<1396> nothing

//<1397> nothing
<1397> nothing

//<1398> nothing
<1398> nothing

//<1399> nothing
<1399> nothing

//<1400> nothing
<1400> nothing

//<1401> 山倉
<1401> 山倉

//<1402> 「ということで、皆さん、よろしいでしょうか」
<1402> 「ということで、皆さん、よろしいでしょうか」

//<1403> nothing
<1403> nothing

//<1404> nothing
<1404> nothing

//<1405> nothing
<1405> nothing

//<1406> nothing
<1406> nothing

//<1407> ひさ子
<1407> ひさ子

//<1408> 「ああ」
<1408> 「ああ」

//<1409> nothing
<1409> nothing

//<1410> nothing
<1410> nothing

//<1411> nothing
<1411> nothing

//<1412> nothing
<1412> nothing

//<1413> nothing
<1413> nothing

//<1414> 岩沢
<1414> 岩沢

//<1415> 「あたしはなんでもいい。好きにしとくれ」
<1415> 「あたしはなんでもいい。好きにしとくれ」

//<1416> nothing
<1416> nothing

//<1417> nothing
<1417> nothing

//<1418> nothing
<1418> nothing

//<1419> nothing
<1419> nothing

//<1420> 関根
<1420> 関根

//<1421> 「うああぁーー！　このふたりがＯＫ出したら、これ以上何も言えないぃーー！！」
<1421> 「うああぁーー！　このふたりがＯＫ出したら、これ以上何も言えないぃーー！！」

//<1422> nothing
<1422> nothing

//<1423> nothing
<1423> nothing

//<1424> nothing
<1424> nothing

//<1425> nothing
<1425> nothing

//<1426> nothing
<1426> nothing

//<1427> 入江
<1427> 入江

//<1428> 「まあまあ、今年は実績を残して、来年に繋げればいいんじゃない？」
<1428> 「まあまあ、今年は実績を残して、来年に繋げればいいんじゃない？」

//<1429> nothing
<1429> nothing

//<1430> nothing
<1430> nothing

//<1431> nothing
<1431> nothing

//<1432> nothing
<1432> nothing

//<1433> nothing
<1433> nothing

//<1434> 関根
<1434> 関根

//<1435> 「こいつら三年生だから、来年いねーんだぞ！？　みゆきち！」
<1435> 「こいつら三年生だから、来年いねーんだぞ！？　みゆきち！」

//<1436> nothing
<1436> nothing

//<1437> nothing
<1437> nothing

//<1438> nothing
<1438> nothing

//<1439> nothing
<1439> nothing

//<1440> nothing
<1440> nothing

//<1441> 入江
<1441> 入江

//<1442> 「まあまあ、今年実績を残して、来年のメンバーに伝えれば済む話だと思うよ？」
<1442> 「まあまあ、今年実績を残して、来年のメンバーに伝えれば済む話だと思うよ？」

//<1443> nothing
<1443> nothing

//<1444> nothing
<1444> nothing

//<1445> nothing
<1445> nothing

//<1446> nothing
<1446> nothing

//<1447> nothing
<1447> nothing

//<1448> 関根
<1448> 関根
{28f51} 33 // 1448

//<1449> 「みゆきち、お前はまあまあ言うだけのロボットかぁーー！！」
<1449> 「みゆきち、お前はまあまあ言うだけのロボットかぁーー！！」

//<1450> nothing
<1450> nothing

//<1451> nothing
<1451> nothing

//<1452> nothing
<1452> nothing

//<1453> nothing
<1453> nothing

//<1454> nothing
<1454> nothing

//<1455> nothing
<1455> nothing

//<1456> nothing
<1456> nothing

//<1457> nothing
<1457> nothing

//<1458> nothing
<1458> nothing

//<1459> nothing
<1459> nothing

//<1460> nothing
<1460> nothing

//<1461> nothing
<1461> nothing

//<1462> nothing
<1462> nothing

//<1463> nothing
<1463> nothing

//<1464> nothing
<1464> nothing

//<1465> 入江
<1465> 入江

//<1466> 「まあまあまあ…」
<1466> 「まあまあまあ…」

//<1467> nothing
<1467> nothing

//<1468> nothing
<1468> nothing

//<1469> nothing
<1469> nothing

//<1470> nothing
<1470> nothing

//<1471> nothing
<1471> nothing

//<1472> 関根
<1472> 関根

//<1473> 「腑に落ちないが…わかった、ということにしておくか…」
<1473> 「腑に落ちないが…わかった、ということにしておくか…」

//<1474> nothing
<1474> nothing

//<1475> nothing
<1475> nothing

//<1476> nothing
<1476> nothing

//<1477> nothing
<1477> nothing

//<1478> nothing
<1478> nothing

//<1479> ひさ子
<1479> ひさ子

//<1480> 「お前の運動神経はまだ未知だな」
<1480> 「お前の運動神経はまだ未知だな」

//<1481> いいほうだ
<1481> いいほうだ

//<1482> 悪いほうだ
<1482> 悪いほうだ

//<1483> selbtn : 
<1483> selbtn : 

//<1484> 音無
<1484> 音無

//<1485> クソ坊主
<1485> クソ坊主

//<1486> 代理人
<1486> 代理人

//<1487> 微妙すぎるイケメン
<1487> 微妙すぎるイケメン

//<1488> ロリコン
<1488> ロリコン

//<1489> メガネ仲間
<1489> メガネ仲間

//<1490> 暗算日本記録保持者
<1490> 暗算日本記録保持者

//<1491> 通り魔
<1491> 通り魔

//<1492> 記憶ナシ男
<1492> 記憶ナシ男

//<1493> 音速
<1493> 音速

//<1494> 無限
<1494> 無限

//<1495> エロ侍
<1495> エロ侍

//<1496> エロエロ団ナンバー１
<1496> エロエロ団ナンバー１

//<1497> ただのエロ少年
<1497> ただのエロ少年

//<1498> ユリブサイク
<1498> ユリブサイク

//<1499> ドピュッシー
<1499> ドピュッシー

//<1500> アメリカンエロドッグ
<1500> アメリカンエロドッグ

//<1501> ゼウス
<1501> ゼウス

//<1502> 日向markⅡ
<1502> 日向markⅡ

//<1503> 糞虫
<1503> 糞虫

//<1504> 量産型日向
<1504> 量産型日向

//<1505> ？？
<1505> ？？

//<1506> 「いいほうだ」
<1506> 「いいほうだ」

//<1507> nothing
<1507> nothing

//<1508> nothing
<1508> nothing

//<1509> nothing
<1509> nothing

//<1510> nothing
<1510> nothing

//<1511> nothing
<1511> nothing

//<1512> ひさ子
<1512> ひさ子

//<1513> 「よっし、じゃあ、野球経験者に計ってもらおうか」
<1513> 「よっし、じゃあ、野球経験者に計ってもらおうか」

//<1514> 音無
<1514> 音無

//<1515> クソ坊主
<1515> クソ坊主

//<1516> 代理人
<1516> 代理人

//<1517> 微妙すぎるイケメン
<1517> 微妙すぎるイケメン

//<1518> ロリコン
<1518> ロリコン

//<1519> メガネ仲間
<1519> メガネ仲間

//<1520> 暗算日本記録保持者
<1520> 暗算日本記録保持者

//<1521> 通り魔
<1521> 通り魔

//<1522> 記憶ナシ男
<1522> 記憶ナシ男

//<1523> 音速
<1523> 音速

//<1524> 無限
<1524> 無限

//<1525> エロ侍
<1525> エロ侍

//<1526> エロエロ団ナンバー１
<1526> エロエロ団ナンバー１

//<1527> ただのエロ少年
<1527> ただのエロ少年

//<1528> ユリブサイク
<1528> ユリブサイク

//<1529> ドピュッシー
<1529> ドピュッシー

//<1530> アメリカンエロドッグ
<1530> アメリカンエロドッグ

//<1531> ゼウス
<1531> ゼウス

//<1532> 日向markⅡ
<1532> 日向markⅡ

//<1533> 糞虫
<1533> 糞虫

//<1534> 量産型日向
<1534> 量産型日向

//<1535> ？？
<1535> ？？

//<1536> （ええ？　記憶がないのに、なんて虚勢を張ってしまったんだ、俺は…）
<1536> （ええ？　記憶がないのに、なんて虚勢を張ってしまったんだ、俺は…）

//<1537> 音無
<1537> 音無

//<1538> クソ坊主
<1538> クソ坊主

//<1539> 代理人
<1539> 代理人

//<1540> 微妙すぎるイケメン
<1540> 微妙すぎるイケメン

//<1541> ロリコン
<1541> ロリコン

//<1542> メガネ仲間
<1542> メガネ仲間

//<1543> 暗算日本記録保持者
<1543> 暗算日本記録保持者

//<1544> 通り魔
<1544> 通り魔

//<1545> 記憶ナシ男
<1545> 記憶ナシ男

//<1546> 音速
<1546> 音速

//<1547> 無限
<1547> 無限

//<1548> エロ侍
<1548> エロ侍

//<1549> エロエロ団ナンバー１
<1549> エロエロ団ナンバー１

//<1550> ただのエロ少年
<1550> ただのエロ少年

//<1551> ユリブサイク
<1551> ユリブサイク

//<1552> ドピュッシー
<1552> ドピュッシー

//<1553> アメリカンエロドッグ
<1553> アメリカンエロドッグ

//<1554> ゼウス
<1554> ゼウス

//<1555> 日向markⅡ
<1555> 日向markⅡ

//<1556> 糞虫
<1556> 糞虫

//<1557> 量産型日向
<1557> 量産型日向

//<1558> ？？
<1558> ？？

//<1559> （これで岩沢の前で、そんなに運動神経がない、なんて判定されれば、すげー赤っ恥だぞ…）
<1559> （これで岩沢の前で、そんなに運動神経がない、なんて判定されれば、すげー赤っ恥だぞ…）

//<1560> 音無
<1560> 音無

//<1561> クソ坊主
<1561> クソ坊主

//<1562> 代理人
<1562> 代理人

//<1563> 微妙すぎるイケメン
<1563> 微妙すぎるイケメン

//<1564> ロリコン
<1564> ロリコン

//<1565> メガネ仲間
<1565> メガネ仲間

//<1566> 暗算日本記録保持者
<1566> 暗算日本記録保持者

//<1567> 通り魔
<1567> 通り魔

//<1568> 記憶ナシ男
<1568> 記憶ナシ男

//<1569> 音速
<1569> 音速

//<1570> 無限
<1570> 無限

//<1571> エロ侍
<1571> エロ侍

//<1572> エロエロ団ナンバー１
<1572> エロエロ団ナンバー１

//<1573> ただのエロ少年
<1573> ただのエロ少年

//<1574> ユリブサイク
<1574> ユリブサイク

//<1575> ドピュッシー
<1575> ドピュッシー

//<1576> アメリカンエロドッグ
