// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 今日もユイは路上ライブをしているんだろうか。
<0000> 今日もユイは路上ライブをしているんだろうか。
//<1047> bg_kuro
<1047> bg_kuro

//<1048> ep99_bg011
<1048> ep99_bg011

//<1049> evyi_0102
<1049> evyi_0102

//<1050> evyi_0102
<1050> evyi_0102

//<1051> ep99_bg011
<1051> ep99_bg011

//<1052> m106
<1052> m106
{2c9f} 0a // 1052

//<1053> bs3_iw0210
<1053> bs3_iw0210

//<1054> ep99_bg011
<1054> ep99_bg011

//<1055> bs2_iw0210
<1055> bs2_iw0210

//<1056> iw0108
<1056> iw0108

//<1057> iw0306_09
<1057> iw0306_09

//<1058> iw0307
<1058> iw0307

//<1059> iw0308_09
<1059> iw0308_09

//<1060> iw0110
<1060> iw0110

//<1061> m106
<1061> m106
{6ce5} 0a // 1061

//<1062> bs3_iw0210
<1062> bs3_iw0210

//<1063> ep99_bg011
<1063> ep99_bg011

//<1064> bs2_iw0210
<1064> bs2_iw0210

//<1065> iw0101
<1065> iw0101

//<1066> iw0306_09
<1066> iw0306_09

//<1067> iw0307
<1067> iw0307

//<1068> iw0308_09
<1068> iw0308_09

//<1069> m106
<1069> m106
{a077} 0a // 1069

//<1070> bs3_iw0210
<1070> bs3_iw0210

//<1071> ep99_bg011
<1071> ep99_bg011

//<1072> bs2_iw0210
<1072> bs2_iw0210

//<1073> iw0108
<1073> iw0108

//<1074> iw0110_02
<1074> iw0110_02

//<1075> m126
<1075> m126

//<1076> iw0101
<1076> iw0101

//<1077> iw0109_01
<1077> iw0109_01

//<1078> evyi_0102
<1078> evyi_0102

//<1079> evyi_0102
<1079> evyi_0102

//<1080> ep99_bg011
<1080> ep99_bg011

//<1081> iw0210
<1081> iw0210

//<1082> iw0208
<1082> iw0208

//<1083> iw0101
<1083> iw0101

//<1084> iw0109_02
<1084> iw0109_02

//<1085> iw0109_01
<1085> iw0109_01

//<1086> iw0102
<1086> iw0102

//<1087> evyi_0103
<1087> evyi_0103

//<1088> ep99_bg011
<1088> ep99_bg011

//<1089> iw0303
<1089> iw0303

//<1090> iw0302
<1090> iw0302

//<1091> iw0209_01
<1091> iw0209_01

//<1092> iw0202
<1092> iw0202

//<1093> iw0201
<1093> iw0201

//<1094> iw0102
<1094> iw0102

//<1095> iw0202
<1095> iw0202

//<1096> iw0109_02
<1096> iw0109_02

//<1097> iw0101
<1097> iw0101

//<1098> iw0109_01
<1098> iw0109_01

//<1099> iw0309_02
<1099> iw0309_02

//<1100> iw0301
<1100> iw0301

//<1101> iw0309
<1101> iw0309

//<1102> iw0302
<1102> iw0302

//<1103> iw0301
<1103> iw0301

//<1104> bs1_yi0102_0311a0
<1104> bs1_yi0102_0311a0

//<1105> yi0103
<1105> yi0103

//<1106> iw0302
<1106> iw0302

//<1107> iw0302_01
<1107> iw0302_01

//<1108> iw0301_02
<1108> iw0301_02

//<1109> iw0301
<1109> iw0301

//<1110> bs1_yi0113
<1110> bs1_yi0113

//<1111> bg_kuro
<1111> bg_kuro

