// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ジャージに着替えて野球場に向かう。
<0000> ジャージに着替えて野球場に向かう。
<1115> nothing

//<1116> 日向
<1116> 日向

//<1117> 男Ｂ
<1117> 男Ｂ

//<1118> エロエロ団総帥
<1118> エロエロ団総帥

//<1119> イケチン
<1119> イケチン

//<1120> ホモ太
<1120> ホモ太

//<1121> ひなチン
<1121> ひなチン

//<1122> 秀樹
<1122> 秀樹

//<1123> 男子生徒
<1123> 男子生徒

//<1124> ？？
<1124> ？？

//<1125> 「でも、くじ引き制だからな、当たったら、それは申し訳ないが食ってもらう」
<1125> 「でも、くじ引き制だからな、当たったら、それは申し訳ないが食ってもらう」

//<1126> nothing
<1126> nothing

//<1127> nothing
<1127> nothing

//<1128> nothing
<1128> nothing

//<1129> nothing
<1129> nothing

//<1130> nothing
<1130> nothing

//<1131> 日向
<1131> 日向

//<1132> 男Ｂ
<1132> 男Ｂ

//<1133> エロエロ団総帥
<1133> エロエロ団総帥

//<1134> イケチン
<1134> イケチン

//<1135> ホモ太
<1135> ホモ太

//<1136> ひなチン
<1136> ひなチン

//<1137> 秀樹
<1137> 秀樹

//<1138> 男子生徒
<1138> 男子生徒

//<1139> ？？
<1139> ？？

//<1140> 「食券もお金もないお前にとっては、食わないよりは、マシだろ？」
<1140> 「食券もお金もないお前にとっては、食わないよりは、マシだろ？」

//<1141> 音無
<1141> 音無

//<1142> クソ坊主
<1142> クソ坊主

//<1143> 代理人
<1143> 代理人

//<1144> 微妙すぎるイケメン
<1144> 微妙すぎるイケメン

//<1145> ロリコン
<1145> ロリコン

//<1146> メガネ仲間
<1146> メガネ仲間

//<1147> 暗算日本記録保持者
<1147> 暗算日本記録保持者

//<1148> 通り魔
<1148> 通り魔

//<1149> 記憶ナシ男
<1149> 記憶ナシ男

//<1150> 音速
<1150> 音速

//<1151> 無限
<1151> 無限

//<1152> エロ侍
<1152> エロ侍

//<1153> エロエロ団ナンバー１
<1153> エロエロ団ナンバー１

//<1154> ただのエロ少年
<1154> ただのエロ少年

//<1155> ユリブサイク
<1155> ユリブサイク

//<1156> ドピュッシー
<1156> ドピュッシー

//<1157> アメリカンエロドッグ
<1157> アメリカンエロドッグ

//<1158> ゼウス
<1158> ゼウス

//<1159> 日向markⅡ
<1159> 日向markⅡ

//<1160> 糞虫
<1160> 糞虫

//<1161> 量産型日向
<1161> 量産型日向

//<1162> ？？
<1162> ？？

//<1163> 「まあ…そうなんだが…」
<1163> 「まあ…そうなんだが…」

//<1164> 音無
<1164> 音無

//<1165> クソ坊主
<1165> クソ坊主

//<1166> 代理人
<1166> 代理人

//<1167> 微妙すぎるイケメン
<1167> 微妙すぎるイケメン

//<1168> ロリコン
<1168> ロリコン

//<1169> メガネ仲間
<1169> メガネ仲間

//<1170> 暗算日本記録保持者
<1170> 暗算日本記録保持者

//<1171> 通り魔
<1171> 通り魔

//<1172> 記憶ナシ男
<1172> 記憶ナシ男

//<1173> 音速
<1173> 音速

//<1174> 無限
<1174> 無限

//<1175> エロ侍
<1175> エロ侍

//<1176> エロエロ団ナンバー１
<1176> エロエロ団ナンバー１

//<1177> ただのエロ少年
<1177> ただのエロ少年

//<1178> ユリブサイク
<1178> ユリブサイク

//<1179> ドピュッシー
<1179> ドピュッシー

//<1180> アメリカンエロドッグ
<1180> アメリカンエロドッグ

//<1181> ゼウス
<1181> ゼウス

//<1182> 日向markⅡ
<1182> 日向markⅡ

//<1183> 糞虫
<1183> 糞虫

//<1184> 量産型日向
<1184> 量産型日向

//<1185> ？？
<1185> ？？

//<1186> （このホモめがっ！！）
<1186> （このホモめがっ！！）

//<1187> なんだか上手く言いくるめられている気がする…。
<1187> なんだか上手く言いくるめられている気がする…。

//<1188> nothing
<1188> nothing

//<1189> nothing
<1189> nothing

//<1190> nothing
<1190> nothing

//<1191> nothing
<1191> nothing

//<1192> nothing
<1192> nothing

//<1193> 日向
<1193> 日向

//<1194> 男Ｂ
<1194> 男Ｂ

//<1195> エロエロ団総帥
<1195> エロエロ団総帥

//<1196> イケチン
<1196> イケチン

//<1197> ホモ太
<1197> ホモ太

//<1198> ひなチン
<1198> ひなチン

//<1199> 秀樹
<1199> 秀樹

//<1200> 男子生徒
<1200> 男子生徒

//<1201> ？？
<1201> ？？

//<1202> 「はーい！　ごちそうさーん！　美味かったぜっ」
<1202> 「はーい！　ごちそうさーん！　美味かったぜっ」

//<1203> 日向も食べ終わる。
<1203> 日向も食べ終わる。

//<1204> 音無
<1204> 音無

//<1205> クソ坊主
<1205> クソ坊主

//<1206> 代理人
<1206> 代理人

//<1207> 微妙すぎるイケメン
<1207> 微妙すぎるイケメン

//<1208> ロリコン
<1208> ロリコン

//<1209> メガネ仲間
<1209> メガネ仲間

//<1210> 暗算日本記録保持者
<1210> 暗算日本記録保持者

//<1211> 通り魔
<1211> 通り魔

//<1212> 記憶ナシ男
<1212> 記憶ナシ男

//<1213> 音速
<1213> 音速

//<1214> 無限
<1214> 無限

//<1215> エロ侍
<1215> エロ侍

//<1216> エロエロ団ナンバー１
<1216> エロエロ団ナンバー１

//<1217> ただのエロ少年
<1217> ただのエロ少年

//<1218> ユリブサイク
<1218> ユリブサイク

//<1219> ドピュッシー
<1219> ドピュッシー

//<1220> アメリカンエロドッグ
<1220> アメリカンエロドッグ

//<1221> ゼウス
<1221> ゼウス

//<1222> 日向markⅡ
<1222> 日向markⅡ

//<1223> 糞虫
<1223> 糞虫

//<1224> 量産型日向
<1224> 量産型日向

//<1225> ？？
<1225> ？？

//<1226> （くっ…お前のこと、信じていたのに…その信頼が揺らぐぜ…）
<1226> （くっ…お前のこと、信じていたのに…その信頼が揺らぐぜ…）

//<1227> その至福の表情を見ると、殴ってやりたい気分になる…。
<1227> その至福の表情を見ると、殴ってやりたい気分になる…。

//<1228> nothing
<1228> nothing

//<1229> nothing
<1229> nothing

//<1230> nothing
<1230> nothing

//<1231> nothing
<1231> nothing

//<1232> nothing
<1232> nothing

//<1233> nothing
<1233> nothing

//<1234> 音無
<1234> 音無

//<1235> クソ坊主
<1235> クソ坊主

//<1236> 代理人
<1236> 代理人

//<1237> 微妙すぎるイケメン
<1237> 微妙すぎるイケメン

//<1238> ロリコン
<1238> ロリコン

//<1239> メガネ仲間
<1239> メガネ仲間

//<1240> 暗算日本記録保持者
<1240> 暗算日本記録保持者

//<1241> 通り魔
<1241> 通り魔

//<1242> 記憶ナシ男
<1242> 記憶ナシ男

//<1243> 音速
<1243> 音速

//<1244> 無限
<1244> 無限

//<1245> エロ侍
<1245> エロ侍

//<1246> エロエロ団ナンバー１
<1246> エロエロ団ナンバー１

//<1247> ただのエロ少年
<1247> ただのエロ少年

//<1248> ユリブサイク
<1248> ユリブサイク

//<1249> ドピュッシー
<1249> ドピュッシー

//<1250> アメリカンエロドッグ
<1250> アメリカンエロドッグ

//<1251> ゼウス
<1251> ゼウス

//<1252> 日向markⅡ
<1252> 日向markⅡ

//<1253> 糞虫
<1253> 糞虫

//<1254> 量産型日向
<1254> 量産型日向

//<1255> ？？
<1255> ？？

//<1256> 「ふぅ…」
<1256> 「ふぅ…」

//<1257> なんとか食べきった。
<1257> なんとか食べきった。

//<1258> 天使
<1258> 天使

//<1259> かなで
<1259> かなで

//<1260> 女生徒
<1260> 女生徒

//<1261> ？？
<1261> ？？

//<1262> 「もうすぐ授業よ」
<1262> 「もうすぐ授業よ」

//<1263> nothing
<1263> nothing

//<1264> nothing
<1264> nothing

//<1265> nothing
<1265> nothing

//<1266> nothing
<1266> nothing

//<1267> nothing
<1267> nothing

//<1268> また、出た！
<1268> また、出た！

//<1269> 日向
<1269> 日向

//<1270> 男Ｂ
<1270> 男Ｂ

//<1271> エロエロ団総帥
<1271> エロエロ団総帥

//<1272> イケチン
<1272> イケチン

//<1273> ホモ太
<1273> ホモ太

//<1274> ひなチン
<1274> ひなチン

//<1275> 秀樹
<1275> 秀樹

//<1276> 男子生徒
<1276> 男子生徒

//<1277> ？？
<1277> ？？

//<1278> 「逃げるぞ、ただのエロ少年！」
<1278> 「逃げるぞ、ただのエロ少年！」

//<1279> 日向
<1279> 日向

//<1280> 男Ｂ
<1280> 男Ｂ

//<1281> エロエロ団総帥
<1281> エロエロ団総帥

//<1282> イケチン
<1282> イケチン

//<1283> ホモ太
<1283> ホモ太

//<1284> ひなチン
<1284> ひなチン

//<1285> 秀樹
<1285> 秀樹

//<1286> 男子生徒
<1286> 男子生徒

//<1287> ？？
<1287> ？？

//<1288> 「逃げるぞ、音無！」
<1288> 「逃げるぞ、音無！」

//<1289> 音無
<1289> 音無

//<1290> クソ坊主
<1290> クソ坊主

//<1291> 代理人
<1291> 代理人

//<1292> 微妙すぎるイケメン
<1292> 微妙すぎるイケメン

//<1293> ロリコン
<1293> ロリコン

//<1294> メガネ仲間
<1294> メガネ仲間

//<1295> 暗算日本記録保持者
<1295> 暗算日本記録保持者

//<1296> 通り魔
<1296> 通り魔

//<1297> 記憶ナシ男
<1297> 記憶ナシ男

//<1298> 音速
<1298> 音速

//<1299> 無限
<1299> 無限

//<1300> エロ侍
<1300> エロ侍

//<1301> エロエロ団ナンバー１
<1301> エロエロ団ナンバー１

//<1302> ただのエロ少年
<1302> ただのエロ少年

//<1303> ユリブサイク
<1303> ユリブサイク

//<1304> ドピュッシー
<1304> ドピュッシー

//<1305> アメリカンエロドッグ
<1305> アメリカンエロドッグ

//<1306> ゼウス
<1306> ゼウス

//<1307> 日向markⅡ
<1307> 日向markⅡ

//<1308> 糞虫
<1308> 糞虫

//<1309> 量産型日向
<1309> 量産型日向

//<1310> ？？
<1310> ？？

//<1311> 「ああ！」
<1311> 「ああ！」

//<1312> １０分間逃げ切った。
<1312> １０分間逃げ切った。

//<1313> nothing
<1313> nothing

//<1314> nothing
<1314> nothing

//<1315> nothing
<1315> nothing

//<1316> nothing
<1316> nothing

//<1317> nothing
<1317> nothing

//<1318> 日向
<1318> 日向

//<1319> 男Ｂ
<1319> 男Ｂ

//<1320> エロエロ団総帥
<1320> エロエロ団総帥

//<1321> イケチン
<1321> イケチン

//<1322> ホモ太
<1322> ホモ太

//<1323> ひなチン
<1323> ひなチン

//<1324> 秀樹
<1324> 秀樹

//<1325> 男子生徒
<1325> 男子生徒

//<1326> ？？
<1326> ？？

//<1327> 「よっし、もう大丈夫だ」
<1327> 「よっし、もう大丈夫だ」

//<1328> 音無
<1328> 音無

//<1329> クソ坊主
<1329> クソ坊主

//<1330> 代理人
<1330> 代理人

//<1331> 微妙すぎるイケメン
<1331> 微妙すぎるイケメン

//<1332> ロリコン
<1332> ロリコン

//<1333> メガネ仲間
<1333> メガネ仲間

//<1334> 暗算日本記録保持者
<1334> 暗算日本記録保持者

//<1335> 通り魔
<1335> 通り魔

//<1336> 記憶ナシ男
<1336> 記憶ナシ男

//<1337> 音速
<1337> 音速

//<1338> 無限
<1338> 無限

//<1339> エロ侍
<1339> エロ侍

//<1340> エロエロ団ナンバー１
<1340> エロエロ団ナンバー１

//<1341> ただのエロ少年
<1341> ただのエロ少年

//<1342> ユリブサイク
<1342> ユリブサイク

//<1343> ドピュッシー
<1343> ドピュッシー

//<1344> アメリカンエロドッグ
<1344> アメリカンエロドッグ

//<1345> ゼウス
<1345> ゼウス

//<1346> 日向markⅡ
<1346> 日向markⅡ

//<1347> 糞虫
<1347> 糞虫

//<1348> 量産型日向
<1348> 量産型日向

//<1349> ？？
<1349> ？？

//<1350> 「はぁ…はぁ…」
<1350> 「はぁ…はぁ…」

//<1351> 相変わらず日向は飄々として、俺だけがバテている…。
<1351> 相変わらず日向は飄々として、俺だけがバテている…。

//<1352> nothing
<1352> nothing

//<1353> nothing
<1353> nothing

//<1354> nothing
<1354> nothing

//<1355> nothing
<1355> nothing

//<1356> nothing
<1356> nothing

//<1357> 日向
<1357> 日向

//<1358> 男Ｂ
<1358> 男Ｂ

//<1359> エロエロ団総帥
<1359> エロエロ団総帥

//<1360> イケチン
<1360> イケチン

//<1361> ホモ太
<1361> ホモ太

//<1362> ひなチン
<1362> ひなチン

//<1363> 秀樹
<1363> 秀樹

//<1364> 男子生徒
<1364> 男子生徒

//<1365> ？？
<1365> ？？

//<1366> 「さって、午後は射撃の訓練にしますかね」
<1366> 「さって、午後は射撃の訓練にしますかね」

//<1367> 音無
<1367> 音無

//<1368> クソ坊主
<1368> クソ坊主

//<1369> 代理人
<1369> 代理人

//<1370> 微妙すぎるイケメン
<1370> 微妙すぎるイケメン

//<1371> ロリコン
<1371> ロリコン

//<1372> メガネ仲間
<1372> メガネ仲間

//<1373> 暗算日本記録保持者
<1373> 暗算日本記録保持者

//<1374> 通り魔
<1374> 通り魔

//<1375> 記憶ナシ男
<1375> 記憶ナシ男

//<1376> 音速
<1376> 音速

//<1377> 無限
<1377> 無限

//<1378> エロ侍
<1378> エロ侍

//<1379> エロエロ団ナンバー１
<1379> エロエロ団ナンバー１

//<1380> ただのエロ少年
<1380> ただのエロ少年

//<1381> ユリブサイク
<1381> ユリブサイク

//<1382> ドピュッシー
<1382> ドピュッシー

//<1383> アメリカンエロドッグ
<1383> アメリカンエロドッグ

//<1384> ゼウス
<1384> ゼウス

//<1385> 日向markⅡ
<1385> 日向markⅡ

//<1386> 糞虫
<1386> 糞虫

//<1387> 量産型日向
<1387> 量産型日向

//<1388> ？？
<1388> ？？

//<1389> 「ああ…」
<1389> 「ああ…」

//<1390> nothing
<1390> nothing

//<1391> 
<1391> 

//<1392> 
<1392> 

//<1393> nothing
<1393> nothing

//<1394> nothing
<1394> nothing

//<1395> nothing
<1395> nothing

//<1396> nothing
<1396> nothing

//<1397> nothing
<1397> nothing

//<1398> nothing
<1398> nothing

//<1399> また高松が居た。
<1399> また高松が居た。

//<1400> nothing
<1400> nothing

//<1401> nothing
<1401> nothing

//<1402> nothing
<1402> nothing

//<1403> nothing
<1403> nothing

//<1404> nothing
<1404> nothing

//<1405> 高松
<1405> 高松

//<1406> 「よほど、仲がよろしいようで」
<1406> 「よほど、仲がよろしいようで」

//<1407> 日向
<1407> 日向

//<1408> 男Ｂ
<1408> 男Ｂ

//<1409> エロエロ団総帥
<1409> エロエロ団総帥

//<1410> イケチン
<1410> イケチン

//<1411> ホモ太
<1411> ホモ太

//<1412> ひなチン
<1412> ひなチン

//<1413> 秀樹
<1413> 秀樹

//<1414> 男子生徒
<1414> 男子生徒

//<1415> ？？
<1415> ？？

//<1416> 「お前のほうは？」
<1416> 「お前のほうは？」

//<1417> nothing
<1417> nothing

//<1418> nothing
<1418> nothing

//<1419> nothing
<1419> nothing

//<1420> nothing
<1420> nothing

//<1421> nothing
<1421> nothing

//<1422> 高松
<1422> 高松

//<1423> 「弾を温存したいので、ここらで終えます」
<1423> 「弾を温存したいので、ここらで終えます」

//<1424> nothing
<1424> nothing

//<1425> nothing
<1425> nothing

//<1426> nothing
<1426> nothing

//<1427> nothing
<1427> nothing

//<1428> nothing
<1428> nothing

//<1429> 高松
<1429> 高松

//<1430> 「が、興味深いので、また見学させてもらいます」
<1430> 「が、興味深いので、また見学させてもらいます」

//<1431> nothing
<1431> nothing

//<1432> nothing
<1432> nothing

//<1433> nothing
<1433> nothing

//<1434> nothing
<1434> nothing

//<1435> nothing
<1435> nothing

//<1436> 日向
<1436> 日向

//<1437> 男Ｂ
<1437> 男Ｂ

//<1438> エロエロ団総帥
<1438> エロエロ団総帥

//<1439> イケチン
<1439> イケチン

//<1440> ホモ太
<1440> ホモ太

//<1441> ひなチン
<1441> ひなチン

//<1442> 秀樹
<1442> 秀樹

//<1443> 男子生徒
<1443> 男子生徒

//<1444> ？？
<1444> ？？

//<1445> 「ああ、どーぞ」
<1445> 「ああ、どーぞ」

//<1446> 音無
<1446> 音無

//<1447> クソ坊主
<1447> クソ坊主

//<1448> 代理人
<1448> 代理人

//<1449> 微妙すぎるイケメン
<1449> 微妙すぎるイケメン

//<1450> ロリコン
<1450> ロリコン

//<1451> メガネ仲間
<1451> メガネ仲間

//<1452> 暗算日本記録保持者
<1452> 暗算日本記録保持者

//<1453> 通り魔
<1453> 通り魔

//<1454> 記憶ナシ男
<1454> 記憶ナシ男

//<1455> 音速
<1455> 音速

//<1456> 無限
<1456> 無限

//<1457> エロ侍
<1457> エロ侍

//<1458> エロエロ団ナンバー１
<1458> エロエロ団ナンバー１

//<1459> ただのエロ少年
<1459> ただのエロ少年

//<1460> ユリブサイク
<1460> ユリブサイク

//<1461> ドピュッシー
<1461> ドピュッシー

//<1462> アメリカンエロドッグ
<1462> アメリカンエロドッグ

//<1463> ゼウス
<1463> ゼウス

//<1464> 日向markⅡ
<1464> 日向markⅡ

//<1465> 糞虫
<1465> 糞虫

//<1466> 量産型日向
<1466> 量産型日向

//<1467> ？？
<1467> ？？

//<1468> （やめてくれ…）
<1468> （やめてくれ…）

//<1469> nothing
<1469> nothing

//<1470> nothing
<1470> nothing

//<1471> nothing
<1471> nothing

//<1472> nothing
<1472> nothing

//<1473> nothing
<1473> nothing

//<1474> 日向
<1474> 日向

//<1475> 男Ｂ
<1475> 男Ｂ

//<1476> エロエロ団総帥
<1476> エロエロ団総帥

//<1477> イケチン
<1477> イケチン

//<1478> ホモ太
<1478> ホモ太

//<1479> ひなチン
<1479> ひなチン

//<1480> 秀樹
<1480> 秀樹

//<1481> 男子生徒
<1481> 男子生徒

//<1482> ？？
<1482> ？？

//<1483> 「じゃ、今日は俺が先、行くぜ」
<1483> 「じゃ、今日は俺が先、行くぜ」

//<1484> 音無
<1484> 音無

//<1485> クソ坊主
<1485> クソ坊主

//<1486> 代理人
<1486> 代理人

//<1487> 微妙すぎるイケメン
<1487> 微妙すぎるイケメン

//<1488> ロリコン
<1488> ロリコン

//<1489> メガネ仲間
<1489> メガネ仲間

//<1490> 暗算日本記録保持者
<1490> 暗算日本記録保持者

//<1491> 通り魔
<1491> 通り魔

//<1492> 記憶ナシ男
<1492> 記憶ナシ男

//<1493> 音速
<1493> 音速

//<1494> 無限
<1494> 無限

//<1495> エロ侍
<1495> エロ侍

//<1496> エロエロ団ナンバー１
<1496> エロエロ団ナンバー１

//<1497> ただのエロ少年
<1497> ただのエロ少年

//<1498> ユリブサイク
<1498> ユリブサイク

//<1499> ドピュッシー
<1499> ドピュッシー

//<1500> アメリカンエロドッグ
<1500> アメリカンエロドッグ

//<1501> ゼウス
<1501> ゼウス

//<1502> 日向markⅡ
<1502> 日向markⅡ

//<1503> 糞虫
<1503> 糞虫

//<1504> 量産型日向
<1504> 量産型日向

//<1505> ？？
<1505> ？？

//<1506> 「ああ」
<1506> 「ああ」

//<1507> nothing
<1507> nothing

//<1508> nothing
<1508> nothing

//<1509> nothing
<1509> nothing

//<1510> nothing
<1510> nothing

//<1511> nothing
<1511> nothing

//<1512> 日向が銃を構え、撃つ。
<1512> 日向が銃を構え、撃つ。

//<1513> nothing
<1513> nothing

//<1514> nothing
<1514> nothing

//<1515> nothing
<1515> nothing

//<1516> nothing
<1516> nothing

//<1517> nothing
<1517> nothing

//<1518> nothing
<1518> nothing

//<1519> se_handgun
<1519> se_handgun

//<1520> None
<1520> None

//<1521> se_shotting_can
<1521> se_shotting_can

//<1522> かぁん！
<1522> かぁん！

//<1523> se_handgun
<1523> se_handgun

//<1524> None
<1524> None

//<1525> se_shotting_can
<1525> se_shotting_can

//<1526> かぁん！
<1526> かぁん！

//<1527> se_handgun
<1527> se_handgun

//<1528> None
<1528> None

//<1529> se_shotting_can
<1529> se_shotting_can

//<1530> かぁん！
<1530> かぁん！

//<1531> se_handgun
<1531> se_handgun

//<1532> None
<1532> None

//<1533> 最初だけ外したが、その後は見事に缶を飛ばし続けた。
<1533> 最初だけ外したが、その後は見事に缶を飛ばし続けた。

//<1534> nothing
<1534> nothing

//<1535> nothing
<1535> nothing

//<1536> nothing
<1536> nothing

//<1537> nothing
<1537> nothing

//<1538> nothing
<1538> nothing

//<1539> 日向
<1539> 日向

//<1540> 男Ｂ
<1540> 男Ｂ

//<1541> エロエロ団総帥
<1541> エロエロ団総帥

//<1542> イケチン
<1542> イケチン

//<1543> ホモ太
<1543> ホモ太

//<1544> ひなチン
<1544> ひなチン

//<1545> 秀樹
<1545> 秀樹

//<1546> 男子生徒
<1546> 男子生徒

//<1547> ？？
<1547> ？？

//<1548> 「缶、立て直してくるな」
<1548> 「缶、立て直してくるな」

//<1549> nothing
<1549> nothing

//<1550> nothing
<1550> nothing

//<1551> nothing
<1551> nothing

//<1552> nothing
<1552> nothing

//<1553> nothing
<1553> nothing

//<1554> nothing
<1554> nothing

//<1555> 成果を見せなければ…。
<1555> 成果を見せなければ…。

//<1556> 撃つ
<1556> 撃つ

//<1557> 待つ
<1557> 待つ

//<1558> selbtn : 
<1558> selbtn : 
{29ec8} 0a // 1558

//<1559> se_handgun2
<1559> se_handgun2

//<1560> None
<1560> None

//<1561> ぱぁん！
<1561> ぱぁん！

//<1562> 日向
<1562> 日向

//<1563> 男Ｂ
<1563> 男Ｂ

//<1564> エロエロ団総帥
<1564> エロエロ団総帥

//<1565> イケチン
<1565> イケチン

//<1566> ホモ太
<1566> ホモ太

//<1567> ひなチン
<1567> ひなチン

//<1568> 秀樹
<1568> 秀樹

//<1569> 男子生徒
<1569> 男子生徒

//<1570> ？？
<1570> ？？

//<1571> 「っ！？」
<1571> 「っ！？」

//<1572> 日向が驚いて転げていた。
<1572> 日向が驚いて転げていた。

//<1573> nothing
<1573> nothing

//<1574> nothing
<1574> nothing

//<1575> nothing
<1575> nothing

//<1576> nothing
<1576> nothing

//<1577> nothing
<1577> nothing

//<1578> 日向
<1578> 日向

//<1579> 男Ｂ
<1579> 男Ｂ

//<1580> エロエロ団総帥
<1580> エロエロ団総帥

//<1581> イケチン
<1581> イケチン

//<1582> ホモ太
<1582> ホモ太

//<1583> ひなチン
<1583> ひなチン

//<1584> 秀樹
<1584> 秀樹

//<1585> 男子生徒
<1585> 男子生徒

//<1586> ？？
<1586> ？？

//<1587> 「待て待て！　まだ缶を立てていないのになんで撃つんだよっ！？」
<1587> 「待て待て！　まだ缶を立てていないのになんで撃つんだよっ！？」

//<1588> 音無
<1588> 音無

//<1589> クソ坊主
<1589> クソ坊主

//<1590> 代理人
<1590> 代理人

//<1591> 微妙すぎるイケメン
<1591> 微妙すぎるイケメン

//<1592> ロリコン
<1592> ロリコン

//<1593> メガネ仲間
<1593> メガネ仲間

//<1594> 暗算日本記録保持者
<1594> 暗算日本記録保持者

//<1595> 通り魔
<1595> 通り魔

//<1596> 記憶ナシ男
<1596> 記憶ナシ男

//<1597> 音速
<1597> 音速

//<1598> 無限
<1598> 無限

//<1599> エロ侍
<1599> エロ侍

//<1600> エロエロ団ナンバー１
<1600> エロエロ団ナンバー１

//<1601> ただのエロ少年
<1601> ただのエロ少年

//<1602> ユリブサイク
<1602> ユリブサイク

//<1603> ドピュッシー
<1603> ドピュッシー

//<1604> アメリカンエロドッグ
<1604> アメリカンエロドッグ

//<1605> ゼウス
<1605> ゼウス

//<1606> 日向markⅡ
<1606> 日向markⅡ

//<1607> 糞虫
<1607> 糞虫

//<1608> 量産型日向
<1608> 量産型日向

//<1609> ？？
<1609> ？？

//<1610> 「ただのエロ少年だけに、早漏なんだ…」
<1610> 「ただのエロ少年だけに、早漏なんだ…」

//<1611> nothing
<1611> nothing

//<1612> nothing
<1612> nothing

//<1613> nothing
<1613> nothing

//<1614> nothing
<1614> nothing

//<1615> nothing
<1615> nothing

//<1616> 日向
<1616> 日向

//<1617> 男Ｂ
<1617> 男Ｂ

//<1618> エロエロ団総帥
<1618> エロエロ団総帥

//<1619> イケチン
<1619> イケチン

//<1620> ホモ太
<1620> ホモ太

//<1621> ひなチン
<1621> ひなチン

//<1622> 秀樹
<1622> 秀樹

//<1623> 男子生徒
<1623> 男子生徒

//<1624> ？？
<1624> ？？

//<1625> 「そんな自虐ネタで上手いこと言うなよっ！！」
<1625> 「そんな自虐ネタで上手いこと言うなよっ！！」

//<1626> nothing
<1626> nothing

//<1627> nothing
<1627> nothing

//<1628> nothing
<1628> nothing

//<1629> nothing
<1629> nothing

//<1630> nothing
<1630> nothing

//<1631> 日向
<1631> 日向

//<1632> 男Ｂ
<1632> 男Ｂ

//<1633> エロエロ団総帥
<1633> エロエロ団総帥

//<1634> イケチン
<1634> イケチン

//<1635> ホモ太
<1635> ホモ太

//<1636> ひなチン
<1636> ひなチン

//<1637> 秀樹
<1637> 秀樹

//<1638> 男子生徒
<1638> 男子生徒

//<1639> ？？
<1639> ？？

//<1640> 「待て待て！　まだ缶を立てていないのになんで撃つんだよっ！？」
<1640> 「待て待て！　まだ缶を立てていないのになんで撃つんだよっ！？」

//<1641> 音無
<1641> 音無

//<1642> クソ坊主
<1642> クソ坊主

//<1643> 代理人
<1643> 代理人

//<1644> 微妙すぎるイケメン
<1644> 微妙すぎるイケメン

//<1645> ロリコン
<1645> ロリコン

//<1646> メガネ仲間
<1646> メガネ仲間

//<1647> 暗算日本記録保持者
<1647> 暗算日本記録保持者

//<1648> 通り魔
<1648> 通り魔

//<1649> 記憶ナシ男
<1649> 記憶ナシ男

//<1650> 音速
<1650> 音速

//<1651> 無限
<1651> 無限

//<1652> エロ侍
<1652> エロ侍

//<1653> エロエロ団ナンバー１
<1653> エロエロ団ナンバー１

//<1654> ただのエロ少年
<1654> ただのエロ少年

//<1655> ユリブサイク
<1655> ユリブサイク

//<1656> ドピュッシー
<1656> ドピュッシー

//<1657> アメリカンエロドッグ
<1657> アメリカンエロドッグ

//<1658> ゼウス
<1658> ゼウス

//<1659> 日向markⅡ
<1659> 日向markⅡ

//<1660> 糞虫
<1660> 糞虫

//<1661> 量産型日向
<1661> 量産型日向

//<1662> ？？
<1662> ？？

//<1663> 「いや、焦れてしまって、悪い…」
<1663> 「いや、焦れてしまって、悪い…」

//<1664> nothing
<1664> nothing

//<1665> nothing
<1665> nothing

//<1666> nothing
<1666> nothing

//<1667> nothing
<1667> nothing

//<1668> nothing
<1668> nothing

//<1669> 日向
<1669> 日向

//<1670> 男Ｂ
<1670> 男Ｂ

//<1671> エロエロ団総帥
<1671> エロエロ団総帥

//<1672> イケチン
<1672> イケチン

//<1673> ホモ太
<1673> ホモ太

//<1674> ひなチン
<1674> ひなチン

//<1675> 秀樹
<1675> 秀樹

//<1676> 男子生徒
<1676> 男子生徒

//<1677> ？？
<1677> ？？

//<1678> 「死なない世界だけど、痛みは
<1678> 「死なない世界だけど、痛みは

//<1679> おんな
<1679> おんな

//<1680> 同
<1680> 同
{2d391} 3d // 1680

//<1681> じなんだから、勘弁してくれよなっ！」
<1681> じなんだから、勘弁してくれよなっ！」

//<1682> 音無
<1682> 音無

