// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> se_kazekiri3
<0000> se_kazekiri3
//<1115> ユリブサイク
<1115> ユリブサイク

//<1116> ドピュッシー
<1116> ドピュッシー

//<1117> アメリカンエロドッグ
<1117> アメリカンエロドッグ

//<1118> ゼウス
<1118> ゼウス

//<1119> 日向markⅡ
<1119> 日向markⅡ

//<1120> 糞虫
<1120> 糞虫

//<1121> 量産型日向
<1121> 量産型日向

//<1122> ？？
<1122> ？？

//<1123> 「いい…すぐ治る世界だ…」
<1123> 「いい…すぐ治る世界だ…」

//<1124> nothing
<1124> nothing

//<1125> nothing
<1125> nothing

//<1126> nothing
<1126> nothing

//<1127> nothing
<1127> nothing

//<1128> nothing
<1128> nothing

//<1129> nothing
<1129> nothing

//<1130> 音無
<1130> 音無

//<1131> クソ坊主
<1131> クソ坊主

//<1132> 代理人
<1132> 代理人

//<1133> 微妙すぎるイケメン
<1133> 微妙すぎるイケメン

//<1134> ロリコン
<1134> ロリコン

//<1135> メガネ仲間
<1135> メガネ仲間

//<1136> 暗算日本記録保持者
<1136> 暗算日本記録保持者

//<1137> 通り魔
<1137> 通り魔

//<1138> 記憶ナシ男
<1138> 記憶ナシ男

//<1139> 音速
<1139> 音速

//<1140> 無限
<1140> 無限

//<1141> エロ侍
<1141> エロ侍

//<1142> エロエロ団ナンバー１
<1142> エロエロ団ナンバー１

//<1143> ただのエロ少年
<1143> ただのエロ少年

//<1144> ユリブサイク
<1144> ユリブサイク

//<1145> ドピュッシー
<1145> ドピュッシー

//<1146> アメリカンエロドッグ
<1146> アメリカンエロドッグ

//<1147> ゼウス
<1147> ゼウス

//<1148> 日向markⅡ
<1148> 日向markⅡ

//<1149> 糞虫
<1149> 糞虫

//<1150> 量産型日向
<1150> 量産型日向

//<1151> ？？
<1151> ？？

//<1152> 「ごぶっ！」
<1152> 「ごぶっ！」

//<1153> また血を吐いてしまう。
<1153> また血を吐いてしまう。

//<1154> nothing
<1154> nothing

//<1155> nothing
<1155> nothing

//<1156> nothing
<1156> nothing

//<1157> nothing
<1157> nothing

//<1158> nothing
<1158> nothing

//<1159> 野田
<1159> 野田

//<1160> 男Ｆ
<1160> 男Ｆ

//<1161> イケパイ
<1161> イケパイ

//<1162> 男
<1162> 男

//<1163> ？？
<1163> ？？

//<1164> 「保健室まで肩を貸してやろうか？」
<1164> 「保健室まで肩を貸してやろうか？」

//<1165> 頼む
<1165> 頼む

//<1166> ひとりで大丈夫
<1166> ひとりで大丈夫

//<1167> selbtn : 
<1167> selbtn : 

//<1168> 音無
<1168> 音無

//<1169> クソ坊主
<1169> クソ坊主

//<1170> 代理人
<1170> 代理人

//<1171> 微妙すぎるイケメン
<1171> 微妙すぎるイケメン

//<1172> ロリコン
<1172> ロリコン

//<1173> メガネ仲間
<1173> メガネ仲間

//<1174> 暗算日本記録保持者
<1174> 暗算日本記録保持者

//<1175> 通り魔
<1175> 通り魔

//<1176> 記憶ナシ男
<1176> 記憶ナシ男

//<1177> 音速
<1177> 音速

//<1178> 無限
<1178> 無限

//<1179> エロ侍
<1179> エロ侍

//<1180> エロエロ団ナンバー１
<1180> エロエロ団ナンバー１

//<1181> ただのエロ少年
<1181> ただのエロ少年

//<1182> ユリブサイク
<1182> ユリブサイク

//<1183> ドピュッシー
<1183> ドピュッシー

//<1184> アメリカンエロドッグ
<1184> アメリカンエロドッグ

//<1185> ゼウス
<1185> ゼウス

//<1186> 日向markⅡ
<1186> 日向markⅡ

//<1187> 糞虫
<1187> 糞虫

//<1188> 量産型日向
<1188> 量産型日向

//<1189> ？？
<1189> ？？

//<1190> 「たの…む…」
<1190> 「たの…む…」

//<1191> nothing
<1191> nothing

//<1192> nothing
<1192> nothing

//<1193> nothing
<1193> nothing

//<1194> nothing
<1194> nothing

//<1195> nothing
<1195> nothing

//<1196> 野田
<1196> 野田

//<1197> 男Ｆ
<1197> 男Ｆ

//<1198> イケパイ
<1198> イケパイ

//<1199> 男
<1199> 男

//<1200> ？？
<1200> ？？

//<1201> 「ちっ…仕方がない奴だな…」
<1201> 「ちっ…仕方がない奴だな…」

//<1202> nothing
<1202> nothing

//<1203> nothing
<1203> nothing

//<1204> nothing
<1204> nothing

//<1205> nothing
<1205> nothing

//<1206> nothing
<1206> nothing

//<1207> 野田の肩を借り、保健室まで歩く。
<1207> 野田の肩を借り、保健室まで歩く。

//<1208> どれだけ血を吐いても、付き合ってくれた。
<1208> どれだけ血を吐いても、付き合ってくれた。

//<1209> 音無
<1209> 音無

//<1210> クソ坊主
<1210> クソ坊主

//<1211> 代理人
<1211> 代理人

//<1212> 微妙すぎるイケメン
<1212> 微妙すぎるイケメン

//<1213> ロリコン
<1213> ロリコン

//<1214> メガネ仲間
<1214> メガネ仲間

//<1215> 暗算日本記録保持者
<1215> 暗算日本記録保持者

//<1216> 通り魔
<1216> 通り魔

//<1217> 記憶ナシ男
<1217> 記憶ナシ男

//<1218> 音速
<1218> 音速

//<1219> 無限
<1219> 無限

//<1220> エロ侍
<1220> エロ侍

//<1221> エロエロ団ナンバー１
<1221> エロエロ団ナンバー１

//<1222> ただのエロ少年
<1222> ただのエロ少年

//<1223> ユリブサイク
<1223> ユリブサイク

//<1224> ドピュッシー
<1224> ドピュッシー

//<1225> アメリカンエロドッグ
<1225> アメリカンエロドッグ

//<1226> ゼウス
<1226> ゼウス

//<1227> 日向markⅡ
<1227> 日向markⅡ

//<1228> 糞虫
<1228> 糞虫

//<1229> 量産型日向
<1229> 量産型日向

//<1230> ？？
<1230> ？？

//<1231> 「はは…、ありがとな…」
<1231> 「はは…、ありがとな…」

//<1232> nothing
<1232> nothing

//<1233> nothing
<1233> nothing

//<1234> nothing
<1234> nothing

//<1235> nothing
<1235> nothing

//<1236> nothing
<1236> nothing

//<1237> 野田
<1237> 野田

//<1238> 男Ｆ
<1238> 男Ｆ

//<1239> イケパイ
<1239> イケパイ

//<1240> 男
<1240> 男

//<1241> ？？
<1241> ？？

//<1242> 「なんだよその、それがあいつの最後の言葉になった…的なセリフはっ！」
<1242> 「なんだよその、それがあいつの最後の言葉になった…的なセリフはっ！」

//<1243> nothing
<1243> nothing

//<1244> nothing
<1244> nothing

//<1245> nothing
<1245> nothing

//<1246> nothing
<1246> nothing

//<1247> nothing
<1247> nothing

//<1248> 野田
<1248> 野田

//<1249> 男Ｆ
<1249> 男Ｆ

//<1250> イケパイ
<1250> イケパイ

//<1251> 男
<1251> 男

//<1252> ？？
<1252> ？？

//<1253> 「もう少しだから、頑張れ」
<1253> 「もう少しだから、頑張れ」

//<1254> 音無
<1254> 音無

//<1255> クソ坊主
<1255> クソ坊主

//<1256> 代理人
<1256> 代理人

//<1257> 微妙すぎるイケメン
<1257> 微妙すぎるイケメン

//<1258> ロリコン
<1258> ロリコン

//<1259> メガネ仲間
<1259> メガネ仲間

//<1260> 暗算日本記録保持者
<1260> 暗算日本記録保持者

//<1261> 通り魔
<1261> 通り魔

//<1262> 記憶ナシ男
<1262> 記憶ナシ男

//<1263> 音速
<1263> 音速

//<1264> 無限
<1264> 無限

//<1265> エロ侍
<1265> エロ侍

//<1266> エロエロ団ナンバー１
<1266> エロエロ団ナンバー１

//<1267> ただのエロ少年
<1267> ただのエロ少年

//<1268> ユリブサイク
<1268> ユリブサイク

//<1269> ドピュッシー
<1269> ドピュッシー

//<1270> アメリカンエロドッグ
<1270> アメリカンエロドッグ

//<1271> ゼウス
<1271> ゼウス

//<1272> 日向markⅡ
<1272> 日向markⅡ

//<1273> 糞虫
<1273> 糞虫

//<1274> 量産型日向
<1274> 量産型日向

//<1275> ？？
<1275> ？？

//<1276> 「ああ…」
<1276> 「ああ…」

//<1277> 校舎に入る頃には、意識がなくなっていた…。
<1277> 校舎に入る頃には、意識がなくなっていた…。

//<1278> 音無
<1278> 音無

//<1279> クソ坊主
<1279> クソ坊主

//<1280> 代理人
<1280> 代理人

//<1281> 微妙すぎるイケメン
<1281> 微妙すぎるイケメン

//<1282> ロリコン
<1282> ロリコン

//<1283> メガネ仲間
<1283> メガネ仲間

//<1284> 暗算日本記録保持者
<1284> 暗算日本記録保持者

//<1285> 通り魔
<1285> 通り魔

//<1286> 記憶ナシ男
<1286> 記憶ナシ男

//<1287> 音速
<1287> 音速

//<1288> 無限
<1288> 無限

//<1289> エロ侍
<1289> エロ侍

//<1290> エロエロ団ナンバー１
<1290> エロエロ団ナンバー１

//<1291> ただのエロ少年
<1291> ただのエロ少年

//<1292> ユリブサイク
<1292> ユリブサイク

//<1293> ドピュッシー
<1293> ドピュッシー

//<1294> アメリカンエロドッグ
<1294> アメリカンエロドッグ

//<1295> ゼウス
<1295> ゼウス

//<1296> 日向markⅡ
<1296> 日向markⅡ

//<1297> 糞虫
<1297> 糞虫

//<1298> 量産型日向
<1298> 量産型日向

//<1299> ？？
<1299> ？？

//<1300> 「ひとりで…だい…じょうぶ…さ…」
<1300> 「ひとりで…だい…じょうぶ…さ…」

//<1301> nothing
<1301> nothing

//<1302> nothing
<1302> nothing

//<1303> nothing
<1303> nothing

//<1304> nothing
<1304> nothing

//<1305> nothing
<1305> nothing

//<1306> 野田
<1306> 野田

//<1307> 男Ｆ
<1307> 男Ｆ

//<1308> イケパイ
<1308> イケパイ

//<1309> 男
<1309> 男

//<1310> ？？
<1310> ？？

//<1311> 「ぜんぜん大丈夫に見えないんだが…」
<1311> 「ぜんぜん大丈夫に見えないんだが…」

//<1312> 音無
<1312> 音無

//<1313> クソ坊主
<1313> クソ坊主

//<1314> 代理人
<1314> 代理人

//<1315> 微妙すぎるイケメン
<1315> 微妙すぎるイケメン

//<1316> ロリコン
<1316> ロリコン

//<1317> メガネ仲間
<1317> メガネ仲間

//<1318> 暗算日本記録保持者
<1318> 暗算日本記録保持者

//<1319> 通り魔
<1319> 通り魔

//<1320> 記憶ナシ男
<1320> 記憶ナシ男

//<1321> 音速
<1321> 音速

//<1322> 無限
<1322> 無限

//<1323> エロ侍
<1323> エロ侍

//<1324> エロエロ団ナンバー１
<1324> エロエロ団ナンバー１

//<1325> ただのエロ少年
<1325> ただのエロ少年

//<1326> ユリブサイク
<1326> ユリブサイク

//<1327> ドピュッシー
<1327> ドピュッシー

//<1328> アメリカンエロドッグ
<1328> アメリカンエロドッグ

//<1329> ゼウス
<1329> ゼウス

//<1330> 日向markⅡ
<1330> 日向markⅡ

//<1331> 糞虫
<1331> 糞虫

//<1332> 量産型日向
<1332> 量産型日向

//<1333> ？？
<1333> ？？

//<1334> 「お前は…鍛錬を続けろ…今日の俺は付き合えないから…自力で保健室へ行く…」
<1334> 「お前は…鍛錬を続けろ…今日の俺は付き合えないから…自力で保健室へ行く…」

//<1335> nothing
<1335> nothing

//<1336> nothing
<1336> nothing

//<1337> nothing
<1337> nothing

//<1338> nothing
<1338> nothing

//<1339> nothing
<1339> nothing

//<1340> nothing
<1340> nothing

//<1341> 立ち上がり、颯爽と去ろうとするが、激痛を覚え、また血を吐いてしまう…。
<1341> 立ち上がり、颯爽と去ろうとするが、激痛を覚え、また血を吐いてしまう…。

//<1342> 野田
<1342> 野田

//<1343> 男Ｆ
<1343> 男Ｆ

//<1344> イケパイ
<1344> イケパイ

//<1345> 男
<1345> 男

//<1346> ？？
<1346> ？？

//<1347> 「おいおい、無理じゃないか！　俺の肩を貸してやるからっ！」
<1347> 「おいおい、無理じゃないか！　俺の肩を貸してやるからっ！」

//<1348> nothing
<1348> nothing

//<1349> nothing
<1349> nothing

//<1350> nothing
<1350> nothing

//<1351> nothing
<1351> nothing

//<1352> nothing
<1352> nothing

//<1353> その好意に甘えることにする。
<1353> その好意に甘えることにする。

//<1354> nothing
<1354> nothing

//<1355> nothing
<1355> nothing

//<1356> nothing
<1356> nothing

//<1357> nothing
<1357> nothing

//<1358> nothing
<1358> nothing

//<1359> 野田
<1359> 野田

//<1360> 男Ｆ
<1360> 男Ｆ

//<1361> イケパイ
<1361> イケパイ

//<1362> 男
<1362> 男

//<1363> ？？
<1363> ？？

//<1364> 「おいおい…」
<1364> 「おいおい…」

//<1365> 音無
<1365> 音無

//<1366> クソ坊主
<1366> クソ坊主

//<1367> 代理人
<1367> 代理人

//<1368> 微妙すぎるイケメン
<1368> 微妙すぎるイケメン

//<1369> ロリコン
<1369> ロリコン

//<1370> メガネ仲間
<1370> メガネ仲間

//<1371> 暗算日本記録保持者
<1371> 暗算日本記録保持者

//<1372> 通り魔
<1372> 通り魔

//<1373> 記憶ナシ男
<1373> 記憶ナシ男

//<1374> 音速
<1374> 音速

//<1375> 無限
<1375> 無限

//<1376> エロ侍
<1376> エロ侍

//<1377> エロエロ団ナンバー１
<1377> エロエロ団ナンバー１

//<1378> ただのエロ少年
<1378> ただのエロ少年

//<1379> ユリブサイク
<1379> ユリブサイク

//<1380> ドピュッシー
<1380> ドピュッシー

//<1381> アメリカンエロドッグ
<1381> アメリカンエロドッグ

//<1382> ゼウス
<1382> ゼウス

//<1383> 日向markⅡ
<1383> 日向markⅡ

//<1384> 糞虫
<1384> 糞虫

//<1385> 量産型日向
<1385> 量産型日向

//<1386> ？？
<1386> ？？

//<1387> 「大丈夫だ…！」
<1387> 「大丈夫だ…！」

//<1388> nothing
<1388> nothing

//<1389> nothing
<1389> nothing

//<1390> nothing
<1390> nothing

//<1391> nothing
<1391> nothing

//<1392> nothing
<1392> nothing

//<1393> 野田
<1393> 野田

//<1394> 男Ｆ
<1394> 男Ｆ

//<1395> イケパイ
<1395> イケパイ

//<1396> 男
<1396> 男

//<1397> ？？
<1397> ？？

//<1398> 「なら、いいけど…」
<1398> 「なら、いいけど…」

//<1399> ひとりで保健室に向かうが…。
<1399> ひとりで保健室に向かうが…。

//<1400> 出血多量で、途中で倒れてしまう。
<1400> 出血多量で、途中で倒れてしまう。

//<1401> dummy
<1401> dummy

//<1402> bg_kuro
<1402> bg_kuro

//<1403> ep04_bg022
<1403> ep04_bg022

//<1404> nd040500l3
<1404> nd040500l3

//<1405> nd0302
<1405> nd0302

//<1406> nd0301_10
<1406> nd0301_10

//<1407> bg_kuro
<1407> bg_kuro

//<1408> ep04_bg023
<1408> ep04_bg023

//<1409> m105
<1409> m105

//<1410> nd0209
<1410> nd0209

//<1411> nd0101_04
<1411> nd0101_04

//<1412> nd0101
<1412> nd0101

//<1413> nd0110
<1413> nd0110

//<1414> nd0605
<1414> nd0605

//<1415> nd0301_02
<1415> nd0301_02

//<1416> m121
<1416> m121

//<1417> bs3_nd0603_0600l3
<1417> bs3_nd0603_0600l3

//<1418> nd0603_06
<1418> nd0603_06

//<1419> bs2_nd030700a0
<1419> bs2_nd030700a0

//<1420> nd0310_02
<1420> nd0310_02

//<1421> nd0308
<1421> nd0308

//<1422> nd0605
<1422> nd0605

//<1423> nd0602
<1423> nd0602

//<1424> nd0301_02
<1424> nd0301_02

//<1425> ep04_bg047
<1425> ep04_bg047

//<1426> ep04_bg023
<1426> ep04_bg023

//<1427> nd0301_02
<1427> nd0301_02

//<1428> nd0201_02
<1428> nd0201_02

//<1429> bg_kuro
<1429> bg_kuro

//<1430> ep88_bg023
<1430> ep88_bg023

//<1431> nd0302
<1431> nd0302

//<1432> nd0501_02
<1432> nd0501_02

//<1433> nd0403
<1433> nd0403

//<1434> bg_kuro
<1434> bg_kuro

//<1435> ep07_bg041
<1435> ep07_bg041

//<1436> nd0201_02
<1436> nd0201_02

//<1437> nd0210
<1437> nd0210

//<1438> nd0201_02
<1438> nd0201_02

//<1439> m107
<1439> m107
{12f48} 0a // 1439

//<1440> nd0202
<1440> nd0202

//<1441> nd0202
<1441> nd0202

//<1442> nd0202
<1442> nd0202

//<1443> nd0207
<1443> nd0207

//<1444> nd0302
<1444> nd0302

//<1445> nd0605
<1445> nd0605

//<1446> nd0201_02
<1446> nd0201_02

//<1447> nd0201
<1447> nd0201

//<1448> m121
<1448> m121

//<1449> nd02012100
<1449> nd02012100

//<1450> bs3_nd05012100
<1450> bs3_nd05012100

//<1451> nd0501
<1451> nd0501

//<1452> nd0501
<1452> nd0501

//<1453> nd05012100
<1453> nd05012100

//<1454> nd05052100
<1454> nd05052100

//<1455> nd0405_10
<1455> nd0405_10

//<1456> nd0405_01
<1456> nd0405_01

//<1457> nd0405_01
<1457> nd0405_01

//<1458> nd0305
<1458> nd0305

//<1459> nd0305_01
<1459> nd0305_01

//<1460> nd0305
<1460> nd0305

//<1461> bs1_nd0305_01
<1461> bs1_nd0305_01

//<1462> ep04_bg047
<1462> ep04_bg047

//<1463> ep07_bg041
<1463> ep07_bg041

//<1464> bs3_nd0405_0100l3
<1464> bs3_nd0405_0100l3

//<1465> se_sasaru
<1465> se_sasaru

//<1466> nd0107_09
<1466> nd0107_09

//<1467> m106
<1467> m106

//<1468> nd0207
<1468> nd0207

//<1469> sys_bk_selline00
<1469> sys_bk_selline00

//<1470> nd0210
<1470> nd0210

//<1471> bs3_nd070100a0
<1471> bs3_nd070100a0

//<1472> ep04_bg047
<1472> ep04_bg047

//<1473> ep04_bg021
<1473> ep04_bg021

//<1474> bs3_nd0706
<1474> bs3_nd0706

//<1475> nd0701_02
<1475> nd0701_02

//<1476> bg_kuro
<1476> bg_kuro

//<1477> nd0209
<1477> nd0209

//<1478> nd0303_06
<1478> nd0303_06

//<1479> bs3_nd0707
<1479> bs3_nd0707

//<1480> nd0310
<1480> nd0310

//<1481> nd0308
<1481> nd0308

//<1482> bg_kuro
<1482> bg_kuro

//<1483> bg_kuro
<1483> bg_kuro

