// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 問題を解き始めると、すらすらと回答欄が埋まっていった。
<0000> 問題を解き始めると、すらすらと回答欄が埋まっていった。

//<3732> エロエロ団ナンバー１
<3732> エロエロ団ナンバー１

//<3733> ただのエロ少年
<3733> ただのエロ少年

//<3734> ユリブサイク
<3734> ユリブサイク

//<3735> ドピュッシー
<3735> ドピュッシー

//<3736> アメリカンエロドッグ
<3736> アメリカンエロドッグ

//<3737> ゼウス
<3737> ゼウス

//<3738> 日向markⅡ
<3738> 日向markⅡ

//<3739> 糞虫
<3739> 糞虫

//<3740> 量産型日向
<3740> 量産型日向

//<3741> ？？
<3741> ？？

//<3742> 「いや、今の俺は糞虫なんだ」
<3742> 「いや、今の俺は糞虫なんだ」

//<3743> nothing
<3743> nothing

//<3744> nothing
<3744> nothing

//<3745> nothing
<3745> nothing

//<3746> nothing
<3746> nothing

//<3747> nothing
<3747> nothing

//<3748> 天使
<3748> 天使

//<3749> かなで
<3749> かなで

//<3750> 女生徒
<3750> 女生徒

//<3751> ？？
<3751> ？？

//<3752> 「…？」
<3752> 「…？」

//<3753> ダメだ、全然伝わってない。
<3753> ダメだ、全然伝わってない。

//<3754> 要点のみ伝えよう。
<3754> 要点のみ伝えよう。

//<3755> 音無
<3755> 音無

//<3756> クソ坊主
<3756> クソ坊主

//<3757> 代理人
<3757> 代理人

//<3758> 微妙すぎるイケメン
<3758> 微妙すぎるイケメン

//<3759> ロリコン
<3759> ロリコン

//<3760> メガネ仲間
<3760> メガネ仲間

//<3761> 暗算日本記録保持者
<3761> 暗算日本記録保持者

//<3762> 通り魔
<3762> 通り魔

//<3763> 記憶ナシ男
<3763> 記憶ナシ男

//<3764> 音速
<3764> 音速

//<3765> 無限
<3765> 無限

//<3766> エロ侍
<3766> エロ侍

//<3767> エロエロ団ナンバー１
<3767> エロエロ団ナンバー１

//<3768> ただのエロ少年
<3768> ただのエロ少年

//<3769> ユリブサイク
<3769> ユリブサイク

//<3770> ドピュッシー
<3770> ドピュッシー

//<3771> アメリカンエロドッグ
<3771> アメリカンエロドッグ

//<3772> ゼウス
<3772> ゼウス

//<3773> 日向markⅡ
<3773> 日向markⅡ

//<3774> 糞虫
<3774> 糞虫

//<3775> 量産型日向
<3775> 量産型日向

//<3776> ？？
<3776> ？？

//<3777> 「とにかく、これからは俺のことを糞虫と呼んでくれ」
<3777> 「とにかく、これからは俺のことを糞虫と呼んでくれ」

//<3778> nothing
<3778> nothing

//<3779> nothing
<3779> nothing

//<3780> nothing
<3780> nothing

//<3781> nothing
<3781> nothing

//<3782> nothing
<3782> nothing

//<3783> 天使
<3783> 天使

//<3784> かなで
<3784> かなで

//<3785> 女生徒
<3785> 女生徒

//<3786> ？？
<3786> ？？

//<3787> 「クソムシくんね」
<3787> 「クソムシくんね」

//<3788> あっさり伝わった！
<3788> あっさり伝わった！

//<3789> nothing
<3789> nothing

//<3790> nothing
<3790> nothing

//<3791> nothing
<3791> nothing

//<3792> nothing
<3792> nothing

//<3793> nothing
<3793> nothing

//<3794> 天使
<3794> 天使

//<3795> かなで
<3795> かなで

//<3796> 女生徒
<3796> 女生徒

//<3797> ？？
<3797> ？？

//<3798> 「どうしたの？」
<3798> 「どうしたの？」

//<3799> 音無
<3799> 音無

//<3800> クソ坊主
<3800> クソ坊主

//<3801> 代理人
<3801> 代理人

//<3802> 微妙すぎるイケメン
<3802> 微妙すぎるイケメン

//<3803> ロリコン
<3803> ロリコン

//<3804> メガネ仲間
<3804> メガネ仲間

//<3805> 暗算日本記録保持者
<3805> 暗算日本記録保持者

//<3806> 通り魔
<3806> 通り魔

//<3807> 記憶ナシ男
<3807> 記憶ナシ男

//<3808> 音速
<3808> 音速

//<3809> 無限
<3809> 無限

//<3810> エロ侍
<3810> エロ侍

//<3811> エロエロ団ナンバー１
<3811> エロエロ団ナンバー１

//<3812> ただのエロ少年
<3812> ただのエロ少年

//<3813> ユリブサイク
<3813> ユリブサイク

//<3814> ドピュッシー
<3814> ドピュッシー

//<3815> アメリカンエロドッグ
<3815> アメリカンエロドッグ

//<3816> ゼウス
<3816> ゼウス

//<3817> 日向markⅡ
<3817> 日向markⅡ

//<3818> 糞虫
<3818> 糞虫

//<3819> 量産型日向
<3819> 量産型日向

//<3820> ？？
<3820> ？？

//<3821> 「いや、今の俺は量産型日向なんだ」
<3821> 「いや、今の俺は量産型日向なんだ」

//<3822> nothing
<3822> nothing

//<3823> nothing
<3823> nothing

//<3824> nothing
<3824> nothing

//<3825> nothing
<3825> nothing

//<3826> nothing
<3826> nothing

//<3827> 天使
<3827> 天使

//<3828> かなで
<3828> かなで

//<3829> 女生徒
<3829> 女生徒

//<3830> ？？
<3830> ？？

//<3831> 「…？」
<3831> 「…？」

//<3832> ダメだ、全然伝わってない。
<3832> ダメだ、全然伝わってない。

//<3833> 要点のみ伝えよう。
<3833> 要点のみ伝えよう。

//<3834> 音無
<3834> 音無

//<3835> クソ坊主
<3835> クソ坊主

//<3836> 代理人
<3836> 代理人

//<3837> 微妙すぎるイケメン
<3837> 微妙すぎるイケメン

//<3838> ロリコン
<3838> ロリコン

//<3839> メガネ仲間
<3839> メガネ仲間

//<3840> 暗算日本記録保持者
<3840> 暗算日本記録保持者

//<3841> 通り魔
<3841> 通り魔

//<3842> 記憶ナシ男
<3842> 記憶ナシ男

//<3843> 音速
<3843> 音速

//<3844> 無限
<3844> 無限

//<3845> エロ侍
<3845> エロ侍

//<3846> エロエロ団ナンバー１
<3846> エロエロ団ナンバー１

//<3847> ただのエロ少年
<3847> ただのエロ少年

//<3848> ユリブサイク
<3848> ユリブサイク

//<3849> ドピュッシー
<3849> ドピュッシー

//<3850> アメリカンエロドッグ
<3850> アメリカンエロドッグ

//<3851> ゼウス
<3851> ゼウス

//<3852> 日向markⅡ
<3852> 日向markⅡ

//<3853> 糞虫
<3853> 糞虫

//<3854> 量産型日向
<3854> 量産型日向

//<3855> ？？
<3855> ？？

//<3856> 「とにかく、これからは俺のことを量産型日向と呼んでくれ」
<3856> 「とにかく、これからは俺のことを量産型日向と呼んでくれ」

//<3857> nothing
<3857> nothing

//<3858> nothing
<3858> nothing

//<3859> nothing
<3859> nothing

//<3860> nothing
<3860> nothing

//<3861> nothing
<3861> nothing

//<3862> 天使
<3862> 天使

//<3863> かなで
<3863> かなで

//<3864> 女生徒
<3864> 女生徒

//<3865> ？？
<3865> ？？

//<3866> 「量産型日向くんね」
<3866> 「量産型日向くんね」

//<3867> あっさり伝わった！
<3867> あっさり伝わった！

//<3868> nothing
<3868> nothing

//<3869> nothing
<3869> nothing

//<3870> nothing
<3870> nothing

//<3871> nothing
<3871> nothing

//<3872> nothing
<3872> nothing

//<3873> 天使
<3873> 天使

//<3874> かなで
<3874> かなで

//<3875> 女生徒
<3875> 女生徒

//<3876> ？？
<3876> ？？

//<3877> 「どうしたの？」
<3877> 「どうしたの？」

//<3878> 音無
<3878> 音無

//<3879> クソ坊主
<3879> クソ坊主

//<3880> 代理人
<3880> 代理人

//<3881> 微妙すぎるイケメン
<3881> 微妙すぎるイケメン

//<3882> ロリコン
<3882> ロリコン

//<3883> メガネ仲間
<3883> メガネ仲間

//<3884> 暗算日本記録保持者
<3884> 暗算日本記録保持者

//<3885> 通り魔
<3885> 通り魔

//<3886> 記憶ナシ男
<3886> 記憶ナシ男

//<3887> 音速
<3887> 音速

//<3888> 無限
<3888> 無限

//<3889> エロ侍
<3889> エロ侍

//<3890> エロエロ団ナンバー１
<3890> エロエロ団ナンバー１

//<3891> ただのエロ少年
<3891> ただのエロ少年

//<3892> ユリブサイク
<3892> ユリブサイク

//<3893> ドピュッシー
<3893> ドピュッシー

//<3894> アメリカンエロドッグ
<3894> アメリカンエロドッグ

//<3895> ゼウス
<3895> ゼウス

//<3896> 日向markⅡ
<3896> 日向markⅡ

//<3897> 糞虫
<3897> 糞虫

//<3898> 量産型日向
<3898> 量産型日向

//<3899> ？？
<3899> ？？

//<3900> 「あ、いや、そうじゃなくって…マヤ人が…マヤ人が…」
<3900> 「あ、いや、そうじゃなくって…マヤ人が…マヤ人が…」

//<3901> nothing
<3901> nothing

//<3902> nothing
<3902> nothing

//<3903> nothing
<3903> nothing

//<3904> nothing
<3904> nothing

//<3905> nothing
<3905> nothing

//<3906> 天使
<3906> 天使

//<3907> かなで
<3907> かなで

//<3908> 女生徒
<3908> 女生徒

//<3909> ？？
<3909> ？？

//<3910> 「マヤ人？」
<3910> 「マヤ人？」

//<3911> 音無
<3911> 音無

//<3912> クソ坊主
<3912> クソ坊主

//<3913> 代理人
<3913> 代理人

//<3914> 微妙すぎるイケメン
<3914> 微妙すぎるイケメン

//<3915> ロリコン
<3915> ロリコン

//<3916> メガネ仲間
<3916> メガネ仲間

//<3917> 暗算日本記録保持者
<3917> 暗算日本記録保持者

//<3918> 通り魔
<3918> 通り魔

//<3919> 記憶ナシ男
<3919> 記憶ナシ男

//<3920> 音速
<3920> 音速

//<3921> 無限
<3921> 無限

//<3922> エロ侍
<3922> エロ侍

//<3923> エロエロ団ナンバー１
<3923> エロエロ団ナンバー１

//<3924> ただのエロ少年
<3924> ただのエロ少年

//<3925> ユリブサイク
<3925> ユリブサイク

//<3926> ドピュッシー
<3926> ドピュッシー

//<3927> アメリカンエロドッグ
<3927> アメリカンエロドッグ

//<3928> ゼウス
<3928> ゼウス

//<3929> 日向markⅡ
<3929> 日向markⅡ

//<3930> 糞虫
<3930> 糞虫

//<3931> 量産型日向
<3931> 量産型日向

//<3932> ？？
<3932> ？？

//<3933> 「さっぱり筋は通ってないけど…とりあえず立華のおかげでまた緊張が解けた…ありがと」
<3933> 「さっぱり筋は通ってないけど…とりあえず立華のおかげでまた緊張が解けた…ありがと」

//<3934> nothing
<3934> nothing

//<3935> nothing
<3935> nothing

//<3936> nothing
<3936> nothing

//<3937> nothing
<3937> nothing

//<3938> nothing
<3938> nothing

//<3939> 天使
<3939> 天使

//<3940> かなで
<3940> かなで

//<3941> 女生徒
<3941> 女生徒

//<3942> ？？
<3942> ？？

//<3943> 「そ。ならよかったわ」
<3943> 「そ。ならよかったわ」

//<3944> テストが始まる。
<3944> テストが始まる。

//<3945> 今度は大山が天使に告白か…。
<3945> 今度は大山が天使に告白か…。

//<3946> 今度は入江が天使に告白か…。
<3946> 今度は入江が天使に告白か…。

//<3947> 音無
<3947> 音無

//<3948> クソ坊主
<3948> クソ坊主

//<3949> 代理人
<3949> 代理人

//<3950> 微妙すぎるイケメン
<3950> 微妙すぎるイケメン

//<3951> ロリコン
<3951> ロリコン

//<3952> メガネ仲間
<3952> メガネ仲間

//<3953> 暗算日本記録保持者
<3953> 暗算日本記録保持者

//<3954> 通り魔
<3954> 通り魔

//<3955> 記憶ナシ男
<3955> 記憶ナシ男

//<3956> 音速
<3956> 音速

//<3957> 無限
<3957> 無限

//<3958> エロ侍
<3958> エロ侍

//<3959> エロエロ団ナンバー１
<3959> エロエロ団ナンバー１

//<3960> ただのエロ少年
<3960> ただのエロ少年

//<3961> ユリブサイク
<3961> ユリブサイク

//<3962> ドピュッシー
<3962> ドピュッシー

//<3963> アメリカンエロドッグ
<3963> アメリカンエロドッグ

//<3964> ゼウス
<3964> ゼウス

//<3965> 日向markⅡ
<3965> 日向markⅡ

//<3966> 糞虫
<3966> 糞虫

//<3967> 量産型日向
<3967> 量産型日向

//<3968> ？？
<3968> ？？

//<3969> （すげー度胸がいるぞ…大丈夫なんだろうか…）
<3969> （すげー度胸がいるぞ…大丈夫なんだろうか…）

//<3970> とりあえず、今回も赤点取らない程度に解答欄を埋めておく。
<3970> とりあえず、今回も赤点取らない程度に解答欄を埋めておく。

//<3971> se_chime
<3971> se_chime

//<3972> チャイムが鳴る。
<3972> チャイムが鳴る。

//<3973> 教師
<3973> 教師

//<3974> 「はい、じゃ、後ろから集めて」
<3974> 「はい、じゃ、後ろから集めて」

//<3975> 前へ前へと答案用紙が送られてくる。
<3975> 前へ前へと答案用紙が送られてくる。

//<3976> それが一番前に達そうとした瞬間。
<3976> それが一番前に達そうとした瞬間。

//<3977> se_chair_standup2
<3977> se_chair_standup2
{6bf7b} 0a // 3977

//<3978> nothing
<3978> nothing

//<3979> 
<3979> 

//<3980> 
<3980> 

//<3981> nothing
<3981> nothing

//<3982> 入江
<3982> 入江

//<3983> 「立華さん！」
<3983> 「立華さん！」

//<3984> 入江が唐突に立ち上がっていた。
<3984> 入江が唐突に立ち上がっていた。

//<3985> 入江
<3985> 入江

//<3986> 「こんな時に場所も選ばず、ごめんなさい！　あなたのことがずっと好きでした！　付き合ってください！」
<3986> 「こんな時に場所も選ばず、ごめんなさい！　あなたのことがずっと好きでした！　付き合ってください！」

//<3987> 天使に向けて告白した。その顔は恥ずかしさのあまりか、真っ赤になっていた。
<3987> 天使に向けて告白した。その顔は恥ずかしさのあまりか、真っ赤になっていた。

//<3988> se_cheer3
<3988> se_cheer3

//<3989> 一瞬の静けさの後、男子がわっと湧いた。
<3989> 一瞬の静けさの後、男子がわっと湧いた。

//<3990> それは彼らにとって、衝撃的すぎるカミングアウトだったようだ。
<3990> それは彼らにとって、衝撃的すぎるカミングアウトだったようだ。

//<3991> 男子クラスメイトＡ
<3991> 男子クラスメイトＡ

//<3992> 「立華はどうでる！？」
<3992> 「立華はどうでる！？」

//<3993> 男子クラスメイトＢ
<3993> 男子クラスメイトＢ

//<3994> 「そもそも生徒会長にそっちの
<3994> 「そもそも生徒会長にそっちの

//<3995> け
<3995> け

//<3996> 気
<3996> 気
{6d2bd} 3d // 3996

//<3997> があるのか！？」
<3997> があるのか！？」

//<3998> 男子クラスメイトＣ
<3998> 男子クラスメイトＣ

//<3999> 「いやいや、ありだ！　期待に応えてくれ、生徒会長！」
<3999> 「いやいや、ありだ！　期待に応えてくれ、生徒会長！」

//<4000> 男子クラスメイトＤ
<4000> 男子クラスメイトＤ

//<4001> 「男に持って行かれるぐらいなら、女の子のほうが断然マシだ！！」
<4001> 「男に持って行かれるぐらいなら、女の子のほうが断然マシだ！！」

//<4002> 男子クラスメイトＥ
<4002> 男子クラスメイトＥ

//<4003> 「まったくだ！　受け入れろ！！」
<4003> 「まったくだ！　受け入れろ！！」

//<4004> 音無
<4004> 音無

//<4005> クソ坊主
<4005> クソ坊主

//<4006> 代理人
<4006> 代理人

//<4007> 微妙すぎるイケメン
<4007> 微妙すぎるイケメン

//<4008> ロリコン
<4008> ロリコン

//<4009> メガネ仲間
<4009> メガネ仲間

//<4010> 暗算日本記録保持者
<4010> 暗算日本記録保持者

//<4011> 通り魔
<4011> 通り魔

//<4012> 記憶ナシ男
<4012> 記憶ナシ男

//<4013> 音速
<4013> 音速

//<4014> 無限
<4014> 無限

//<4015> エロ侍
<4015> エロ侍

//<4016> エロエロ団ナンバー１
<4016> エロエロ団ナンバー１

//<4017> ただのエロ少年
<4017> ただのエロ少年

//<4018> ユリブサイク
<4018> ユリブサイク

//<4019> ドピュッシー
<4019> ドピュッシー

//<4020> アメリカンエロドッグ
<4020> アメリカンエロドッグ

//<4021> ゼウス
<4021> ゼウス

//<4022> 日向markⅡ
<4022> 日向markⅡ

//<4023> 糞虫
<4023> 糞虫

//<4024> 量産型日向
<4024> 量産型日向

//<4025> ？？
<4025> ？？

//<4026> 「ああ、同意だ！！」
<4026> 「ああ、同意だ！！」

//<4027> 男子クラスメイトＦ
<4027> 男子クラスメイトＦ

//<4028> 「そうだ、そうだぁーー！！　はっきり答えてくれ、生徒会長ー！！」
<4028> 「そうだ、そうだぁーー！！　はっきり答えてくれ、生徒会長ー！！」

//<4029> nothing
<4029> nothing

//<4030> nothing
<4030> nothing

//<4031> nothing
<4031> nothing

//<4032> nothing
<4032> nothing

//<4033> nothing
<4033> nothing

//<4034> ものすごい騒動に発展する。
<4034> ものすごい騒動に発展する。

//<4035> 教師
<4035> 教師

//<4036> 「こらこら、静まれー！」
<4036> 「こらこら、静まれー！」

//<4037> 教師が場を収めようと声を上げるが、生徒たちは一向に静まらない。
<4037> 教師が場を収めようと声を上げるが、生徒たちは一向に静まらない。

//<4038> 大騒ぎなので、竹山は容易に答案用紙をすり替えることに成功していた。
<4038> 大騒ぎなので、竹山は容易に答案用紙をすり替えることに成功していた。

//<4039> ざわめく中、すべての答案用紙を持って、教師は退室した。
<4039> ざわめく中、すべての答案用紙を持って、教師は退室した。

//<4040> 男子クラスメイトＡ
<4040> 男子クラスメイトＡ

//<4041> 「で、立華はどう答えるんだ！？」
<4041> 「で、立華はどう答えるんだ！？」

//<4042> すっくと立ち上がる天使。
<4042> すっくと立ち上がる天使。

//<4043> 入江を振り返り、見据えた。水を打ったような静けさの中。
<4043> 入江を振り返り、見据えた。水を打ったような静けさの中。

//<4044> nothing
<4044> nothing

//<4045> nothing
<4045> nothing

//<4046> nothing
<4046> nothing

//<4047> nothing
<4047> nothing

//<4048> nothing
<4048> nothing

//<4049> 天使
<4049> 天使

//<4050> かなで
<4050> かなで

//<4051> 女生徒
<4051> 女生徒

//<4052> ？？
<4052> ？？

//<4053> 「…まず友達からでいい？」
<4053> 「…まず友達からでいい？」

//<4054> nothing
<4054> nothing

//<4055> nothing
<4055> nothing

//<4056> nothing
<4056> nothing

//<4057> nothing
<4057> nothing

//<4058> nothing
<4058> nothing

//<4059> se_cheer3
<4059> se_cheer3

//<4060> その返答にまた男子たちが一斉に湧く。
<4060> その返答にまた男子たちが一斉に湧く。

//<4061> nothing
<4061> nothing

//<4062> nothing
<4062> nothing

//<4063> nothing
<4063> nothing

//<4064> nothing
<4064> nothing

//<4065> nothing
<4065> nothing

//<4066> 入江
<4066> 入江
{6ec56} 33 // 4066

//<4067> 「え…はい…。こちらこそ、よろしくお願いします！」
<4067> 「え…はい…。こちらこそ、よろしくお願いします！」

//<4068> nothing
<4068> nothing

//<4069> nothing
<4069> nothing

//<4070> nothing
<4070> nothing

//<4071> nothing
<4071> nothing

//<4072> nothing
<4072> nothing

//<4073> 入江は礼をする。その顔はなぜか赤かった。
<4073> 入江は礼をする。その顔はなぜか赤かった。

//<4074> nothing
<4074> nothing

//<4075> nothing
<4075> nothing

//<4076> nothing
<4076> nothing

//<4077> nothing
<4077> nothing

//<4078> nothing
<4078> nothing

//<4079> nothing
<4079> nothing

//<4080> とにかく作戦は成功したのだ。
<4080> とにかく作戦は成功したのだ。

//<4081> またゆりの元へ全員が集まる。
<4081> またゆりの元へ全員が集まる。

//<4082> nothing
<4082> nothing

//<4083> nothing
<4083> nothing

//<4084> nothing
<4084> nothing

//<4085> nothing
<4085> nothing

//<4086> nothing
<4086> nothing

//<4087> 入江
<4087> 入江

//<4088> 「はあぁぁぁぁー…すごく緊張しましたーー…」
<4088> 「はあぁぁぁぁー…すごく緊張しましたーー…」

//<4089> ゆり
<4089> ゆり

//<4090> 女生徒
<4090> 女生徒

//<4091> ？？
<4091> ？？

//<4092> 「よくやってくれたわ、入江さん」
<4092> 「よくやってくれたわ、入江さん」

//<4093> 音無
<4093> 音無

//<4094> クソ坊主
<4094> クソ坊主

//<4095> 代理人
<4095> 代理人

//<4096> 微妙すぎるイケメン
<4096> 微妙すぎるイケメン

//<4097> ロリコン
<4097> ロリコン

//<4098> メガネ仲間
<4098> メガネ仲間

//<4099> 暗算日本記録保持者
<4099> 暗算日本記録保持者

//<4100> 通り魔
<4100> 通り魔

//<4101> 記憶ナシ男
<4101> 記憶ナシ男

//<4102> 音速
<4102> 音速

//<4103> 無限
<4103> 無限

//<4104> エロ侍
<4104> エロ侍

//<4105> エロエロ団ナンバー１
<4105> エロエロ団ナンバー１

//<4106> ただのエロ少年
<4106> ただのエロ少年

//<4107> ユリブサイク
<4107> ユリブサイク

//<4108> ドピュッシー
<4108> ドピュッシー

//<4109> アメリカンエロドッグ
<4109> アメリカンエロドッグ

//<4110> ゼウス
<4110> ゼウス

//<4111> 日向markⅡ
<4111> 日向markⅡ

//<4112> 糞虫
<4112> 糞虫

//<4113> 量産型日向
<4113> 量産型日向

//<4114> ？？
<4114> ？？

//<4115> 「だな」
<4115> 「だな」

//<4116> nothing
<4116> nothing

//<4117> nothing
<4117> nothing

//<4118> nothing
<4118> nothing

//<4119> nothing
<4119> nothing

//<4120> nothing
<4120> nothing

//<4121> 日向
<4121> 日向

//<4122> 男Ｂ
<4122> 男Ｂ

//<4123> エロエロ団総帥
<4123> エロエロ団総帥

//<4124> イケチン
<4124> イケチン

//<4125> ホモ太
<4125> ホモ太

//<4126> ひなチン
<4126> ひなチン

//<4127> 秀樹
<4127> 秀樹

//<4128> 男子生徒
<4128> 男子生徒

//<4129> ？？
<4129> ？？

//<4130> 「お前さ、さっきしれっと同意だ、とか言ってなかったか？」
<4130> 「お前さ、さっきしれっと同意だ、とか言ってなかったか？」

//<4131> 言った
<4131> 言った

//<4132> 言っていない
<4132> 言っていない

//<4133> selbtn : 
<4133> selbtn : 

//<4134> 音無
<4134> 音無

//<4135> クソ坊主
<4135> クソ坊主

//<4136> 代理人
<4136> 代理人

//<4137> 微妙すぎるイケメン
<4137> 微妙すぎるイケメン

//<4138> ロリコン
<4138> ロリコン

//<4139> メガネ仲間
<4139> メガネ仲間

//<4140> 暗算日本記録保持者
<4140> 暗算日本記録保持者

//<4141> 通り魔
<4141> 通り魔

//<4142> 記憶ナシ男
<4142> 記憶ナシ男

//<4143> 音速
<4143> 音速

//<4144> 無限
<4144> 無限

//<4145> エロ侍
<4145> エロ侍

//<4146> エロエロ団ナンバー１
<4146> エロエロ団ナンバー１

//<4147> ただのエロ少年
<4147> ただのエロ少年

//<4148> ユリブサイク
<4148> ユリブサイク

//<4149> ドピュッシー
<4149> ドピュッシー

//<4150> アメリカンエロドッグ
<4150> アメリカンエロドッグ

//<4151> ゼウス
<4151> ゼウス

//<4152> 日向markⅡ
<4152> 日向markⅡ

//<4153> 糞虫
<4153> 糞虫

//<4154> 量産型日向
<4154> 量産型日向

//<4155> ？？
<4155> ？？

//<4156> 「言った」
<4156> 「言った」

//<4157> nothing
<4157> nothing

//<4158> nothing
<4158> nothing

//<4159> nothing
<4159> nothing

//<4160> nothing
<4160> nothing

//<4161> nothing
<4161> nothing

//<4162> 日向
<4162> 日向

//<4163> 男Ｂ
<4163> 男Ｂ

//<4164> エロエロ団総帥
<4164> エロエロ団総帥

//<4165> イケチン
<4165> イケチン

//<4166> ホモ太
<4166> ホモ太

//<4167> ひなチン
<4167> ひなチン

//<4168> 秀樹
<4168> 秀樹

//<4169> 男子生徒
<4169> 男子生徒

//<4170> ？？
<4170> ？？

//<4171> 「だよな…お前、そういう趣味だったのかぁ？」
<4171> 「だよな…お前、そういう趣味だったのかぁ？」

//<4172> 音無
<4172> 音無

//<4173> クソ坊主
<4173> クソ坊主

//<4174> 代理人
<4174> 代理人

//<4175> 微妙すぎるイケメン
<4175> 微妙すぎるイケメン

//<4176> ロリコン
<4176> ロリコン

//<4177> メガネ仲間
<4177> メガネ仲間

//<4178> 暗算日本記録保持者
<4178> 暗算日本記録保持者

//<4179> 通り魔
<4179> 通り魔

//<4180> 記憶ナシ男
<4180> 記憶ナシ男

//<4181> 音速
<4181> 音速

//<4182> 無限
<4182> 無限

//<4183> エロ侍
<4183> エロ侍

//<4184> エロエロ団ナンバー１
<4184> エロエロ団ナンバー１

//<4185> ただのエロ少年
<4185> ただのエロ少年

//<4186> ユリブサイク
<4186> ユリブサイク

//<4187> ドピュッシー
<4187> ドピュッシー

//<4188> アメリカンエロドッグ
<4188> アメリカンエロドッグ

//<4189> ゼウス
<4189> ゼウス

//<4190> 日向markⅡ
<4190> 日向markⅡ

//<4191> 糞虫
<4191> 糞虫

//<4192> 量産型日向
<4192> 量産型日向

//<4193> ？？
<4193> ？？

//<4194> 「ああ。衝動的に発言してしまった。完全なクロだ…」
<4194> 「ああ。衝動的に発言してしまった。完全なクロだ…」

//<4195> nothing
<4195> nothing

//<4196> nothing
<4196> nothing

//<4197> nothing
<4197> nothing

//<4198> nothing
<4198> nothing

//<4199> nothing
<4199> nothing

//<4200> 日向
<4200> 日向

//<4201> 男Ｂ
<4201> 男Ｂ

//<4202> エロエロ団総帥
<4202> エロエロ団総帥

//<4203> イケチン
<4203> イケチン

//<4204> ホモ太
<4204> ホモ太

//<4205> ひなチン
<4205> ひなチン

//<4206> 秀樹
<4206> 秀樹

//<4207> 男子生徒
<4207> 男子生徒

//<4208> ？？
<4208> ？？

//<4209> 「そっか…。ここに居るメンバー以外は知らないから、今後は気をつけるこったな」
<4209> 「そっか…。ここに居るメンバー以外は知らないから、今後は気をつけるこったな」

//<4210> 言い返す
<4210> 言い返す

//<4211> 黙って頷く
<4211> 黙って頷く

//<4212> selbtn : 
<4212> selbtn : 

//<4213> 音無
<4213> 音無

//<4214> クソ坊主
<4214> クソ坊主

//<4215> 代理人
<4215> 代理人

//<4216> 微妙すぎるイケメン
<4216> 微妙すぎるイケメン

//<4217> ロリコン
<4217> ロリコン

//<4218> メガネ仲間
<4218> メガネ仲間

//<4219> 暗算日本記録保持者
<4219> 暗算日本記録保持者

//<4220> 通り魔
<4220> 通り魔

//<4221> 記憶ナシ男
<4221> 記憶ナシ男

//<4222> 音速
<4222> 音速

//<4223> 無限
<4223> 無限

//<4224> エロ侍
<4224> エロ侍

//<4225> エロエロ団ナンバー１
<4225> エロエロ団ナンバー１

//<4226> ただのエロ少年
<4226> ただのエロ少年

//<4227> ユリブサイク
<4227> ユリブサイク

//<4228> ドピュッシー
<4228> ドピュッシー

//<4229> アメリカンエロドッグ
<4229> アメリカンエロドッグ

//<4230> ゼウス
<4230> ゼウス

//<4231> 日向markⅡ
<4231> 日向markⅡ

//<4232> 糞虫
<4232> 糞虫

//<4233> 量産型日向
<4233> 量産型日向

//<4234> ？？
<4234> ？？

//<4235> 「百合の何が悪いってんだよっ！？」
<4235> 「百合の何が悪いってんだよっ！？」

//<4236> nothing
<4236> nothing

//<4237> nothing
<4237> nothing

//<4238> nothing
<4238> nothing

//<4239> nothing
<4239> nothing

//<4240> nothing
<4240> nothing

//<4241> 日向
<4241> 日向

//<4242> 男Ｂ
<4242> 男Ｂ

//<4243> エロエロ団総帥
<4243> エロエロ団総帥

//<4244> イケチン
<4244> イケチン

//<4245> ホモ太
<4245> ホモ太

//<4246> ひなチン
<4246> ひなチン

//<4247> 秀樹
<4247> 秀樹

//<4248> 男子生徒
<4248> 男子生徒

//<4249> ？？
<4249> ？？

//<4250> 「えぇ！？　そりゃ、そんな特殊な性癖丸出しの奴が居たら、チームワークが乱れるだろ…」
<4250> 「えぇ！？　そりゃ、そんな特殊な性癖丸出しの奴が居たら、チームワークが乱れるだろ…」

//<4251> nothing
<4251> nothing

//<4252> nothing
<4252> nothing

//<4253> nothing
<4253> nothing

//<4254> nothing
<4254> nothing

