// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 天使
//<1112> 扉の前を素通りして、全力で走り天使から逃げた。
<1112> 扉の前を素通りして、全力で走り天使から逃げた。

//<1113> dummy
<1113> dummy

//<1114> bg_kuro
<1114> bg_kuro

//<1115> ep03_bg013
<1115> ep03_bg013

//<1116> m204
<1116> m204

//<1117> kn0901
<1117> kn0901

//<1118> kn0901
<1118> kn0901

//<1119> kn0102_05
<1119> kn0102_05

//<1120> kn0102_08
<1120> kn0102_08

//<1121> kn0109_08
<1121> kn0109_08

//<1122> kn0101
<1122> kn0101

//<1123> kn0102_08
<1123> kn0102_08

//<1124> kn0901_05
<1124> kn0901_05

//<1125> kn0102_01
<1125> kn0102_01

//<1126> kn0909_05
<1126> kn0909_05

//<1127> kn0101
<1127> kn0101

//<1128> sys_bk_selline00
<1128> sys_bk_selline00

//<1129> bg_kuro
<1129> bg_kuro

//<1130> m114
<1130> m114

//<1131> ep88_bg002
<1131> ep88_bg002

//<1132> yr0109
<1132> yr0109

//<1133> bg_kuro
<1133> bg_kuro

//<1134> ep88_bg008
<1134> ep88_bg008

//<1135> ep88_bg007
<1135> ep88_bg007

//<1136> bg_kuro
<1136> bg_kuro

//<1137> ep10_bg014
<1137> ep10_bg014

//<1138> kn0901
<1138> kn0901

//<1139> kn0901_05
<1139> kn0901_05

//<1140> kn0901
<1140> kn0901

//<1141> sys_bk_selline00
<1141> sys_bk_selline00

//<1142> bg_kuro
<1142> bg_kuro

//<1143> ep04_bg021
<1143> ep04_bg021

//<1144> ep07_bg029
<1144> ep07_bg029

//<1145> ep10_bg001
<1145> ep10_bg001

//<1146> bg_kuro
<1146> bg_kuro

//<1147> ep03_bg018
<1147> ep03_bg018

//<1148> kn0905
<1148> kn0905

//<1149> bg_kuro
<1149> bg_kuro

//<1150> m114
<1150> m114

//<1151> kn1101_05
<1151> kn1101_05

//<1152> kn1101
<1152> kn1101

//<1153> kn1201
<1153> kn1201

//<1154> m114
<1154> m114

//<1155> kn0109
<1155> kn0109

//<1156> kn1101_05
<1156> kn1101_05

//<1157> kn1101
<1157> kn1101

//<1158> kn1201
<1158> kn1201

//<1159> m114
<1159> m114

//<1160> kn1101_05
<1160> kn1101_05

//<1161> kn1101
<1161> kn1101

//<1162> kn1201
<1162> kn1201

//<1163> kn0301
<1163> kn0301

//<1164> kn0301_08
<1164> kn0301_08

//<1165> kn0301
<1165> kn0301

//<1166> kn1201
<1166> kn1201

//<1167> kn999900r4
<1167> kn999900r4

//<1168> kn0902_05
<1168> kn0902_05

//<1169> kn0910
<1169> kn0910

//<1170> kn0908_10
<1170> kn0908_10

//<1171> m118
<1171> m118

//<1172> kn0909
<1172> kn0909

//<1173> kn0909_08
<1173> kn0909_08

//<1174> kn1001_05
<1174> kn1001_05

//<1175> kn1101
<1175> kn1101

//<1176> kn1201
<1176> kn1201

//<1177> kn999900r4
<1177> kn999900r4

//<1178> bs3_kn120100l4
<1178> bs3_kn120100l4

//<1179> bs3_kn120100l4
<1179> bs3_kn120100l4

//<1180> bs3_kn0301
<1180> bs3_kn0301

//<1181> bs3_kn0301_08
<1181> bs3_kn0301_08

//<1182> bg_kuro
<1182> bg_kuro

//<1183> bs3_kn120100l4
<1183> bs3_kn120100l4

//<1184> bs3_kn1201_05
<1184> bs3_kn1201_05

//<1185> bg_kuro
<1185> bg_kuro

//<1186> kn1201
<1186> kn1201

//<1187> kn0102
<1187> kn0102

//<1188> bg_kuro
<1188> bg_kuro

