// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 駐車場のようだった。
<0000> 駐車場のようだった。
//<1013> nothing
<1013> nothing

//<1014> 
<1014> 

//<1015> 
<1015> 

//<1016> nothing
<1016> nothing

//<1017> ユイ
<1017> ユイ

//<1018> 「ぶほっ！」
<1018> 「ぶほっ！」

//<1019> nothing
<1019> nothing

//<1020> nothing
<1020> nothing

//<1021> nothing
<1021> nothing

//<1022> nothing
<1022> nothing

//<1023> nothing
<1023> nothing

//<1024> nothing
<1024> nothing

//<1025> ハイキック一閃。
<1025> ハイキック一閃。

//<1026> 仰向けに倒れた後、起き上がると俺と同じく鼻血を流していた。
<1026> 仰向けに倒れた後、起き上がると俺と同じく鼻血を流していた。

//<1027> nothing
<1027> nothing

//<1028> nothing
<1028> nothing

//<1029> nothing
<1029> nothing

//<1030> nothing
<1030> nothing

//<1031> nothing
<1031> nothing

//<1032> ユイ
<1032> ユイ

//<1033> 「ヒロインの顔面蹴るなんてどんな主人公じゃああぁぁーー！！」
<1033> 「ヒロインの顔面蹴るなんてどんな主人公じゃああぁぁーー！！」

//<1034> 音無
<1034> 音無

//<1035> クソ坊主
<1035> クソ坊主

//<1036> 代理人
<1036> 代理人

//<1037> 微妙すぎるイケメン
<1037> 微妙すぎるイケメン

//<1038> ロリコン
<1038> ロリコン

//<1039> メガネ仲間
<1039> メガネ仲間

//<1040> 暗算日本記録保持者
<1040> 暗算日本記録保持者

//<1041> 通り魔
<1041> 通り魔

//<1042> 記憶ナシ男
<1042> 記憶ナシ男

//<1043> 音速
<1043> 音速

//<1044> 無限
<1044> 無限

//<1045> エロ侍
<1045> エロ侍

//<1046> エロエロ団ナンバー１
<1046> エロエロ団ナンバー１

//<1047> ただのエロ少年
<1047> ただのエロ少年

//<1048> ユリブサイク
<1048> ユリブサイク

//<1049> ドピュッシー
<1049> ドピュッシー

//<1050> アメリカンエロドッグ
<1050> アメリカンエロドッグ

//<1051> ゼウス
<1051> ゼウス

//<1052> 日向markⅡ
<1052> 日向markⅡ

//<1053> 糞虫
<1053> 糞虫

//<1054> 量産型日向
<1054> 量産型日向

//<1055> ？？
<1055> ？？

//<1056> 「いや、そんなゲームみたいな設定ねーし」
<1056> 「いや、そんなゲームみたいな設定ねーし」

//<1057> nothing
<1057> nothing

//<1058> nothing
<1058> nothing

//<1059> nothing
<1059> nothing

//<1060> nothing
<1060> nothing

//<1061> nothing
<1061> nothing

//<1062> ユイ
<1062> ユイ

//<1063> 「そりゃ、鼻の骨が折れようが、明日には治ってる世界ですしね！」
<1063> 「そりゃ、鼻の骨が折れようが、明日には治ってる世界ですしね！」

//<1064> nothing
<1064> nothing

//<1065> nothing
<1065> nothing

//<1066> nothing
<1066> nothing

//<1067> nothing
<1067> nothing

//<1068> nothing
<1068> nothing

//<1069> ユイは鼻にティッシュを丸めて、詰めた。
<1069> ユイは鼻にティッシュを丸めて、詰めた。

//<1070> 音無
<1070> 音無

//<1071> クソ坊主
<1071> クソ坊主

//<1072> 代理人
<1072> 代理人

//<1073> 微妙すぎるイケメン
<1073> 微妙すぎるイケメン

//<1074> ロリコン
<1074> ロリコン

//<1075> メガネ仲間
<1075> メガネ仲間

//<1076> 暗算日本記録保持者
<1076> 暗算日本記録保持者

//<1077> 通り魔
<1077> 通り魔

//<1078> 記憶ナシ男
<1078> 記憶ナシ男

//<1079> 音速
<1079> 音速

//<1080> 無限
<1080> 無限

//<1081> エロ侍
<1081> エロ侍

//<1082> エロエロ団ナンバー１
<1082> エロエロ団ナンバー１

//<1083> ただのエロ少年
<1083> ただのエロ少年

//<1084> ユリブサイク
<1084> ユリブサイク

//<1085> ドピュッシー
<1085> ドピュッシー

//<1086> アメリカンエロドッグ
<1086> アメリカンエロドッグ

//<1087> ゼウス
<1087> ゼウス

//<1088> 日向markⅡ
<1088> 日向markⅡ

//<1089> 糞虫
<1089> 糞虫

//<1090> 量産型日向
<1090> 量産型日向

//<1091> ？？
<1091> ？？

//<1092> （くそっ…！）
<1092> （くそっ…！）

//<1093> 心の中で舌打ちするだけにしておく。
<1093> 心の中で舌打ちするだけにしておく。

//<1094> 
<1094> 

//<1095> 音無
<1095> 音無

//<1096> クソ坊主
<1096> クソ坊主

//<1097> 代理人
<1097> 代理人

//<1098> 微妙すぎるイケメン
<1098> 微妙すぎるイケメン

//<1099> ロリコン
<1099> ロリコン

//<1100> メガネ仲間
<1100> メガネ仲間

//<1101> 暗算日本記録保持者
<1101> 暗算日本記録保持者

//<1102> 通り魔
<1102> 通り魔

//<1103> 記憶ナシ男
<1103> 記憶ナシ男

//<1104> 音速
<1104> 音速

//<1105> 無限
<1105> 無限

//<1106> エロ侍
<1106> エロ侍

//<1107> エロエロ団ナンバー１
<1107> エロエロ団ナンバー１

//<1108> ただのエロ少年
<1108> ただのエロ少年

//<1109> ユリブサイク
<1109> ユリブサイク

//<1110> ドピュッシー
<1110> ドピュッシー

//<1111> アメリカンエロドッグ
<1111> アメリカンエロドッグ

//<1112> ゼウス
<1112> ゼウス

//<1113> 日向markⅡ
<1113> 日向markⅡ

//<1114> 糞虫
<1114> 糞虫

//<1115> 量産型日向
<1115> 量産型日向

//<1116> ？？
<1116> ？？

//<1117> 「でも、実際すごいよな」
<1117> 「でも、実際すごいよな」

//<1118> nothing
<1118> nothing

//<1119> nothing
<1119> nothing

//<1120> nothing
<1120> nothing

//<1121> nothing
<1121> nothing

//<1122> nothing
<1122> nothing

//<1123> ユイ
<1123> ユイ

//<1124> 「何がですかっ」
<1124> 「何がですかっ」

//<1125> nothing
<1125> nothing

//<1126> nothing
<1126> nothing

//<1127> nothing
<1127> nothing

//<1128> nothing
<1128> nothing

//<1129> nothing
<1129> nothing

//<1130> 鼻血を制服の裾で拭いながら。
<1130> 鼻血を制服の裾で拭いながら。

//<1131> nothing
<1131> nothing

//<1132> nothing
<1132> nothing

//<1133> nothing
<1133> nothing

//<1134> nothing
<1134> nothing

//<1135> nothing
<1135> nothing

//<1136> ユイ
<1136> ユイ

//<1137> 「何がですか」
<1137> 「何がですか」

//<1138> nothing
<1138> nothing

//<1139> nothing
<1139> nothing

//<1140> nothing
<1140> nothing

//<1141> nothing
<1141> nothing

//<1142> nothing
<1142> nothing

//<1143> 音無
<1143> 音無

//<1144> クソ坊主
<1144> クソ坊主

//<1145> 代理人
<1145> 代理人

//<1146> 微妙すぎるイケメン
<1146> 微妙すぎるイケメン

//<1147> ロリコン
<1147> ロリコン

//<1148> メガネ仲間
<1148> メガネ仲間

//<1149> 暗算日本記録保持者
<1149> 暗算日本記録保持者

//<1150> 通り魔
<1150> 通り魔

//<1151> 記憶ナシ男
<1151> 記憶ナシ男

//<1152> 音速
<1152> 音速

//<1153> 無限
<1153> 無限

//<1154> エロ侍
<1154> エロ侍

//<1155> エロエロ団ナンバー１
<1155> エロエロ団ナンバー１

//<1156> ただのエロ少年
<1156> ただのエロ少年

//<1157> ユリブサイク
<1157> ユリブサイク

//<1158> ドピュッシー
<1158> ドピュッシー

//<1159> アメリカンエロドッグ
<1159> アメリカンエロドッグ

//<1160> ゼウス
<1160> ゼウス

//<1161> 日向markⅡ
<1161> 日向markⅡ

//<1162> 糞虫
<1162> 糞虫

//<1163> 量産型日向
<1163> 量産型日向

//<1164> ？？
<1164> ？？

//<1165> 「こうやって人前で歌ったり、ちゃんとファンがいるってことが」
<1165> 「こうやって人前で歌ったり、ちゃんとファンがいるってことが」

//<1166> nothing
<1166> nothing

//<1167> nothing
<1167> nothing

//<1168> nothing
<1168> nothing

//<1169> nothing
<1169> nothing

//<1170> nothing
<1170> nothing

//<1171> ユイ
<1171> ユイ

//<1172> 「最初は単なる練習だったんです」
<1172> 「最初は単なる練習だったんです」

//<1173> nothing
<1173> nothing

//<1174> nothing
<1174> nothing

//<1175> nothing
<1175> nothing

//<1176> nothing
<1176> nothing

//<1177> nothing
<1177> nothing

//<1178> ユイ
<1178> ユイ

//<1179> 「あまり人の来ないところを選んで歌ってたはずなんですけど、気がついたら周りに人が来てました」
<1179> 「あまり人の来ないところを選んで歌ってたはずなんですけど、気がついたら周りに人が来てました」

//<1180> nothing
<1180> nothing

//<1181> nothing
<1181> nothing

//<1182> nothing
<1182> nothing

//<1183> nothing
<1183> nothing

//<1184> nothing
<1184> nothing

//<1185> ユイ
<1185> ユイ

//<1186> 「まだ人に聴かせられるものじゃないって思ってたんです」
<1186> 「まだ人に聴かせられるものじゃないって思ってたんです」

//<1187> nothing
<1187> nothing

//<1188> nothing
<1188> nothing

//<1189> nothing
<1189> nothing

//<1190> nothing
<1190> nothing

//<1191> nothing
<1191> nothing

//<1192> ユイ
<1192> ユイ

//<1193> 「だから、練習場所を変えなきゃなーって考えてたんですけど、歌い終わった後に拍手が貰えて、最初はおひねりをもらえたりして…」
<1193> 「だから、練習場所を変えなきゃなーって考えてたんですけど、歌い終わった後に拍手が貰えて、最初はおひねりをもらえたりして…」

//<1194> nothing
<1194> nothing

//<1195> nothing
<1195> nothing

//<1196> nothing
<1196> nothing

//<1197> nothing
<1197> nothing

//<1198> nothing
<1198> nothing

//<1199> ユイ
<1199> ユイ

//<1200> 「でもそれは、戦線としてのモラル違反なので、食券にしてもらいましたが」
<1200> 「でもそれは、戦線としてのモラル違反なので、食券にしてもらいましたが」

//<1201> nothing
<1201> nothing

//<1202> nothing
<1202> nothing

//<1203> nothing
<1203> nothing

//<1204> nothing
<1204> nothing

//<1205> nothing
<1205> nothing

//<1206> ユイ
<1206> ユイ

//<1207> 「ファンが増えるにつれ、うれしくなって、ずっとここで練習することになっちゃいました」
<1207> 「ファンが増えるにつれ、うれしくなって、ずっとここで練習することになっちゃいました」

//<1208> nothing
<1208> nothing

//<1209> nothing
<1209> nothing

//<1210> nothing
<1210> nothing

//<1211> nothing
<1211> nothing

//<1212> nothing
<1212> nothing

//<1213> 少し照れたように笑いながら、ユイはギターをケースにしまう。
<1213> 少し照れたように笑いながら、ユイはギターをケースにしまう。

//<1214> 音無
<1214> 音無

//<1215> クソ坊主
<1215> クソ坊主

//<1216> 代理人
<1216> 代理人

//<1217> 微妙すぎるイケメン
<1217> 微妙すぎるイケメン

//<1218> ロリコン
<1218> ロリコン

//<1219> メガネ仲間
<1219> メガネ仲間

//<1220> 暗算日本記録保持者
<1220> 暗算日本記録保持者

//<1221> 通り魔
<1221> 通り魔

//<1222> 記憶ナシ男
<1222> 記憶ナシ男

//<1223> 音速
<1223> 音速

//<1224> 無限
<1224> 無限

//<1225> エロ侍
<1225> エロ侍

//<1226> エロエロ団ナンバー１
<1226> エロエロ団ナンバー１

//<1227> ただのエロ少年
<1227> ただのエロ少年

//<1228> ユリブサイク
<1228> ユリブサイク

//<1229> ドピュッシー
<1229> ドピュッシー

//<1230> アメリカンエロドッグ
<1230> アメリカンエロドッグ

//<1231> ゼウス
<1231> ゼウス

//<1232> 日向markⅡ
<1232> 日向markⅡ

//<1233> 糞虫
<1233> 糞虫

//<1234> 量産型日向
<1234> 量産型日向

//<1235> ？？
<1235> ？？

//<1236> 「また聴きに来てもいいか？」
<1236> 「また聴きに来てもいいか？」

//<1237> nothing
<1237> nothing

//<1238> nothing
<1238> nothing

//<1239> nothing
<1239> nothing

//<1240> nothing
<1240> nothing

//<1241> nothing
<1241> nothing

//<1242> ユイ
<1242> ユイ

//<1243> 「顔面蹴られていいわけあるかぁーー！！」
<1243> 「顔面蹴られていいわけあるかぁーー！！」

//<1244> ファンだから
<1244> ファンだから

//<1245> もう来ない
<1245> もう来ない

//<1246> selbtn : 
<1246> selbtn : 

//<1247> 音無
<1247> 音無

//<1248> クソ坊主
<1248> クソ坊主

//<1249> 代理人
<1249> 代理人

//<1250> 微妙すぎるイケメン
<1250> 微妙すぎるイケメン

//<1251> ロリコン
<1251> ロリコン

//<1252> メガネ仲間
<1252> メガネ仲間

//<1253> 暗算日本記録保持者
<1253> 暗算日本記録保持者

//<1254> 通り魔
<1254> 通り魔

//<1255> 記憶ナシ男
<1255> 記憶ナシ男

//<1256> 音速
<1256> 音速

//<1257> 無限
<1257> 無限

//<1258> エロ侍
<1258> エロ侍

//<1259> エロエロ団ナンバー１
<1259> エロエロ団ナンバー１

//<1260> ただのエロ少年
<1260> ただのエロ少年

//<1261> ユリブサイク
<1261> ユリブサイク

//<1262> ドピュッシー
<1262> ドピュッシー

//<1263> アメリカンエロドッグ
<1263> アメリカンエロドッグ

//<1264> ゼウス
<1264> ゼウス

//<1265> 日向markⅡ
<1265> 日向markⅡ

//<1266> 糞虫
<1266> 糞虫

//<1267> 量産型日向
<1267> 量産型日向

//<1268> ？？
<1268> ？？

//<1269> 「俺はお前のファンだぞ？　ファンは大切にしてくれるんじゃなかったのか？」
<1269> 「俺はお前のファンだぞ？　ファンは大切にしてくれるんじゃなかったのか？」

//<1270> nothing
<1270> nothing

//<1271> nothing
<1271> nothing

//<1272> nothing
<1272> nothing

//<1273> nothing
<1273> nothing

//<1274> nothing
<1274> nothing

//<1275> ユイ
<1275> ユイ

//<1276> 「よくぞそのファンの姿勢で顔面蹴れたなあぁーー！！」
<1276> 「よくぞそのファンの姿勢で顔面蹴れたなあぁーー！！」

//<1277> 音無
<1277> 音無

//<1278> クソ坊主
<1278> クソ坊主

//<1279> 代理人
<1279> 代理人

//<1280> 微妙すぎるイケメン
<1280> 微妙すぎるイケメン

//<1281> ロリコン
<1281> ロリコン

//<1282> メガネ仲間
<1282> メガネ仲間

//<1283> 暗算日本記録保持者
<1283> 暗算日本記録保持者

//<1284> 通り魔
<1284> 通り魔

//<1285> 記憶ナシ男
<1285> 記憶ナシ男

//<1286> 音速
<1286> 音速

//<1287> 無限
<1287> 無限

//<1288> エロ侍
<1288> エロ侍

//<1289> エロエロ団ナンバー１
<1289> エロエロ団ナンバー１

//<1290> ただのエロ少年
<1290> ただのエロ少年

//<1291> ユリブサイク
<1291> ユリブサイク

//<1292> ドピュッシー
<1292> ドピュッシー

//<1293> アメリカンエロドッグ
<1293> アメリカンエロドッグ

//<1294> ゼウス
<1294> ゼウス

//<1295> 日向markⅡ
<1295> 日向markⅡ

//<1296> 糞虫
<1296> 糞虫

//<1297> 量産型日向
<1297> 量産型日向

//<1298> ？？
<1298> ？？

//<1299> 「だから、謝ってるじゃないか」
<1299> 「だから、謝ってるじゃないか」

//<1300> nothing
<1300> nothing

//<1301> nothing
<1301> nothing

//<1302> nothing
<1302> nothing

//<1303> nothing
<1303> nothing

//<1304> nothing
<1304> nothing

//<1305> ユイ
<1305> ユイ

//<1306> 「ごめんのひとつも聞いてませんからぁーー！！」
<1306> 「ごめんのひとつも聞いてませんからぁーー！！」

//<1307> 音無
<1307> 音無

//<1308> クソ坊主
<1308> クソ坊主

//<1309> 代理人
<1309> 代理人

//<1310> 微妙すぎるイケメン
<1310> 微妙すぎるイケメン

//<1311> ロリコン
<1311> ロリコン

//<1312> メガネ仲間
<1312> メガネ仲間

//<1313> 暗算日本記録保持者
<1313> 暗算日本記録保持者

//<1314> 通り魔
<1314> 通り魔

//<1315> 記憶ナシ男
<1315> 記憶ナシ男

//<1316> 音速
<1316> 音速

//<1317> 無限
<1317> 無限

//<1318> エロ侍
<1318> エロ侍

//<1319> エロエロ団ナンバー１
<1319> エロエロ団ナンバー１

//<1320> ただのエロ少年
<1320> ただのエロ少年

//<1321> ユリブサイク
<1321> ユリブサイク

//<1322> ドピュッシー
<1322> ドピュッシー

//<1323> アメリカンエロドッグ
<1323> アメリカンエロドッグ

//<1324> ゼウス
<1324> ゼウス

//<1325> 日向markⅡ
<1325> 日向markⅡ

//<1326> 糞虫
<1326> 糞虫

//<1327> 量産型日向
<1327> 量産型日向

//<1328> ？？
<1328> ？？

//<1329> 「だっけ？　なら改めて、すまん」
<1329> 「だっけ？　なら改めて、すまん」

//<1330> nothing
<1330> nothing

//<1331> nothing
<1331> nothing

//<1332> nothing
<1332> nothing

//<1333> nothing
<1333> nothing

//<1334> nothing
<1334> nothing

//<1335> ユイ
<1335> ユイ

//<1336> 「ほんとにファンなんですかぁー？」
<1336> 「ほんとにファンなんですかぁー？」

//<1337> ファンだ
<1337> ファンだ

//<1338> にわかファンだ
<1338> にわかファンだ

//<1339> 違う
<1339> 違う

//<1340> selbtn : 
<1340> selbtn : 

//<1341> 音無
<1341> 音無

//<1342> クソ坊主
<1342> クソ坊主

//<1343> 代理人
<1343> 代理人

//<1344> 微妙すぎるイケメン
<1344> 微妙すぎるイケメン

//<1345> ロリコン
<1345> ロリコン

//<1346> メガネ仲間
<1346> メガネ仲間

//<1347> 暗算日本記録保持者
<1347> 暗算日本記録保持者

//<1348> 通り魔
<1348> 通り魔

//<1349> 記憶ナシ男
<1349> 記憶ナシ男

//<1350> 音速
<1350> 音速

//<1351> 無限
<1351> 無限

//<1352> エロ侍
<1352> エロ侍

//<1353> エロエロ団ナンバー１
<1353> エロエロ団ナンバー１

//<1354> ただのエロ少年
<1354> ただのエロ少年

//<1355> ユリブサイク
<1355> ユリブサイク

//<1356> ドピュッシー
<1356> ドピュッシー

//<1357> アメリカンエロドッグ
<1357> アメリカンエロドッグ

//<1358> ゼウス
<1358> ゼウス

//<1359> 日向markⅡ
<1359> 日向markⅡ

//<1360> 糞虫
<1360> 糞虫

//<1361> 量産型日向
<1361> 量産型日向

//<1362> ？？
<1362> ？？

//<1363> 「ファンだ」
<1363> 「ファンだ」

//<1364> 言い切った。
<1364> 言い切った。

//<1365> nothing
<1365> nothing

//<1366> nothing
<1366> nothing

//<1367> nothing
<1367> nothing

//<1368> nothing
<1368> nothing

//<1369> nothing
<1369> nothing

//<1370> 音無
<1370> 音無

//<1371> クソ坊主
<1371> クソ坊主

//<1372> 代理人
<1372> 代理人

//<1373> 微妙すぎるイケメン
<1373> 微妙すぎるイケメン

//<1374> ロリコン
<1374> ロリコン

//<1375> メガネ仲間
<1375> メガネ仲間

//<1376> 暗算日本記録保持者
<1376> 暗算日本記録保持者

//<1377> 通り魔
<1377> 通り魔

//<1378> 記憶ナシ男
<1378> 記憶ナシ男

//<1379> 音速
<1379> 音速

//<1380> 無限
<1380> 無限

//<1381> エロ侍
<1381> エロ侍

//<1382> エロエロ団ナンバー１
<1382> エロエロ団ナンバー１

//<1383> ただのエロ少年
<1383> ただのエロ少年

//<1384> ユリブサイク
<1384> ユリブサイク

//<1385> ドピュッシー
<1385> ドピュッシー

//<1386> アメリカンエロドッグ
<1386> アメリカンエロドッグ

//<1387> ゼウス
<1387> ゼウス

//<1388> 日向markⅡ
<1388> 日向markⅡ

//<1389> 糞虫
<1389> 糞虫

//<1390> 量産型日向
<1390> 量産型日向

//<1391> ？？
<1391> ？？

//<1392> 「にわかファンだ」
<1392> 「にわかファンだ」

//<1393> nothing
<1393> nothing

//<1394> nothing
<1394> nothing

//<1395> nothing
<1395> nothing

//<1396> nothing
<1396> nothing

//<1397> nothing
<1397> nothing

//<1398> ユイ
<1398> ユイ

//<1399> 「ああ、一番悩ましいところがきたーーー！！」
<1399> 「ああ、一番悩ましいところがきたーーー！！」

//<1400> 音無
<1400> 音無

//<1401> クソ坊主
<1401> クソ坊主

//<1402> 代理人
<1402> 代理人

//<1403> 微妙すぎるイケメン
<1403> 微妙すぎるイケメン

//<1404> ロリコン
<1404> ロリコン

//<1405> メガネ仲間
<1405> メガネ仲間

//<1406> 暗算日本記録保持者
<1406> 暗算日本記録保持者

//<1407> 通り魔
<1407> 通り魔

//<1408> 記憶ナシ男
<1408> 記憶ナシ男

//<1409> 音速
<1409> 音速

//<1410> 無限
<1410> 無限

//<1411> エロ侍
<1411> エロ侍

//<1412> エロエロ団ナンバー１
<1412> エロエロ団ナンバー１

//<1413> ただのエロ少年
<1413> ただのエロ少年

//<1414> ユリブサイク
<1414> ユリブサイク

//<1415> ドピュッシー
<1415> ドピュッシー

//<1416> アメリカンエロドッグ
<1416> アメリカンエロドッグ

//<1417> ゼウス
<1417> ゼウス

//<1418> 日向markⅡ
<1418> 日向markⅡ

//<1419> 糞虫
<1419> 糞虫

//<1420> 量産型日向
<1420> 量産型日向

//<1421> ？？
<1421> ？？

//<1422> 「え？」
<1422> 「え？」

//<1423> nothing
<1423> nothing

//<1424> nothing
<1424> nothing

//<1425> nothing
<1425> nothing

//<1426> nothing
<1426> nothing

//<1427> nothing
<1427> nothing

//<1428> ユイ
<1428> ユイ

//<1429> 「堂々とにわかファンなんていうファンが現れるなんて、この世界に来てから初めてだし、顔面蹴られるしぃ、どう接すればいいかわからないじゃないですかぁー！！」
<1429> 「堂々とにわかファンなんていうファンが現れるなんて、この世界に来てから初めてだし、顔面蹴られるしぃ、どう接すればいいかわからないじゃないですかぁー！！」

//<1430> 音無
<1430> 音無

//<1431> クソ坊主
<1431> クソ坊主

//<1432> 代理人
<1432> 代理人

//<1433> 微妙すぎるイケメン
<1433> 微妙すぎるイケメン

//<1434> ロリコン
<1434> ロリコン

//<1435> メガネ仲間
<1435> メガネ仲間

//<1436> 暗算日本記録保持者
<1436> 暗算日本記録保持者

//<1437> 通り魔
<1437> 通り魔

//<1438> 記憶ナシ男
<1438> 記憶ナシ男

//<1439> 音速
<1439> 音速

//<1440> 無限
<1440> 無限

//<1441> エロ侍
<1441> エロ侍

//<1442> エロエロ団ナンバー１
<1442> エロエロ団ナンバー１

//<1443> ただのエロ少年
<1443> ただのエロ少年

//<1444> ユリブサイク
<1444> ユリブサイク

//<1445> ドピュッシー
<1445> ドピュッシー

//<1446> アメリカンエロドッグ
<1446> アメリカンエロドッグ

//<1447> ゼウス
<1447> ゼウス

//<1448> 日向markⅡ
<1448> 日向markⅡ

//<1449> 糞虫
<1449> 糞虫

//<1450> 量産型日向
<1450> 量産型日向

//<1451> ？？
<1451> ？？

//<1452> 「これから長い時間をかけて、にわかじゃないファンになって行くからさ」
<1452> 「これから長い時間をかけて、にわかじゃないファンになって行くからさ」

//<1453> nothing
<1453> nothing

//<1454> nothing
<1454> nothing

//<1455> nothing
<1455> nothing

//<1456> nothing
<1456> nothing

//<1457> nothing
<1457> nothing

//<1458> ユイ
<1458> ユイ

//<1459> 「そりゃ、この世界では時間だけは無限にありますけどぉ…でも顔面蹴られたし…」
<1459> 「そりゃ、この世界では時間だけは無限にありますけどぉ…でも顔面蹴られたし…」

//<1460> 音無
<1460> 音無

//<1461> クソ坊主
<1461> クソ坊主

//<1462> 代理人
<1462> 代理人

//<1463> 微妙すぎるイケメン
<1463> 微妙すぎるイケメン

//<1464> ロリコン
<1464> ロリコン

//<1465> メガネ仲間
<1465> メガネ仲間

//<1466> 暗算日本記録保持者
<1466> 暗算日本記録保持者

//<1467> 通り魔
<1467> 通り魔

//<1468> 記憶ナシ男
<1468> 記憶ナシ男

//<1469> 音速
<1469> 音速

//<1470> 無限
<1470> 無限

//<1471> エロ侍
<1471> エロ侍

//<1472> エロエロ団ナンバー１
<1472> エロエロ団ナンバー１

//<1473> ただのエロ少年
<1473> ただのエロ少年

//<1474> ユリブサイク
<1474> ユリブサイク

//<1475> ドピュッシー
<1475> ドピュッシー

//<1476> アメリカンエロドッグ
<1476> アメリカンエロドッグ

//<1477> ゼウス
<1477> ゼウス

//<1478> 日向markⅡ
<1478> 日向markⅡ

//<1479> 糞虫
<1479> 糞虫

//<1480> 量産型日向
<1480> 量産型日向

//<1481> ？？
<1481> ？？

//<1482> 「それはこっちもだよ」
<1482> 「それはこっちもだよ」

//<1483> nothing
<1483> nothing

//<1484> nothing
<1484> nothing

//<1485> nothing
<1485> nothing

//<1486> nothing
<1486> nothing

//<1487> nothing
<1487> nothing

//<1488> ユイ
<1488> ユイ

//<1489> 「では、痛み分けってことで、一応納得しておきます」
<1489> 「では、痛み分けってことで、一応納得しておきます」

//<1490> 音無
<1490> 音無

//<1491> クソ坊主
<1491> クソ坊主

//<1492> 代理人
<1492> 代理人

//<1493> 微妙すぎるイケメン
<1493> 微妙すぎるイケメン

//<1494> ロリコン
<1494> ロリコン

//<1495> メガネ仲間
<1495> メガネ仲間

//<1496> 暗算日本記録保持者
<1496> 暗算日本記録保持者

//<1497> 通り魔
<1497> 通り魔

//<1498> 記憶ナシ男
<1498> 記憶ナシ男

//<1499> 音速
<1499> 音速

//<1500> 無限
<1500> 無限

//<1501> エロ侍
<1501> エロ侍

//<1502> エロエロ団ナンバー１
<1502> エロエロ団ナンバー１

//<1503> ただのエロ少年
<1503> ただのエロ少年

//<1504> ユリブサイク
<1504> ユリブサイク

//<1505> ドピュッシー
<1505> ドピュッシー

//<1506> アメリカンエロドッグ
<1506> アメリカンエロドッグ

//<1507> ゼウス
<1507> ゼウス

//<1508> 日向markⅡ
<1508> 日向markⅡ

//<1509> 糞虫
<1509> 糞虫

//<1510> 量産型日向
<1510> 量産型日向

//<1511> ？？
<1511> ？？

//<1512> 「ああ」
<1512> 「ああ」

//<1513> nothing
<1513> nothing

//<1514> nothing
<1514> nothing

//<1515> nothing
<1515> nothing

//<1516> nothing
<1516> nothing

//<1517> nothing
<1517> nothing

//<1518> ユイ
<1518> ユイ

//<1519> 「早くちゃんとファンになってください」
<1519> 「早くちゃんとファンになってください」

//<1520> 音無
<1520> 音無

//<1521> クソ坊主
<1521> クソ坊主

//<1522> 代理人
<1522> 代理人

//<1523> 微妙すぎるイケメン
<1523> 微妙すぎるイケメン

//<1524> ロリコン
<1524> ロリコン

//<1525> メガネ仲間
<1525> メガネ仲間

//<1526> 暗算日本記録保持者
<1526> 暗算日本記録保持者

//<1527> 通り魔
<1527> 通り魔

//<1528> 記憶ナシ男
<1528> 記憶ナシ男

//<1529> 音速
<1529> 音速

//<1530> 無限
<1530> 無限

//<1531> エロ侍
<1531> エロ侍

//<1532> エロエロ団ナンバー１
<1532> エロエロ団ナンバー１

//<1533> ただのエロ少年
<1533> ただのエロ少年

//<1534> ユリブサイク
<1534> ユリブサイク

//<1535> ドピュッシー
<1535> ドピュッシー

//<1536> アメリカンエロドッグ
<1536> アメリカンエロドッグ

//<1537> ゼウス
<1537> ゼウス

//<1538> 日向markⅡ
<1538> 日向markⅡ

//<1539> 糞虫
<1539> 糞虫

//<1540> 量産型日向
<1540> 量産型日向

//<1541> ？？
<1541> ？？

//<1542> 「ああ、そうさせてもらうよ」
<1542> 「ああ、そうさせてもらうよ」

//<1543> 音無
<1543> 音無

//<1544> クソ坊主
<1544> クソ坊主

//<1545> 代理人
<1545> 代理人

//<1546> 微妙すぎるイケメン
<1546> 微妙すぎるイケメン

//<1547> ロリコン
<1547> ロリコン

//<1548> メガネ仲間
<1548> メガネ仲間

//<1549> 暗算日本記録保持者
<1549> 暗算日本記録保持者

//<1550> 通り魔
<1550> 通り魔

//<1551> 記憶ナシ男
<1551> 記憶ナシ男

//<1552> 音速
<1552> 音速

//<1553> 無限
<1553> 無限

